number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.06861666589975357,2025-08-24 10:57:06.629070,2025-08-24 11:00:50.913897,0 days 00:03:44.284827,100,,normal,6,nz,0.005020847175011941,0.28678812614035476,266,80,,raw,old,0.7186620787543885,logistic,0.07119736671447754,COMPLETE,0.07119736671447754
1,0.06368333250284194,2025-08-24 11:00:50.915678,2025-08-24 11:18:29.497211,0 days 00:17:38.581533,20,6.404970863644254e-07,uniform,7,zero,,0.002727419843207111,355,224,,colnorm,old,0.7651904189827918,tanh,0.012864446640014649,COMPLETE,0.012864446640014649
2,0.18021666407585143,2025-08-24 11:18:29.498973,2025-08-24 11:22:11.285071,0 days 00:03:41.786098,100,3.6201072407748306e-07,normal,8,zero,,0.5405177223050418,2318,656,,colnorm,old,1.4530888343305441,tanh,2.9540061950683595e-05,COMPLETE,2.9540061950683595e-05
3,0.06675000041723252,2025-08-24 11:22:11.285456,2025-08-24 11:25:44.274929,0 days 00:03:32.989473,100,,normal,5,zero,,0.0003086104554138934,785,480,,raw,old,0.4979025208384174,tanh,0.013010120391845703,COMPLETE,0.013010120391845703
4,0.09331666678190231,2025-08-24 11:25:44.275223,2025-08-24 11:29:18.135350,0 days 00:03:33.860127,100,,uniform,6,zero,,0.0753316189564453,715,288,,raw,old,0.842727131035182,logistic,0.005679678916931152,COMPLETE,0.005679678916931152
5,0.13778333365917206,2025-08-24 11:29:18.135723,2025-08-24 11:33:03.667205,0 days 00:03:45.531482,100,,normal,7,zero,,0.13862889345041887,116,144,0.9709046340957243,pca,old,1.6080142723828008,logistic,0.00513162612915039,COMPLETE,0.00513162612915039
6,0.05963333323597908,2025-08-24 11:33:03.667501,2025-08-24 11:50:48.581263,0 days 00:17:44.913762,20,,uniform,7,zero,,1.8560837352965355e-06,103,688,0.5841376526836222,pca,Glorot,,tanh,0.013018202781677247,COMPLETE,0.013018202781677247
7,0.15216666758060454,2025-08-24 11:50:48.581699,2025-08-24 11:54:31.834302,0 days 00:03:43.252603,100,,uniform,6,zero,,0.0045466213818785945,5559,256,0.9962788595863201,pca,Glorot,,logistic,0.007697582244873047,COMPLETE,0.007697582244873047
8,0.06004999950528145,2025-08-24 11:54:31.835881,2025-08-24 12:12:27.745806,0 days 00:17:55.909925,20,1.3368559695948625e-06,normal,5,zero,,1.7286821158315763e-05,6875,560,,colnorm,Glorot,,logistic,0.01294116973876953,COMPLETE,0.01294116973876953
9,0.04323333278298378,2025-08-24 12:12:27.746239,2025-08-24 12:31:07.012217,0 days 00:18:39.265978,20,3.2487879589717105e-05,uniform,8,nz,1.7289062457084353e-08,0.008683638175257328,196,64,,colnorm,Glorot,,logistic,0.01329500675201416,COMPLETE,0.01329500675201416
10,0.07619999945163727,2025-08-24 12:31:07.012644,2025-08-24 12:48:57.393957,0 days 00:17:50.381313,20,3.7695952432846887e-06,uniform,5,zero,,0.005988265244732958,304,96,,colnorm,Glorot,,tanh,0.011312341690063477,COMPLETE,0.011312341690063477
11,0.06443333253264427,2025-08-24 12:48:57.394388,2025-08-24 13:06:10.649781,0 days 00:17:13.255393,20,,uniform,7,zero,,2.205572604793678e-06,1299,112,0.9177342805737674,pca,Glorot,,tanh,0.012775540351867676,COMPLETE,0.012775540351867676
12,0.13005000352859497,2025-08-24 13:06:10.650214,2025-08-24 13:09:55.166723,0 days 00:03:44.516509,100,,uniform,8,zero,,0.6463670471704025,645,384,0.6854374496447422,pca,old,0.6411968347530046,tanh,0.00040559768676757814,COMPLETE,0.00040559768676757814
13,0.06671666651964188,2025-08-24 13:09:55.167013,2025-08-24 13:13:55.653185,0 days 00:04:00.486172,100,2.4464011566467275e-05,normal,7,nz,6.580761756952406e-06,3.529805211191061e-06,1037,544,,colnorm,old,1.9071709329056934,logistic,0.012941694259643555,COMPLETE,0.012941694259643555
