number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.33371666073799133,2025-08-24 10:57:10.620771,2025-08-24 11:18:32.785507,0 days 00:21:22.164736,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.013165545463562012,COMPLETE,0.013165545463562012
1,0.27556666135787966,2025-08-24 11:18:32.787663,2025-08-24 11:22:58.758208,0 days 00:04:25.970545,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013457250595092774,COMPLETE,0.013457250595092774
2,0.10013333261013031,2025-08-24 11:22:58.758683,2025-08-24 11:27:05.371408,0 days 00:04:06.612725,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,0.01195671558380127,COMPLETE,0.01195671558380127
3,0.3162833273410797,2025-08-24 11:27:05.371753,2025-08-24 11:47:26.662267,0 days 00:20:21.290514,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.012819814682006835,COMPLETE,0.012819814682006835
4,0.48681666851043703,2025-08-24 11:47:26.662720,2025-08-24 11:51:36.058392,0 days 00:04:09.395672,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.005399918556213379,COMPLETE,0.005399918556213379
5,0.40703333020210264,2025-08-24 11:51:36.058737,2025-08-24 12:12:51.363780,0 days 00:21:15.305043,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.0023144960403442385,COMPLETE,0.0023144960403442385
6,0.315583336353302,2025-08-24 12:12:51.364241,2025-08-24 12:17:07.094086,0 days 00:04:15.729845,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.013050532341003418,COMPLETE,0.013050532341003418
7,0.44563332200050354,2025-08-24 12:17:07.095810,2025-08-24 12:21:17.404513,0 days 00:04:10.308703,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.003143620491027832,COMPLETE,0.003143620491027832
8,0.4518666625022888,2025-08-24 12:21:17.405206,2025-08-24 12:25:44.806223,0 days 00:04:27.401017,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.010024094581604004,COMPLETE,0.010024094581604004
9,0.25236666202545166,2025-08-24 12:25:44.806599,2025-08-24 12:30:04.780081,0 days 00:04:19.973482,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.013123798370361327,COMPLETE,0.013123798370361327
