number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.5435344179471334,2025-08-19 16:21:29.163760,2025-08-19 16:25:10.503363,0 days 00:03:41.339603,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,COMPLETE
1,0.5065000653266907,2025-08-19 16:25:10.503970,2025-08-19 16:25:53.308378,0 days 00:00:42.804408,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,COMPLETE
2,0.7969139019648234,2025-08-19 16:25:53.308588,2025-08-19 16:26:33.196291,0 days 00:00:39.887703,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,COMPLETE
3,0.5279308954874674,2025-08-19 16:26:33.196801,2025-08-19 16:29:47.254597,0 days 00:03:14.057796,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,COMPLETE
4,0.5872583587964376,2025-08-19 16:29:47.259283,2025-08-19 16:30:27.785590,0 days 00:00:40.526307,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,COMPLETE
5,0.8249826232592264,2025-08-19 16:30:27.785832,2025-08-19 16:33:52.775949,0 days 00:03:24.990117,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,COMPLETE
6,0.5140172839164734,2025-08-19 16:33:52.779603,2025-08-19 16:34:34.955878,0 days 00:00:42.176275,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,COMPLETE
7,0.8045172691345215,2025-08-19 16:34:34.956191,2025-08-19 16:35:16.257458,0 days 00:00:41.301267,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,COMPLETE
8,0.7507758140563965,2025-08-19 16:35:16.257859,2025-08-19 16:35:59.100829,0 days 00:00:42.842970,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,COMPLETE
9,0.5089310805002848,2025-08-19 16:35:59.101318,2025-08-19 16:36:39.023588,0 days 00:00:39.922270,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,COMPLETE
10,0.8456380764643351,2025-08-19 16:36:39.023890,2025-08-19 16:40:05.209410,0 days 00:03:26.185520,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,COMPLETE
11,0.5149654746055603,2025-08-19 16:40:05.212664,2025-08-19 16:40:44.344146,0 days 00:00:39.131482,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,COMPLETE
12,0.7748618523279825,2025-08-19 16:40:44.344463,2025-08-19 16:43:56.578826,0 days 00:03:12.234363,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,COMPLETE
13,0.7363448341687521,2025-08-19 16:43:56.579336,2025-08-19 16:44:36.795289,0 days 00:00:40.215953,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,COMPLETE
14,0.8032242655754089,2025-08-19 16:44:36.795766,2025-08-19 16:47:50.065446,0 days 00:03:13.269680,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,COMPLETE
15,0.6919482747713724,2025-08-19 16:47:50.065979,2025-08-19 16:51:12.666785,0 days 00:03:22.600806,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,COMPLETE
16,0.5972587068875631,2025-08-19 16:51:12.670035,2025-08-19 16:54:32.087027,0 days 00:03:19.416992,20,,uniform,7,nz,0.00942013057585862,0.7951350324458333,1666,400,0.9994765855364893,pca,Glorot,,tanh,COMPLETE
