number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.5502241055170695,2025-08-19 16:21:29.238964,2025-08-19 16:22:26.539636,0 days 00:00:57.300672,100,0.0005015058627345243,normal,5,nz,1.9938526575766294e-07,0.0013988145471403844,5531,304,,colnorm,old,1.6472283931159761,logistic,COMPLETE
1,0.7793102065722147,2025-08-19 16:22:26.540203,2025-08-19 16:25:54.244089,0 days 00:03:27.703886,20,,normal,8,nz,6.877379343359302e-05,0.03117393614738109,8207,816,,raw,old,0.4861052828154749,tanh,COMPLETE
2,0.5578964749972025,2025-08-19 16:25:54.244598,2025-08-19 16:26:36.257753,0 days 00:00:42.013155,100,,uniform,7,nz,2.8837666056323094e-05,0.05584004428936968,177,896,,raw,Glorot,,logistic,COMPLETE
3,0.56541375319163,2025-08-19 16:26:36.258142,2025-08-19 16:30:03.748935,0 days 00:03:27.490793,20,1.931279575416009e-05,normal,7,nz,2.3283305951025803e-06,0.008815247512245055,352,592,,colnorm,old,0.41207716520709325,tanh,COMPLETE
4,0.5188620289166769,2025-08-19 16:30:03.749444,2025-08-19 16:33:14.542607,0 days 00:03:10.793163,20,,normal,8,zero,,0.0008738429616059043,296,16,,raw,Glorot,,tanh,COMPLETE
5,0.5259655316670736,2025-08-19 16:33:14.543093,2025-08-19 16:33:55.000502,0 days 00:00:40.457409,100,,uniform,7,nz,2.96110731335575e-05,2.7513191399501455e-06,1091,736,,raw,old,0.3986592672283056,tanh,COMPLETE
6,0.6899481813112894,2025-08-19 16:33:55.000862,2025-08-19 16:34:35.419817,0 days 00:00:40.418955,100,,uniform,7,nz,1.3508086655014222e-07,0.0035097551565349723,7129,704,,raw,old,1.889718202304746,tanh,COMPLETE
7,0.5237758557001749,2025-08-19 16:34:35.420073,2025-08-19 16:37:37.261250,0 days 00:03:01.841177,20,0.00033275493075422173,uniform,5,zero,,0.006020585537797632,304,48,,colnorm,Glorot,,logistic,COMPLETE
8,0.5537757873535156,2025-08-19 16:37:37.261629,2025-08-19 16:40:52.666803,0 days 00:03:15.405174,20,1.1844936008312047e-07,uniform,6,nz,0.00026595611945480095,0.0014314257148109512,189,512,,colnorm,Glorot,,tanh,COMPLETE
9,0.5102069775263468,2025-08-19 16:40:52.667203,2025-08-19 16:44:05.934601,0 days 00:03:13.267398,20,,normal,8,nz,6.668824711695306e-08,0.0001556791765662257,703,656,,raw,old,1.08261114817213,logistic,COMPLETE
10,0.5331377188364664,2025-08-19 16:44:05.935001,2025-08-19 16:47:08.753411,0 days 00:03:02.818410,20,,normal,8,zero,,0.7029878256216784,2632,864,0.6324965326471377,pca,old,0.8347158049216962,tanh,COMPLETE
11,0.7186892429987589,2025-08-19 16:47:08.755149,2025-08-19 16:47:48.449853,0 days 00:00:39.694704,100,,uniform,6,nz,0.005974030173616986,0.13290699530474032,9874,976,,raw,old,1.9739783666322608,tanh,COMPLETE
12,0.5620858271916708,2025-08-19 16:47:48.450124,2025-08-19 16:48:29.071174,0 days 00:00:40.621050,100,,uniform,6,nz,0.0061381967919813644,0.5753345671960548,3240,1008,0.9133781840630818,pca,old,1.3959309741284658,tanh,COMPLETE
13,0.7358616590499878,2025-08-19 16:48:29.071488,2025-08-19 16:49:08.086093,0 days 00:00:39.014605,100,,normal,6,nz,0.006922334525359859,0.0701074372272309,9953,1008,,raw,old,0.8422526684611005,tanh,COMPLETE
14,0.8117757042249044,2025-08-19 16:49:08.086459,2025-08-19 16:49:47.175169,0 days 00:00:39.088710,100,,normal,6,nz,0.00036365552235649633,0.0483799408158832,2785,816,,raw,old,0.8112567196027518,tanh,COMPLETE
15,0.525534431139628,2025-08-19 16:49:47.175447,2025-08-19 16:52:51.322129,0 days 00:03:04.146682,20,,normal,8,zero,,4.24952812334243e-05,2111,448,,raw,old,0.20969156343394824,tanh,COMPLETE
16,0.8040171066919962,2025-08-19 16:52:51.326716,2025-08-19 16:53:32.379128,0 days 00:00:41.052412,100,,normal,8,nz,0.000552240843233654,0.017726919010000335,4555,784,0.9776469311905671,pca,old,0.6871700099052621,tanh,COMPLETE
17,0.7939310471216837,2025-08-19 16:53:32.379511,2025-08-19 16:54:13.278739,0 days 00:00:40.899228,100,,normal,6,nz,0.00044799353901495484,0.020108761926641096,4074,304,0.9969974266842345,pca,old,0.8500354129390305,tanh,COMPLETE
18,0.7121728459993998,2025-08-19 16:54:13.278932,2025-08-19 16:54:51.177344,0 days 00:00:37.898412,100,,normal,5,zero,,0.22040673756826393,1530,784,0.7648975995251047,pca,Glorot,,logistic,COMPLETE
19,0.554655134677887,2025-08-19 16:54:51.177680,2025-08-19 16:55:32.928944,0 days 00:00:41.751264,100,,normal,8,nz,0.0006708267076662029,0.00026626992907165644,691,608,0.8148084663979913,pca,old,1.1406684542999241,tanh,COMPLETE
20,0.49879300594329834,2025-08-19 16:55:32.929327,2025-08-19 16:56:13.882337,0 days 00:00:40.953010,100,,normal,6,nz,1.6532821860744293e-06,4.883813720291941e-06,1842,400,0.6096847749896523,pca,old,0.6647729868112232,tanh,COMPLETE
21,0.7779654860496521,2025-08-19 16:56:13.882622,2025-08-19 16:56:54.876611,0 days 00:00:40.993989,100,,normal,6,nz,0.0007522660597156329,0.017497776122039413,3956,224,0.9980409960984288,pca,old,0.9896211291158944,tanh,COMPLETE
22,0.7929138541221619,2025-08-19 16:56:54.876922,2025-08-19 16:57:35.977352,0 days 00:00:41.100430,100,,normal,6,nz,0.00022354670426516743,0.019303649217085144,4409,176,0.9876847626357249,pca,old,0.7431089031162234,tanh,COMPLETE
23,0.7826723655064901,2025-08-19 16:57:35.977734,2025-08-19 16:58:16.943216,0 days 00:00:40.965482,100,,normal,6,nz,0.0012314484874454811,0.15077601677370722,5737,368,0.9099371860513995,pca,old,0.61452671657327,tanh,COMPLETE
24,0.6528620521227518,2025-08-19 16:58:16.943598,2025-08-19 16:58:58.084662,0 days 00:00:41.141064,100,,normal,6,nz,5.918242334357447e-06,0.005080987941896603,2927,528,0.8570065056376944,pca,old,1.3228687965280068,tanh,COMPLETE
25,0.6229311227798462,2025-08-19 16:58:58.084935,2025-08-19 16:59:39.410242,0 days 00:00:41.325307,100,,normal,6,nz,0.00013622454343676355,0.022830128562691336,1144,928,0.6926195148454688,pca,old,0.910073037442257,tanh,COMPLETE
26,0.5642927487691244,2025-08-19 16:59:39.410551,2025-08-19 17:00:20.386952,0 days 00:00:40.976401,100,,normal,8,nz,0.0015563835039127292,0.3002235046425762,4328,144,0.505662124250548,pca,Glorot,,tanh,COMPLETE
27,0.7273446122805277,2025-08-19 17:00:20.387350,2025-08-19 17:00:58.804181,0 days 00:00:38.416831,100,,normal,5,zero,,0.059827625272763765,2114,288,0.9308693753839905,pca,old,0.5824431449741985,logistic,COMPLETE
28,0.6682241956392924,2025-08-19 17:00:58.804378,2025-08-19 17:01:39.630674,0 days 00:00:40.826296,100,,normal,6,nz,3.6387265606176914e-05,0.002740998056086765,5796,816,0.8623869579629837,pca,old,1.2134242294384658,tanh,COMPLETE
29,0.53003458182017,2025-08-19 17:01:39.631013,2025-08-19 17:02:20.320131,0 days 00:00:40.689118,100,1.1198116178420074e-09,normal,5,nz,1.6547332437477806e-08,0.0005435188089123088,3690,304,,colnorm,old,1.0061272697386432,logistic,COMPLETE
30,0.6489826639493307,2025-08-19 17:02:20.320509,2025-08-19 17:03:01.082229,0 days 00:00:40.761720,100,1.0044707455457436e-07,normal,8,nz,0.00041366770050931136,0.010450242502537198,1638,720,,colnorm,old,0.7503785618519782,tanh,COMPLETE
31,0.8131206830342611,2025-08-19 17:03:01.082425,2025-08-19 17:03:41.891794,0 days 00:00:40.809369,100,,normal,6,nz,0.00016525457528407625,0.027993960929447118,5214,176,0.9852752492087211,pca,old,0.7264610339352253,tanh,COMPLETE
32,0.756982704003652,2025-08-19 17:03:41.892135,2025-08-19 17:04:22.556004,0 days 00:00:40.663869,100,,normal,6,nz,0.002539229534078354,0.04088329019635079,5656,96,0.9987531007823627,pca,old,0.5397943321373065,tanh,COMPLETE
33,0.8259827097256979,2025-08-19 17:04:22.556376,2025-08-19 17:05:02.947485,0 days 00:00:40.391109,100,,normal,6,nz,9.971322690944897e-05,0.08583034229051673,2563,256,0.9516373214308009,pca,old,0.7296182838739886,tanh,COMPLETE
34,0.8258964618047079,2025-08-19 17:05:02.947674,2025-08-19 17:05:43.252242,0 days 00:00:40.304568,100,,normal,6,nz,7.335533349807167e-05,0.08435595404451647,2498,224,0.932867308263318,pca,old,0.7014199311388167,tanh,COMPLETE
35,0.7351896564165751,2025-08-19 17:05:43.252591,2025-08-19 17:06:22.322449,0 days 00:00:39.069858,100,,normal,6,nz,9.171499761050509e-05,0.09900118056864164,2433,112,,raw,old,0.24856242086116692,tanh,COMPLETE
36,0.7986897627512614,2025-08-19 17:06:22.322703,2025-08-19 17:07:03.200300,0 days 00:00:40.877597,100,,normal,6,nz,1.2751760277684191e-05,0.3710951324547078,815,240,0.9263710877835962,pca,Glorot,,tanh,COMPLETE
