number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.7616285681724548,2025-08-24 09:16:50.434679,2025-08-24 09:35:55.688646,0 days 00:19:05.253967,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.013001179695129395,COMPLETE,0.013001179695129395
1,0.6714285612106323,2025-08-24 09:35:55.690618,2025-08-24 09:39:47.749919,0 days 00:03:52.059301,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013053488731384278,COMPLETE,0.013053488731384278
2,0.10000000149011612,2025-08-24 09:39:47.751866,2025-08-24 09:43:18.132675,0 days 00:03:30.380809,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,,COMPLETE,
3,0.7233142733573914,2025-08-24 09:43:18.133027,2025-08-24 10:01:19.931596,0 days 00:18:01.798569,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.012486982345581054,COMPLETE,0.012486982345581054
4,0.8758999824523925,2025-08-24 10:01:19.931987,2025-08-24 10:04:56.780569,0 days 00:03:36.848582,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.008014655113220215,COMPLETE,0.008014655113220215
5,0.891428554058075,2025-08-24 10:04:56.780797,2025-08-24 10:23:41.138080,0 days 00:18:44.357283,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.0039632320404052734,COMPLETE,0.0039632320404052734
6,0.741085696220398,2025-08-24 10:23:41.138471,2025-08-24 10:27:31.234382,0 days 00:03:50.095911,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.012943434715270995,COMPLETE,0.012943434715270995
7,0.8929999947547913,2025-08-24 10:27:31.235825,2025-08-24 10:31:08.935459,0 days 00:03:37.699634,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.006583666801452637,COMPLETE,0.006583666801452637
8,0.8793428540229797,2025-08-24 10:31:08.937364,2025-08-24 10:34:58.888169,0 days 00:03:49.950805,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.011405181884765626,COMPLETE,0.011405181884765626
9,0.6288285493850708,2025-08-24 10:34:58.889594,2025-08-24 10:38:38.890881,0 days 00:03:40.001287,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.013135910034179688,COMPLETE,0.013135910034179688
10,0.9006428480148315,2025-08-24 10:38:38.891184,2025-08-24 10:57:39.476281,0 days 00:19:00.585097,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,0.0038996219635009767,COMPLETE,0.0038996219635009767
11,0.8652142763137818,2025-08-24 10:57:39.477909,2025-08-24 11:01:05.536024,0 days 00:03:26.058115,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,0.009560441970825196,COMPLETE,0.009560441970825196
12,0.10000000149011612,2025-08-24 11:01:05.537374,2025-08-24 11:18:59.901887,0 days 00:17:54.364513,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,,COMPLETE,
13,0.8905857086181641,2025-08-24 11:18:59.903297,2025-08-24 11:22:38.481802,0 days 00:03:38.578505,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,0.002449512481689453,COMPLETE,0.002449512481689453
