number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.8524714350700379,2025-08-24 09:16:50.434466,2025-08-24 09:20:31.439744,0 days 00:03:41.005278,100,,normal,6,nz,0.005020847175011941,0.28678812614035476,266,80,,raw,old,0.7186620787543885,logistic,0.1469496011734009,COMPLETE,0.1469496011734009
1,0.7775999784469605,2025-08-24 09:20:31.441368,2025-08-24 09:38:34.755232,0 days 00:18:03.313864,20,6.404970863644254e-07,uniform,7,zero,,0.002727419843207111,355,224,,colnorm,old,0.7651904189827918,tanh,0.012314939498901367,COMPLETE,0.012314939498901367
2,0.10000000149011612,2025-08-24 09:38:34.757060,2025-08-24 09:42:14.008258,0 days 00:03:39.251198,100,3.6201072407748306e-07,normal,8,zero,,0.5405177223050418,2318,656,,colnorm,old,1.4530888343305441,tanh,,COMPLETE,
3,0.7397142767906189,2025-08-24 09:42:14.010073,2025-08-24 09:45:49.975738,0 days 00:03:35.965665,100,,normal,5,zero,,0.0003086104554138934,785,480,,raw,old,0.4979025208384174,tanh,0.013019824028015136,COMPLETE,0.013019824028015136
4,0.864042854309082,2025-08-24 09:45:49.976059,2025-08-24 09:49:28.273247,0 days 00:03:38.297188,100,,uniform,6,zero,,0.0753316189564453,715,288,,raw,old,0.842727131035182,logistic,0.003284311294555664,COMPLETE,0.003284311294555664
5,0.8492142796516419,2025-08-24 09:49:28.273551,2025-08-24 09:53:08.806123,0 days 00:03:40.532572,100,,normal,7,zero,,0.13862889345041887,116,144,0.9709046340957243,pca,old,1.6080142723828008,logistic,0.00526115894317627,COMPLETE,0.00526115894317627
6,0.5867571473121643,2025-08-24 09:53:08.806389,2025-08-24 10:11:02.182255,0 days 00:17:53.375866,20,,uniform,7,zero,,1.8560837352965355e-06,103,688,0.5841376526836222,pca,Glorot,,tanh,0.013021302223205567,COMPLETE,0.013021302223205567
7,0.8516999840736389,2025-08-24 10:11:02.182635,2025-08-24 10:14:41.037799,0 days 00:03:38.855164,100,,uniform,6,zero,,0.0045466213818785945,5559,256,0.9962788595863201,pca,Glorot,,logistic,0.007912921905517577,COMPLETE,0.007912921905517577
8,0.6274714350700379,2025-08-24 10:14:41.039367,2025-08-24 10:32:42.024612,0 days 00:18:00.985245,20,1.3368559695948625e-06,normal,5,zero,,1.7286821158315763e-05,6875,560,,colnorm,Glorot,,logistic,0.013200783729553222,COMPLETE,0.013200783729553222
9,0.6932142734527588,2025-08-24 10:32:42.026535,2025-08-24 10:50:39.957062,0 days 00:17:57.930527,20,3.2487879589717105e-05,uniform,8,nz,1.7289062457084353e-08,0.008683638175257328,196,64,,colnorm,Glorot,,logistic,0.008555388450622559,COMPLETE,0.008555388450622559
10,0.8075142860412597,2025-08-24 10:50:39.958945,2025-08-24 11:07:45.705464,0 days 00:17:05.746519,20,3.7695952432846887e-06,uniform,5,zero,,0.005988265244732958,304,96,,colnorm,Glorot,,tanh,0.010702133178710938,COMPLETE,0.010702133178710938
11,0.5976999998092651,2025-08-24 11:07:45.707077,2025-08-24 11:25:00.850370,0 days 00:17:15.143293,20,,uniform,7,zero,,2.205572604793678e-06,1299,112,0.9177342805737674,pca,Glorot,,tanh,0.012885141372680663,COMPLETE,0.012885141372680663
12,0.25242857336997987,2025-08-24 11:25:00.850727,2025-08-24 11:28:35.970817,0 days 00:03:35.120090,100,,uniform,8,zero,,0.6463670471704025,645,384,0.6854374496447422,pca,old,0.6411968347530046,tanh,,COMPLETE,
13,0.6022285461425781,2025-08-24 11:28:35.971086,2025-08-24 11:32:24.139967,0 days 00:03:48.168881,100,2.4464011566467275e-05,normal,7,nz,6.580761756952406e-06,3.529805211191061e-06,1037,544,,colnorm,old,1.9071709329056934,logistic,0.013089680671691894,COMPLETE,0.013089680671691894
14,0.7162142753601074,2025-08-24 11:32:24.140231,2025-08-24 11:50:24.432664,0 days 00:18:00.292433,20,4.53231249709737e-06,uniform,6,zero,,0.0008232511308055879,1021,416,,colnorm,Glorot,,logistic,0.012144732475280761,COMPLETE,0.012144732475280761
15,0.6170142769813538,2025-08-24 11:50:24.433032,2025-08-24 12:09:17.684492,0 days 00:18:53.251460,20,0.00022796177218519458,normal,5,nz,4.566335943744083e-08,9.86923632335542e-06,483,544,,colnorm,Glorot,,logistic,0.013601326942443847,COMPLETE,0.013601326942443847
16,0.8932999849319458,2025-08-24 12:09:17.684871,2025-08-24 12:12:53.508531,0 days 00:03:35.823660,100,1.189274263546075e-06,uniform,6,zero,,0.025365537259255194,4125,816,,colnorm,old,0.48948637724712935,tanh,0.009257626533508301,COMPLETE,0.009257626533508301
17,0.6374285697937012,2025-08-24 12:12:53.508854,2025-08-24 12:31:40.228588,0 days 00:18:46.719734,20,,uniform,6,nz,1.4593069348259313e-06,4.8725813807672996e-05,872,496,,raw,Glorot,,logistic,0.0133314847946167,COMPLETE,0.0133314847946167
18,0.41514285653829575,2025-08-24 12:31:40.228956,2025-08-24 12:50:33.574672,0 days 00:18:53.345716,20,0.0003658052095178819,uniform,5,nz,2.61432346137729e-05,0.7712091002222098,167,560,,colnorm,old,0.8772453453841234,logistic,,COMPLETE,
19,0.5463285624980927,2025-08-24 12:50:33.575047,2025-08-24 12:54:12.508290,0 days 00:03:38.933243,100,,normal,7,nz,4.271037808365358e-05,1.9595449161099905e-06,6790,112,0.8283523401966375,pca,Glorot,,logistic,0.0128251314163208,COMPLETE,0.0128251314163208
20,0.6688285708427429,2025-08-24 12:54:12.508540,2025-08-24 13:12:01.407105,0 days 00:17:48.898565,20,,uniform,7,zero,,0.00029956802319562316,1957,592,0.6083709951450864,pca,Glorot,,logistic,0.012688541412353515,COMPLETE,0.012688541412353515
21,0.6072285532951355,2025-08-24 13:12:01.407467,2025-08-24 13:29:56.765788,0 days 00:17:55.358321,20,8.497871339273834e-07,normal,5,zero,,2.786929921862278e-06,293,1024,,colnorm,old,0.9114986472254265,logistic,0.012882876396179199,COMPLETE,0.012882876396179199
22,0.8396999955177307,2025-08-24 13:29:56.768493,2025-08-24 13:48:35.738240,0 days 00:18:38.969747,20,,normal,5,nz,7.842857048400411e-08,0.02247144159652349,1071,272,,raw,Glorot,,tanh,0.0050853252410888675,COMPLETE,0.0050853252410888675
23,0.6381857037544251,2025-08-24 13:48:35.738612,2025-08-24 14:06:28.294448,0 days 00:17:52.555836,20,,uniform,8,zero,,0.00013828279283371964,8171,896,0.5079552056222199,pca,Glorot,,logistic,0.012707066535949708,COMPLETE,0.012707066535949708
24,0.6514285683631897,2025-08-24 14:06:28.294816,2025-08-24 14:10:03.192046,0 days 00:03:34.897230,100,1.6627948650580708e-06,normal,7,zero,,0.0013572916218580562,286,640,,colnorm,Glorot,,logistic,0.013070034980773925,COMPLETE,0.013070034980773925
25,0.8775571346282959,2025-08-24 14:10:03.192344,2025-08-24 14:13:41.047478,0 days 00:03:37.855134,100,,uniform,8,nz,3.858423808425208e-06,0.29190611010470696,744,96,0.9535186884098954,pca,Glorot,,tanh,0.0003881692886352539,COMPLETE,0.0003881692886352539
26,0.619342851638794,2025-08-24 14:13:41.047745,2025-08-24 14:17:14.324604,0 days 00:03:33.276859,100,,normal,5,zero,,0.00027076433920494625,203,512,,raw,Glorot,,logistic,0.012988996505737305,COMPLETE,0.012988996505737305
27,0.6067428469657898,2025-08-24 14:17:14.324842,2025-08-24 14:20:49.802415,0 days 00:03:35.477573,100,,normal,6,zero,,8.177437067311106e-06,126,880,0.8495971274555434,pca,Glorot,,logistic,0.012863731384277344,COMPLETE,0.012863731384277344
28,0.6346285700798034,2025-08-24 14:20:49.803355,2025-08-24 14:24:23.997191,0 days 00:03:34.193836,100,5.662291912711977e-08,normal,7,zero,,1.8175550179742918e-06,2310,800,,colnorm,old,1.6535901776344464,tanh,0.013228678703308105,COMPLETE,0.013228678703308105
29,0.6006714224815368,2025-08-24 14:24:23.997489,2025-08-24 14:42:22.094991,0 days 00:17:58.097502,20,7.544527667506924e-06,uniform,7,zero,,2.1255211024653712e-06,2609,720,,colnorm,Glorot,,logistic,0.013089776039123535,COMPLETE,0.013089776039123535
30,0.6051714301109314,2025-08-24 14:42:22.095360,2025-08-24 15:00:00.953729,0 days 00:17:38.858369,20,,uniform,7,zero,,3.0420481909171226e-05,5892,1024,0.5003456763160243,pca,Glorot,,tanh,0.01293487548828125,COMPLETE,0.01293487548828125
31,0.6149571299552917,2025-08-24 15:00:00.955168,2025-08-24 15:17:49.875909,0 days 00:17:48.920741,20,,normal,8,zero,,0.00021951712705620135,200,432,,raw,Glorot,,logistic,0.012944674491882325,COMPLETE,0.012944674491882325
32,0.6315999865531922,2025-08-24 15:17:49.876270,2025-08-24 15:21:25.017482,0 days 00:03:35.141212,100,5.143782444317332e-05,uniform,7,zero,,8.419872737053124e-06,1264,768,,colnorm,old,1.7604849969291174,tanh,0.013253617286682128,COMPLETE,0.013253617286682128
33,0.7635142803192139,2025-08-24 15:21:25.017746,2025-08-24 15:24:59.514737,0 days 00:03:34.496991,100,6.315839996288766e-08,uniform,8,zero,,0.008885188322966437,262,864,,colnorm,old,1.158454344679856,logistic,0.01234285831451416,COMPLETE,0.01234285831451416
34,0.7655142784118653,2025-08-24 15:24:59.515030,2025-08-24 15:28:35.163648,0 days 00:03:35.648618,100,,normal,6,zero,,0.0013178595061205047,329,736,0.7980091449630146,pca,Glorot,,tanh,0.01320793628692627,COMPLETE,0.01320793628692627
35,0.8601714134216308,2025-08-24 15:28:35.163921,2025-08-24 15:47:23.376985,0 days 00:18:48.213064,20,,normal,5,nz,0.0020457025186879554,0.0008907661777157554,5633,592,,raw,Glorot,,tanh,0.012307119369506837,COMPLETE,0.012307119369506837
36,0.8089999914169311,2025-08-24 15:47:23.377353,2025-08-24 16:05:16.848267,0 days 00:17:53.470914,20,,uniform,6,zero,,0.000289020414220305,2510,640,,raw,old,1.7872580074114737,tanh,0.012898659706115723,COMPLETE,0.012898659706115723
37,0.8380285620689392,2025-08-24 16:05:16.848625,2025-08-24 16:22:55.516880,0 days 00:17:38.668255,20,,normal,7,zero,,0.038617909479397895,2406,240,,raw,Glorot,,logistic,0.0009332418441772461,COMPLETE,0.0009332418441772461
38,0.7834999799728394,2025-08-24 16:22:55.517234,2025-08-24 16:41:46.728720,0 days 00:18:51.211486,20,5.66392477238153e-07,normal,8,nz,2.2300306597582873e-07,0.003956910799827261,385,880,,colnorm,old,1.8086888792032279,logistic,0.012681365013122559,COMPLETE,0.012681365013122559
