number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.3808064699172974,2025-08-23 05:23:41.972287,2025-08-23 05:27:57.678336,0 days 00:04:15.706049,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.01305243968963623,COMPLETE,0.01305243968963623
1,0.48116130828857423,2025-08-23 05:27:57.680050,2025-08-23 05:29:08.166708,0 days 00:01:10.486658,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013126635551452636,COMPLETE,0.013126635551452636
2,0.09798387438058853,2025-08-23 05:29:08.168733,2025-08-23 05:30:13.260530,0 days 00:01:05.091797,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,,COMPLETE,
3,0.4659355044364929,2025-08-23 05:30:13.260842,2025-08-23 05:35:03.898073,0 days 00:04:50.637231,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.01305086612701416,COMPLETE,0.01305086612701416
4,0.7489677548408509,2025-08-23 05:35:03.900013,2025-08-23 05:35:52.413038,0 days 00:00:48.513025,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.008997869491577149,COMPLETE,0.008997869491577149
5,0.7794193863868714,2025-08-23 05:35:52.414639,2025-08-23 05:40:01.314778,0 days 00:04:08.900139,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.003452968597412109,COMPLETE,0.003452968597412109
6,0.112693552672863,2025-08-23 05:40:01.316484,2025-08-23 05:40:51.657517,0 days 00:00:50.341033,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.013021492958068847,COMPLETE,0.013021492958068847
7,0.7749677777290345,2025-08-23 05:40:51.660281,2025-08-23 05:41:40.234837,0 days 00:00:48.574556,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.005633115768432617,COMPLETE,0.005633115768432617
8,0.7567903757095337,2025-08-23 05:41:40.235108,2025-08-23 05:42:31.511630,0 days 00:00:51.276522,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.011528372764587402,COMPLETE,0.011528372764587402
9,0.45953227281570436,2025-08-23 05:42:31.511858,2025-08-23 05:43:20.748453,0 days 00:00:49.236595,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.013034605979919433,COMPLETE,0.013034605979919433
10,0.8291290760040283,2025-08-23 05:43:20.748751,2025-08-23 05:47:33.718130,0 days 00:04:12.969379,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,0.002982330322265625,COMPLETE,0.002982330322265625
11,0.3012741982936859,2025-08-23 05:47:33.718450,2025-08-23 05:48:19.048040,0 days 00:00:45.329590,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,0.013523125648498535,COMPLETE,0.013523125648498535
12,0.8258548855781556,2025-08-23 05:48:19.048277,2025-08-23 05:52:14.221743,0 days 00:03:55.173466,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,0.0018297910690307617,COMPLETE,0.0018297910690307617
13,0.7768226146697998,2025-08-23 05:52:14.222078,2025-08-23 05:53:03.062872,0 days 00:00:48.840794,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,0.002803516387939453,COMPLETE,0.002803516387939453
14,0.7870967984199524,2025-08-23 05:53:03.063093,2025-08-23 05:56:58.333268,0 days 00:03:55.270175,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,-0.0001583099365234375,COMPLETE,-0.0001583099365234375
15,0.7480645418167114,2025-08-23 05:56:58.335258,2025-08-23 06:01:09.381265,0 days 00:04:11.046007,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,0.01083388328552246,COMPLETE,0.01083388328552246
16,0.11456452012062072,2025-08-23 06:01:09.381540,2025-08-23 06:01:55.550739,0 days 00:00:46.169199,100,4.664316241584911e-07,uniform,6,zero,,0.00030045263597290177,531,32,,colnorm,Glorot,,logistic,0.012209415435791016,COMPLETE,0.012209415435791016
17,0.29069356322288514,2025-08-23 06:01:55.550980,2025-08-23 06:02:45.174835,0 days 00:00:49.623855,100,,uniform,5,nz,0.0020148539176503438,0.004266449491975976,3210,464,,raw,old,0.6801332526612567,logistic,0.012926077842712403,COMPLETE,0.012926077842712403
18,0.7446935534477234,2025-08-23 06:02:45.175082,2025-08-23 06:06:56.289595,0 days 00:04:11.114513,20,6.917979271942646e-07,normal,6,nz,6.192186988258287e-07,0.0030403110046740844,7268,928,,colnorm,Glorot,,logistic,0.01109452247619629,COMPLETE,0.01109452247619629
19,0.758709728717804,2025-08-23 06:06:56.289911,2025-08-23 06:11:04.343001,0 days 00:04:08.053090,20,0.0002913468031487346,uniform,6,nz,1.265187772100772e-08,0.10035093057105589,548,256,,colnorm,old,0.2772973808283531,logistic,0.006947374343872071,COMPLETE,0.006947374343872071
20,0.7601613402366638,2025-08-23 06:11:04.343286,2025-08-23 06:15:02.289642,0 days 00:03:57.946356,20,,normal,8,zero,,0.010380337279685294,6874,688,,raw,old,1.49020452407454,tanh,0.00890660285949707,COMPLETE,0.00890660285949707
21,0.7268871188163757,2025-08-23 06:15:02.289913,2025-08-23 06:19:00.048810,0 days 00:03:57.758897,20,1.0895284441423112e-09,normal,5,zero,,0.008347127334096774,1301,176,,colnorm,Glorot,,logistic,0.0071486949920654295,COMPLETE,0.0071486949920654295
22,0.44269357323646547,2025-08-23 06:19:00.049095,2025-08-23 06:23:08.255676,0 days 00:04:08.206581,20,,normal,8,nz,0.00180794048733025,0.021721771897450753,5260,464,0.517117910674237,pca,old,1.36232924348388,tanh,0.001787257194519043,COMPLETE,0.001787257194519043
23,0.7427258133888245,2025-08-23 06:23:08.255955,2025-08-23 06:27:02.721218,0 days 00:03:54.465263,20,2.5121261485131696e-08,uniform,5,zero,,0.2944585225587344,637,224,,colnorm,Glorot,,tanh,0.00013687610626220704,COMPLETE,0.00013687610626220704
24,0.09798387438058853,2025-08-23 06:27:02.721483,2025-08-23 06:31:00.035472,0 days 00:03:57.313989,20,,uniform,8,zero,,0.2914474014398684,9715,432,,raw,old,1.6369911378155324,tanh,,COMPLETE,
25,0.7721774578094482,2025-08-23 06:31:00.035757,2025-08-23 06:34:55.902332,0 days 00:03:55.866575,20,,normal,5,zero,,0.22242176732040927,7420,368,0.7436911781262683,pca,old,1.1722914866764322,logistic,7.991790771484375e-05,COMPLETE,7.991790771484375e-05
26,0.7403064608573914,2025-08-23 06:34:55.902589,2025-08-23 06:38:43.598680,0 days 00:03:47.696091,20,,normal,8,zero,,0.00171624312383316,7735,80,0.9800239731695349,pca,old,1.2048899213319764,tanh,0.007813382148742675,COMPLETE,0.007813382148742675
27,0.8152581095695496,2025-08-23 06:38:43.598908,2025-08-23 06:42:38.932331,0 days 00:03:55.333423,20,,normal,6,zero,,0.16780264708481435,1414,304,0.7846322994562924,pca,Glorot,,logistic,0.00012564659118652344,COMPLETE,0.00012564659118652344
28,0.09798387438058853,2025-08-23 06:42:38.932648,2025-08-23 06:46:37.106715,0 days 00:03:58.174067,20,,normal,8,zero,,0.4556641264256633,1266,336,0.8062761526645443,pca,Glorot,,logistic,,COMPLETE,
29,0.09798387438058853,2025-08-23 06:46:37.106987,2025-08-23 06:50:32.149607,0 days 00:03:55.042620,20,,normal,6,zero,,0.19351684942339686,685,784,0.8427004075494813,pca,Glorot,,logistic,,COMPLETE,
30,0.6708709836006165,2025-08-23 06:50:32.149829,2025-08-23 06:54:32.280346,0 days 00:04:00.130517,20,,normal,6,nz,0.007395778600378908,0.0302403230170818,2880,64,0.6588796042307223,pca,Glorot,,logistic,-7.092952728271484e-05,COMPLETE,-7.092952728271484e-05
