number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.5206290682156881,2025-08-19 16:21:29.420220,2025-08-19 16:25:29.363892,0 days 00:03:59.943672,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,COMPLETE
1,0.5314839283625284,2025-08-19 16:25:29.364500,2025-08-19 16:26:16.204729,0 days 00:00:46.840229,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,COMPLETE
2,0.32451743880907696,2025-08-19 16:26:16.205234,2025-08-19 16:26:58.217645,0 days 00:00:42.012411,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,COMPLETE
3,0.5781774719556173,2025-08-19 16:26:58.218119,2025-08-19 16:30:27.013106,0 days 00:03:28.794987,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,COMPLETE
4,0.7472419341405233,2025-08-19 16:30:27.013621,2025-08-19 16:31:10.850599,0 days 00:00:43.836978,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,COMPLETE
5,0.7805644472440084,2025-08-19 16:31:10.850891,2025-08-19 16:34:56.212918,0 days 00:03:45.362027,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,COMPLETE
6,0.12288704266150792,2025-08-19 16:34:56.216058,2025-08-19 16:35:40.668288,0 days 00:00:44.452230,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,COMPLETE
7,0.7740967472394308,2025-08-19 16:35:40.668495,2025-08-19 16:36:23.818541,0 days 00:00:43.150046,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,COMPLETE
8,0.7536773880322775,2025-08-19 16:36:23.818994,2025-08-19 16:37:10.437965,0 days 00:00:46.618971,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,COMPLETE
9,0.4856128692626953,2025-08-19 16:37:10.438469,2025-08-19 16:37:53.682294,0 days 00:00:43.243825,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,COMPLETE
10,0.8197096586227417,2025-08-19 16:37:53.682570,2025-08-19 16:41:30.713299,0 days 00:03:37.030729,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,COMPLETE
11,0.4200966954231262,2025-08-19 16:41:30.713751,2025-08-19 16:42:10.975239,0 days 00:00:40.261488,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,COMPLETE
12,0.8202742338180542,2025-08-19 16:42:10.975683,2025-08-19 16:45:31.562393,0 days 00:03:20.586710,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,COMPLETE
13,0.7627902825673422,2025-08-19 16:45:31.562842,2025-08-19 16:46:12.894396,0 days 00:00:41.331554,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,COMPLETE
14,0.7934354941050211,2025-08-19 16:46:12.894605,2025-08-19 16:49:31.929371,0 days 00:03:19.034766,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,COMPLETE
15,0.7489839593569437,2025-08-19 16:49:31.929821,2025-08-19 16:53:06.016177,0 days 00:03:34.086356,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,COMPLETE
16,0.7507418791453043,2025-08-19 16:53:06.016637,2025-08-19 16:56:25.695663,0 days 00:03:19.679026,20,,normal,8,zero,,0.010380337279685294,6874,688,,raw,old,1.49020452407454,tanh,COMPLETE
17,0.5143709778785706,2025-08-19 16:56:25.700683,2025-08-19 16:57:10.145485,0 days 00:00:44.444802,100,,normal,8,nz,0.00999455049927107,0.010962757744893572,7460,224,0.5522837916814318,pca,old,1.3741932186500083,tanh,COMPLETE
18,0.7277742028236389,2025-08-19 16:57:10.145919,2025-08-19 17:00:44.616188,0 days 00:03:34.470269,20,,normal,8,nz,0.0003648604215928669,0.04336008155036685,1354,496,0.7632487122659962,pca,old,1.6420830002868618,tanh,COMPLETE
19,0.7702580293019613,2025-08-19 17:00:44.625593,2025-08-19 17:04:03.657966,0 days 00:03:19.032373,20,,uniform,8,zero,,0.032474312568223945,3068,128,,raw,Glorot,,tanh,COMPLETE
20,0.7483548323313395,2025-08-19 17:04:03.658426,2025-08-19 17:07:39.633675,0 days 00:03:35.975249,20,,uniform,5,nz,0.009124609780416472,0.47846906792405397,9805,528,0.9987879027489845,pca,old,1.1714877882439405,tanh,COMPLETE
21,0.7418871323267618,2025-08-19 17:07:39.635746,2025-08-19 17:10:59.646322,0 days 00:03:20.010576,20,2.5006713132784543e-09,normal,5,zero,,0.014897659599837536,1241,272,,colnorm,Glorot,,logistic,COMPLETE
22,0.778128961722056,2025-08-19 17:10:59.646789,2025-08-19 17:14:16.510541,0 days 00:03:16.863752,20,,normal,8,zero,,0.05158969777956162,5375,144,0.8172978430170144,pca,old,1.1401740468656296,tanh,COMPLETE
23,0.7481935222943624,2025-08-19 17:14:16.511004,2025-08-19 17:17:35.807536,0 days 00:03:19.296532,20,,normal,7,zero,,0.03714985948427787,6236,432,,raw,old,1.721330141826396,logistic,COMPLETE
24,0.6400967637697855,2025-08-19 17:17:35.808014,2025-08-19 17:21:08.901921,0 days 00:03:33.093907,20,,normal,7,nz,3.570852624573574e-05,0.00010313931999693516,5122,496,0.6956626919747734,pca,old,1.1640224002571167,tanh,COMPLETE
25,0.736774226029714,2025-08-19 17:21:08.902739,2025-08-19 17:24:39.197843,0 days 00:03:30.295104,20,,normal,5,nz,0.0006037625055346881,0.0032339974583645323,8899,112,0.8555143716276568,pca,old,1.504913467289992,tanh,COMPLETE
26,0.7717419266700745,2025-08-19 17:24:39.198308,2025-08-19 17:28:13.150563,0 days 00:03:33.952255,20,2.2219380064324836e-07,uniform,5,nz,2.6500192673804893e-05,0.08928354292850318,1330,64,,colnorm,Glorot,,logistic,COMPLETE
