number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.6859838962554932,2025-08-23 05:23:41.971941,2025-08-23 05:24:34.229687,0 days 00:00:52.257746,100,,normal,6,nz,0.005020847175011941,0.28678812614035476,266,80,,raw,old,0.7186620787543885,logistic,0.0002968311309814453,COMPLETE,0.0002968311309814453
1,0.6190484046936036,2025-08-23 05:24:34.231409,2025-08-23 05:28:34.928968,0 days 00:04:00.697559,20,6.404970863644254e-07,uniform,7,zero,,0.002727419843207111,355,224,,colnorm,old,0.7651904189827918,tanh,0.012445473670959472,COMPLETE,0.012445473670959472
2,0.23769355416297913,2025-08-23 05:28:34.930640,2025-08-23 05:29:24.433508,0 days 00:00:49.502868,100,3.6201072407748306e-07,normal,8,zero,,0.5405177223050418,2318,656,,colnorm,old,1.4530888343305441,tanh,,COMPLETE,
3,0.1637258142232895,2025-08-23 05:29:24.435186,2025-08-23 05:30:12.345643,0 days 00:00:47.910457,100,,normal,5,zero,,0.0003086104554138934,785,480,,raw,old,0.4979025208384174,tanh,0.013047075271606446,COMPLETE,0.013047075271606446
4,0.7308387279510498,2025-08-23 05:30:12.345977,2025-08-23 05:31:01.517983,0 days 00:00:49.172006,100,,uniform,6,zero,,0.0753316189564453,715,288,,raw,old,0.842727131035182,logistic,0.004876160621643066,COMPLETE,0.004876160621643066
5,0.7352903366088868,2025-08-23 05:31:01.518259,2025-08-23 05:31:55.588176,0 days 00:00:54.069917,100,,normal,7,zero,,0.13862889345041887,116,144,0.9709046340957243,pca,old,1.6080142723828008,logistic,0.005141592025756836,COMPLETE,0.005141592025756836
6,0.38790324330329895,2025-08-23 05:31:55.588412,2025-08-23 05:36:18.850404,0 days 00:04:23.261992,20,,uniform,7,zero,,1.8560837352965355e-06,103,688,0.5841376526836222,pca,Glorot,,tanh,0.012966609001159668,COMPLETE,0.012966609001159668
7,0.7346129179000854,2025-08-23 05:36:18.852187,2025-08-23 05:37:19.570333,0 days 00:01:00.718146,100,,uniform,6,zero,,0.0045466213818785945,5559,256,0.9962788595863201,pca,Glorot,,logistic,0.00807173252105713,COMPLETE,0.00807173252105713
8,0.11312903612852096,2025-08-23 05:37:19.571949,2025-08-23 05:42:19.790565,0 days 00:05:00.218616,20,1.3368559695948625e-06,normal,5,zero,,1.7286821158315763e-05,6875,560,,colnorm,Glorot,,logistic,0.013193964958190918,COMPLETE,0.013193964958190918
9,0.35570969581604006,2025-08-23 05:42:19.792648,2025-08-23 05:47:56.426476,0 days 00:05:36.633828,20,3.2487879589717105e-05,uniform,8,nz,1.7289062457084353e-08,0.008683638175257328,196,64,,colnorm,Glorot,,logistic,0.012434792518615723,COMPLETE,0.012434792518615723
10,0.6644355058670044,2025-08-23 05:47:56.426769,2025-08-23 05:53:12.403811,0 days 00:05:15.977042,20,3.7695952432846887e-06,uniform,5,zero,,0.005988265244732958,304,96,,colnorm,Glorot,,tanh,0.010950517654418946,COMPLETE,0.010950517654418946
11,0.3563225924968719,2025-08-23 05:53:12.404149,2025-08-23 05:57:05.725083,0 days 00:03:53.320934,20,,uniform,7,zero,,2.205572604793678e-06,1299,112,0.9177342805737674,pca,Glorot,,tanh,0.012763047218322754,COMPLETE,0.012763047218322754
12,0.09798387438058853,2025-08-23 05:57:05.726854,2025-08-23 05:57:55.047743,0 days 00:00:49.320889,100,,uniform,8,zero,,0.6463670471704025,645,384,0.6854374496447422,pca,old,0.6411968347530046,tanh,,COMPLETE,
13,0.11285484284162521,2025-08-23 05:57:55.047968,2025-08-23 05:58:47.566280,0 days 00:00:52.518312,100,2.4464011566467275e-05,normal,7,nz,6.580761756952406e-06,3.529805211191061e-06,1037,544,,colnorm,old,1.9071709329056934,logistic,0.013089776039123535,COMPLETE,0.013089776039123535
14,0.4326935648918152,2025-08-23 05:58:47.566555,2025-08-23 06:02:50.087889,0 days 00:04:02.521334,20,4.53231249709737e-06,uniform,6,zero,,0.0008232511308055879,1021,416,,colnorm,Glorot,,logistic,0.012709736824035645,COMPLETE,0.012709736824035645
15,0.112693552672863,2025-08-23 06:02:50.088137,2025-08-23 06:07:05.504386,0 days 00:04:15.416249,20,0.00022796177218519458,normal,5,nz,4.566335943744083e-08,9.86923632335542e-06,483,544,,colnorm,Glorot,,logistic,0.013601350784301757,COMPLETE,0.013601350784301757
16,0.7915161490440369,2025-08-23 06:07:05.504706,2025-08-23 06:07:54.499811,0 days 00:00:48.995105,100,1.189274263546075e-06,uniform,6,zero,,0.025365537259255194,4125,816,,colnorm,old,0.48948637724712935,tanh,0.009997105598449707,COMPLETE,0.009997105598449707
17,0.112693552672863,2025-08-23 06:07:54.500071,2025-08-23 06:12:07.503359,0 days 00:04:13.003288,20,,uniform,6,nz,1.4593069348259313e-06,4.8725813807672996e-05,872,496,,raw,Glorot,,logistic,0.013333559036254883,COMPLETE,0.013333559036254883
18,0.09798387438058853,2025-08-23 06:12:07.503643,2025-08-23 06:16:22.824553,0 days 00:04:15.320910,20,0.0003658052095178819,uniform,5,nz,2.61432346137729e-05,0.7712091002222098,167,560,,colnorm,old,0.8772453453841234,logistic,,COMPLETE,
19,0.1311290368437767,2025-08-23 06:16:22.824820,2025-08-23 06:17:13.047162,0 days 00:00:50.222342,100,,normal,7,nz,4.271037808365358e-05,1.9595449161099905e-06,6790,112,0.8283523401966375,pca,Glorot,,logistic,0.012885189056396485,COMPLETE,0.012885189056396485
20,0.42437098622322084,2025-08-23 06:17:13.047413,2025-08-23 06:21:31.593832,0 days 00:04:18.546419,20,,uniform,7,zero,,0.00029956802319562316,1957,592,0.6083709951450864,pca,Glorot,,logistic,0.012992548942565917,COMPLETE,0.012992548942565917
21,0.112693552672863,2025-08-23 06:21:31.594188,2025-08-23 06:25:31.474762,0 days 00:03:59.880574,20,8.497871339273834e-07,normal,5,zero,,2.786929921862278e-06,293,1024,,colnorm,old,0.9114986472254265,logistic,0.012882876396179199,COMPLETE,0.012882876396179199
22,0.7471451759338379,2025-08-23 06:25:31.475002,2025-08-23 06:29:40.899698,0 days 00:04:09.424696,20,,normal,5,nz,7.842857048400411e-08,0.02247144159652349,1071,272,,raw,Glorot,,tanh,0.008727169036865235,COMPLETE,0.008727169036865235
23,0.2933387279510498,2025-08-23 06:29:40.900029,2025-08-23 06:33:48.331698,0 days 00:04:07.431669,20,,uniform,8,zero,,0.00013828279283371964,8171,896,0.5079552056222199,pca,Glorot,,logistic,0.013134336471557618,COMPLETE,0.013134336471557618
24,0.3080645203590393,2025-08-23 06:33:48.331966,2025-08-23 06:34:37.420451,0 days 00:00:49.088485,100,1.6627948650580708e-06,normal,7,zero,,0.0013572916218580562,286,640,,colnorm,Glorot,,logistic,0.013154745101928711,COMPLETE,0.013154745101928711
25,0.7657742381095887,2025-08-23 06:34:37.420685,2025-08-23 06:35:46.568793,0 days 00:01:09.148108,100,,uniform,8,nz,3.858423808425208e-06,0.29190611010470696,744,96,0.9535186884098954,pca,Glorot,,tanh,0.00018358230590820312,COMPLETE,0.00018358230590820312
26,0.112693552672863,2025-08-23 06:35:46.569035,2025-08-23 06:36:38.712778,0 days 00:00:52.143743,100,,normal,5,zero,,0.00027076433920494625,203,512,,raw,Glorot,,logistic,0.012992024421691895,COMPLETE,0.012992024421691895
27,0.112693552672863,2025-08-23 06:36:38.713019,2025-08-23 06:37:27.752546,0 days 00:00:49.039527,100,,normal,6,zero,,8.177437067311106e-06,126,880,0.8495971274555434,pca,Glorot,,logistic,0.013160443305969239,COMPLETE,0.013160443305969239
28,0.4655806541442871,2025-08-23 06:37:27.752776,2025-08-23 06:38:16.482382,0 days 00:00:48.729606,100,5.662291912711977e-08,normal,7,zero,,1.8175550179742918e-06,2310,800,,colnorm,old,1.6535901776344464,tanh,0.013228774070739746,COMPLETE,0.013228774070739746
29,0.112693552672863,2025-08-23 06:38:16.482655,2025-08-23 06:42:17.133452,0 days 00:04:00.650797,20,7.544527667506924e-06,uniform,7,zero,,2.1255211024653712e-06,2609,720,,colnorm,Glorot,,logistic,0.013089632987976075,COMPLETE,0.013089632987976075
