number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.11269354820251465,2025-08-19 16:21:29.273654,2025-08-19 16:25:23.969300,0 days 00:03:54.695646,20,,uniform,5,nz,0.0009372399909586687,7.285914184431596e-05,406,32,,raw,old,1.9242844071696248,logistic,COMPLETE
1,0.7427741686503092,2025-08-19 16:25:23.969868,2025-08-19 16:26:09.454177,0 days 00:00:45.484309,100,,uniform,7,nz,4.366562090476788e-06,0.008509150599316447,6896,880,,raw,old,0.8529840577173584,tanh,COMPLETE
2,0.43214496970176697,2025-08-19 16:26:09.454666,2025-08-19 16:29:39.534673,0 days 00:03:30.080007,20,,normal,7,zero,,0.022001456077457474,103,240,,raw,Glorot,,logistic,COMPLETE
3,0.7260483900705973,2025-08-19 16:29:39.535149,2025-08-19 16:30:23.194347,0 days 00:00:43.659198,100,,uniform,7,zero,,0.006103688020208733,1628,624,0.8813502810386891,pca,Glorot,,logistic,COMPLETE
4,0.30887075265248615,2025-08-19 16:30:23.194629,2025-08-19 16:33:53.383988,0 days 00:03:30.189359,20,,normal,5,zero,,1.8720791560078674e-05,777,800,0.7375135518112164,pca,old,1.7904371518807691,logistic,COMPLETE
5,0.5014999409516653,2025-08-19 16:33:53.384504,2025-08-19 16:37:24.787909,0 days 00:03:31.403405,20,,normal,7,zero,,0.0009834490132414352,297,736,0.6109445430862507,pca,Glorot,,logistic,COMPLETE
6,0.5375967621803284,2025-08-19 16:37:24.791066,2025-08-19 16:38:11.287170,0 days 00:00:46.496104,100,4.992271050933458e-09,normal,8,nz,8.335210886399426e-05,2.6169129976548838e-05,1288,848,,colnorm,old,1.6134617289197,tanh,COMPLETE
7,0.700435479482015,2025-08-19 16:38:11.287638,2025-08-19 16:38:54.357034,0 days 00:00:43.069396,100,,uniform,8,zero,,0.0028746184094058783,2470,416,0.940157792765955,pca,Glorot,,logistic,COMPLETE
8,0.11269354820251465,2025-08-19 16:38:54.357259,2025-08-19 16:42:30.897688,0 days 00:03:36.540429,20,,normal,8,nz,5.1128508700079794e-08,1.676676734511954e-05,164,352,,raw,old,1.173150959590421,logistic,COMPLETE
9,0.7612902720769247,2025-08-19 16:42:30.898182,2025-08-19 16:43:12.329471,0 days 00:00:41.431289,100,,normal,8,zero,,0.10065428561185741,1947,848,,raw,Glorot,,tanh,COMPLETE
10,0.6936291257540385,2025-08-19 16:43:12.329669,2025-08-19 16:43:55.014949,0 days 00:00:42.685280,100,0.0008900860269703367,normal,6,zero,,0.8820052193873136,5286,992,,colnorm,Glorot,,tanh,COMPLETE
11,0.5876303911209106,2025-08-19 16:43:55.015400,2025-08-19 16:44:40.139542,0 days 00:00:45.124142,100,,uniform,6,nz,5.500272475129157e-07,0.2204804950234327,8747,1008,,raw,old,0.22801108393203406,tanh,COMPLETE
12,0.7540644605954488,2025-08-19 16:44:40.140025,2025-08-19 16:45:25.472439,0 days 00:00:45.332414,100,,uniform,8,nz,6.11226099725855e-06,0.05502686776056915,3608,608,,raw,old,0.5133922030342295,tanh,COMPLETE
13,0.7281611760457357,2025-08-19 16:45:25.472903,2025-08-19 16:46:12.923132,0 days 00:00:47.450229,100,,uniform,8,nz,0.00806257293323898,0.09959812016021537,3319,592,,raw,Glorot,,tanh,COMPLETE
14,0.3586612343788147,2025-08-19 16:46:12.923344,2025-08-19 16:46:54.499591,0 days 00:00:41.576247,100,,normal,8,zero,,0.0004102175394120773,3756,656,,raw,old,0.21820491784282758,tanh,COMPLETE
15,0.11753229548533757,2025-08-19 16:46:54.500030,2025-08-19 16:47:41.953587,0 days 00:00:47.453557,100,,uniform,8,nz,1.170679462842593e-08,1.2153633400052752e-06,665,480,,raw,Glorot,,tanh,COMPLETE
16,0.7862580418586731,2025-08-19 16:47:41.954041,2025-08-19 16:48:24.210635,0 days 00:00:42.256594,100,1.3633271829263713e-05,normal,8,zero,,0.056254817576816024,2063,688,,colnorm,old,0.706243806140411,tanh,COMPLETE
17,0.7065160870552063,2025-08-19 16:48:24.211095,2025-08-19 16:49:06.324748,0 days 00:00:42.113653,100,1.9357782275656807e-05,normal,8,zero,,0.8860598646734889,1745,736,,colnorm,Glorot,,tanh,COMPLETE
18,0.7501290241877238,2025-08-19 16:49:06.324957,2025-08-19 16:49:49.226330,0 days 00:00:42.901373,100,5.786584010437126e-07,normal,5,zero,,0.031506902174284146,995,928,,colnorm,old,1.0492530798545348,tanh,COMPLETE
19,0.7999676863352457,2025-08-19 16:49:49.226795,2025-08-19 16:50:31.812230,0 days 00:00:42.585435,100,1.970635820894681e-06,normal,6,zero,,0.21970500132250942,2255,736,,colnorm,Glorot,,tanh,COMPLETE
20,0.8003870646158854,2025-08-19 16:50:31.812690,2025-08-19 16:51:17.927176,0 days 00:00:46.114486,100,2.4172160678527833e-06,normal,6,zero,,0.35297115814601243,454,272,,colnorm,old,0.6615707015908451,tanh,COMPLETE
21,0.7944677472114563,2025-08-19 16:51:17.927667,2025-08-19 16:52:00.754369,0 days 00:00:42.826702,100,1.8754949641813815e-06,normal,6,zero,,0.3260137208912504,441,176,,colnorm,old,0.7446855954623182,tanh,COMPLETE
22,0.7795000473658243,2025-08-19 16:52:00.754849,2025-08-19 16:52:42.674133,0 days 00:00:41.919284,100,6.475764796864395e-07,normal,6,zero,,0.4252241013771178,392,192,,colnorm,old,1.2791849704119265,tanh,COMPLETE
23,0.734500010808309,2025-08-19 16:52:42.674349,2025-08-19 16:53:24.431055,0 days 00:00:41.756706,100,3.4943560758829103e-06,normal,6,zero,,0.2082815407305582,548,16,,colnorm,old,0.5714506990190407,tanh,COMPLETE
24,0.7887903054555258,2025-08-19 16:53:24.431495,2025-08-19 16:54:07.058221,0 days 00:00:42.626726,100,1.338326278075502e-07,normal,6,zero,,0.2925396604963369,219,160,,colnorm,old,0.9018781034630737,tanh,COMPLETE
25,0.7532580494880676,2025-08-19 16:54:07.058666,2025-08-19 16:54:49.457578,0 days 00:00:42.398912,100,8.819355131769947e-08,normal,6,zero,,0.019594427128510762,1010,304,,colnorm,old,0.47582485861075347,tanh,COMPLETE
26,0.7458871404329935,2025-08-19 16:54:49.458019,2025-08-19 16:55:30.483599,0 days 00:00:41.025580,100,3.4613622405947665e-05,normal,6,zero,,0.9279900944081005,484,96,,colnorm,Glorot,,tanh,COMPLETE
27,0.7602580587069193,2025-08-19 16:55:30.483797,2025-08-19 16:58:50.728854,0 days 00:03:20.245057,20,2.4570927193951507e-06,normal,6,zero,,0.12653496767425687,286,416,,colnorm,old,1.4617581630942484,tanh,COMPLETE
28,0.7429354588190714,2025-08-19 16:58:50.729296,2025-08-19 16:59:32.302052,0 days 00:00:41.572756,100,0.00010606917344688526,normal,6,zero,,0.012829166029256803,707,528,,colnorm,Glorot,,tanh,COMPLETE
29,0.6629999081293741,2025-08-19 16:59:32.302257,2025-08-19 17:02:50.575631,0 days 00:03:18.273374,20,1.2799603762700145e-07,normal,6,zero,,0.003190518914210024,381,80,,colnorm,old,0.8693462765082333,tanh,COMPLETE
30,0.7978548804918925,2025-08-19 17:02:50.576065,2025-08-19 17:03:32.201419,0 days 00:00:41.625354,100,3.7175695502171327e-06,normal,5,zero,,0.3542613763927237,1191,256,,colnorm,old,0.6952084145039329,tanh,COMPLETE
31,0.7992096543312073,2025-08-19 17:03:32.201610,2025-08-19 17:04:12.886865,0 days 00:00:40.685255,100,2.568995097456215e-06,normal,5,zero,,0.4241002672948445,1156,272,,colnorm,old,0.6334022268072141,tanh,COMPLETE
32,0.7995161414146423,2025-08-19 17:04:12.887240,2025-08-19 17:04:54.015858,0 days 00:00:41.128618,100,5.78903630697285e-06,normal,5,zero,,0.4411653363883801,1130,288,,colnorm,old,0.42441563287667766,tanh,COMPLETE
33,0.8029838999112447,2025-08-19 17:04:54.016299,2025-08-19 17:05:34.884552,0 days 00:00:40.868253,100,6.795648742914119e-06,normal,5,zero,,0.06065235996059426,2461,352,,colnorm,old,0.3500372809677402,tanh,COMPLETE
34,0.7976774374643961,2025-08-19 17:05:34.884987,2025-08-19 17:06:15.385684,0 days 00:00:40.500697,100,1.1063204930288199e-05,normal,5,zero,,0.048687004784177236,2472,336,,colnorm,old,0.3284415842260132,tanh,COMPLETE
35,0.7948387265205383,2025-08-19 17:06:15.385873,2025-08-19 17:06:56.864074,0 days 00:00:41.478201,100,4.2978384249579045e-07,normal,5,zero,,0.10559130307614432,5489,384,,colnorm,old,0.35005677089835807,logistic,COMPLETE
36,0.44082258145014447,2025-08-19 17:06:56.864487,2025-08-19 17:10:16.923117,0 days 00:03:20.058630,20,,normal,5,zero,,0.010218612208653376,1446,480,0.525218379242337,pca,Glorot,,tanh,COMPLETE
37,0.11270967622598012,2025-08-19 17:10:16.923566,2025-08-19 17:10:57.665678,0 days 00:00:40.742112,100,9.565486825031435e-05,normal,7,zero,,0.00021380410891878363,863,528,,colnorm,old,0.4046888911351859,logistic,COMPLETE
38,0.7875968416531881,2025-08-19 17:10:57.666098,2025-08-19 17:14:37.763231,0 days 00:03:40.097133,20,,uniform,5,zero,,0.02687181869591651,2702,224,0.773814976086993,pca,Glorot,,tanh,COMPLETE
39,0.7232419649759928,2025-08-19 17:14:37.763681,2025-08-19 17:15:18.406640,0 days 00:00:40.642959,100,8.030767793473142e-06,normal,5,zero,,0.005338606358859136,4699,128,,colnorm,old,0.4813504869801491,logistic,COMPLETE
40,0.72558065255483,2025-08-19 17:15:18.407062,2025-08-19 17:16:02.411820,0 days 00:00:44.004758,100,,normal,7,nz,0.00013530050258863012,0.1645486986563759,1604,304,0.675175651149939,pca,old,1.015677724968664,tanh,COMPLETE
41,0.7979355057080587,2025-08-19 17:16:02.412083,2025-08-19 17:16:42.986552,0 days 00:00:40.574469,100,1.2823797697915235e-06,normal,5,zero,,0.43288145821888857,1124,288,,colnorm,old,0.6668066720904667,tanh,COMPLETE
42,0.7249193986256918,2025-08-19 17:16:42.986901,2025-08-19 17:17:24.293188,0 days 00:00:41.306287,100,5.278726612642326e-06,normal,5,zero,,0.9997882462796145,2165,240,,colnorm,old,0.5910103587612157,tanh,COMPLETE
43,0.7844516436258951,2025-08-19 17:17:24.293610,2025-08-19 17:18:05.925443,0 days 00:00:41.631833,100,6.354868118230195e-05,normal,5,zero,,0.5663096561716932,1396,416,,colnorm,old,0.3424882992950581,tanh,COMPLETE
44,0.7943064570426941,2025-08-19 17:18:05.925884,2025-08-19 17:18:46.570944,0 days 00:00:40.645060,100,1.2331591056979114e-06,normal,5,zero,,0.051391339491452276,2955,368,,colnorm,old,0.5940977176727661,tanh,COMPLETE
45,0.7596935828526815,2025-08-19 17:18:46.571133,2025-08-19 17:19:27.549644,0 days 00:00:40.978511,100,4.1464126127046205e-07,normal,5,zero,,0.17254295100920364,561,272,,colnorm,Glorot,,logistic,COMPLETE
46,0.8011128902435303,2025-08-19 17:19:27.550015,2025-08-19 17:22:41.325119,0 days 00:03:13.775104,20,5.977303186520874e-06,uniform,7,zero,,0.07741987919466627,864,464,,colnorm,old,0.8220172379902362,tanh,COMPLETE
47,0.8032580216725668,2025-08-19 17:22:41.325896,2025-08-19 17:26:21.609230,0 days 00:03:40.283334,20,6.404827010443277e-06,uniform,7,nz,3.5826607525417494e-07,0.08754064543175087,852,448,,colnorm,old,0.8382010656049642,tanh,COMPLETE
48,0.749903162320455,2025-08-19 17:26:21.609677,2025-08-19 17:29:55.805830,0 days 00:03:34.196153,20,,uniform,7,nz,3.469689097877183e-07,0.07978638852746806,147,464,0.9859086267256973,pca,Glorot,,tanh,COMPLETE
49,0.7522257765134176,2025-08-19 17:29:55.806289,2025-08-19 17:33:24.786259,0 days 00:03:28.979970,20,6.7859870773778655e-09,uniform,7,nz,2.8380809743342187e-07,0.020978568745809528,824,576,,colnorm,old,0.8149212225441638,tanh,COMPLETE
50,0.5346129139264425,2025-08-19 17:33:24.787031,2025-08-19 17:36:55.127376,0 days 00:03:30.340345,20,1.7833514448973733e-05,uniform,7,nz,3.128209938545061e-05,0.0013204016836379858,302,736,,colnorm,Glorot,,logistic,COMPLETE
51,0.8033709526062012,2025-08-19 17:36:55.144863,2025-08-19 17:40:29.923324,0 days 00:03:34.778461,20,6.11591665022908e-06,uniform,7,nz,1.6714692380118557e-06,0.1848491931859747,621,464,,colnorm,old,0.9374723164429257,tanh,COMPLETE
52,0.7933064103126526,2025-08-19 17:40:29.924072,2025-08-19 17:44:08.199087,0 days 00:03:38.275015,20,3.7250352016770616e-05,uniform,7,nz,1.7413357121921193e-06,0.07365033154816378,715,464,,colnorm,old,0.9598083532133539,tanh,COMPLETE
53,0.7664193113644918,2025-08-19 17:44:08.199952,2025-08-19 17:47:40.255213,0 days 00:03:32.055261,20,8.765229211553863e-06,uniform,7,nz,4.409590056099857e-08,0.036153779207637335,920,560,,colnorm,old,1.2006579351687432,tanh,COMPLETE
54,0.11962900062402089,2025-08-19 17:47:40.255645,2025-08-19 17:51:13.205318,0 days 00:03:32.949673,20,,uniform,7,nz,1.0131037235979423e-06,3.829822642534755e-06,565,640,,raw,old,1.9782568809745094,tanh,COMPLETE
55,0.8035160899162292,2025-08-19 17:51:13.206050,2025-08-19 17:54:42.461182,0 days 00:03:29.255132,20,2.738614013444096e-05,uniform,7,nz,8.619299840823592e-08,0.18123661402710645,632,432,,colnorm,old,0.7936954195396912,tanh,COMPLETE
56,0.8028870820999146,2025-08-19 17:54:42.462220,2025-08-19 17:58:15.391214,0 days 00:03:32.928994,20,0.00018219211629825113,uniform,7,nz,7.565074573942447e-08,0.10949556427588637,650,432,,colnorm,old,0.797837229717295,tanh,COMPLETE
57,0.7448870539665222,2025-08-19 17:58:15.396074,2025-08-19 18:01:58.818912,0 days 00:03:43.422838,20,0.00035931191214913006,uniform,7,nz,6.75144130689139e-08,0.015593370987106179,341,432,,colnorm,old,0.7934692690201808,tanh,COMPLETE
58,0.6980322400728861,2025-08-19 18:01:58.821985,2025-08-19 18:05:28.604671,0 days 00:03:29.782686,20,,uniform,7,nz,1.636498266043586e-07,0.005693685515765235,628,512,,raw,old,1.109542905816936,tanh,COMPLETE
59,0.8029838800430298,2025-08-19 18:05:28.607851,2025-08-19 18:09:02.976263,0 days 00:03:34.368412,20,4.302834506997849e-05,uniform,7,nz,1.180649596309364e-08,0.10646300562862857,729,336,,colnorm,old,0.9642500773923496,tanh,COMPLETE
60,0.8034677306811014,2025-08-19 18:09:02.976701,2025-08-19 18:12:36.699962,0 days 00:03:33.723261,20,0.00017897452266363894,uniform,7,nz,1.5709812816450445e-08,0.12509031753594968,627,352,,colnorm,old,0.9511064279685636,tanh,COMPLETE
61,0.8007096449534098,2025-08-19 18:12:36.704112,2025-08-19 18:16:08.800384,0 days 00:03:32.096272,20,0.00029937944134370004,uniform,7,nz,1.0383120988042638e-08,0.1272540845257259,500,336,,colnorm,old,0.9609025791696163,tanh,COMPLETE
62,0.764096736907959,2025-08-19 18:16:08.800826,2025-08-19 18:19:51.394883,0 days 00:03:42.594057,20,0.0008443865156271839,uniform,7,nz,2.8119358316691243e-08,0.038399345016384895,639,384,,colnorm,old,1.1060548967973598,tanh,COMPLETE
63,0.7900161345799764,2025-08-19 18:19:51.395332,2025-08-19 18:23:39.706574,0 days 00:03:48.311242,20,0.00019346802850684497,uniform,7,nz,1.5914541454605523e-07,0.21530952146212046,773,416,,colnorm,old,0.9313309307263273,tanh,COMPLETE
64,0.7924031813939413,2025-08-19 18:23:39.707008,2025-08-19 18:27:12.215172,0 days 00:03:32.508164,20,3.0665301887226865e-05,uniform,7,nz,8.175866997016384e-08,0.13613686170572623,424,320,,colnorm,old,1.3123940227982351,tanh,COMPLETE
65,0.6430967450141907,2025-08-19 18:27:12.215638,2025-08-19 18:30:43.856177,0 days 00:03:31.640539,20,6.700127439079954e-05,uniform,7,nz,2.470556420218778e-08,0.6675880903595715,612,368,,colnorm,old,1.0250698871981312,tanh,COMPLETE
66,0.7566290895144144,2025-08-19 18:30:43.856613,2025-08-19 18:34:17.774401,0 days 00:03:33.917788,20,1.9801358051179145e-05,uniform,7,nz,1.2302540837073306e-08,0.24883213484622352,992,496,,colnorm,old,0.7617407462401811,tanh,COMPLETE
67,0.8079031705856323,2025-08-19 18:34:17.780397,2025-08-19 18:37:51.629266,0 days 00:03:33.848869,20,0.00015864379780747235,uniform,7,nz,1.212250537896308e-07,0.06116780011272148,8568,448,,colnorm,old,0.869657860917663,tanh,COMPLETE
68,0.8140321969985962,2025-08-19 18:37:51.629703,2025-08-19 18:41:28.091720,0 days 00:03:36.462017,20,,uniform,7,nz,1.7661564578779124e-06,0.06726311173488483,8416,544,,raw,old,0.889908878094953,tanh,COMPLETE
69,0.8145805795987447,2025-08-19 18:41:28.097689,2025-08-19 18:45:04.059075,0 days 00:03:35.961386,20,,uniform,7,nz,1.9077392510014414e-06,0.06526039651151297,9778,560,,raw,old,1.75765346651953,tanh,COMPLETE
70,0.7946773370107015,2025-08-19 18:45:04.059511,2025-08-19 18:48:54.725804,0 days 00:03:50.666293,20,,uniform,7,nz,1.6986785106695786e-06,0.03129045652097923,9306,528,,raw,old,0.8756182326359582,tanh,COMPLETE
71,0.8102257251739502,2025-08-19 18:48:54.726255,2025-08-19 18:52:29.270460,0 days 00:03:34.544205,20,,uniform,7,nz,8.71217800143337e-07,0.05899980888377975,7202,560,,raw,old,1.5106794883512844,tanh,COMPLETE
72,0.8035805622736613,2025-08-19 18:52:29.270897,2025-08-19 18:56:01.929370,0 days 00:03:32.658473,20,,uniform,7,nz,8.66994893374985e-07,0.04511982765020539,7786,672,,raw,old,1.7993259997598594,tanh,COMPLETE
73,0.7471612493197123,2025-08-19 18:56:01.929830,2025-08-19 18:59:34.975595,0 days 00:03:33.045765,20,,uniform,7,nz,2.6799241971707745e-06,0.00871918597235443,7252,560,,raw,old,1.7351361422707032,tanh,COMPLETE
74,0.7647096514701843,2025-08-19 18:59:34.976036,2025-08-19 19:03:06.367315,0 days 00:03:31.391279,20,,uniform,7,nz,8.435556258937332e-07,0.02053044515441885,7785,688,,raw,old,1.8404607446550756,tanh,COMPLETE
75,0.7977257569630941,2025-08-19 19:03:06.367755,2025-08-19 19:06:35.595688,0 days 00:03:29.227933,20,,uniform,7,nz,1.0369074170854017e-05,0.04737276633073771,5904,624,,raw,old,1.6179390748468854,tanh,COMPLETE
76,0.11269354820251465,2025-08-19 19:06:35.596117,2025-08-19 19:10:04.185158,0 days 00:03:28.589041,20,,uniform,7,nz,2.6732377048568933e-06,3.2864670540486894e-05,8059,592,,raw,old,1.6706820693543167,logistic,COMPLETE
77,0.7519515752792358,2025-08-19 19:10:04.185612,2025-08-19 19:13:38.941608,0 days 00:03:34.755996,20,,uniform,7,nz,9.167602266033911e-06,0.013230139973808218,9981,672,,raw,old,1.4705281482150552,tanh,COMPLETE
78,0.7241288622220358,2025-08-19 19:13:38.943930,2025-08-19 19:17:10.146303,0 days 00:03:31.202373,20,,uniform,7,nz,7.693458124984012e-07,0.29777943657624817,4190,560,,raw,old,1.796504595915335,tanh,COMPLETE
79,0.7778387069702148,2025-08-19 19:17:10.146745,2025-08-19 19:20:53.666467,0 days 00:03:43.519722,20,,uniform,8,nz,3.952618071152096e-06,0.1757276718973915,6912,608,,raw,old,1.8730654436942884,tanh,COMPLETE
