number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,system_attrs_grid_id,system_attrs_search_space,state
0,0.7659516334533691,2025-08-19 22:48:39.911649,2025-08-19 22:49:27.656381,0 days 00:00:47.744732,100,,uniform,6,nz,0.0001,0.01,5000,64,,raw,Glorot,,logistic,0,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
1,0.7153064211209615,2025-08-19 22:49:27.657262,2025-08-19 22:50:11.533032,0 days 00:00:43.875770,100,,normal,7,zero,,0.003,5000,64,0.99,pca,old,2.0,logistic,1,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
2,0.6021775007247925,2025-08-19 22:50:11.533588,2025-08-19 22:50:55.700787,0 days 00:00:44.167199,100,,uniform,6,zero,,0.001,1000,128,0.99,pca,old,1.0,tanh,2,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
3,0.8239355285962423,2025-08-19 22:50:55.701326,2025-08-19 22:51:42.915306,0 days 00:00:47.213980,100,,uniform,6,nz,1e-06,0.003,5000,512,0.85,pca,old,1.0,tanh,3,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
4,0.8293387293815613,2025-08-19 22:51:42.915846,2025-08-19 22:55:13.552445,0 days 00:03:30.636599,20,,uniform,5,zero,,0.01,5000,256,0.7,pca,Glorot,,logistic,4,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
5,0.8271128932634989,2025-08-19 22:55:13.552998,2025-08-19 22:55:57.427323,0 days 00:00:43.874325,100,,normal,7,zero,,0.01,5000,256,0.7,pca,old,1.0,logistic,5,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
6,0.2318710188070933,2025-08-19 22:55:57.427775,2025-08-19 22:56:39.267062,0 days 00:00:41.839287,100,,normal,7,zero,,0.001,5000,256,,raw,old,1.0,logistic,6,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
7,0.5367900729179382,2025-08-19 22:56:39.267596,2025-08-19 22:57:23.364225,0 days 00:00:44.096629,100,,uniform,5,zero,,0.001,100,128,0.7,pca,Glorot,,tanh,7,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
8,0.8124354283014933,2025-08-19 22:57:23.364748,2025-08-19 23:00:48.566506,0 days 00:03:25.201758,20,,uniform,8,zero,,0.01,1000,64,,raw,old,1.0,tanh,8,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
9,0.7715322375297546,2025-08-19 23:00:48.567058,2025-08-19 23:04:37.707867,0 days 00:03:49.140809,20,,normal,6,nz,0.01,0.01,100,512,0.85,pca,Glorot,,tanh,9,"{'batch_size': [20, 100], 'colnorm_thresh': [1e-09, 1e-06, 0.001], 'dist1': ['uniform', 'normal'], 'iseed': [5, 6, 7, 8], 'l2_penalty_choice': ['zero', 'nz'], 'l2_penalty_nz': [1e-06, 0.0001, 0.01], 'lr': [0.001, 0.003, 0.01, 0.03], 'lr_anneal_start': [100, 1000, 5000], 'nhid1': [64, 128, 256, 512], 'pca_energy': [0.7, 0.85, 0.95, 0.99], 'preproc': ['raw', 'colnorm', 'pca'], 'scale_heur1': ['old', 'Glorot'], 'scale_mult1': [0.5, 1.0, 1.5, 2.0], 'squash': ['tanh', 'logistic']}",COMPLETE
