number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.317000013589859,2025-08-23 05:23:41.900236,2025-08-23 05:29:22.685385,0 days 00:05:40.785149,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.013051939010620118,COMPLETE,0.013051939010620118
1,0.6176451683044434,2025-08-23 05:29:22.687380,2025-08-23 05:30:15.055429,0 days 00:00:52.368049,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013156294822692871,COMPLETE,0.013156294822692871
2,0.0978064551949501,2025-08-23 05:30:15.055731,2025-08-23 05:31:01.415665,0 days 00:00:46.359934,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,,COMPLETE,
3,0.14514516592025756,2025-08-23 05:31:01.415936,2025-08-23 05:35:02.660037,0 days 00:04:01.244101,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.013051080703735351,COMPLETE,0.013051080703735351
4,0.8220968246459961,2025-08-23 05:35:02.661969,2025-08-23 05:35:51.504761,0 days 00:00:48.842792,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.008233952522277831,COMPLETE,0.008233952522277831
5,0.8167742490768433,2025-08-23 05:35:51.506434,2025-08-23 05:40:03.410512,0 days 00:04:11.904078,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.003954648971557617,COMPLETE,0.003954648971557617
6,0.1134677454829216,2025-08-23 05:40:03.412348,2025-08-23 05:40:53.566921,0 days 00:00:50.154573,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.0130218505859375,COMPLETE,0.0130218505859375
7,0.8085645318031311,2025-08-23 05:40:53.569651,2025-08-23 05:41:41.969098,0 days 00:00:48.399447,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.006639838218688965,COMPLETE,0.006639838218688965
8,0.8224677920341492,2025-08-23 05:41:41.969316,2025-08-23 05:42:33.632895,0 days 00:00:51.663579,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.011697936058044433,COMPLETE,0.011697936058044433
9,0.5973064780235291,2025-08-23 05:42:33.633186,2025-08-23 05:43:23.091701,0 days 00:00:49.458515,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.013337993621826172,COMPLETE,0.013337993621826172
