number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.5642903447151184,2025-08-19 16:21:29.286427,2025-08-19 16:25:27.270259,0 days 00:03:57.983832,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,COMPLETE
1,0.6640323003133138,2025-08-19 16:25:27.270821,2025-08-19 16:26:13.712441,0 days 00:00:46.441620,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,COMPLETE
2,0.1774019425113996,2025-08-19 16:26:13.712665,2025-08-19 16:26:55.337908,0 days 00:00:41.625243,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,COMPLETE
3,0.4059515694777171,2025-08-19 16:26:55.338360,2025-08-19 16:30:21.187392,0 days 00:03:25.849032,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,COMPLETE
4,0.8264032602310181,2025-08-19 16:30:21.187890,2025-08-19 16:31:03.139670,0 days 00:00:41.951780,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,COMPLETE
5,0.8172580202420553,2025-08-19 16:31:03.140141,2025-08-19 16:34:44.195317,0 days 00:03:41.055176,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,COMPLETE
6,0.11477417995532353,2025-08-19 16:34:44.195808,2025-08-19 16:35:29.109701,0 days 00:00:44.913893,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,COMPLETE
7,0.8070968190828959,2025-08-19 16:35:29.109920,2025-08-19 16:36:12.052482,0 days 00:00:42.942562,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,COMPLETE
8,0.8193387190500895,2025-08-19 16:36:12.052934,2025-08-19 16:36:59.233238,0 days 00:00:47.180304,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,COMPLETE
9,0.647983988126119,2025-08-19 16:36:59.233702,2025-08-19 16:37:42.862742,0 days 00:00:43.629040,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,COMPLETE
10,0.8738064368565878,2025-08-19 16:37:42.863189,2025-08-19 16:41:19.895102,0 days 00:03:37.031913,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,COMPLETE
11,0.4618868629137675,2025-08-19 16:41:19.895557,2025-08-19 16:42:00.816073,0 days 00:00:40.920516,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,COMPLETE
