number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.7791129350662231,2025-08-23 05:23:41.899350,2025-08-23 05:24:33.443559,0 days 00:00:51.544209,100,,normal,6,nz,0.005020847175011941,0.28678812614035476,266,80,,raw,old,0.7186620787543885,logistic,0.0010076999664306641,COMPLETE,0.0010076999664306641
1,0.6559677720069885,2025-08-23 05:24:33.445326,2025-08-23 05:28:30.753830,0 days 00:03:57.308504,20,6.404970863644254e-07,uniform,7,zero,,0.002727419843207111,355,224,,colnorm,old,0.7651904189827918,tanh,0.01234290599822998,COMPLETE,0.01234290599822998
2,0.8488871216773987,2025-08-23 05:28:30.755852,2025-08-23 05:29:19.987476,0 days 00:00:49.231624,100,3.6201072407748306e-07,normal,8,zero,,0.5405177223050418,2318,656,,colnorm,old,1.4530888343305441,tanh,-0.00019364356994628907,COMPLETE,-0.00019364356994628907
3,0.11572580933570861,2025-08-23 05:29:19.989143,2025-08-23 05:30:07.605548,0 days 00:00:47.616405,100,,normal,5,zero,,0.0003086104554138934,785,480,,raw,old,0.4979025208384174,tanh,0.01304769515991211,COMPLETE,0.01304769515991211
4,0.8098225831985474,2025-08-23 05:30:07.605798,2025-08-23 05:30:55.847651,0 days 00:00:48.241853,100,,uniform,6,zero,,0.0753316189564453,715,288,,raw,old,0.842727131035182,logistic,0.003974747657775879,COMPLETE,0.003974747657775879
5,0.8108548760414124,2025-08-23 05:30:55.847999,2025-08-23 05:31:45.915765,0 days 00:00:50.067766,100,,normal,7,zero,,0.13862889345041887,116,144,0.9709046340957243,pca,old,1.6080142723828008,logistic,0.004099130630493164,COMPLETE,0.004099130630493164
6,0.6442097187042236,2025-08-23 05:31:45.915988,2025-08-23 05:35:45.718352,0 days 00:03:59.802364,20,,uniform,7,zero,,1.8560837352965355e-06,103,688,0.5841376526836222,pca,Glorot,,tanh,0.013104915618896484,COMPLETE,0.013104915618896484
7,0.8107742309570313,2025-08-23 05:35:45.720237,2025-08-23 05:36:35.640641,0 days 00:00:49.920404,100,,uniform,6,zero,,0.0045466213818785945,5559,256,0.9962788595863201,pca,Glorot,,logistic,0.0071967124938964845,COMPLETE,0.0071967124938964845
8,0.1134677454829216,2025-08-23 05:36:35.643171,2025-08-23 05:40:34.412579,0 days 00:03:58.769408,20,1.3368559695948625e-06,normal,5,zero,,1.7286821158315763e-05,6875,560,,colnorm,Glorot,,logistic,0.013192486763000489,COMPLETE,0.013192486763000489
9,0.3383871138095856,2025-08-23 05:40:34.414673,2025-08-23 05:44:34.287488,0 days 00:03:59.872815,20,3.2487879589717105e-05,uniform,8,nz,1.7289062457084353e-08,0.008683638175257328,196,64,,colnorm,Glorot,,logistic,0.012430214881896972,COMPLETE,0.012430214881896972
10,0.6922903537750245,2025-08-23 05:44:34.287814,2025-08-23 05:48:21.333140,0 days 00:03:47.045326,20,3.7695952432846887e-06,uniform,5,zero,,0.005988265244732958,304,96,,colnorm,Glorot,,tanh,0.010630202293395997,COMPLETE,0.010630202293395997
11,0.37753227949142454,2025-08-23 05:48:21.333446,2025-08-23 05:52:10.692965,0 days 00:03:49.359519,20,,uniform,7,zero,,2.205572604793678e-06,1299,112,0.9177342805737674,pca,Glorot,,tanh,0.012955117225646972,COMPLETE,0.012955117225646972
12,0.8927581071853637,2025-08-23 05:52:10.693239,2025-08-23 05:52:59.844109,0 days 00:00:49.150870,100,,uniform,8,zero,,0.6463670471704025,645,384,0.6854374496447422,pca,old,0.6411968347530046,tanh,0.0016675233840942384,COMPLETE,0.0016675233840942384
13,0.1134677454829216,2025-08-23 05:52:59.844317,2025-08-23 05:53:51.802549,0 days 00:00:51.958232,100,2.4464011566467275e-05,normal,7,nz,6.580761756952406e-06,3.529805211191061e-06,1037,544,,colnorm,old,1.9071709329056934,logistic,0.013089871406555176,COMPLETE,0.013089871406555176
14,0.4538871169090271,2025-08-23 05:53:51.802802,2025-08-23 05:57:50.158309,0 days 00:03:58.355507,20,4.53231249709737e-06,uniform,6,zero,,0.0008232511308055879,1021,416,,colnorm,Glorot,,logistic,0.012719392776489258,COMPLETE,0.012719392776489258
15,0.1134677454829216,2025-08-23 05:57:50.160319,2025-08-23 06:02:02.889224,0 days 00:04:12.728905,20,0.00022796177218519458,normal,5,nz,4.566335943744083e-08,9.86923632335542e-06,483,544,,colnorm,Glorot,,logistic,0.013601326942443847,COMPLETE,0.013601326942443847
16,0.8557258248329163,2025-08-23 06:02:02.889470,2025-08-23 06:02:51.506920,0 days 00:00:48.617450,100,1.189274263546075e-06,uniform,6,zero,,0.025365537259255194,4125,816,,colnorm,old,0.48948637724712935,tanh,0.010896921157836914,COMPLETE,0.010896921157836914
17,0.1134677454829216,2025-08-23 06:02:51.507126,2025-08-23 06:07:02.296842,0 days 00:04:10.789716,20,,uniform,6,nz,1.4593069348259313e-06,4.8725813807672996e-05,872,496,,raw,Glorot,,logistic,0.013333654403686524,COMPLETE,0.013333654403686524
18,0.0978064551949501,2025-08-23 06:07:02.297162,2025-08-23 06:11:14.469208,0 days 00:04:12.172046,20,0.0003658052095178819,uniform,5,nz,2.61432346137729e-05,0.7712091002222098,167,560,,colnorm,old,0.8772453453841234,logistic,,COMPLETE,
19,0.1134677454829216,2025-08-23 06:11:14.469463,2025-08-23 06:12:04.285479,0 days 00:00:49.816016,100,,normal,7,nz,4.271037808365358e-05,1.9595449161099905e-06,6790,112,0.8283523401966375,pca,Glorot,,logistic,0.013195538520812988,COMPLETE,0.013195538520812988
20,0.494887113571167,2025-08-23 06:12:04.285694,2025-08-23 06:17:28.692971,0 days 00:05:24.407277,20,,uniform,7,zero,,0.00029956802319562316,1957,592,0.6083709951450864,pca,Glorot,,logistic,0.012850165367126465,COMPLETE,0.012850165367126465
21,0.1134677454829216,2025-08-23 06:17:28.693242,2025-08-23 06:22:50.199475,0 days 00:05:21.506233,20,8.497871339273834e-07,normal,5,zero,,2.786929921862278e-06,293,1024,,colnorm,old,0.9114986472254265,logistic,0.012882876396179199,COMPLETE,0.012882876396179199
22,0.8270968198776245,2025-08-23 06:22:50.199789,2025-08-23 06:27:17.242415,0 days 00:04:27.042626,20,,normal,5,nz,7.842857048400411e-08,0.02247144159652349,1071,272,,raw,Glorot,,tanh,0.007733845710754394,COMPLETE,0.007733845710754394
23,0.6000322818756103,2025-08-23 06:27:17.242661,2025-08-23 06:31:33.703770,0 days 00:04:16.461109,20,,uniform,8,zero,,0.00013828279283371964,8171,896,0.5079552056222199,pca,Glorot,,logistic,0.012908554077148438,COMPLETE,0.012908554077148438
24,0.2763387203216553,2025-08-23 06:31:33.704043,2025-08-23 06:32:33.148662,0 days 00:00:59.444619,100,1.6627948650580708e-06,normal,7,zero,,0.0013572916218580562,286,640,,colnorm,Glorot,,logistic,0.013157820701599121,COMPLETE,0.013157820701599121
25,0.8258387565612793,2025-08-23 06:32:33.148884,2025-08-23 06:33:23.287085,0 days 00:00:50.138201,100,,uniform,8,nz,3.858423808425208e-06,0.29190611010470696,744,96,0.9535186884098954,pca,Glorot,,tanh,0.00037314891815185545,COMPLETE,0.00037314891815185545
26,0.1134677454829216,2025-08-23 06:33:23.287354,2025-08-23 06:34:11.138965,0 days 00:00:47.851611,100,,normal,5,zero,,0.00027076433920494625,203,512,,raw,Glorot,,logistic,0.012992048263549804,COMPLETE,0.012992048263549804
27,0.1134677454829216,2025-08-23 06:34:11.139192,2025-08-23 06:35:00.911760,0 days 00:00:49.772568,100,,normal,6,zero,,8.177437067311106e-06,126,880,0.8495971274555434,pca,Glorot,,logistic,0.012838482856750488,COMPLETE,0.012838482856750488
28,0.605564534664154,2025-08-23 06:35:00.911977,2025-08-23 06:35:52.263969,0 days 00:00:51.351992,100,5.662291912711977e-08,normal,7,zero,,1.8175550179742918e-06,2310,800,,colnorm,old,1.6535901776344464,tanh,0.013228893280029297,COMPLETE,0.013228893280029297
29,0.1134677454829216,2025-08-23 06:35:52.264190,2025-08-23 06:40:47.810325,0 days 00:04:55.546135,20,7.544527667506924e-06,uniform,7,zero,,2.1255211024653712e-06,2609,720,,colnorm,Glorot,,logistic,0.013089728355407716,COMPLETE,0.013089728355407716
30,0.6647419571876526,2025-08-23 06:40:47.810569,2025-08-23 06:44:47.021776,0 days 00:03:59.211207,20,,uniform,7,zero,,3.0420481909171226e-05,5892,1024,0.5003456763160243,pca,Glorot,,tanh,0.013027119636535644,COMPLETE,0.013027119636535644
31,0.1134677454829216,2025-08-23 06:44:47.022046,2025-08-23 06:48:44.964143,0 days 00:03:57.942097,20,,normal,8,zero,,0.00021951712705620135,200,432,,raw,Glorot,,logistic,0.012938261032104492,COMPLETE,0.012938261032104492
32,0.6052419543266296,2025-08-23 06:48:44.964400,2025-08-23 06:49:34.039331,0 days 00:00:49.074931,100,5.143782444317332e-05,uniform,7,zero,,8.419872737053124e-06,1264,768,,colnorm,old,1.7604849969291174,tanh,0.013253021240234374,COMPLETE,0.013253021240234374
33,0.6766451835632324,2025-08-23 06:49:34.039548,2025-08-23 06:50:22.790234,0 days 00:00:48.750686,100,6.315839996288766e-08,uniform,8,zero,,0.008885188322966437,262,864,,colnorm,old,1.158454344679856,logistic,0.012517762184143067,COMPLETE,0.012517762184143067
34,0.6361613392829895,2025-08-23 06:50:22.790495,2025-08-23 06:51:12.432521,0 days 00:00:49.642026,100,,normal,6,zero,,0.0013178595061205047,329,736,0.7980091449630146,pca,Glorot,,tanh,0.012932944297790527,COMPLETE,0.012932944297790527
35,0.7785645484924316,2025-08-23 06:51:12.432738,2025-08-23 06:55:26.639560,0 days 00:04:14.206822,20,,normal,5,nz,0.0020457025186879554,0.0008907661777157554,5633,592,,raw,Glorot,,tanh,0.011239218711853027,COMPLETE,0.011239218711853027
36,0.5343226075172425,2025-08-23 06:55:26.639838,2025-08-23 06:59:26.305245,0 days 00:03:59.665407,20,,uniform,6,zero,,0.000289020414220305,2510,640,,raw,old,1.7872580074114737,tanh,0.01307990550994873,COMPLETE,0.01307990550994873
37,0.8296129465103149,2025-08-23 06:59:26.306848,2025-08-23 07:03:21.830730,0 days 00:03:55.523882,20,,normal,7,zero,,0.038617909479397895,2406,240,,raw,Glorot,,logistic,0.00211794376373291,COMPLETE,0.00211794376373291
38,0.7209032535552978,2025-08-23 07:03:21.830937,2025-08-23 07:07:35.142151,0 days 00:04:13.311214,20,5.66392477238153e-07,normal,8,nz,2.2300306597582873e-07,0.003956910799827261,385,880,,colnorm,old,1.8086888792032279,logistic,0.012706184387207031,COMPLETE,0.012706184387207031
