number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.8273387352625529,2025-08-19 16:21:29.391456,2025-08-19 16:22:27.729533,0 days 00:00:58.338077,100,2.9406142633852467e-07,normal,6,zero,,0.18176667537706265,174,288,,colnorm,old,1.3520195936842876,logistic,COMPLETE
1,0.11388710637887318,2025-08-19 16:22:27.730097,2025-08-19 16:26:10.977078,0 days 00:03:43.246981,20,1.6639856025071866e-05,uniform,8,nz,0.008186209455255396,1.7644047764563767e-05,5099,384,,colnorm,old,1.7745620959097825,logistic,COMPLETE
2,0.817177395025889,2025-08-19 16:26:10.977634,2025-08-19 16:29:53.239999,0 days 00:03:42.262365,20,,uniform,7,nz,3.4661209326928015e-08,0.10209977803265802,316,416,0.9461171991611468,pca,Glorot,,tanh,COMPLETE
3,0.8234032789866129,2025-08-19 16:29:53.244329,2025-08-19 16:30:36.458404,0 days 00:00:43.214075,100,0.0006643553562078559,uniform,6,zero,,0.038411337309611784,196,800,,colnorm,old,0.8724251633437441,tanh,COMPLETE
4,0.6606128613154093,2025-08-19 16:30:36.458900,2025-08-19 16:34:18.747558,0 days 00:03:42.288658,20,,normal,7,nz,7.500079347974363e-06,6.335199784332638e-06,110,992,0.858856416114397,pca,Glorot,,tanh,COMPLETE
5,0.113467738032341,2025-08-19 16:34:18.749307,2025-08-19 16:35:00.781806,0 days 00:00:42.032499,100,2.9593169402091133e-05,normal,7,zero,,1.1877417261405927e-05,3679,320,,colnorm,Glorot,,logistic,COMPLETE
6,0.5908709168434143,2025-08-19 16:35:00.782292,2025-08-19 16:38:42.038324,0 days 00:03:41.256032,20,,normal,8,nz,1.0901244843471063e-06,0.0010037225083948287,265,736,0.6931184968335371,pca,Glorot,,logistic,COMPLETE
7,0.11358064164717992,2025-08-19 16:38:42.040926,2025-08-19 16:41:59.097764,0 days 00:03:17.056838,20,,normal,6,zero,,0.00016531010151238062,112,592,,raw,Glorot,,tanh,COMPLETE
8,0.8426932891209921,2025-08-19 16:41:59.098218,2025-08-19 16:45:18.040799,0 days 00:03:18.942581,20,,uniform,8,zero,,0.2963601619950499,579,976,,raw,Glorot,,tanh,COMPLETE
9,0.825435479482015,2025-08-19 16:45:18.041236,2025-08-19 16:48:33.251496,0 days 00:03:15.210260,20,,normal,7,zero,,0.026155452727442755,1750,592,,raw,old,1.0616748424310383,logistic,COMPLETE
10,0.17804711808760962,2025-08-19 16:48:33.254725,2025-08-19 16:49:12.807697,0 days 00:00:39.552972,100,,uniform,5,zero,,0.7595727975117981,737,48,,raw,Glorot,,tanh,COMPLETE
11,0.8750806252161661,2025-08-19 16:49:12.807915,2025-08-19 16:49:54.619465,0 days 00:00:41.811550,100,5.954671520019689e-09,uniform,8,zero,,0.9887198985029343,775,176,,colnorm,old,0.2165297782614113,logistic,COMPLETE
12,0.113467738032341,2025-08-19 16:49:54.619869,2025-08-19 16:50:34.634462,0 days 00:00:40.014593,100,,uniform,8,zero,,0.0028142043498755646,778,48,,raw,old,0.3889598304674372,logistic,COMPLETE
13,0.866741935412089,2025-08-19 16:50:34.634872,2025-08-19 16:51:15.523336,0 days 00:00:40.888464,100,1.0834554087678474e-09,uniform,8,zero,,0.8807033238344367,1538,928,,colnorm,old,0.2817300172195903,tanh,COMPLETE
14,0.8285806179046631,2025-08-19 16:51:15.523765,2025-08-19 16:51:56.363871,0 days 00:00:40.840106,100,1.025559607868256e-09,uniform,8,zero,,0.008074992784382107,1798,192,,colnorm,old,0.22110150634303222,tanh,COMPLETE
15,0.8872096737225851,2025-08-19 16:51:56.364069,2025-08-19 16:52:37.379517,0 days 00:00:41.015448,100,1.066754414253623e-09,uniform,5,zero,,0.7573098776287306,1661,720,,colnorm,old,0.6040859409819651,logistic,COMPLETE
16,0.11362903316815694,2025-08-19 16:52:37.379937,2025-08-19 16:53:18.274562,0 days 00:00:40.894625,100,3.909816562815391e-08,uniform,5,zero,,0.00012712870750848854,2805,720,,colnorm,old,0.6649182676166856,logistic,COMPLETE
17,0.113467738032341,2025-08-19 16:53:18.274976,2025-08-19 16:53:58.759858,0 days 00:00:40.484882,100,1.9316603529955014e-08,uniform,5,zero,,1.345329650453474e-06,452,496,,colnorm,old,0.6398649980916531,logistic,COMPLETE
18,0.8124677141507467,2025-08-19 16:53:58.760052,2025-08-19 16:54:42.406729,0 days 00:00:43.646677,100,1.9947234249897297e-08,uniform,5,nz,0.006744313249627538,0.017679145491219298,1150,192,,colnorm,old,0.5760522134453063,logistic,COMPLETE
19,0.8241774439811707,2025-08-19 16:54:42.407139,2025-08-19 16:55:23.521665,0 days 00:00:41.114526,100,3.1586741999495138e-09,uniform,5,zero,,0.08379974790132022,5937,848,,colnorm,old,1.494474521247752,logistic,COMPLETE
20,0.8232257962226868,2025-08-19 16:55:23.522106,2025-08-19 16:56:04.579823,0 days 00:00:41.057717,100,,uniform,5,zero,,0.007299475940990329,2791,624,0.5094420850596734,pca,old,0.8429872797153313,logistic,COMPLETE
21,0.8654516140619913,2025-08-19 16:56:04.580103,2025-08-19 16:56:45.237207,0 days 00:00:40.657104,100,1.1267649265650314e-09,uniform,8,zero,,0.9162686802576934,1288,880,,colnorm,old,0.30114324114478813,tanh,COMPLETE
22,0.8793870608011881,2025-08-19 16:56:45.237559,2025-08-19 16:57:26.467193,0 days 00:00:41.229634,100,6.204795277194071e-09,uniform,8,zero,,0.38114358739093507,1772,928,,colnorm,old,0.20024490800482803,logistic,COMPLETE
23,0.8666451176007589,2025-08-19 16:57:26.467628,2025-08-19 16:58:07.233068,0 days 00:00:40.765440,100,1.3449550242810132e-08,uniform,8,zero,,0.22679844035670332,2706,720,,colnorm,old,0.45351640394702797,logistic,COMPLETE
24,0.8841290275255839,2025-08-19 16:58:07.233547,2025-08-19 16:58:47.979756,0 days 00:00:40.746209,100,2.569315893867091e-07,uniform,8,zero,,0.33119776170799203,8748,1024,,colnorm,old,0.5335222997188738,logistic,COMPLETE
25,0.8481289943059286,2025-08-19 16:58:47.979964,2025-08-19 16:59:28.527836,0 days 00:00:40.547872,100,3.5342938800325087e-07,uniform,8,zero,,0.0984122700033705,8173,992,,colnorm,old,0.8355941184930589,logistic,COMPLETE
26,0.883048415184021,2025-08-19 16:59:28.528237,2025-08-19 17:00:11.803970,0 days 00:00:43.275733,100,1.5559640493268108e-07,uniform,5,nz,1.506987795102807e-08,0.32234866553132613,9194,1024,,colnorm,old,0.49957246275041217,logistic,COMPLETE
27,0.8136774301528931,2025-08-19 17:00:11.804428,2025-08-19 17:00:55.088135,0 days 00:00:43.283707,100,2.755053333921776e-06,uniform,5,nz,1.0341685542870698e-08,0.04371618387285111,9839,1024,,colnorm,old,0.5289160271130067,logistic,COMPLETE
28,0.8285645445187887,2025-08-19 17:00:55.088610,2025-08-19 17:01:38.683397,0 days 00:00:43.594787,100,1.9061811597487668e-07,uniform,5,nz,2.6438692358703413e-07,0.00997556398463839,6232,784,,colnorm,old,1.0163638714039414,logistic,COMPLETE
29,0.8940000335375468,2025-08-19 17:01:38.683830,2025-08-19 17:02:23.333647,0 days 00:00:44.649817,100,,normal,6,nz,0.00016364199229385287,0.2189634374870176,4739,880,0.6433925899581999,pca,old,0.7105729620467194,logistic,COMPLETE
30,0.805709719657898,2025-08-19 17:02:23.333922,2025-08-19 17:03:07.666835,0 days 00:00:44.332913,100,,normal,6,nz,0.00024953891668570705,0.002668638731901994,4708,656,0.6347666241761294,pca,old,0.7486301299177782,logistic,COMPLETE
31,0.901016116142273,2025-08-19 17:03:07.667190,2025-08-19 17:03:51.761515,0 days 00:00:44.094325,100,,normal,6,nz,0.00010786008264910033,0.183304068210502,7721,896,0.5486012406900301,pca,old,0.4596129100580672,logistic,COMPLETE
32,0.8668548464775085,2025-08-19 17:03:51.761920,2025-08-19 17:04:36.596742,0 days 00:00:44.834822,100,,normal,6,nz,0.00015599914621756134,0.12585986377347474,4136,864,0.5333183083695336,pca,old,0.6908867556737345,logistic,COMPLETE
33,0.8989677429199219,2025-08-19 17:04:36.597185,2025-08-19 17:05:21.960664,0 days 00:00:45.363479,100,,normal,6,nz,0.00010625451634814159,0.19351986224566123,7396,928,0.6302912126202526,pca,old,0.4438901200917814,logistic,COMPLETE
34,0.8329838911692301,2025-08-19 17:05:21.960876,2025-08-19 17:06:07.364037,0 days 00:00:45.403161,100,,normal,6,nz,0.00013779519003468142,0.05706430191891339,6610,784,0.6278176234897659,pca,old,0.3823173618136153,logistic,COMPLETE
35,0.8883548776308695,2025-08-19 17:06:07.364482,2025-08-19 17:06:52.756965,0 days 00:00:45.392483,100,,normal,6,nz,0.0006586908044001922,0.20528060743982163,5155,864,0.5934357391163496,pca,old,0.9600449368743404,logistic,COMPLETE
36,0.8911935687065125,2025-08-19 17:06:52.757436,2025-08-19 17:10:23.452289,0 days 00:03:30.694853,20,,normal,6,nz,0.0005836725234328207,0.15744640874828159,3676,912,0.5879732703721878,pca,old,1.1955217114705288,logistic,COMPLETE
37,0.8223709662755331,2025-08-19 17:10:23.452742,2025-08-19 17:13:55.647237,0 days 00:03:32.194495,20,,normal,6,nz,3.541359774488414e-05,0.029822574994981033,3616,928,0.7172666888495179,pca,old,1.2270110218802697,logistic,COMPLETE
38,0.6548548142115275,2025-08-19 17:13:55.649757,2025-08-19 17:17:26.364126,0 days 00:03:30.714369,20,,normal,6,nz,0.0011041187051987777,0.00010584252550602167,7266,816,0.5852044047218534,pca,Glorot,,logistic,COMPLETE
