number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.7227742195129394,2025-08-23 05:23:42.241581,2025-08-23 05:27:57.107664,0 days 00:04:14.866083,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.013052415847778321,COMPLETE,0.013052415847778321
1,0.7178548693656921,2025-08-23 05:27:57.109603,2025-08-23 05:28:49.169022,0 days 00:00:52.059419,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013090395927429199,COMPLETE,0.013090395927429199
2,0.801645179092884,2025-08-23 05:28:49.170965,2025-08-23 05:29:35.166488,0 days 00:00:45.995523,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,,COMPLETE,
3,0.6414355278015137,2025-08-23 05:29:35.166747,2025-08-23 05:33:49.268419,0 days 00:04:14.101672,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.013111758232116699,COMPLETE,0.013111758232116699
4,0.9286935687065124,2025-08-23 05:33:49.270441,2025-08-23 05:34:40.608075,0 days 00:00:51.337634,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.008339190483093261,COMPLETE,0.008339190483093261
5,0.9631129384040833,2025-08-23 05:34:40.609849,2025-08-23 05:38:53.996918,0 days 00:04:13.387069,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.004752516746520996,COMPLETE,0.004752516746520996
6,0.2006451666355133,2025-08-23 05:38:53.998756,2025-08-23 05:39:51.600527,0 days 00:00:57.601771,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.013021516799926757,COMPLETE,0.013021516799926757
7,0.9631613254547119,2025-08-23 05:39:51.603189,2025-08-23 05:40:41.595333,0 days 00:00:49.992144,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.008454489707946777,COMPLETE,0.008454489707946777
8,0.9368710279464721,2025-08-23 05:40:41.597364,2025-08-23 05:41:34.756608,0 days 00:00:53.159244,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.011588859558105468,COMPLETE,0.011588859558105468
9,0.7037097215652466,2025-08-23 05:41:34.756843,2025-08-23 05:42:24.233665,0 days 00:00:49.476822,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.0132584810256958,COMPLETE,0.0132584810256958
10,0.9715322852134705,2025-08-23 05:42:24.233964,2025-08-23 05:46:37.627238,0 days 00:04:13.393274,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,0.004483246803283691,COMPLETE,0.004483246803283691
11,0.7907096982002259,2025-08-23 05:46:37.627561,2025-08-23 05:47:23.218808,0 days 00:00:45.591247,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,0.009249043464660645,COMPLETE,0.009249043464660645
12,0.9778871178627014,2025-08-23 05:47:23.219034,2025-08-23 05:51:19.197581,0 days 00:03:55.978547,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,0.0027458667755126953,COMPLETE,0.0027458667755126953
13,0.9541290760040283,2025-08-23 05:51:19.197920,2025-08-23 05:52:08.021596,0 days 00:00:48.823676,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,0.003357410430908203,COMPLETE,0.003357410430908203
