number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.921999971071879,2025-08-19 16:21:29.151167,2025-08-19 16:25:03.612989,0 days 00:03:34.461822,20,1.2792932594071815e-07,normal,7,zero,,0.009371172320220453,946,544,,colnorm,Glorot,,tanh,COMPLETE
1,0.9179193377494812,2025-08-19 16:25:03.613580,2025-08-19 16:28:25.271874,0 days 00:03:21.658294,20,,uniform,6,zero,,0.09309533992243334,239,864,0.8334015827321564,pca,Glorot,,logistic,COMPLETE
2,0.747129221757253,2025-08-19 16:28:25.272387,2025-08-19 16:31:45.274931,0 days 00:03:20.002544,20,,normal,5,zero,,2.982889242224652e-05,1269,432,0.6843604236856253,pca,old,0.6965942073035493,tanh,COMPLETE
3,0.9198387265205383,2025-08-19 16:31:45.275431,2025-08-19 16:35:17.503160,0 days 00:03:32.227729,20,,uniform,6,nz,1.7885536267599673e-06,0.029443051758387913,1145,192,0.6714305700919312,pca,Glorot,,logistic,COMPLETE
4,0.8910644849141439,2025-08-19 16:35:17.503673,2025-08-19 16:38:55.625925,0 days 00:03:38.122252,20,,normal,7,nz,8.793583131496145e-07,0.0032051611983101146,1327,592,,raw,old,1.0543404859946486,tanh,COMPLETE
5,0.7173225482304891,2025-08-19 16:38:55.626432,2025-08-19 16:42:18.977724,0 days 00:03:23.351292,20,9.651006002269215e-05,uniform,8,zero,,2.658642117919635e-05,109,960,,colnorm,Glorot,,tanh,COMPLETE
6,0.9509032368659973,2025-08-19 16:42:18.978231,2025-08-19 16:45:49.633752,0 days 00:03:30.655521,20,1.3008224822480903e-09,uniform,6,nz,1.4080681483802386e-06,0.7165104572145266,304,352,,colnorm,Glorot,,tanh,COMPLETE
7,0.1125161275267601,2025-08-19 16:45:49.634235,2025-08-19 16:49:20.760343,0 days 00:03:31.126108,20,,uniform,7,nz,2.4126044932298733e-08,1.0604049392537988e-05,2793,912,,raw,Glorot,,logistic,COMPLETE
8,0.833016057809194,2025-08-19 16:49:20.760834,2025-08-19 16:52:40.413056,0 days 00:03:19.652222,20,,normal,7,zero,,0.001191472078696568,118,704,0.7135878018429013,pca,Glorot,,tanh,COMPLETE
9,0.8839354316393534,2025-08-19 16:52:40.413540,2025-08-19 16:53:21.510301,0 days 00:00:41.096761,100,,uniform,8,zero,,0.037286599313884415,433,656,,raw,Glorot,,logistic,COMPLETE
10,0.9421935280164083,2025-08-19 16:53:21.510503,2025-08-19 16:54:04.786505,0 days 00:00:43.276002,100,3.6607128469578873e-09,uniform,6,nz,0.005831032890174605,0.5839050342321213,6016,32,,colnorm,old,1.9642422911357693,tanh,COMPLETE
11,0.9482257763544718,2025-08-19 16:54:04.786958,2025-08-19 16:54:47.146167,0 days 00:00:42.359209,100,2.832893877863696e-09,uniform,6,nz,0.003121491500376621,0.5348390044947976,8318,32,,colnorm,old,1.9081088759074012,tanh,COMPLETE
12,0.9615483085314432,2025-08-19 16:54:47.146389,2025-08-19 16:55:31.132701,0 days 00:00:43.986312,100,1.2900183720138943e-09,uniform,6,nz,0.002404442560812741,0.8590921732954782,6683,272,,colnorm,old,1.8260725060635443,tanh,COMPLETE
13,0.7078224619229635,2025-08-19 16:55:31.133151,2025-08-19 16:56:14.077940,0 days 00:00:42.944789,100,2.3585583299245772e-09,uniform,6,nz,0.00010975275446934468,1.1822908853860045e-06,407,384,,colnorm,old,1.4335249567028507,tanh,COMPLETE
14,0.9689516226450602,2025-08-19 16:56:14.078402,2025-08-19 16:57:02.247344,0 days 00:00:48.168942,100,2.4858607475605904e-07,uniform,5,nz,3.882405483753169e-05,0.5802216690932867,3086,272,,colnorm,old,1.499272595203329,tanh,COMPLETE
15,0.7824676632881165,2025-08-19 16:57:02.247769,2025-08-19 16:57:51.014271,0 days 00:00:48.766502,100,9.159487420898244e-07,uniform,5,nz,0.00021141357690061536,0.00020813873802548696,3550,208,,colnorm,old,1.499660763322899,tanh,COMPLETE
16,0.9666451811790466,2025-08-19 16:57:51.014481,2025-08-19 16:58:34.811173,0 days 00:00:43.796692,100,5.741415781149248e-05,uniform,5,nz,0.00010840486333622696,0.16267944210485574,3289,224,,colnorm,old,1.4864546915597803,tanh,COMPLETE
