number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.9025000333786011,2025-08-23 05:23:44.075391,2025-08-23 05:24:34.394099,0 days 00:00:50.318708,100,,normal,6,nz,0.005020847175011941,0.28678812614035476,266,80,,raw,old,0.7186620787543885,logistic,5.240440368652344e-05,COMPLETE,5.240440368652344e-05
1,0.8637258172035217,2025-08-23 05:24:34.395947,2025-08-23 05:28:26.843091,0 days 00:03:52.447144,20,6.404970863644254e-07,uniform,7,zero,,0.002727419843207111,355,224,,colnorm,old,0.7651904189827918,tanh,0.012210321426391602,COMPLETE,0.012210321426391602
2,0.9703387379646301,2025-08-23 05:28:26.844668,2025-08-23 05:29:15.189662,0 days 00:00:48.344994,100,3.6201072407748306e-07,normal,8,zero,,0.5405177223050418,2318,656,,colnorm,old,1.4530888343305441,tanh,0.0018513917922973633,COMPLETE,0.0018513917922973633
3,0.6744516253471374,2025-08-23 05:29:15.191487,2025-08-23 05:30:01.961788,0 days 00:00:46.770301,100,,normal,5,zero,,0.0003086104554138934,785,480,,raw,old,0.4979025208384174,tanh,0.013048315048217773,COMPLETE,0.013048315048217773
4,0.9118226051330567,2025-08-23 05:30:01.962041,2025-08-23 05:30:49.151172,0 days 00:00:47.189131,100,,uniform,6,zero,,0.0753316189564453,715,288,,raw,old,0.842727131035182,logistic,0.004845142364501953,COMPLETE,0.004845142364501953
5,0.9176935672760009,2025-08-23 05:30:49.151494,2025-08-23 05:31:38.346093,0 days 00:00:49.194599,100,,normal,7,zero,,0.13862889345041887,116,144,0.9709046340957243,pca,old,1.6080142723828008,logistic,0.004479408264160156,COMPLETE,0.004479408264160156
6,0.7050806879997253,2025-08-23 05:31:38.346329,2025-08-23 05:35:34.403887,0 days 00:03:56.057558,20,,uniform,7,zero,,1.8560837352965355e-06,103,688,0.5841376526836222,pca,Glorot,,tanh,0.013147401809692382,COMPLETE,0.013147401809692382
7,0.9130161523818969,2025-08-23 05:35:34.405855,2025-08-23 05:36:23.539096,0 days 00:00:49.133241,100,,uniform,6,zero,,0.0045466213818785945,5559,256,0.9962788595863201,pca,Glorot,,logistic,0.007819414138793945,COMPLETE,0.007819414138793945
8,0.2703548550605774,2025-08-23 05:36:23.541843,2025-08-23 05:40:19.894604,0 days 00:03:56.352761,20,1.3368559695948625e-06,normal,5,zero,,1.7286821158315763e-05,6875,560,,colnorm,Glorot,,logistic,0.01300344467163086,COMPLETE,0.01300344467163086
9,0.6566613197326661,2025-08-23 05:40:19.896532,2025-08-23 05:44:18.031359,0 days 00:03:58.134827,20,3.2487879589717105e-05,uniform,8,nz,1.7289062457084353e-08,0.008683638175257328,196,64,,colnorm,Glorot,,logistic,0.008885645866394043,COMPLETE,0.008885645866394043
10,0.8810484409332275,2025-08-23 05:44:18.031711,2025-08-23 05:48:03.250310,0 days 00:03:45.218599,20,3.7695952432846887e-06,uniform,5,zero,,0.005988265244732958,304,96,,colnorm,Glorot,,tanh,0.009981679916381835,COMPLETE,0.009981679916381835
11,0.6172419548034668,2025-08-23 05:48:03.250637,2025-08-23 05:51:50.794132,0 days 00:03:47.543495,20,,uniform,7,zero,,2.205572604793678e-06,1299,112,0.9177342805737674,pca,Glorot,,tanh,0.012951946258544922,COMPLETE,0.012951946258544922
12,0.9731774449348449,2025-08-23 05:51:50.794401,2025-08-23 05:52:38.938938,0 days 00:00:48.144537,100,,uniform,8,zero,,0.6463670471704025,645,384,0.6854374496447422,pca,old,0.6411968347530046,tanh,0.001908111572265625,COMPLETE,0.001908111572265625
13,0.16164516806602477,2025-08-23 05:52:38.939156,2025-08-23 05:53:29.828113,0 days 00:00:50.888957,100,2.4464011566467275e-05,normal,7,nz,6.580761756952406e-06,3.529805211191061e-06,1037,544,,colnorm,old,1.9071709329056934,logistic,0.013133502006530762,COMPLETE,0.013133502006530762
14,0.6882258176803588,2025-08-23 05:53:29.828372,2025-08-23 05:57:26.129296,0 days 00:03:56.300924,20,4.53231249709737e-06,uniform,6,zero,,0.0008232511308055879,1021,416,,colnorm,Glorot,,logistic,0.012794947624206543,COMPLETE,0.012794947624206543
15,0.11574193835258484,2025-08-23 05:57:26.131416,2025-08-23 06:01:34.663756,0 days 00:04:08.532340,20,0.00022796177218519458,normal,5,nz,4.566335943744083e-08,9.86923632335542e-06,483,544,,colnorm,Glorot,,logistic,0.013078093528747559,COMPLETE,0.013078093528747559
16,0.9596774578094482,2025-08-23 06:01:34.664027,2025-08-23 06:02:22.771968,0 days 00:00:48.107941,100,1.189274263546075e-06,uniform,6,zero,,0.025365537259255194,4125,816,,colnorm,old,0.48948637724712935,tanh,0.0109025239944458,COMPLETE,0.0109025239944458
17,0.11251613348722458,2025-08-23 06:02:22.772187,2025-08-23 06:06:30.174682,0 days 00:04:07.402495,20,,uniform,6,nz,1.4593069348259313e-06,4.8725813807672996e-05,872,496,,raw,Glorot,,logistic,0.013333749771118165,COMPLETE,0.013333749771118165
18,0.09835484176874161,2025-08-23 06:06:30.175001,2025-08-23 06:10:38.811893,0 days 00:04:08.636892,20,0.0003658052095178819,uniform,5,nz,2.61432346137729e-05,0.7712091002222098,167,560,,colnorm,old,0.8772453453841234,logistic,,COMPLETE,
19,0.3089193761348724,2025-08-23 06:10:38.812162,2025-08-23 06:11:28.263522,0 days 00:00:49.451360,100,,normal,7,nz,4.271037808365358e-05,1.9595449161099905e-06,6790,112,0.8283523401966375,pca,Glorot,,logistic,0.012880063056945801,COMPLETE,0.012880063056945801
20,0.7120806813240051,2025-08-23 06:11:28.263742,2025-08-23 06:15:22.098676,0 days 00:03:53.834934,20,,uniform,7,zero,,0.00029956802319562316,1957,592,0.6083709951450864,pca,Glorot,,logistic,0.012883186340332031,COMPLETE,0.012883186340332031
21,0.11251613348722458,2025-08-23 06:15:22.098938,2025-08-23 06:19:17.847533,0 days 00:03:55.748595,20,8.497871339273834e-07,normal,5,zero,,2.786929921862278e-06,293,1024,,colnorm,old,0.9114986472254265,logistic,0.013300848007202149,COMPLETE,0.013300848007202149
22,0.9340000629425049,2025-08-23 06:19:17.847829,2025-08-23 06:23:22.241440,0 days 00:04:04.393611,20,,normal,5,nz,7.842857048400411e-08,0.02247144159652349,1071,272,,raw,Glorot,,tanh,0.008152484893798828,COMPLETE,0.008152484893798828
23,0.7829516410827637,2025-08-23 06:23:22.241713,2025-08-23 06:27:15.479214,0 days 00:03:53.237501,20,,uniform,8,zero,,0.00013828279283371964,8171,896,0.5079552056222199,pca,Glorot,,logistic,0.012827754020690918,COMPLETE,0.012827754020690918
24,0.5968871235847473,2025-08-23 06:27:15.479478,2025-08-23 06:28:03.488623,0 days 00:00:48.009145,100,1.6627948650580708e-06,normal,7,zero,,0.0013572916218580562,286,640,,colnorm,Glorot,,logistic,0.012890887260437012,COMPLETE,0.012890887260437012
