number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.9364193479220072,2025-08-19 16:21:29.284100,2025-08-19 16:25:15.261371,0 days 00:03:45.977271,20,,uniform,7,zero,,0.02832015499559863,635,928,0.9254981014199591,pca,Glorot,,tanh,COMPLETE
1,0.6870483557383219,2025-08-19 16:25:15.261928,2025-08-19 16:29:01.825882,0 days 00:03:46.563954,20,3.384798363774911e-07,normal,7,nz,0.0017161617331398983,0.0008451692067230293,274,704,,colnorm,old,0.20701366339848234,tanh,COMPLETE
2,0.9401129285494486,2025-08-19 16:29:01.826430,2025-08-19 16:32:34.986463,0 days 00:03:33.160033,20,2.147542830565444e-09,normal,5,zero,,0.00574495138528705,7551,896,,colnorm,Glorot,,tanh,COMPLETE
3,0.1639197071393331,2025-08-19 16:32:34.986980,2025-08-19 16:36:09.347012,0 days 00:03:34.360032,20,,uniform,6,zero,,1.89988351237406e-05,378,688,0.9945058624174061,pca,old,1.865358277466792,logistic,COMPLETE
4,0.9224031964937845,2025-08-19 16:36:09.347543,2025-08-19 16:39:57.221738,0 days 00:03:47.874195,20,0.00036901478744868284,normal,8,nz,1.5729299906094828e-08,0.0028997691031122,4034,912,,colnorm,old,0.9714429748553166,tanh,COMPLETE
5,0.7344678441683451,2025-08-19 16:39:57.222254,2025-08-19 16:40:43.480933,0 days 00:00:46.258679,100,1.2027795676198203e-08,normal,6,nz,2.3281451616132915e-07,1.618873832133687e-05,533,960,,colnorm,old,1.0986451139692879,tanh,COMPLETE
6,0.7304999828338623,2025-08-19 16:40:43.481141,2025-08-19 16:44:10.285112,0 days 00:03:26.803971,20,,normal,7,zero,,8.910386066509292e-05,3583,160,,raw,Glorot,,tanh,COMPLETE
7,0.9331773718198141,2025-08-19 16:44:10.285622,2025-08-19 16:47:38.394694,0 days 00:03:28.109072,20,,uniform,7,zero,,0.06949025895569286,4020,16,0.9211118676220769,pca,old,1.9765110686056533,logistic,COMPLETE
8,0.9325483640034994,2025-08-19 16:47:38.395205,2025-08-19 16:48:22.108027,0 days 00:00:43.712822,100,,uniform,8,zero,,0.06015237215748322,281,752,0.8350079495101004,pca,Glorot,,tanh,COMPLETE
9,0.7821935812632242,2025-08-19 16:48:22.108516,2025-08-19 16:51:49.947507,0 days 00:03:27.838991,20,,normal,5,zero,,0.0021212789174433035,1284,848,,raw,old,0.949124582697388,logistic,COMPLETE
10,0.9052742918332418,2025-08-19 16:51:49.947966,2025-08-19 16:52:35.882878,0 days 00:00:45.934912,100,1.2213165764339904e-09,normal,5,nz,0.006176761530367452,0.6592532033662343,8412,400,,colnorm,Glorot,,logistic,COMPLETE
11,0.8993064363797506,2025-08-19 16:52:35.883371,2025-08-19 16:56:00.123798,0 days 00:03:24.240427,20,,uniform,5,zero,,0.023644967883386134,104,1024,0.5428069138760795,pca,Glorot,,tanh,COMPLETE
12,0.9499032298723856,2025-08-19 16:56:00.124235,2025-08-19 16:59:23.720585,0 days 00:03:23.596350,20,,uniform,5,zero,,0.6306223571000258,1167,512,0.69347653500262,pca,Glorot,,tanh,COMPLETE
13,0.9475806752840678,2025-08-19 16:59:23.723958,2025-08-19 17:02:46.038263,0 days 00:03:22.314305,20,5.250450846596609e-06,uniform,5,zero,,0.6867740695838094,1651,512,,colnorm,Glorot,,tanh,COMPLETE
14,0.9505806763966879,2025-08-19 17:02:46.038723,2025-08-19 17:06:07.117432,0 days 00:03:21.078709,20,,uniform,5,zero,,0.9162432103392901,1422,480,,raw,Glorot,,tanh,COMPLETE
15,0.9722581108411154,2025-08-19 17:06:07.117876,2025-08-19 17:06:47.898584,0 days 00:00:40.780708,100,,uniform,5,zero,,0.9357633026014627,2011,352,,raw,Glorot,,tanh,COMPLETE
16,0.9708225925763448,2025-08-19 17:06:47.898778,2025-08-19 17:07:28.709051,0 days 00:00:40.810273,100,,uniform,5,zero,,0.15559846517191922,2117,304,,raw,Glorot,,tanh,COMPLETE
17,0.9649677276611328,2025-08-19 17:07:28.709465,2025-08-19 17:08:09.813442,0 days 00:00:41.103977,100,,uniform,5,zero,,0.0969565559398676,2381,288,,raw,Glorot,,tanh,COMPLETE
18,0.336419016122818,2025-08-19 17:08:09.813707,2025-08-19 17:08:54.236529,0 days 00:00:44.422822,100,,uniform,8,nz,2.5980136482493708e-05,0.0002786896811415464,2381,288,,raw,Glorot,,logistic,COMPLETE
19,0.9580645163853964,2025-08-19 17:08:54.236873,2025-08-19 17:09:35.189629,0 days 00:00:40.952756,100,,uniform,6,zero,,0.18190494121577205,647,336,,raw,Glorot,,tanh,COMPLETE
20,0.6454026301701864,2025-08-19 17:09:35.190042,2025-08-19 17:10:16.328245,0 days 00:00:41.138203,100,,uniform,5,zero,,1.1714203743113883e-06,2504,144,,raw,Glorot,,tanh,COMPLETE
21,0.9734999934832255,2025-08-19 17:10:16.328518,2025-08-19 17:10:56.663191,0 days 00:00:40.334673,100,,uniform,5,zero,,0.2088004545548046,2305,256,,raw,Glorot,,tanh,COMPLETE
22,0.9763548374176025,2025-08-19 17:10:56.663564,2025-08-19 17:11:37.964629,0 days 00:00:41.301065,100,,uniform,5,zero,,0.2538854101581299,5268,208,,raw,Glorot,,tanh,COMPLETE
23,0.9290806651115417,2025-08-19 17:11:37.965041,2025-08-19 17:12:18.658389,0 days 00:00:40.693348,100,,uniform,5,zero,,0.011339805674266274,6534,192,,raw,Glorot,,tanh,COMPLETE
24,0.9753064513206482,2025-08-19 17:12:18.658640,2025-08-19 17:12:59.128618,0 days 00:00:40.469978,100,,uniform,5,zero,,0.16453266518366955,5637,400,,raw,Glorot,,tanh,COMPLETE
25,0.9399999976158142,2025-08-19 17:12:59.128953,2025-08-19 17:13:40.198399,0 days 00:00:41.069446,100,,uniform,5,zero,,0.0184485121468527,5024,64,,raw,Glorot,,tanh,COMPLETE
26,0.9772580663363138,2025-08-19 17:13:40.198819,2025-08-19 17:14:21.445893,0 days 00:00:41.247074,100,,uniform,5,zero,,0.3218665994498396,9334,608,,raw,Glorot,,tanh,COMPLETE
27,0.964258054892222,2025-08-19 17:14:21.446354,2025-08-19 17:15:05.307649,0 days 00:00:43.861295,100,,uniform,6,nz,1.8249088256205893e-05,0.24964763624974434,5721,592,,raw,Glorot,,logistic,COMPLETE
28,0.9671290318171183,2025-08-19 17:15:05.307837,2025-08-19 17:15:45.906429,0 days 00:00:40.598592,100,,uniform,8,zero,,0.05187398875056825,9268,416,,raw,Glorot,,tanh,COMPLETE
29,0.9371128877003988,2025-08-19 17:15:45.906837,2025-08-19 17:16:26.887807,0 days 00:00:40.980970,100,,uniform,7,zero,,0.030335719439550202,3275,640,,raw,Glorot,,tanh,COMPLETE
30,0.9212903181711832,2025-08-19 17:16:26.888063,2025-08-19 17:17:07.674135,0 days 00:00:40.786072,100,,uniform,5,zero,,0.008402868837225012,9527,576,,raw,Glorot,,tanh,COMPLETE
31,0.9760483900705973,2025-08-19 17:17:07.674482,2025-08-19 17:17:48.271242,0 days 00:00:40.596760,100,,uniform,5,zero,,0.277517173988658,5697,192,,raw,Glorot,,tanh,COMPLETE
32,0.9770806431770325,2025-08-19 17:17:48.271653,2025-08-19 17:18:29.034497,0 days 00:00:40.762844,100,,uniform,5,zero,,0.32150177466963686,5898,208,,raw,Glorot,,tanh,COMPLETE
33,0.9738387068112692,2025-08-19 17:18:29.034754,2025-08-19 17:19:09.812682,0 days 00:00:40.777928,100,,uniform,5,zero,,0.30213811862343554,7047,96,,raw,Glorot,,tanh,COMPLETE
34,0.9763548572858175,2025-08-19 17:19:09.813016,2025-08-19 17:19:50.813710,0 days 00:00:41.000694,100,,uniform,5,zero,,0.3875452300832186,4623,224,,raw,old,0.25934085176593147,tanh,COMPLETE
35,0.9517096678415934,2025-08-19 17:19:50.814120,2025-08-19 17:20:34.414446,0 days 00:00:43.600326,100,,uniform,7,nz,4.286349562285866e-07,0.03803710142811,4761,224,,raw,old,0.2748071567873625,tanh,COMPLETE
