number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.24829041957855225,2025-08-19 16:21:34.114622,2025-08-19 16:25:20.095096,0 days 00:03:45.980474,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,COMPLETE
1,0.2627580165863037,2025-08-19 16:25:20.095674,2025-08-19 16:26:04.680406,0 days 00:00:44.584732,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,COMPLETE
2,0.2221136838197708,2025-08-19 16:26:04.680759,2025-08-19 16:26:45.487444,0 days 00:00:40.806685,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,COMPLETE
3,0.26743555068969727,2025-08-19 16:26:45.487919,2025-08-19 16:30:15.716749,0 days 00:03:30.228830,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,COMPLETE
4,0.3833548128604889,2025-08-19 16:30:15.717239,2025-08-19 16:30:57.362606,0 days 00:00:41.645367,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,COMPLETE
5,0.4714839855829875,2025-08-19 16:30:57.363070,2025-08-19 16:34:33.680034,0 days 00:03:36.316964,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,COMPLETE
6,0.11290322244167328,2025-08-19 16:34:33.680528,2025-08-19 16:35:16.414850,0 days 00:00:42.734322,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,COMPLETE
7,0.48970962564150494,2025-08-19 16:35:16.415141,2025-08-19 16:35:58.225155,0 days 00:00:41.810014,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,COMPLETE
8,0.4013225833574931,2025-08-19 16:35:58.225540,2025-08-19 16:36:43.780153,0 days 00:00:45.554613,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,COMPLETE
9,0.2128709057966868,2025-08-19 16:36:43.780629,2025-08-19 16:37:26.558486,0 days 00:00:42.777857,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,COMPLETE
10,0.5426935354868571,2025-08-19 16:37:26.558957,2025-08-19 16:40:53.030323,0 days 00:03:26.471366,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,COMPLETE
11,0.20900007585684457,2025-08-19 16:40:53.030710,2025-08-19 16:41:31.737649,0 days 00:00:38.706939,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,COMPLETE
12,0.4935807188351949,2025-08-19 16:41:31.737845,2025-08-19 16:44:40.908506,0 days 00:03:09.170661,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,COMPLETE
13,0.41298384467760724,2025-08-19 16:44:40.911409,2025-08-19 16:45:19.968018,0 days 00:00:39.056609,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,COMPLETE
14,0.4961935877799988,2025-08-19 16:45:19.968346,2025-08-19 16:48:30.347286,0 days 00:03:10.378940,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,COMPLETE
15,0.38222578167915344,2025-08-19 16:48:30.347671,2025-08-19 16:51:51.821344,0 days 00:03:21.473673,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,COMPLETE
16,0.409758061170578,2025-08-19 16:51:51.821744,2025-08-19 16:55:04.254074,0 days 00:03:12.432330,20,2.2457634781982113e-09,normal,5,zero,,0.067235281002106,1494,80,,colnorm,Glorot,,logistic,COMPLETE
17,0.25064513583978015,2025-08-19 16:55:04.254502,2025-08-19 16:55:46.796554,0 days 00:00:42.542052,100,,normal,8,nz,0.00999455049927107,0.010962757744893572,7460,224,0.5522837916814318,pca,old,1.6141249876472938,tanh,COMPLETE
18,0.3912096718947093,2025-08-19 16:55:46.796859,2025-08-19 16:59:11.076470,0 days 00:03:24.279611,20,,normal,8,nz,0.0003648604215928669,0.04336008155036685,1354,496,0.7632487122659962,pca,old,1.595453026887686,tanh,COMPLETE
19,0.4484838048617045,2025-08-19 16:59:11.076861,2025-08-19 17:02:43.651081,0 days 00:03:32.574220,20,,normal,6,nz,0.009639207774279644,0.31372304922910027,5810,320,0.9838578316371425,pca,old,1.2438620656415593,tanh,COMPLETE
20,0.3069677452246348,2025-08-19 17:02:43.651479,2025-08-19 17:05:49.613164,0 days 00:03:05.961685,20,,normal,8,zero,,0.0013129852987532036,7142,16,0.8063667042272604,pca,old,1.96268183421802,tanh,COMPLETE
21,0.4362422823905945,2025-08-19 17:05:49.613545,2025-08-19 17:09:03.030350,0 days 00:03:13.416805,20,,normal,8,zero,,0.22153106604113063,3595,720,,raw,old,1.1722914866764322,tanh,COMPLETE
22,0.37379032373428345,2025-08-19 17:09:03.030739,2025-08-19 17:12:13.334378,0 days 00:03:10.303639,20,,normal,7,zero,,0.002967534396335478,4196,480,,raw,old,1.315142903241926,tanh,COMPLETE
23,0.5097097555796305,2025-08-19 17:12:13.334768,2025-08-19 17:15:26.551724,0 days 00:03:13.216956,20,,normal,6,zero,,0.16780264708481435,1414,304,0.6929173899284485,pca,Glorot,,logistic,COMPLETE
24,0.4727096954981486,2025-08-19 17:15:26.553232,2025-08-19 17:18:41.377450,0 days 00:03:14.824218,20,,normal,8,zero,,0.4556641264256633,1266,336,0.6405600843923327,pca,Glorot,,logistic,COMPLETE
25,0.475467711687088,2025-08-19 17:18:41.377840,2025-08-19 17:21:52.016942,0 days 00:03:10.639102,20,,normal,6,zero,,0.19351684942339686,685,784,0.7122211658019844,pca,Glorot,,logistic,COMPLETE
26,0.24762904147307077,2025-08-19 17:21:52.017659,2025-08-19 17:25:17.726872,0 days 00:03:25.709213,20,,normal,6,nz,6.53343574357781e-05,0.0302403230170818,2880,64,0.5360598678689044,pca,Glorot,,logistic,COMPLETE
27,0.43851614991823834,2025-08-19 17:25:17.727272,2025-08-19 17:28:28.166038,0 days 00:03:10.438766,20,,normal,6,zero,,0.1601100898864516,2386,32,,raw,Glorot,,tanh,COMPLETE
28,0.38280641039212543,2025-08-19 17:28:28.166432,2025-08-19 17:29:09.745810,0 days 00:00:41.579378,100,,normal,6,nz,0.000590338991783019,0.22512459476961533,1524,448,,raw,Glorot,,logistic,COMPLETE
29,0.42740315198898315,2025-08-19 17:29:09.746014,2025-08-19 17:32:22.284372,0 days 00:03:12.538358,20,,normal,6,zero,,0.14764722454791082,616,336,0.8380247559732938,pca,old,0.4952172048975282,logistic,COMPLETE
30,0.49185484647750854,2025-08-19 17:32:22.284785,2025-08-19 17:35:45.652121,0 days 00:03:23.367336,20,,normal,7,nz,6.578308775833716e-06,0.04653774749318501,8263,352,0.9942687950576319,pca,old,1.6378406046723795,logistic,COMPLETE
31,0.5157258709271749,2025-08-19 17:35:45.652883,2025-08-19 17:38:56.392485,0 days 00:03:10.739602,20,,normal,8,zero,,0.23787415496509542,5887,320,,raw,old,1.08337357275682,logistic,COMPLETE
32,0.3884676396846771,2025-08-19 17:38:56.393190,2025-08-19 17:42:09.616169,0 days 00:03:13.222979,20,,normal,8,zero,,0.08006000218096644,2775,256,,raw,old,1.0032625108585391,logistic,COMPLETE
33,0.5086775024731954,2025-08-19 17:42:09.616564,2025-08-19 17:45:21.569128,0 days 00:03:11.952564,20,1.6403223667864582e-07,normal,6,zero,,0.8723364803720405,6703,512,,colnorm,old,0.9550007259547237,logistic,COMPLETE
34,0.42290321985880536,2025-08-19 17:45:21.569856,2025-08-19 17:48:34.273437,0 days 00:03:12.703581,20,5.867905382530627e-08,uniform,6,zero,,0.03899609015230228,5067,608,,colnorm,old,0.9515960082309763,logistic,COMPLETE
35,0.49540311098098755,2025-08-19 17:48:34.274148,2025-08-19 17:52:01.382485,0 days 00:03:27.108337,20,2.1531141374246485e-07,normal,6,nz,0.0008938533113169246,0.35639426391911766,9030,592,,colnorm,old,1.0037310346232249,logistic,COMPLETE
36,0.5320807496706644,2025-08-19 17:52:01.382889,2025-08-19 17:55:14.105809,0 days 00:03:12.722920,20,1.4892291489280658e-08,normal,7,zero,,0.8139488172063933,3161,448,,colnorm,old,1.354707777675809,logistic,COMPLETE
37,0.5262742837270101,2025-08-19 17:55:14.106471,2025-08-19 17:58:29.623776,0 days 00:03:15.517305,20,1.0739246078849877e-09,normal,7,zero,,0.25586787827381424,5140,288,,colnorm,old,1.4810485326691172,logistic,COMPLETE
38,0.4631773730119069,2025-08-19 17:58:29.626934,2025-08-19 18:01:41.867741,0 days 00:03:12.240807,20,1.105527666204496e-09,normal,7,zero,,0.15411606753357326,9623,160,,colnorm,old,1.4690450535137356,logistic,COMPLETE
39,0.5485161542892456,2025-08-19 18:01:41.868782,2025-08-19 18:05:06.726669,0 days 00:03:24.857887,20,1.3625885043471806e-08,normal,7,nz,3.754516890371867e-05,0.2566259292599666,3554,544,,colnorm,Glorot,,logistic,COMPLETE
40,0.5276773969332377,2025-08-19 18:05:06.727079,2025-08-19 18:08:35.236499,0 days 00:03:28.509420,20,1.0439289908401217e-08,normal,7,nz,4.187358138473144e-05,0.16115121824852865,2152,400,,colnorm,Glorot,,logistic,COMPLETE
41,0.5125645200411478,2025-08-19 18:08:35.236889,2025-08-19 18:12:00.191061,0 days 00:03:24.954172,20,1.151096777505454e-08,normal,7,nz,3.189324733371714e-05,0.15395833842604575,2611,272,,colnorm,Glorot,,logistic,COMPLETE
42,0.5378548701604208,2025-08-19 18:12:00.191459,2025-08-19 18:12:43.197011,0 days 00:00:43.005552,100,9.32669316947043e-09,normal,8,nz,4.213904226242799e-05,0.7298961497644888,6335,576,,colnorm,Glorot,,logistic,COMPLETE
43,0.3972257475058238,2025-08-19 18:12:43.197215,2025-08-19 18:13:26.157314,0 days 00:00:42.960099,100,2.1469922023889785e-08,normal,8,nz,3.167941177605365e-05,0.040863448678803475,5845,784,,colnorm,Glorot,,logistic,COMPLETE
44,0.27580644687016803,2025-08-19 18:13:26.157695,2025-08-19 18:16:52.749539,0 days 00:03:26.591844,20,2.1196448308670235e-08,normal,7,nz,4.254024892228794e-05,0.5047849096719258,2895,672,,colnorm,Glorot,,tanh,COMPLETE
45,0.38280641039212543,2025-08-19 18:16:52.749938,2025-08-19 18:20:17.698350,0 days 00:03:24.948412,20,1.349789420073936e-08,uniform,7,nz,9.11922219046884e-05,0.009425612739556562,3684,720,,colnorm,Glorot,,logistic,COMPLETE
46,0.5425806641578674,2025-08-19 18:20:17.700650,2025-08-19 18:21:00.825914,0 days 00:00:43.125264,100,1.763768422912227e-08,uniform,8,nz,1.5663309355728777e-05,0.7296922352064525,1966,464,,colnorm,Glorot,,logistic,COMPLETE
