number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.15645158290863037,2025-08-19 16:21:29.192825,2025-08-19 16:22:26.144375,0 days 00:00:56.951550,100,,uniform,8,zero,,0.00010624115019039674,791,976,0.5109387416541811,pca,Glorot,,logistic,COMPLETE
1,0.3017904261747996,2025-08-19 16:22:26.144885,2025-08-19 16:26:06.806740,0 days 00:03:40.661855,20,,uniform,6,nz,1.5715594266053464e-06,3.190542595020643e-05,8970,688,0.8902637930636884,pca,Glorot,,tanh,COMPLETE
2,0.3310483694076538,2025-08-19 16:26:06.807241,2025-08-19 16:26:51.977806,0 days 00:00:45.170565,100,0.0004318284821572131,uniform,8,nz,3.9539261067094547e-08,0.002938578559398914,1764,272,,colnorm,Glorot,,logistic,COMPLETE
3,0.27541933457056683,2025-08-19 16:26:51.978095,2025-08-19 16:30:18.910261,0 days 00:03:26.932166,20,,normal,7,zero,,0.7351929422461655,497,912,0.9410932208396139,pca,old,1.2768119707272114,tanh,COMPLETE
4,0.36799997091293335,2025-08-19 16:30:18.912758,2025-08-19 16:33:45.768201,0 days 00:03:26.855443,20,,normal,6,zero,,0.0004965248396994324,6061,896,0.7678690962926887,pca,old,1.5082164851242772,tanh,COMPLETE
5,0.11235483984152476,2025-08-19 16:33:45.769764,2025-08-19 16:37:23.112756,0 days 00:03:37.342992,20,,uniform,5,nz,7.96262750161857e-08,1.5731688462957297e-05,472,864,0.8660516437835124,pca,Glorot,,logistic,COMPLETE
6,0.1126451591650645,2025-08-19 16:37:23.113241,2025-08-19 16:38:07.415824,0 days 00:00:44.302583,100,,uniform,5,nz,2.2903548075193835e-05,0.0007082954891003924,1698,608,,raw,old,1.283731772971168,logistic,COMPLETE
7,0.11237096786499023,2025-08-19 16:38:07.416275,2025-08-19 16:41:30.090903,0 days 00:03:22.674628,20,,normal,7,zero,,1.2854120634415107e-06,1962,304,0.6835434113303137,pca,Glorot,,logistic,COMPLETE
8,0.40751614173253375,2025-08-19 16:41:30.091424,2025-08-19 16:42:14.556905,0 days 00:00:44.465481,100,2.275186829683668e-05,uniform,6,nz,2.5477478674910893e-08,0.7157658760648006,1897,128,,colnorm,Glorot,,tanh,COMPLETE
9,0.3892258008321126,2025-08-19 16:42:14.557338,2025-08-19 16:42:58.587997,0 days 00:00:44.030659,100,,normal,7,nz,4.147015284053079e-05,0.055513640637851046,1461,256,0.9141014996325332,pca,old,1.8771129702661193,logistic,COMPLETE
10,0.4556935330231984,2025-08-19 16:42:58.588202,2025-08-19 16:43:42.710615,0 days 00:00:44.122413,100,4.768579688457349e-07,uniform,6,nz,0.009965952027558869,0.9258086784227568,190,48,,colnorm,Glorot,,tanh,COMPLETE
11,0.3967902461687724,2025-08-19 16:43:42.710991,2025-08-19 16:44:25.620121,0 days 00:00:42.909130,100,3.994979195967868e-07,uniform,6,nz,0.004377690099394908,0.3922772384313133,105,16,,colnorm,Glorot,,tanh,COMPLETE
12,0.34343541661898297,2025-08-19 16:44:25.620486,2025-08-19 16:45:07.996940,0 days 00:00:42.376454,100,1.2142579997639663e-05,uniform,6,nz,0.004219260995435911,0.03880419059099133,108,16,,colnorm,Glorot,,tanh,COMPLETE
13,0.38398388028144836,2025-08-19 16:45:07.997127,2025-08-19 16:45:51.072695,0 days 00:00:43.075568,100,2.6364008402700804e-09,uniform,6,nz,0.00027971825446404335,0.048106394118015004,250,160,,colnorm,Glorot,,tanh,COMPLETE
14,0.3909676472345988,2025-08-19 16:45:51.073064,2025-08-19 16:46:33.874512,0 days 00:00:42.801448,100,1.2963136914087391e-06,uniform,6,nz,6.205557829270688e-07,0.9295156312207182,4015,432,,colnorm,Glorot,,tanh,COMPLETE
15,0.29183868567148846,2025-08-19 16:46:33.874884,2025-08-19 16:47:15.347279,0 days 00:00:41.472395,100,,uniform,6,nz,1.0640339216044464e-08,0.008469186769222696,252,128,,raw,Glorot,,tanh,COMPLETE
16,0.4896291196346283,2025-08-19 16:47:15.347666,2025-08-19 16:47:57.854483,0 days 00:00:42.506817,100,2.9343521973036635e-05,uniform,6,nz,0.000286087789130519,0.14356296270835828,3263,448,,colnorm,Glorot,,tanh,COMPLETE
17,0.4874354998270671,2025-08-19 16:47:57.854681,2025-08-19 16:48:40.801682,0 days 00:00:42.947001,100,7.31663782913069e-08,uniform,8,nz,0.0005777856204231036,0.06729410343662064,3562,432,,colnorm,Glorot,,tanh,COMPLETE
18,0.3894031345844269,2025-08-19 16:48:40.802044,2025-08-19 16:49:22.249948,0 days 00:00:41.447904,100,1.35152585464881e-08,normal,8,zero,,0.01352021145771815,3329,448,,colnorm,old,0.20511411604631036,tanh,COMPLETE
19,0.4310159186522166,2025-08-19 16:49:22.250145,2025-08-19 16:50:05.481147,0 days 00:00:43.231002,100,,uniform,8,nz,0.0003924004665629251,0.14019557272561445,3354,688,,raw,Glorot,,tanh,COMPLETE
20,0.38503217697143555,2025-08-19 16:50:05.481516,2025-08-19 16:50:48.023154,0 days 00:00:42.541638,100,6.644398953168405e-08,uniform,8,nz,0.00043961454698101686,0.0038824353420652763,8896,544,,colnorm,Glorot,,tanh,COMPLETE
21,0.4651774962743123,2025-08-19 16:50:48.023542,2025-08-19 16:51:31.360934,0 days 00:00:43.337392,100,4.41218608076854e-07,uniform,5,nz,0.009901516933355342,0.19470091043522703,972,384,,colnorm,Glorot,,tanh,COMPLETE
22,0.5096128582954407,2025-08-19 16:51:31.361127,2025-08-19 16:52:14.292956,0 days 00:00:42.931829,100,7.491294894612581e-06,uniform,5,nz,0.0008382218206876498,0.15612635911752903,950,384,,colnorm,Glorot,,tanh,COMPLETE
