number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.2726774275302887,2025-08-23 05:23:42.609634,2025-08-23 05:27:58.635294,0 days 00:04:16.025660,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.013049721717834473,COMPLETE,0.013049721717834473
1,0.3535000205039978,2025-08-23 05:27:58.637114,2025-08-23 05:28:50.516474,0 days 00:00:51.879360,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013161373138427735,COMPLETE,0.013161373138427735
2,0.8685322880744935,2025-08-23 05:28:50.517946,2025-08-23 05:29:36.686610,0 days 00:00:46.168664,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,0.001162886619567871,COMPLETE,0.001162886619567871
3,0.2996451735496521,2025-08-23 05:29:36.686861,2025-08-23 05:33:33.236935,0 days 00:03:56.550074,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.013113093376159669,COMPLETE,0.013113093376159669
4,0.617322587966919,2025-08-23 05:33:33.238710,2025-08-23 05:34:22.114687,0 days 00:00:48.875977,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.009589886665344239,COMPLETE,0.009589886665344239
5,0.8580000162124634,2025-08-23 05:34:22.116592,2025-08-23 05:38:30.819813,0 days 00:04:08.703221,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.001345348358154297,COMPLETE,0.001345348358154297
6,0.1293548434972763,2025-08-23 05:38:30.821562,2025-08-23 05:39:21.355736,0 days 00:00:50.534174,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.013021349906921387,COMPLETE,0.013021349906921387
7,0.8811290860176086,2025-08-23 05:39:21.357657,2025-08-23 05:40:10.232315,0 days 00:00:48.874658,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.005095815658569336,COMPLETE,0.005095815658569336
8,0.8394193887710572,2025-08-23 05:40:10.234205,2025-08-23 05:41:01.785023,0 days 00:00:51.550818,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.009598255157470703,COMPLETE,0.009598255157470703
9,0.3469193696975708,2025-08-23 05:41:01.786961,2025-08-23 05:41:51.374519,0 days 00:00:49.587558,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.012832307815551757,COMPLETE,0.012832307815551757
10,0.911483895778656,2025-08-23 05:41:51.374817,2025-08-23 05:46:03.677414,0 days 00:04:12.302597,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,0.0005864381790161132,COMPLETE,0.0005864381790161132
11,0.44140323996543884,2025-08-23 05:46:03.677719,2025-08-23 05:46:49.008567,0 days 00:00:45.330848,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,0.01161038875579834,COMPLETE,0.01161038875579834
12,0.8844194054603577,2025-08-23 05:46:49.008788,2025-08-23 05:50:44.924174,0 days 00:03:55.915386,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,0.003556180000305176,COMPLETE,0.003556180000305176
13,0.8593548536300659,2025-08-23 05:50:44.924498,2025-08-23 05:51:33.936519,0 days 00:00:49.012021,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,0.00043485164642333987,COMPLETE,0.00043485164642333987
14,0.8561774373054505,2025-08-23 05:51:33.936752,2025-08-23 05:55:31.170804,0 days 00:03:57.234052,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,-0.0002301931381225586,COMPLETE,-0.0002301931381225586
15,0.7490645408630371,2025-08-23 05:55:31.172810,2025-08-23 05:59:42.774759,0 days 00:04:11.601949,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,0.009801483154296875,COMPLETE,0.009801483154296875
16,0.11598387509584426,2025-08-23 05:59:42.775094,2025-08-23 06:00:29.166125,0 days 00:00:46.391031,100,4.664316241584911e-07,uniform,6,zero,,0.00030045263597290177,531,32,,colnorm,Glorot,,logistic,0.012211012840270995,COMPLETE,0.012211012840270995
17,0.42943549156188965,2025-08-23 06:00:29.166350,2025-08-23 06:01:19.054117,0 days 00:00:49.887767,100,,uniform,5,nz,0.0020148539176503438,0.004266449491975976,3210,464,,raw,old,0.6801332526612567,logistic,0.011419987678527832,COMPLETE,0.011419987678527832
