number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.43166133761405945,2025-08-19 16:21:29.285528,2025-08-19 16:25:25.637703,0 days 00:03:56.352175,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,COMPLETE
1,0.38138707478841144,2025-08-19 16:25:25.638269,2025-08-19 16:26:13.282205,0 days 00:00:47.643936,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,COMPLETE
2,0.874112864335378,2025-08-19 16:26:13.282767,2025-08-19 16:26:59.860028,0 days 00:00:46.577261,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,COMPLETE
3,0.38456445932388306,2025-08-19 16:26:59.860488,2025-08-19 16:30:45.770387,0 days 00:03:45.909899,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,COMPLETE
4,0.5830322106679281,2025-08-19 16:30:45.770917,2025-08-19 16:31:31.542512,0 days 00:00:45.771595,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,COMPLETE
5,0.8607741991678873,2025-08-19 16:31:31.542729,2025-08-19 16:35:15.824184,0 days 00:03:44.281455,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,COMPLETE
6,0.21817731857299805,2025-08-19 16:35:15.824700,2025-08-19 16:36:00.108245,0 days 00:00:44.283545,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,COMPLETE
7,0.8796290159225464,2025-08-19 16:36:00.108507,2025-08-19 16:36:43.449486,0 days 00:00:43.340979,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,COMPLETE
8,0.7990322907765707,2025-08-19 16:36:43.449972,2025-08-19 16:37:37.235126,0 days 00:00:53.785154,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,COMPLETE
9,0.35698368151982623,2025-08-19 16:37:37.235696,2025-08-19 16:38:29.070748,0 days 00:00:51.835052,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,COMPLETE
