number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.5204193949699402,2025-08-23 05:23:42.625547,2025-08-23 05:24:33.882412,0 days 00:00:51.256865,100,,normal,6,nz,0.005020847175011941,0.28678812614035476,266,80,,raw,old,0.7186620787543885,logistic,0.0012351274490356445,COMPLETE,0.0012351274490356445
1,0.44414518475532533,2025-08-23 05:24:33.884252,2025-08-23 05:28:32.306338,0 days 00:03:58.422086,20,6.404970863644254e-07,uniform,7,zero,,0.002727419843207111,355,224,,colnorm,old,0.7651904189827918,tanh,0.012611603736877442,COMPLETE,0.012611603736877442
2,0.889048433303833,2025-08-23 05:28:32.308147,2025-08-23 05:29:21.648090,0 days 00:00:49.339943,100,3.6201072407748306e-07,normal,8,zero,,0.5405177223050418,2318,656,,colnorm,old,1.4530888343305441,tanh,0.00010597705841064453,COMPLETE,0.00010597705841064453
3,0.22485485076904296,2025-08-23 05:29:21.649939,2025-08-23 05:30:09.393176,0 days 00:00:47.743237,100,,normal,5,zero,,0.0003086104554138934,785,480,,raw,old,0.4979025208384174,tanh,0.013048267364501953,COMPLETE,0.013048267364501953
4,0.5419193744659424,2025-08-23 05:30:09.393469,2025-08-23 05:30:57.688297,0 days 00:00:48.294828,100,,uniform,6,zero,,0.0753316189564453,715,288,,raw,old,0.842727131035182,logistic,0.007387042045593262,COMPLETE,0.007387042045593262
5,0.5682742118835449,2025-08-23 05:30:57.688575,2025-08-23 05:31:47.833807,0 days 00:00:50.145232,100,,normal,7,zero,,0.13862889345041887,116,144,0.9709046340957243,pca,old,1.6080142723828008,logistic,0.006686735153198242,COMPLETE,0.006686735153198242
6,0.3376451671123505,2025-08-23 05:31:47.834044,2025-08-23 05:35:47.768681,0 days 00:03:59.934637,20,,uniform,7,zero,,1.8560837352965355e-06,103,688,0.5841376526836222,pca,Glorot,,tanh,0.013162827491760254,COMPLETE,0.013162827491760254
7,0.5537580728530884,2025-08-23 05:35:47.770450,2025-08-23 05:36:38.202345,0 days 00:00:50.431895,100,,uniform,6,zero,,0.0045466213818785945,5559,256,0.9962788595863201,pca,Glorot,,logistic,0.009268546104431152,COMPLETE,0.009268546104431152
8,0.1431612938642502,2025-08-23 05:36:38.204875,2025-08-23 05:40:41.214084,0 days 00:04:03.009209,20,1.3368559695948625e-06,normal,5,zero,,1.7286821158315763e-05,6875,560,,colnorm,Glorot,,logistic,0.013194131851196288,COMPLETE,0.013194131851196288
9,0.2935806572437286,2025-08-23 05:40:41.215844,2025-08-23 05:44:45.401713,0 days 00:04:04.185869,20,3.2487879589717105e-05,uniform,8,nz,1.7289062457084353e-08,0.008683638175257328,196,64,,colnorm,Glorot,,logistic,0.011390018463134765,COMPLETE,0.011390018463134765
10,0.48259679079055784,2025-08-23 05:44:45.402061,2025-08-23 05:48:36.218411,0 days 00:03:50.816350,20,3.7695952432846887e-06,uniform,5,zero,,0.005988265244732958,304,96,,colnorm,Glorot,,tanh,0.011804890632629395,COMPLETE,0.011804890632629395
11,0.2925967812538147,2025-08-23 05:48:36.218731,2025-08-23 05:52:28.534102,0 days 00:03:52.315371,20,,uniform,7,zero,,2.205572604793678e-06,1299,112,0.9177342805737674,pca,Glorot,,tanh,0.013055801391601562,COMPLETE,0.013055801391601562
12,0.8674355030059815,2025-08-23 05:52:28.534376,2025-08-23 05:53:18.185482,0 days 00:00:49.651106,100,,uniform,8,zero,,0.6463670471704025,645,384,0.6854374496447422,pca,old,0.6411968347530046,tanh,-0.00022461414337158204,COMPLETE,-0.00022461414337158204
13,0.1349838748574257,2025-08-23 05:53:18.185699,2025-08-23 05:54:10.804332,0 days 00:00:52.618633,100,2.4464011566467275e-05,normal,7,nz,6.580761756952406e-06,3.529805211191061e-06,1037,544,,colnorm,old,1.9071709329056934,logistic,0.013089799880981445,COMPLETE,0.013089799880981445
14,0.3154838800430298,2025-08-23 05:54:10.804604,2025-08-23 05:58:12.710625,0 days 00:04:01.906021,20,4.53231249709737e-06,uniform,6,zero,,0.0008232511308055879,1021,416,,colnorm,Glorot,,logistic,0.012650251388549805,COMPLETE,0.012650251388549805
15,0.11369355171918868,2025-08-23 05:58:12.712546,2025-08-23 06:02:28.323445,0 days 00:04:15.610899,20,0.00022796177218519458,normal,5,nz,4.566335943744083e-08,9.86923632335542e-06,483,544,,colnorm,Glorot,,logistic,0.013601422309875488,COMPLETE,0.013601422309875488
16,0.8873548865318298,2025-08-23 06:02:28.323720,2025-08-23 06:03:17.596626,0 days 00:00:49.272906,100,1.189274263546075e-06,uniform,6,zero,,0.025365537259255194,4125,816,,colnorm,old,0.48948637724712935,tanh,0.007595491409301758,COMPLETE,0.007595491409301758
17,0.11366129368543625,2025-08-23 06:03:17.596851,2025-08-23 06:07:31.079812,0 days 00:04:13.482961,20,,uniform,6,nz,1.4593069348259313e-06,4.8725813807672996e-05,872,496,,raw,Glorot,,logistic,0.013333940505981445,COMPLETE,0.013333940505981445
