number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.11366128921508789,2025-08-19 16:21:29.167968,2025-08-19 16:25:19.267705,0 days 00:03:50.099737,20,,normal,5,zero,,1.895073143491516e-05,531,80,,raw,Glorot,,logistic,COMPLETE
1,0.22888718048731485,2025-08-19 16:25:19.268322,2025-08-19 16:28:50.545278,0 days 00:03:31.276956,20,,normal,5,zero,,9.125745913189305e-06,4021,352,,raw,Glorot,,tanh,COMPLETE
2,0.2667740384737651,2025-08-19 16:28:50.545737,2025-08-19 16:30:42.287283,0 days 00:01:51.741546,100,,uniform,6,zero,,0.0001570043513040753,1325,320,0.8711135436776456,pca,Glorot,,logistic,COMPLETE
3,0.5036613245805105,2025-08-19 16:30:42.287713,2025-08-19 16:35:08.105809,0 days 00:04:25.818096,20,,uniform,8,zero,,0.00012102195398354059,5494,912,0.814749384330284,pca,old,0.983011554213401,tanh,COMPLETE
4,0.8876128991444906,2025-08-19 16:35:08.107635,2025-08-19 16:39:34.958796,0 days 00:04:26.851161,20,,uniform,8,zero,,0.10469768170363354,1017,448,0.6863107087416855,pca,old,0.8037641922193457,tanh,COMPLETE
5,0.8668064872423807,2025-08-19 16:39:34.959206,2025-08-19 16:44:25.751254,0 days 00:04:50.792048,20,,uniform,7,nz,6.783203289378195e-06,0.2556283336920569,157,944,0.6084634421373585,pca,old,1.5520369806440568,tanh,COMPLETE
6,0.38238706191380817,2025-08-19 16:44:25.754370,2025-08-19 16:47:55.765339,0 days 00:03:30.010969,20,6.10555238305308e-07,uniform,7,zero,,0.005766374869187394,108,368,,colnorm,Glorot,,logistic,COMPLETE
7,0.34261273344357807,2025-08-19 16:47:55.765924,2025-08-19 16:52:35.725562,0 days 00:04:39.959638,20,,uniform,7,nz,4.4559649045949037e-08,1.2732532257680708e-06,3341,208,0.8788522853683363,pca,Glorot,,tanh,COMPLETE
8,0.516435464223226,2025-08-19 16:52:35.731022,2025-08-19 16:53:19.983736,0 days 00:00:44.252714,100,,uniform,8,nz,0.007775758695895647,0.07023908555740412,4019,640,,raw,Glorot,,logistic,COMPLETE
9,0.2559194515148799,2025-08-19 16:53:19.984143,2025-08-19 16:56:44.184139,0 days 00:03:24.199996,20,,normal,7,zero,,0.00012134870307819006,115,112,,raw,old,0.34713306441818725,tanh,COMPLETE
10,0.5614838798840841,2025-08-19 16:56:44.184585,2025-08-19 16:57:29.776364,0 days 00:00:45.591779,100,0.0008449236345087563,normal,8,nz,0.009789535954930805,0.01451996804171391,595,624,,colnorm,old,0.6769343192943542,tanh,COMPLETE
11,0.7966936826705933,2025-08-19 16:57:29.777446,2025-08-19 17:02:13.552873,0 days 00:04:43.775427,20,,uniform,6,nz,6.9378067666129665e-06,0.6115039543099359,244,1008,0.575955403465249,pca,old,1.8676031372065627,tanh,COMPLETE
12,0.7227096358935038,2025-08-19 17:02:13.553602,2025-08-19 17:07:08.148392,0 days 00:04:54.594790,20,,uniform,8,nz,6.670976637420462e-06,0.8771738946722866,1254,800,0.6156996388238042,pca,old,1.4634849076703733,tanh,COMPLETE
13,0.8450645407040914,2025-08-19 17:07:08.152640,2025-08-19 17:11:48.392557,0 days 00:04:40.239917,20,,uniform,7,nz,8.220013274158973e-08,0.07415561151320171,303,560,0.6685624322989548,pca,old,1.379365923480175,tanh,COMPLETE
14,0.8783870935440063,2025-08-19 17:11:48.393137,2025-08-19 17:16:25.159210,0 days 00:04:36.766073,20,,uniform,8,zero,,0.10211688525415684,2014,736,0.5006250529186946,pca,old,0.9534638377965586,tanh,COMPLETE
15,0.7715806166330973,2025-08-19 17:16:25.159667,2025-08-19 17:18:09.216444,0 days 00:01:44.056777,100,,uniform,8,zero,,0.00303623805606909,9835,752,0.503475160337005,pca,old,0.9139910296870928,tanh,COMPLETE
16,0.8749839067459106,2025-08-19 17:18:09.217237,2025-08-19 17:21:31.949380,0 days 00:03:22.732143,20,2.043729958444112e-09,uniform,8,zero,,0.039850832566343725,2021,464,,colnorm,old,0.6281275667599318,tanh,COMPLETE
17,0.47841931382815045,2025-08-19 17:21:31.950094,2025-08-19 17:26:10.905138,0 days 00:04:38.955044,20,,uniform,8,zero,,0.0008961504054524076,805,752,0.9805637477341578,pca,old,0.65568931329393,tanh,COMPLETE
18,0.5177096128463745,2025-08-19 17:26:10.906543,2025-08-19 17:27:56.836059,0 days 00:01:45.929516,100,,normal,8,zero,,0.0015503131231097889,2197,448,0.7139346129199515,pca,old,1.2017297549980954,logistic,COMPLETE
19,0.840290347735087,2025-08-19 17:27:56.836516,2025-08-19 17:31:25.975537,0 days 00:03:29.139021,20,0.0005819043185862269,uniform,6,zero,,0.13080050733210652,2032,608,,colnorm,old,0.3925876823410156,tanh,COMPLETE
20,0.7847095529238383,2025-08-19 17:31:25.975965,2025-08-19 17:36:01.434515,0 days 00:04:35.458550,20,,uniform,5,zero,,0.02175453282276559,823,208,0.5154409433529294,pca,old,0.8488507713142289,tanh,COMPLETE
21,0.8646290500958761,2025-08-19 17:36:01.435232,2025-08-19 17:39:27.618744,0 days 00:03:26.183512,20,1.0523495359491638e-09,uniform,8,zero,,0.02563525759125626,2060,464,,colnorm,old,0.6178299343202402,tanh,COMPLETE
22,0.8584354519844055,2025-08-19 17:39:27.619176,2025-08-19 17:42:57.527749,0 days 00:03:29.908573,20,1.168466477900899e-09,uniform,8,zero,,0.26381446014032756,1476,496,,colnorm,old,1.1482463669677616,tanh,COMPLETE
23,0.7929030656814575,2025-08-19 17:42:57.528476,2025-08-19 17:46:25.973776,0 days 00:03:28.445300,20,1.9718895778609227e-07,uniform,8,zero,,0.04974182448568552,436,704,,colnorm,old,0.7561545689035705,tanh,COMPLETE
24,0.6621450781822205,2025-08-19 17:46:25.974509,2025-08-19 17:49:55.032451,0 days 00:03:29.057942,20,4.074018028032929e-08,uniform,8,zero,,0.008075681274167612,2687,832,,colnorm,old,0.49776174803584794,tanh,COMPLETE
25,0.8435161312421163,2025-08-19 17:49:55.033197,2025-08-19 17:53:22.121192,0 days 00:03:27.087995,20,1.4544380475080852e-05,uniform,8,zero,,0.24582862940520112,5970,416,,colnorm,old,1.0201750477869553,tanh,COMPLETE
26,0.47751614451408386,2025-08-19 17:53:22.122478,2025-08-19 17:57:56.636732,0 days 00:04:34.514254,20,,uniform,8,zero,,0.0007159466787715551,946,256,0.7656311469556403,pca,old,1.2419226782336743,tanh,COMPLETE
