number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.526177453994751,2025-08-23 05:23:42.708083,2025-08-23 05:27:57.720042,0 days 00:04:15.011959,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,0.012966084480285644,COMPLETE,0.012966084480285644
1,0.5088064789772033,2025-08-23 05:27:57.721951,2025-08-23 05:28:49.371959,0 days 00:00:51.650008,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,0.013230228424072265,COMPLETE,0.013230228424072265
2,0.49843551516532897,2025-08-23 05:28:49.373760,2025-08-23 05:29:35.133205,0 days 00:00:45.759445,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,,COMPLETE,
3,0.5112903475761413,2025-08-23 05:29:35.133478,2025-08-23 05:33:31.757666,0 days 00:03:56.624188,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,0.013329386711120605,COMPLETE,0.013329386711120605
4,0.5270645499229432,2025-08-23 05:33:31.759352,2025-08-23 05:34:20.459037,0 days 00:00:48.699685,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,0.012856674194335938,COMPLETE,0.012856674194335938
5,0.7370000123977661,2025-08-23 05:34:20.460769,2025-08-23 05:38:27.573788,0 days 00:04:07.113019,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,0.009446930885314942,COMPLETE,0.009446930885314942
6,0.5028870940208435,2025-08-23 05:38:27.575774,2025-08-23 05:39:18.525968,0 days 00:00:50.950194,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,0.01301589012145996,COMPLETE,0.01301589012145996
7,0.7437258124351501,2025-08-23 05:39:18.528697,2025-08-23 05:40:07.078981,0 days 00:00:48.550284,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,0.011034131050109863,COMPLETE,0.011034131050109863
8,0.5882097125053406,2025-08-23 05:40:07.080859,2025-08-23 05:40:58.857159,0 days 00:00:51.776300,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,0.012765192985534668,COMPLETE,0.012765192985534668
9,0.5061774134635926,2025-08-23 05:40:58.859030,2025-08-23 05:41:48.973405,0 days 00:00:50.114375,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,0.013200497627258301,COMPLETE,0.013200497627258301
10,0.7592742443084717,2025-08-23 05:41:48.973643,2025-08-23 05:46:03.745324,0 days 00:04:14.771681,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,0.026796483993530275,COMPLETE,0.026796483993530275
11,0.5015645146369934,2025-08-23 05:46:03.745676,2025-08-23 05:46:49.094449,0 days 00:00:45.348773,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,0.013398289680480957,COMPLETE,0.013398289680480957
12,0.7806774497032165,2025-08-23 05:46:49.094714,2025-08-23 05:50:48.256269,0 days 00:03:59.161555,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,0.009114694595336915,COMPLETE,0.009114694595336915
13,0.7558226346969604,2025-08-23 05:50:48.256591,2025-08-23 05:51:37.173071,0 days 00:00:48.916480,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,0.009491276741027833,COMPLETE,0.009491276741027833
14,0.7542097330093384,2025-08-23 05:51:37.173344,2025-08-23 05:56:49.556865,0 days 00:05:12.383521,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,0.003990292549133301,COMPLETE,0.003990292549133301
15,0.5341774463653565,2025-08-23 05:56:49.558983,2025-08-23 06:01:49.789542,0 days 00:05:00.230559,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,0.012640070915222169,COMPLETE,0.012640070915222169
16,0.501387095451355,2025-08-23 06:01:49.789885,2025-08-23 06:02:35.897886,0 days 00:00:46.108001,100,4.664316241584911e-07,uniform,6,zero,,0.00030045263597290177,531,32,,colnorm,Glorot,,logistic,0.012688660621643066,COMPLETE,0.012688660621643066
