number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.5265483856201172,2025-08-19 16:21:29.285880,2025-08-19 16:25:40.466443,0 days 00:04:11.180563,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,COMPLETE
1,0.5120484431584676,2025-08-19 16:25:40.467009,2025-08-19 16:26:49.322065,0 days 00:01:08.855056,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,COMPLETE
2,0.6492269237836202,2025-08-19 16:26:49.324267,2025-08-19 16:27:35.825461,0 days 00:00:46.501194,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,COMPLETE
3,0.5132741928100586,2025-08-19 16:27:35.825995,2025-08-19 16:31:33.226748,0 days 00:03:57.400753,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,COMPLETE
4,0.5313385725021362,2025-08-19 16:31:33.229775,2025-08-19 16:32:17.653279,0 days 00:00:44.423504,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,COMPLETE
5,0.7462902863820394,2025-08-19 16:32:17.653750,2025-08-19 16:36:53.950218,0 days 00:04:36.296468,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,COMPLETE
6,0.5075161854426066,2025-08-19 16:36:53.950707,2025-08-19 16:37:39.699530,0 days 00:00:45.748823,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,COMPLETE
7,0.7531451980272929,2025-08-19 16:37:39.700054,2025-08-19 16:38:24.799533,0 days 00:00:45.099479,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,COMPLETE
8,0.6443058053652445,2025-08-19 16:38:24.800073,2025-08-19 16:40:06.641296,0 days 00:01:41.841223,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,COMPLETE
9,0.5059516429901123,2025-08-19 16:40:06.643413,2025-08-19 16:41:15.766029,0 days 00:01:09.122616,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,COMPLETE
