number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.5015645146369934,2025-08-23 05:23:42.800756,2025-08-23 05:24:34.157060,0 days 00:00:51.356304,100,,normal,6,nz,0.005020847175011941,0.28678812614035476,266,80,,raw,old,0.7186620787543885,logistic,0.012333512306213379,COMPLETE,0.012333512306213379
1,0.511629068851471,2025-08-23 05:24:34.158912,2025-08-23 05:28:34.246962,0 days 00:04:00.088050,20,6.404970863644254e-07,uniform,7,zero,,0.002727419843207111,355,224,,colnorm,old,0.7651904189827918,tanh,0.013043713569641114,COMPLETE,0.013043713569641114
2,0.49843551516532897,2025-08-23 05:28:34.248652,2025-08-23 05:29:23.797859,0 days 00:00:49.549207,100,3.6201072407748306e-07,normal,8,zero,,0.5405177223050418,2318,656,,colnorm,old,1.4530888343305441,tanh,,COMPLETE,
3,0.5016935467720032,2025-08-23 05:29:23.799654,2025-08-23 05:30:11.996283,0 days 00:00:48.196629,100,,normal,5,zero,,0.0003086104554138934,785,480,,raw,old,0.4979025208384174,tanh,0.013202238082885741,COMPLETE,0.013202238082885741
4,0.506870973110199,2025-08-23 05:30:11.996585,2025-08-23 05:31:00.834757,0 days 00:00:48.838172,100,,uniform,6,zero,,0.0753316189564453,715,288,,raw,old,0.842727131035182,logistic,0.013071751594543457,COMPLETE,0.013071751594543457
5,0.5128226041793823,2025-08-23 05:31:00.835048,2025-08-23 05:31:50.825079,0 days 00:00:49.990031,100,,normal,7,zero,,0.13862889345041887,116,144,0.9709046340957243,pca,old,1.6080142723828008,logistic,0.012728595733642578,COMPLETE,0.012728595733642578
6,0.506838721036911,2025-08-23 05:31:50.825320,2025-08-23 05:35:48.861917,0 days 00:03:58.036597,20,,uniform,7,zero,,1.8560837352965355e-06,103,688,0.5841376526836222,pca,Glorot,,tanh,0.012930846214294434,COMPLETE,0.012930846214294434
7,0.5112097024917602,2025-08-23 05:35:48.863636,2025-08-23 05:36:39.064431,0 days 00:00:50.200795,100,,uniform,6,zero,,0.0045466213818785945,5559,256,0.9962788595863201,pca,Glorot,,logistic,0.012896180152893066,COMPLETE,0.012896180152893066
8,0.5037419319152832,2025-08-23 05:36:39.067239,2025-08-23 05:40:39.664101,0 days 00:04:00.596862,20,1.3368559695948625e-06,normal,5,zero,,1.7286821158315763e-05,6875,560,,colnorm,Glorot,,logistic,0.013106489181518554,COMPLETE,0.013106489181518554
9,0.5053871095180511,2025-08-23 05:40:39.666134,2025-08-23 05:44:41.146819,0 days 00:04:01.480685,20,3.2487879589717105e-05,uniform,8,nz,1.7289062457084353e-08,0.008683638175257328,196,64,,colnorm,Glorot,,logistic,0.012509846687316894,COMPLETE,0.012509846687316894
10,0.5093548536300659,2025-08-23 05:44:41.147177,2025-08-23 05:48:28.071824,0 days 00:03:46.924647,20,3.7695952432846887e-06,uniform,5,zero,,0.005988265244732958,304,96,,colnorm,Glorot,,tanh,0.01306743621826172,COMPLETE,0.01306743621826172
11,0.507967746257782,2025-08-23 05:48:28.072184,2025-08-23 05:52:17.352373,0 days 00:03:49.280189,20,,uniform,7,zero,,2.205572604793678e-06,1299,112,0.9177342805737674,pca,Glorot,,tanh,0.012986016273498536,COMPLETE,0.012986016273498536
12,0.49843551516532897,2025-08-23 05:52:17.352656,2025-08-23 05:53:06.184476,0 days 00:00:48.831820,100,,uniform,8,zero,,0.6463670471704025,645,384,0.6854374496447422,pca,old,0.6411968347530046,tanh,,COMPLETE,
13,0.5015645146369934,2025-08-23 05:53:06.184704,2025-08-23 05:53:57.528371,0 days 00:00:51.343667,100,2.4464011566467275e-05,normal,7,nz,6.580761756952406e-06,3.529805211191061e-06,1037,544,,colnorm,old,1.9071709329056934,logistic,0.013340330123901368,COMPLETE,0.013340330123901368
14,0.510096800327301,2025-08-23 05:53:57.528658,2025-08-23 05:57:56.410552,0 days 00:03:58.881894,20,4.53231249709737e-06,uniform,6,zero,,0.0008232511308055879,1021,416,,colnorm,Glorot,,logistic,0.012892580032348633,COMPLETE,0.012892580032348633
15,0.5015645146369934,2025-08-23 05:57:56.412462,2025-08-23 06:02:09.103613,0 days 00:04:12.691151,20,0.00022796177218519458,normal,5,nz,4.566335943744083e-08,9.86923632335542e-06,483,544,,colnorm,Glorot,,logistic,0.013533997535705566,COMPLETE,0.013533997535705566
16,0.7598548889160156,2025-08-23 06:02:09.103906,2025-08-23 06:02:57.810896,0 days 00:00:48.706990,100,1.189274263546075e-06,uniform,6,zero,,0.025365537259255194,4125,816,,colnorm,old,0.48948637724712935,tanh,0.012570762634277343,COMPLETE,0.012570762634277343
17,0.5015645146369934,2025-08-23 06:02:57.811141,2025-08-23 06:07:09.260755,0 days 00:04:11.449614,20,,uniform,6,nz,1.4593069348259313e-06,4.8725813807672996e-05,872,496,,raw,Glorot,,logistic,0.013088154792785644,COMPLETE,0.013088154792785644
18,0.49843551516532897,2025-08-23 06:07:09.261092,2025-08-23 06:11:21.971519,0 days 00:04:12.710427,20,0.0003658052095178819,uniform,5,nz,2.61432346137729e-05,0.7712091002222098,167,560,,colnorm,old,0.8772453453841234,logistic,,COMPLETE,
19,0.5016129016876221,2025-08-23 06:11:21.971802,2025-08-23 06:12:11.456005,0 days 00:00:49.484203,100,,normal,7,nz,4.271037808365358e-05,1.9595449161099905e-06,6790,112,0.8283523401966375,pca,Glorot,,logistic,0.013211584091186524,COMPLETE,0.013211584091186524
20,0.507096779346466,2025-08-23 06:12:11.456239,2025-08-23 06:16:08.155676,0 days 00:03:56.699437,20,,uniform,7,zero,,0.00029956802319562316,1957,592,0.6083709951450864,pca,Glorot,,logistic,0.01295766830444336,COMPLETE,0.01295766830444336
21,0.5015645146369934,2025-08-23 06:16:08.155940,2025-08-23 06:20:10.316467,0 days 00:04:02.160527,20,8.497871339273834e-07,normal,5,zero,,2.786929921862278e-06,293,1024,,colnorm,old,0.9114986472254265,logistic,0.013057804107666016,COMPLETE,0.013057804107666016
22,0.7705968141555786,2025-08-23 06:20:10.316789,2025-08-23 06:24:53.070287,0 days 00:04:42.753498,20,,normal,5,nz,7.842857048400411e-08,0.02247144159652349,1071,272,,raw,Glorot,,tanh,0.011708426475524902,COMPLETE,0.011708426475524902
23,0.5097580790519715,2025-08-23 06:24:53.070560,2025-08-23 06:29:48.471490,0 days 00:04:55.400930,20,,uniform,8,zero,,0.00013828279283371964,8171,896,0.5079552056222199,pca,Glorot,,logistic,0.013028764724731445,COMPLETE,0.013028764724731445
24,0.5065806388854981,2025-08-23 06:29:48.471755,2025-08-23 06:30:48.655209,0 days 00:01:00.183454,100,1.6627948650580708e-06,normal,7,zero,,0.0013572916218580562,286,640,,colnorm,Glorot,,logistic,0.013032817840576172,COMPLETE,0.013032817840576172
25,0.7304516315460206,2025-08-23 06:30:48.655525,2025-08-23 06:31:38.248698,0 days 00:00:49.593173,100,,uniform,8,nz,3.858423808425208e-06,0.29190611010470696,744,96,0.9535186884098954,pca,Glorot,,tanh,0.0035310983657836914,COMPLETE,0.0035310983657836914
26,0.5015645146369934,2025-08-23 06:31:38.248940,2025-08-23 06:32:34.974664,0 days 00:00:56.725724,100,,normal,5,zero,,0.00027076433920494625,203,512,,raw,Glorot,,logistic,0.013092970848083496,COMPLETE,0.013092970848083496
27,0.5015645146369934,2025-08-23 06:32:34.974895,2025-08-23 06:33:24.497288,0 days 00:00:49.522393,100,,normal,6,zero,,8.177437067311106e-06,126,880,0.8495971274555434,pca,Glorot,,logistic,0.013027834892272949,COMPLETE,0.013027834892272949
28,0.5064838826656342,2025-08-23 06:33:24.497518,2025-08-23 06:34:13.369335,0 days 00:00:48.871817,100,5.662291912711977e-08,normal,7,zero,,1.8175550179742918e-06,2310,800,,colnorm,old,1.6535901776344464,tanh,0.013026881217956542,COMPLETE,0.013026881217956542
29,0.5015645146369934,2025-08-23 06:34:13.369634,2025-08-23 06:38:13.164555,0 days 00:03:59.794921,20,7.544527667506924e-06,uniform,7,zero,,2.1255211024653712e-06,2609,720,,colnorm,Glorot,,logistic,0.013050580024719238,COMPLETE,0.013050580024719238
30,0.511483907699585,2025-08-23 06:38:13.164833,2025-08-23 06:43:30.649646,0 days 00:05:17.484813,20,,uniform,7,zero,,3.0420481909171226e-05,5892,1024,0.5003456763160243,pca,Glorot,,tanh,0.013094234466552734,COMPLETE,0.013094234466552734
31,0.5015645146369934,2025-08-23 06:43:30.649982,2025-08-23 06:48:52.709998,0 days 00:05:22.060016,20,,normal,8,zero,,0.00021951712705620135,200,432,,raw,Glorot,,logistic,0.0129805326461792,COMPLETE,0.0129805326461792
32,0.5078548550605774,2025-08-23 06:48:52.710246,2025-08-23 06:49:58.783491,0 days 00:01:06.073245,100,5.143782444317332e-05,uniform,7,zero,,8.419872737053124e-06,1264,768,,colnorm,old,1.7604849969291174,tanh,0.013117218017578125,COMPLETE,0.013117218017578125
33,0.5100322723388672,2025-08-23 06:49:58.783731,2025-08-23 06:51:05.616227,0 days 00:01:06.832496,100,6.315839996288766e-08,uniform,8,zero,,0.008885188322966437,262,864,,colnorm,old,1.158454344679856,logistic,0.01324319839477539,COMPLETE,0.01324319839477539
34,0.5138871431350708,2025-08-23 06:51:05.616461,2025-08-23 06:52:11.842775,0 days 00:01:06.226314,100,,normal,6,zero,,0.0013178595061205047,329,736,0.7980091449630146,pca,Glorot,,tanh,0.012927532196044922,COMPLETE,0.012927532196044922
35,0.5686774492263794,2025-08-23 06:52:11.843051,2025-08-23 06:57:27.340833,0 days 00:05:15.497782,20,,normal,5,nz,0.0020457025186879554,0.0008907661777157554,5633,592,,raw,Glorot,,tanh,0.013007044792175293,COMPLETE,0.013007044792175293
36,0.5285968065261841,2025-08-23 06:57:27.342717,2025-08-23 07:02:03.819736,0 days 00:04:36.477019,20,,uniform,6,zero,,0.000289020414220305,2510,640,,raw,old,1.7872580074114737,tanh,0.01292881965637207,COMPLETE,0.01292881965637207
37,0.7308225989341736,2025-08-23 07:02:03.820018,2025-08-23 07:06:33.776407,0 days 00:04:29.956389,20,,normal,7,zero,,0.038617909479397895,2406,240,,raw,Glorot,,logistic,0.010887646675109863,COMPLETE,0.010887646675109863
38,0.5137742161750793,2025-08-23 07:06:33.776676,2025-08-23 07:10:46.938933,0 days 00:04:13.162257,20,5.66392477238153e-07,normal,8,nz,2.2300306597582873e-07,0.003956910799827261,385,880,,colnorm,old,1.8086888792032279,logistic,0.013023877143859863,COMPLETE,0.013023877143859863
39,0.5015645146369934,2025-08-23 07:10:46.939229,2025-08-23 07:11:48.188243,0 days 00:01:01.249014,100,,uniform,6,zero,,2.670557841476819e-05,4078,80,,raw,Glorot,,logistic,0.012872862815856933,COMPLETE,0.012872862815856933
40,0.49843551516532897,2025-08-23 07:11:48.188480,2025-08-23 07:12:49.943676,0 days 00:01:01.755196,100,2.2760628803348567e-07,uniform,6,nz,5.255646535131508e-06,0.675245206911214,1213,592,,colnorm,old,1.1325084528478357,logistic,,COMPLETE,
41,0.5020967781543731,2025-08-23 07:12:49.943929,2025-08-23 07:17:35.981772,0 days 00:04:46.037843,20,,normal,8,nz,0.00027096302515269757,6.755891258918345e-06,3527,160,0.628236311918623,pca,Glorot,,logistic,0.013012218475341796,COMPLETE,0.013012218475341796
42,0.7333871126174927,2025-08-23 07:17:35.982050,2025-08-23 07:18:25.281884,0 days 00:00:49.299834,100,1.3193211738078216e-08,uniform,7,zero,,0.04660634921932745,822,304,,colnorm,Glorot,,tanh,0.011634325981140137,COMPLETE,0.011634325981140137
43,0.5176451921463012,2025-08-23 07:18:25.283535,2025-08-23 07:19:24.655744,0 days 00:00:59.372209,100,,normal,8,zero,,0.028510631616419233,299,496,,raw,old,1.4602045362651164,logistic,0.013071441650390625,COMPLETE,0.013071441650390625
44,0.7325645327568054,2025-08-23 07:19:24.656018,2025-08-23 07:24:35.294105,0 days 00:05:10.638087,20,1.6102603720059748e-08,normal,7,zero,,0.23382891630134822,237,432,,colnorm,Glorot,,tanh,0.007480454444885254,COMPLETE,0.007480454444885254
45,0.5033387064933776,2025-08-23 07:24:35.296002,2025-08-23 07:25:29.307935,0 days 00:00:54.011933,100,,uniform,7,nz,2.172158274853957e-05,4.971380801717752e-05,489,752,0.9300557916705414,pca,old,1.570720193391757,logistic,0.013148331642150879,COMPLETE,0.013148331642150879
46,0.508774209022522,2025-08-23 07:25:29.308168,2025-08-23 07:30:15.759813,0 days 00:04:46.451645,20,,normal,6,zero,,0.0014352166121342712,578,704,,raw,Glorot,,logistic,0.013049912452697755,COMPLETE,0.013049912452697755
47,0.7368064641952514,2025-08-23 07:30:15.760088,2025-08-23 07:31:04.533839,0 days 00:00:48.773751,100,5.686551670725622e-09,normal,6,zero,,0.14574547360022277,444,816,,colnorm,Glorot,,tanh,0.01158146858215332,COMPLETE,0.01158146858215332
48,0.7204193890094757,2025-08-23 07:31:04.534083,2025-08-23 07:35:27.646734,0 days 00:04:23.112651,20,,normal,6,zero,,0.31593794654852525,199,192,,raw,old,0.9795852210443081,tanh,,COMPLETE,
49,0.7750322937965393,2025-08-23 07:35:27.647001,2025-08-23 07:40:02.751337,0 days 00:04:35.104336,20,,uniform,6,zero,,0.014478999776695603,3301,592,,raw,Glorot,,tanh,0.012140464782714844,COMPLETE,0.012140464782714844
50,0.5140322923660279,2025-08-23 07:40:02.753142,2025-08-23 07:44:02.914649,0 days 00:04:00.161507,20,,normal,7,nz,0.001367883087079219,0.0015992224831826354,417,576,0.8305571634778848,pca,Glorot,,tanh,0.013086271286010743,COMPLETE,0.013086271286010743
51,0.5059193670749664,2025-08-23 07:44:02.914943,2025-08-23 07:49:16.384640,0 days 00:05:13.469697,20,1.8776734741187351e-06,normal,6,nz,5.921401756691521e-08,3.2902411980469176e-06,315,368,,colnorm,old,0.537490790118223,tanh,0.013061881065368652,COMPLETE,0.013061881065368652
52,0.5061774253845215,2025-08-23 07:49:16.384912,2025-08-23 07:53:42.609624,0 days 00:04:26.224712,20,,uniform,5,nz,1.9712592377567804e-07,0.08237999780283811,1317,672,,raw,old,0.31677426868467073,logistic,0.01312110424041748,COMPLETE,0.01312110424041748
53,0.5119838953018189,2025-08-23 07:53:42.609943,2025-08-23 07:54:34.118647,0 days 00:00:51.508704,100,,normal,8,nz,0.003032927057275183,0.002064925722505891,279,144,0.9220608878872901,pca,old,1.8296397535659579,logistic,0.012954998016357421,COMPLETE,0.012954998016357421
54,0.5064032316207886,2025-08-23 07:54:34.118901,2025-08-23 07:58:28.778466,0 days 00:03:54.659565,20,,normal,6,zero,,4.364350063664588e-06,2385,144,0.5109065798514173,pca,old,1.1246290766943483,tanh,0.013428092002868652,COMPLETE,0.013428092002868652
55,0.5134516358375549,2025-08-23 07:58:28.778689,2025-08-23 08:02:26.042949,0 days 00:03:57.264260,20,,uniform,6,nz,1.908237513615749e-06,0.009531024033067244,2537,80,,raw,old,0.27563829445908666,tanh,0.012859129905700683,COMPLETE,0.012859129905700683
56,0.76704843044281,2025-08-23 08:02:26.043211,2025-08-23 08:06:35.273392,0 days 00:04:09.230181,20,,normal,8,nz,2.2686734297293006e-07,0.044015123416251516,5285,336,0.899069644786243,pca,Glorot,,logistic,0.008088803291320801,COMPLETE,0.008088803291320801
57,0.5015645146369934,2025-08-23 08:06:35.273692,2025-08-23 08:10:34.310654,0 days 00:03:59.036962,20,8.474425126846829e-09,uniform,6,zero,,2.3267466313431546e-06,2508,496,,colnorm,old,0.49831885853583435,logistic,0.013088202476501465,COMPLETE,0.013088202476501465
58,0.5015967726707459,2025-08-23 08:10:34.312572,2025-08-23 08:14:43.368219,0 days 00:04:09.055647,20,,normal,6,nz,1.8880093046200592e-07,8.506886477584808e-05,9312,384,,raw,old,0.2955716745211142,tanh,0.01300513744354248,COMPLETE,0.01300513744354248
59,0.5112419486045837,2025-08-23 08:14:43.369782,2025-08-23 08:18:41.079990,0 days 00:03:57.710208,20,,uniform,5,nz,4.856008981034457e-08,0.027446004592120654,110,64,0.5380208887710339,pca,Glorot,,tanh,0.01258556842803955,COMPLETE,0.01258556842803955
60,0.5082742094993591,2025-08-23 08:18:41.080311,2025-08-23 08:19:30.168689,0 days 00:00:49.088378,100,2.4904386492746227e-07,normal,5,zero,,0.0003194464171832185,9843,592,,colnorm,Glorot,,logistic,0.01300971508026123,COMPLETE,0.01300971508026123
61,0.5052903175354004,2025-08-23 08:19:30.168957,2025-08-23 08:23:29.639302,0 days 00:03:59.470345,20,0.00012128489198477746,uniform,7,zero,,1.8484584489544195e-05,632,544,,colnorm,old,0.423959085886948,tanh,0.013340330123901368,COMPLETE,0.013340330123901368
62,0.5222419738769531,2025-08-23 08:23:29.639541,2025-08-23 08:24:21.566678,0 days 00:00:51.927137,100,,normal,8,nz,2.5236754008824133e-06,0.017500812566383212,291,1008,0.6221741311187055,pca,old,0.37547167088158373,logistic,0.012954354286193848,COMPLETE,0.012954354286193848
63,0.5069032371044159,2025-08-23 08:24:21.566952,2025-08-23 08:25:10.883883,0 days 00:00:49.316931,100,5.794228607829461e-09,normal,6,zero,,0.0013694301399500603,144,992,,colnorm,Glorot,,logistic,0.012995648384094238,COMPLETE,0.012995648384094238
64,0.5482419610023499,2025-08-23 08:25:10.884127,2025-08-23 08:29:09.515740,0 days 00:03:58.631613,20,5.624930936473373e-08,normal,6,zero,,0.2299092964953523,4085,480,,colnorm,Glorot,,logistic,,COMPLETE,
65,0.5171451926231384,2025-08-23 08:29:09.517654,2025-08-23 08:30:00.932358,0 days 00:00:51.414704,100,,normal,8,nz,0.00010117448303144918,0.0015824828278696483,7447,560,0.7207643000146433,pca,Glorot,,logistic,0.012894105911254884,COMPLETE,0.012894105911254884
66,0.5096774339675904,2025-08-23 08:30:00.932580,2025-08-23 08:33:59.579390,0 days 00:03:58.646810,20,,normal,6,zero,,0.0062942794473880076,178,432,0.9635306762764995,pca,Glorot,,logistic,0.012821698188781738,COMPLETE,0.012821698188781738
67,0.681806480884552,2025-08-23 08:33:59.579665,2025-08-23 08:38:07.476070,0 days 00:04:07.896405,20,,normal,7,nz,3.83410000719568e-08,0.8998828949752957,280,208,,raw,old,1.4121636882810773,logistic,0.0025471925735473635,COMPLETE,0.0025471925735473635
68,0.5105000257492065,2025-08-23 08:38:07.476339,2025-08-23 08:42:17.217484,0 days 00:04:09.741145,20,1.6514020850636604e-05,uniform,6,nz,1.6919226390788936e-06,0.029120432139338345,8411,864,,colnorm,old,0.4097929964164301,logistic,0.013029694557189941,COMPLETE,0.013029694557189941
69,0.507596778869629,2025-08-23 08:42:17.217791,2025-08-23 08:43:08.357669,0 days 00:00:51.139878,100,,normal,5,nz,4.946237180283475e-07,3.629260674519555e-05,1627,368,0.5447326219797635,pca,Glorot,,tanh,0.013162803649902344,COMPLETE,0.013162803649902344
70,0.7478548407554626,2025-08-23 08:43:08.357912,2025-08-23 08:47:19.816975,0 days 00:04:11.459063,20,1.8998574299556565e-06,normal,5,nz,2.6377843786993484e-05,0.2079803493818124,3980,640,,colnorm,Glorot,,tanh,0.00038018226623535154,COMPLETE,0.00038018226623535154
71,0.7695000410079956,2025-08-23 08:47:19.817260,2025-08-23 08:51:16.010295,0 days 00:03:56.193035,20,,normal,7,zero,,0.09664203736424475,1907,144,0.7301287849936867,pca,Glorot,,tanh,0.0055029869079589845,COMPLETE,0.0055029869079589845
72,0.7331290483474732,2025-08-23 08:51:16.010562,2025-08-23 08:52:07.731980,0 days 00:00:51.721418,100,4.207878122546038e-09,uniform,5,nz,0.00018155148692324314,0.03984443155062022,3827,832,,colnorm,old,1.8998109343399925,tanh,0.010683035850524903,COMPLETE,0.010683035850524903
73,0.5017419338226319,2025-08-23 08:52:07.732215,2025-08-23 08:52:58.291423,0 days 00:00:50.559208,100,,normal,8,nz,5.272265441403007e-06,0.00024266163128750429,188,576,,raw,Glorot,,tanh,0.013288283348083496,COMPLETE,0.013288283348083496
74,0.49843551516532897,2025-08-23 08:52:58.291670,2025-08-23 08:57:09.389090,0 days 00:04:11.097420,20,0.00022365943243466224,uniform,7,nz,0.001036660908766282,0.46613504001648925,1720,304,,colnorm,old,1.2458446602157183,tanh,,COMPLETE,
75,0.5030645132064819,2025-08-23 08:57:09.389428,2025-08-23 08:57:58.242885,0 days 00:00:48.853457,100,,uniform,6,nz,0.0017739514609055758,3.4572239646567794e-06,6448,32,0.7828921161599743,pca,Glorot,,logistic,0.013365626335144043,COMPLETE,0.013365626335144043
76,0.5086451768875122,2025-08-23 08:57:58.243134,2025-08-23 09:01:56.927217,0 days 00:03:58.684083,20,1.0830850649386334e-07,uniform,8,zero,,0.022318938788123494,1279,608,,colnorm,old,0.7851688960347685,logistic,0.01291794776916504,COMPLETE,0.01291794776916504
77,0.5207742333412171,2025-08-23 09:01:56.927487,2025-08-23 09:02:48.460629,0 days 00:00:51.533142,100,,normal,7,nz,1.5551139170468825e-07,0.0039509825139392215,435,1024,0.7259795689462522,pca,old,1.7259387861118338,logistic,0.013234758377075195,COMPLETE,0.013234758377075195
78,0.5161451935768128,2025-08-23 09:02:48.460865,2025-08-23 09:03:36.984669,0 days 00:00:48.523804,100,6.862365405731616e-07,normal,7,zero,,0.005523938552884372,499,432,,colnorm,Glorot,,tanh,0.012966012954711914,COMPLETE,0.012966012954711914
79,0.5126774430274963,2025-08-23 09:03:36.984917,2025-08-23 09:04:26.345070,0 days 00:00:49.360153,100,,normal,7,zero,,0.0002997657084618961,1223,800,0.9226718983705813,pca,old,0.6444303612007551,tanh,0.013132667541503907,COMPLETE,0.013132667541503907
80,0.7476451635360718,2025-08-23 09:04:26.345300,2025-08-23 09:05:15.308891,0 days 00:00:48.963591,100,2.7305701283776972e-08,uniform,8,zero,,0.22752807734610944,1440,528,,colnorm,old,0.739658355926474,tanh,0.01130375862121582,COMPLETE,0.01130375862121582
81,0.7357580780982971,2025-08-23 09:05:15.309143,2025-08-23 09:06:03.663547,0 days 00:00:48.354404,100,7.698088393318814e-08,normal,5,zero,,0.03293547698396798,3749,448,,colnorm,Glorot,,tanh,0.010074257850646973,COMPLETE,0.010074257850646973
82,0.5064032435417175,2025-08-23 09:06:03.663839,2025-08-23 09:10:15.746311,0 days 00:04:12.082472,20,,uniform,7,nz,5.719200901848992e-07,0.00302353028482557,545,368,,raw,Glorot,,logistic,0.01311652660369873,COMPLETE,0.01311652660369873
83,0.5109838843345642,2025-08-23 09:10:15.746604,2025-08-23 09:14:13.072164,0 days 00:03:57.325560,20,,uniform,5,zero,,0.012347585205237686,1014,560,,raw,old,1.846507010932338,logistic,0.013059091567993165,COMPLETE,0.013059091567993165
84,0.5572741985321045,2025-08-23 09:14:13.072428,2025-08-23 09:18:09.973792,0 days 00:03:56.901364,20,,normal,6,zero,,0.0005770654742582456,4586,976,,raw,old,1.0590325655622437,tanh,0.013135647773742676,COMPLETE,0.013135647773742676
85,0.6209354877471924,2025-08-23 09:18:09.974105,2025-08-23 09:22:20.278175,0 days 00:04:10.304070,20,2.7712976420903633e-06,uniform,6,nz,3.57904820688488e-08,0.007468755184724273,2711,992,,colnorm,Glorot,,tanh,0.01279277801513672,COMPLETE,0.01279277801513672
86,0.5124516487121582,2025-08-23 09:22:20.278463,2025-08-23 09:23:09.603779,0 days 00:00:49.325316,100,1.4289287476254064e-08,uniform,7,zero,,0.00033605165867693523,5485,304,,colnorm,Glorot,,tanh,0.012871956825256348,COMPLETE,0.012871956825256348
87,0.5048225820064545,2025-08-23 09:23:09.604038,2025-08-23 09:27:18.388377,0 days 00:04:08.784339,20,2.7417174614098333e-08,uniform,7,nz,0.0003957250594845353,1.2470076464802463e-05,294,288,,colnorm,old,1.0159594452400573,tanh,0.013116884231567382,COMPLETE,0.013116884231567382
