number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.756048321723938,2025-08-19 16:21:29.169166,2025-08-19 16:22:32.526746,0 days 00:01:03.357580,100,,uniform,7,zero,,0.007884525123125251,6716,224,,raw,old,1.0971381738355623,tanh,COMPLETE
1,0.5100806554158529,2025-08-19 16:22:32.527279,2025-08-19 16:23:16.803685,0 days 00:00:44.276406,100,,normal,5,nz,1.2727312160386438e-06,9.666315621818178e-06,8814,544,0.6429627069533147,pca,old,1.6902914737306785,logistic,COMPLETE
2,0.5081129471460978,2025-08-19 16:23:16.804150,2025-08-19 16:23:57.798571,0 days 00:00:40.994421,100,5.725104756286157e-07,uniform,7,zero,,5.869278864497565e-05,184,496,,colnorm,Glorot,,tanh,COMPLETE
3,0.5164999564488729,2025-08-19 16:23:57.799041,2025-08-19 16:27:30.233589,0 days 00:03:32.434548,20,,uniform,6,nz,8.678091639851699e-08,0.0051580133181241905,4838,880,,raw,Glorot,,logistic,COMPLETE
4,0.7685805956522623,2025-08-19 16:27:30.237382,2025-08-19 16:28:11.693733,0 days 00:00:41.456351,100,,uniform,6,zero,,0.506580933766905,1008,768,,raw,Glorot,,logistic,COMPLETE
5,0.5015645027160645,2025-08-19 16:28:11.694116,2025-08-19 16:28:51.763711,0 days 00:00:40.069595,100,,normal,8,zero,,5.4824957901716925e-06,3888,896,,raw,old,1.4796032046284098,logistic,COMPLETE
6,0.5038871169090271,2025-08-19 16:28:51.764195,2025-08-19 16:32:19.290643,0 days 00:03:27.526448,20,,uniform,6,nz,0.00010057276025489289,0.05733185114313379,136,96,,raw,old,0.30238424068926784,logistic,COMPLETE
7,0.5015645027160645,2025-08-19 16:32:19.291114,2025-08-19 16:33:00.031498,0 days 00:00:40.740384,100,4.380280035335685e-08,uniform,7,zero,,9.1979727922209e-05,258,80,,colnorm,Glorot,,logistic,COMPLETE
8,0.5015645027160645,2025-08-19 16:33:00.031880,2025-08-19 16:33:46.031551,0 days 00:00:45.999671,100,,uniform,5,nz,0.0005496752850382062,1.0499376555071792e-06,532,416,,raw,Glorot,,tanh,COMPLETE
9,0.5015645027160645,2025-08-19 16:33:46.032001,2025-08-19 16:34:34.009860,0 days 00:00:47.977859,100,,uniform,7,nz,0.0001098032289869049,1.5164331101171383e-05,355,992,,raw,Glorot,,logistic,COMPLETE
10,0.5219999551773071,2025-08-19 16:34:34.010290,2025-08-19 16:37:50.844076,0 days 00:03:16.833786,20,,normal,6,zero,,0.7871964951644287,1573,672,0.9956846478337698,pca,Glorot,,tanh,COMPLETE
11,0.5179516474405924,2025-08-19 16:37:50.847016,2025-08-19 16:38:30.472686,0 days 00:00:39.625670,100,,uniform,8,zero,,0.0068382162445306295,1222,272,,raw,old,0.8078541493144078,tanh,COMPLETE
12,0.6256615122159322,2025-08-19 16:38:30.472871,2025-08-19 16:39:09.035099,0 days 00:00:38.562228,100,,uniform,6,zero,,0.40611441567449,2621,704,,raw,old,0.9759061539819556,tanh,COMPLETE
