number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.7021875182787577,2025-08-19 16:23:54.618192,2025-08-19 16:27:12.537098,0 days 00:03:17.918906,20,,normal,8,nz,1.5463788579841117e-06,0.00016653461936159484,1323,832,,raw,Glorot,,tanh,COMPLETE
1,0.6698633432388306,2025-08-19 16:27:12.539448,2025-08-19 16:28:04.157947,0 days 00:00:51.618499,100,,uniform,8,nz,1.9236748753487186e-08,2.0547199328558902e-05,7073,592,0.6584180610844357,pca,Glorot,,tanh,COMPLETE
2,0.9981445471445719,2025-08-19 16:28:04.158459,2025-08-19 16:28:37.476430,0 days 00:00:33.317971,100,,normal,5,zero,,0.5659923651826084,3833,128,,raw,old,1.9857466391390506,tanh,COMPLETE
3,0.7093359231948853,2025-08-19 16:28:37.476900,2025-08-19 16:31:51.090668,0 days 00:03:13.613768,20,,uniform,8,zero,,0.0004181759315680524,1673,496,0.7936518167319924,pca,old,0.7411550703865422,logistic,COMPLETE
4,0.9960351785024008,2025-08-19 16:31:51.092829,2025-08-19 16:32:27.542094,0 days 00:00:36.449265,100,0.0005111785038494985,uniform,6,zero,,0.01772932380115616,3920,496,,colnorm,Glorot,,logistic,COMPLETE
5,0.999082068602244,2025-08-19 16:32:27.542661,2025-08-19 16:36:14.674067,0 days 00:03:47.131406,20,,uniform,7,nz,2.754579187431946e-08,0.04731325254594746,1576,272,0.9395345807573379,pca,Glorot,,tanh,COMPLETE
6,0.6941211223602295,2025-08-19 16:36:14.674567,2025-08-19 16:36:49.220385,0 days 00:00:34.545818,100,,uniform,8,nz,4.347699888300888e-07,0.002194664177038812,147,1024,,raw,Glorot,,logistic,COMPLETE
7,0.9990625182787577,2025-08-19 16:36:49.220798,2025-08-19 16:37:24.279534,0 days 00:00:35.058736,100,0.00030649167289104257,normal,5,zero,,0.0816998127615149,1228,688,,colnorm,Glorot,,tanh,COMPLETE
8,0.9994336167971293,2025-08-19 16:37:24.279800,2025-08-19 16:38:21.713199,0 days 00:00:57.433399,100,,uniform,7,nz,0.0002645568202790849,0.02422873547786384,891,720,0.8913677959876881,pca,old,0.8538315683484765,tanh,COMPLETE
9,0.6971484224001566,2025-08-19 16:38:21.713697,2025-08-19 16:39:40.702771,0 days 00:01:18.989074,100,,uniform,7,zero,,3.170750300370449e-06,3320,656,0.9406161231694635,pca,old,0.8029927440054692,tanh,COMPLETE
10,0.9993750254313151,2025-08-19 16:39:40.704728,2025-08-19 16:42:54.249569,0 days 00:03:13.544841,20,,normal,8,nz,0.002551744641784246,0.03420715013038941,7313,368,0.936638035172104,pca,old,1.3715103262460462,tanh,COMPLETE
11,0.721289058526357,2025-08-19 16:42:54.253670,2025-08-19 16:43:25.618298,0 days 00:00:31.364628,100,,uniform,5,zero,,0.002472295306383974,2075,64,,raw,old,0.2686955279215667,tanh,COMPLETE
12,0.9975976745287577,2025-08-19 16:43:25.618675,2025-08-19 16:46:01.762369,0 days 00:02:36.143694,20,,normal,8,zero,,0.12633115655273697,7996,496,,raw,old,1.2383117176396174,tanh,COMPLETE
13,0.9988476832707723,2025-08-19 16:46:01.762748,2025-08-19 16:46:34.586115,0 days 00:00:32.823367,100,0.00026396605532175534,normal,8,zero,,0.0856956409647669,1799,288,,colnorm,old,1.2920153892124882,logistic,COMPLETE
14,0.9989062746365865,2025-08-19 16:46:34.586331,2025-08-19 16:49:11.564337,0 days 00:02:36.978006,20,1.9234441996304963e-05,normal,5,zero,,0.1914526965665586,1879,192,,colnorm,Glorot,,logistic,COMPLETE
15,0.9964843988418579,2025-08-19 16:49:11.564756,2025-08-19 16:52:00.984039,0 days 00:02:49.419283,20,1.2471437960535648e-06,normal,5,nz,1.3116339985565845e-05,0.002599150833651273,8061,416,,colnorm,Glorot,,tanh,COMPLETE
16,0.9984766046206156,2025-08-19 16:52:00.984457,2025-08-19 16:55:13.681034,0 days 00:03:12.696577,20,,normal,8,nz,0.002430667675190471,0.02547459514555097,3659,144,0.9992020105196867,pca,old,1.5206011285022236,tanh,COMPLETE
17,0.9999414086341858,2025-08-19 16:55:13.682554,2025-08-19 16:56:13.733698,0 days 00:01:00.051144,100,,uniform,7,nz,0.0003179747627901083,0.09281160177264822,1081,528,0.8150156268569488,pca,old,0.9766135867631495,tanh,COMPLETE
18,0.9963476856549581,2025-08-19 16:56:13.734109,2025-08-19 16:57:12.022307,0 days 00:00:58.288198,100,,normal,7,nz,0.00010463110148720377,0.012172426357460632,1097,784,0.7779964155400526,pca,old,0.8303461352937772,tanh,COMPLETE
19,0.9963281551996866,2025-08-19 16:57:12.022683,2025-08-19 16:58:08.223519,0 days 00:00:56.200836,100,,uniform,7,nz,0.00011644227489446218,0.07487460999711597,197,560,0.5603042134504406,pca,old,0.5697055641702061,tanh,COMPLETE
