number,value,datetime_start,datetime_complete,duration,params_batch_size,params_colnorm_thresh,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_pca_energy,params_preproc,params_scale_heur1,params_scale_mult1,params_squash,state
0,0.6689261198043823,2025-08-19 17:36:35.899967,2025-08-19 17:39:35.317910,0 days 00:02:59.417943,20,8.161602828047998e-05,normal,7,nz,0.0004080777404895364,2.5229890454296e-05,424,464,,colnorm,Glorot,,logistic,COMPLETE
1,0.6866601904233297,2025-08-19 17:39:35.318503,2025-08-19 17:40:10.879784,0 days 00:00:35.561281,100,,uniform,5,nz,2.4079313985321248e-05,0.0010913529542892829,1772,48,,raw,old,1.0460487986240028,tanh,COMPLETE
2,0.9978906512260437,2025-08-19 17:40:10.880096,2025-08-19 17:43:06.863370,0 days 00:02:55.983274,20,1.4174531492435255e-07,uniform,8,nz,1.542503055240466e-08,0.010459026024166053,1456,192,,colnorm,old,1.1885961759280068,tanh,COMPLETE
3,0.9988867441813151,2025-08-19 17:43:06.863873,2025-08-19 17:45:50.268990,0 days 00:02:43.405117,20,,normal,7,zero,,0.16001312004289064,999,1024,0.5287209776576718,pca,old,0.7602633965999173,tanh,COMPLETE
4,0.7290820082028707,2025-08-19 17:45:50.269786,2025-08-19 17:48:46.229087,0 days 00:02:55.959301,20,5.679282662486878e-09,normal,5,nz,6.962904558447564e-05,0.0011308897291631213,842,912,,colnorm,old,1.7308985154963101,logistic,COMPLETE
5,0.6643359859784445,2025-08-19 17:48:46.229796,2025-08-19 17:51:33.074250,0 days 00:02:46.844454,20,,uniform,5,zero,,1.7885194804888353e-06,123,1024,0.6836701442069086,pca,Glorot,,tanh,COMPLETE
6,0.9976953268051147,2025-08-19 17:51:33.074737,2025-08-19 17:54:39.006215,0 days 00:03:05.931478,20,,uniform,5,nz,3.776554902903138e-07,0.7569410783877055,345,528,0.9760145491229384,pca,Glorot,,logistic,COMPLETE
7,0.6814452409744263,2025-08-19 17:54:39.006665,2025-08-19 17:55:13.041572,0 days 00:00:34.034907,100,,uniform,8,nz,5.248628715031427e-06,2.2747365117983396e-06,100,368,,raw,Glorot,,tanh,COMPLETE
8,0.694238285223643,2025-08-19 17:55:13.041769,2025-08-19 17:57:48.150349,0 days 00:02:35.108580,20,,normal,8,zero,,1.3584081106046282e-06,2244,720,,raw,old,1.5273547750398666,tanh,COMPLETE
9,0.7491798996925354,2025-08-19 17:57:48.150789,2025-08-19 18:00:23.661567,0 days 00:02:35.510778,20,,normal,7,zero,,0.0002800256238153302,3160,272,0.8452449777103737,pca,Glorot,,tanh,COMPLETE
10,0.9988086223602295,2025-08-19 18:00:23.662318,2025-08-19 18:00:55.976498,0 days 00:00:32.314180,100,,normal,6,zero,,0.7898139487242578,6381,720,0.5239157487264234,pca,old,0.22602646642857527,logistic,COMPLETE
11,0.9984961350758871,2025-08-19 18:00:55.976693,2025-08-19 18:01:28.637037,0 days 00:00:32.660344,100,,normal,6,zero,,0.9967475614198866,8354,752,0.5004036503807334,pca,old,0.21319560501052562,logistic,COMPLETE
12,0.997558613618215,2025-08-19 18:01:28.637446,2025-08-19 18:02:01.898413,0 days 00:00:33.260967,100,,normal,6,zero,,0.06079490990316424,9007,752,0.5166769890253466,pca,old,0.2655687145862509,logistic,COMPLETE
13,0.999707043170929,2025-08-19 18:02:01.899136,2025-08-19 18:02:34.491539,0 days 00:00:32.592403,100,,normal,6,zero,,0.07745842394644491,3864,928,0.6352817340623571,pca,old,0.7157953383809652,logistic,COMPLETE
14,0.9989062945048014,2025-08-19 18:02:34.491963,2025-08-19 18:03:07.039774,0 days 00:00:32.547811,100,,normal,7,zero,,0.05228597003634975,4323,992,0.6610967459189527,pca,old,0.7588593358835862,tanh,COMPLETE
15,0.9983984629313151,2025-08-19 18:03:07.040327,2025-08-19 18:03:39.321780,0 days 00:00:32.281453,100,,normal,6,zero,,0.018115180693043516,4434,880,0.6836258266841181,pca,old,0.7083059549674268,logistic,COMPLETE
16,0.9944140513737997,2025-08-19 18:03:39.322191,2025-08-19 18:04:11.470077,0 days 00:00:32.147886,100,,normal,7,zero,,0.006549331735988833,3345,624,0.6502266199625115,pca,old,0.7263206190849205,tanh,COMPLETE
17,0.9999218781789144,2025-08-19 18:04:11.470277,2025-08-19 18:04:44.224269,0 days 00:00:32.753992,100,,normal,6,zero,,0.0753692102533267,4583,912,0.78646035836208,pca,old,1.0391840640921703,logistic,COMPLETE
18,0.9984765847524008,2025-08-19 18:04:44.224679,2025-08-19 18:05:17.816974,0 days 00:00:33.592295,100,0.00034095914383598723,normal,6,zero,,0.13532142211848244,700,880,,colnorm,old,1.1820856252823104,logistic,COMPLETE
19,0.7244531313578287,2025-08-19 18:05:17.817164,2025-08-19 18:05:49.317409,0 days 00:00:31.500245,100,,normal,6,zero,,0.0034854595666885583,6165,576,,raw,old,1.4342228156489818,logistic,COMPLETE
20,0.7089258233706156,2025-08-19 18:05:49.317795,2025-08-19 18:06:22.239337,0 days 00:00:32.921542,100,,normal,6,zero,,0.0001428659946520229,2356,832,0.8079253824409761,pca,old,0.5263617262854526,logistic,COMPLETE
21,0.9984179933865865,2025-08-19 18:06:22.239779,2025-08-19 18:06:54.745264,0 days 00:00:32.505485,100,,normal,7,zero,,0.03829437316082479,4770,960,0.6206516416901782,pca,old,0.9730663129389346,logistic,COMPLETE
22,1.0,2025-08-19 18:06:54.745449,2025-08-19 18:07:28.092623,0 days 00:00:33.347174,100,,normal,6,zero,,0.1265022969545353,3850,816,0.7691599835493652,pca,old,0.5322238673633004,logistic,COMPLETE
23,1.0,2025-08-19 18:07:28.093048,2025-08-19 18:08:03.774307,0 days 00:00:35.681259,100,,normal,6,zero,,0.18731306317295035,3104,816,0.7710517246113447,pca,old,0.5021856363386634,logistic,COMPLETE
24,0.9999218781789144,2025-08-19 18:08:03.774492,2025-08-19 18:08:36.449974,0 days 00:00:32.675482,100,,normal,6,zero,,0.33925507591264614,1517,640,0.7800061518629678,pca,old,0.9533761291870553,logistic,COMPLETE
25,0.9999218781789144,2025-08-19 18:08:36.450397,2025-08-19 18:09:08.995236,0 days 00:00:32.544839,100,,normal,6,zero,,0.18637207509344536,2216,816,0.9012195727950303,pca,old,0.4497066155933983,logistic,COMPLETE
26,0.9998828172683716,2025-08-19 18:09:08.995430,2025-08-19 18:09:41.495212,0 days 00:00:32.499782,100,,normal,6,zero,,0.026436743536288485,7146,816,0.7269342600674765,pca,old,0.46946358059114535,logistic,COMPLETE
27,1.0,2025-08-19 18:09:41.495613,2025-08-19 18:10:14.306261,0 days 00:00:32.810648,100,,uniform,6,zero,,0.3602229097768704,9998,672,0.8706030369312313,pca,Glorot,,logistic,COMPLETE
28,0.9974804719289144,2025-08-19 18:10:14.306456,2025-08-19 18:10:45.819758,0 days 00:00:31.513302,100,,uniform,6,zero,,0.3228375737901602,9067,656,,raw,Glorot,,logistic,COMPLETE
29,0.6926564772923788,2025-08-19 18:10:45.820170,2025-08-19 18:11:21.048665,0 days 00:00:35.228495,100,1.0361513733732457e-09,uniform,6,nz,0.004129332284819515,4.894064810102034e-05,521,448,,colnorm,Glorot,,logistic,COMPLETE
30,0.7803711295127869,2025-08-19 18:11:21.048957,2025-08-19 18:11:54.461192,0 days 00:00:33.412235,100,4.4516760458323195e-06,uniform,8,zero,,0.004899806163640322,2864,464,,colnorm,Glorot,,logistic,COMPLETE
31,1.0,2025-08-19 18:11:54.461543,2025-08-19 18:12:27.480222,0 days 00:00:33.018679,100,,uniform,6,zero,,0.3347170260758329,5467,784,0.8599691505521873,pca,Glorot,,logistic,COMPLETE
32,0.9999609390894572,2025-08-19 18:12:27.480633,2025-08-19 18:13:00.044942,0 days 00:00:32.564309,100,,uniform,6,zero,,0.339590211469769,5811,688,0.888053711255266,pca,Glorot,,logistic,COMPLETE
33,0.9992578426996866,2025-08-19 18:13:00.045384,2025-08-19 18:13:36.335431,0 days 00:00:36.290047,100,,uniform,6,zero,,0.015141816259817814,5666,784,0.8502687783793826,pca,Glorot,,logistic,COMPLETE
34,0.999707043170929,2025-08-19 18:13:36.335613,2025-08-19 18:14:14.372125,0 days 00:00:38.036512,100,,uniform,6,nz,1.1270457463514112e-08,0.31222879854680136,9857,848,0.9628003485147247,pca,Glorot,,logistic,COMPLETE
35,0.6779687801996866,2025-08-19 18:14:14.372558,2025-08-19 18:14:47.931247,0 days 00:00:33.558689,100,,uniform,5,zero,,0.0021628569851644534,1147,80,0.7392538877952008,pca,Glorot,,logistic,COMPLETE
36,0.995410144329071,2025-08-19 18:14:47.931432,2025-08-19 18:15:23.207225,0 days 00:00:35.275793,100,3.076339384058849e-07,uniform,6,nz,0.006241616298296223,0.14862203795071754,1900,560,,colnorm,Glorot,,logistic,COMPLETE
37,0.9997461040814718,2025-08-19 18:15:23.207637,2025-08-19 18:17:59.630059,0 days 00:02:36.422422,20,,uniform,8,zero,,0.4530366097949883,2986,608,0.9166773628289789,pca,Glorot,,logistic,COMPLETE
38,0.994238277276357,2025-08-19 18:17:59.630514,2025-08-19 18:18:31.236807,0 days 00:00:31.606293,100,,uniform,5,zero,,0.1177369505998561,7372,768,,raw,Glorot,,logistic,COMPLETE
39,0.6898046533266703,2025-08-19 18:18:31.237211,2025-08-19 18:21:15.747764,0 days 00:02:44.510553,20,,uniform,6,nz,6.234169094019996e-07,8.74431829675753e-06,191,688,0.8451855703385602,pca,Glorot,,logistic,COMPLETE
40,0.9994140863418579,2025-08-19 18:21:15.748202,2025-08-19 18:21:48.617462,0 days 00:00:32.869260,100,,uniform,5,zero,,0.009563402125015207,1476,480,0.7793846915777563,pca,Glorot,,tanh,COMPLETE
