number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.9987092614173889,2025-09-02 03:15:50.943739,2025-09-02 03:20:11.242781,0 days 00:04:20.299042,512,normal,8,nz,2.8332666515127185e-08,0.00016653461936159484,1323,848,832,368,368,Glorot,,tanh,0.01306446393330892,0.013134400049845377,0.013220389684041342,0.013055046399434408,0.012961069742838541,0.012971997261047363,0.01311941941579183,0.013075255212329684,0.9987092614173889,0.007838531742593663,COMPLETE
1,0.9634116689364115,2025-09-02 03:20:11.243273,2025-09-02 03:25:10.570204,0 days 00:04:59.326931,512,normal,6,zero,,0.00044961887272172035,6583,912,832,416,640,old,1.8647617315080172,logistic,0.013071695963541666,0.01307221253712972,0.013108531634012857,0.013098359107971191,0.013136665026346842,0.013047138849894205,0.013038873672485352,0.01308192525591169,0.9634116689364115,0.0033136193411911893,COMPLETE
2,0.943120022614797,2025-09-02 03:25:10.570707,2025-09-02 03:27:51.827474,0 days 00:02:41.256767,512,normal,6,zero,,0.005616945781998589,902,128,224,672,640,old,0.7134517280441177,logistic,0.013039390246073404,0.013139804204305014,0.013058145840962728,0.012407223383585611,0.012956023216247559,0.013193567593892416,0.012609481811523438,0.012914805185227167,0.943120022614797,0.0020376713245751684,COMPLETE
3,0.6197657783826193,2025-09-02 03:27:51.827934,2025-09-02 03:32:31.036517,0 days 00:04:39.208583,256,normal,6,zero,,0.005680937610553498,2579,496,224,336,944,Glorot,,tanh,0.012932141621907553,0.012923836708068848,0.012991706530253092,0.013070623079935709,0.013092597325642904,0.013291279474894205,0.0108108917872111,0.01273043950398763,0.6197657783826193,0.001344036568165875,COMPLETE
4,1.0332425832748413,2025-09-02 03:32:31.036944,2025-09-02 03:37:51.183652,0 days 00:05:20.146708,256,normal,7,nz,0.00332977912693167,7.637327239040629e-06,114,176,576,608,864,Glorot,,logistic,0.01303549607594808,0.013118386268615723,0.013041496276855469,0.013028303782145182,0.013036449750264486,0.013152201970418295,0.012938698132832846,0.013050147465297151,1.0332425832748413,0.0005738710023158887,COMPLETE
5,1.0459067821502686,2025-09-02 03:37:51.184078,2025-09-02 03:45:42.592462,0 days 00:07:51.408384,256,uniform,5,zero,,2.754579187431952e-06,128,944,944,768,784,Glorot,,tanh,0.013140678405761719,0.013052026430765787,0.013156453768412272,0.01312716801961263,0.013151963551839193,0.013088583946228027,0.013103842735290527,0.013117245265415736,1.0459067821502686,0.0030545539280990067,COMPLETE
6,0.9751091798146566,2025-09-02 03:45:42.592899,2025-09-02 03:51:02.505303,0 days 00:05:19.912404,256,uniform,5,zero,,0.010155970644048225,323,624,128,944,1008,old,1.9540912485570676,logistic,0.013338009516398111,0.01312251885732015,0.01307229200998942,0.013178229331970215,0.013073364893595377,0.013094703356424967,0.0127946138381958,0.013096247400556291,0.9751091798146566,0.0056857275388052485,COMPLETE
7,1.029526670773824,2025-09-02 03:51:02.506411,2025-09-02 04:04:11.388467,0 days 00:13:08.882056,100,uniform,8,zero,,1.9670000815753223e-05,2947,624,928,1024,864,old,1.7685618590876564,logistic,0.013122995694478353,0.013116399447123209,0.013086636861165365,0.013188521067301432,0.01307364304860433,0.01309812068939209,0.013136982917785645,0.01311761424655006,1.029526670773824,0.0054449826584984365,COMPLETE
8,0.9237589438756307,2025-09-02 04:04:11.389237,2025-09-02 04:09:02.272601,0 days 00:04:50.883364,256,normal,5,nz,0.00022322339992933733,0.004226725354450022,160,432,448,784,560,Glorot,,tanh,0.013216574986775717,0.013101895650227865,0.013202428817749023,0.012889981269836426,0.01316539446512858,0.013074636459350586,0.01319587230682373,0.01312096913655599,0.9237589438756307,0.01529949369254152,COMPLETE
9,0.36507948239644367,2025-09-02 04:09:02.273355,2025-09-02 04:20:32.144737,0 days 00:11:29.871382,100,normal,5,zero,,0.7942211358209026,557,592,432,192,816,Glorot,,tanh,0.011232455571492514,0.010442733764648438,0.012308597564697266,0.012445529301961264,0.012382785479227701,0.010201970736185709,0.006571253140767415,0.0107979036512829,0.36507948239644367,0.004837423389118762,COMPLETE
