number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.3353841006755829,2025-09-02 03:15:53.719864,2025-09-02 03:27:11.632775,0 days 00:11:17.912911,100,normal,6,zero,,0.28678812614035476,266,192,1008,608,576,old,0.7186620787543885,logistic,0.01295316219329834,0.012984832127888998,0.01304177443186442,0.012931426366170248,0.012904206911722818,0.012767910957336426,0.007611831029256185,0.012170734859648204,0.3353841006755829,0.005205880924302162,COMPLETE
1,0.8277615110079447,2025-09-02 03:27:11.633242,2025-09-02 03:33:25.192255,0 days 00:06:13.559013,256,uniform,6,nz,3.005736980965281e-06,0.002727419843207111,355,304,800,736,544,old,0.7651904189827918,tanh,0.01299591859181722,0.013054807980855307,0.013105114301045736,0.013067086537679037,0.013152281443277994,0.013062318166097006,0.01299301783243815,0.013061506407601493,0.8277615110079447,0.011536339756803328,COMPLETE
2,0.9650275905927023,2025-09-02 03:33:25.192759,2025-09-02 03:37:11.081097,0 days 00:03:45.888338,512,uniform,5,zero,,0.012516506414049113,127,496,512,704,592,Glorot,,logistic,0.013226509094238281,0.013125141461690268,0.01303724447886149,0.013176163037618002,0.013039549191792807,0.013200044631958008,0.013059258460998535,0.0131234157653082,0.9650275905927023,0.009459297373155292,COMPLETE
3,0.42939943075180054,2025-09-02 03:37:11.081559,2025-09-02 03:41:18.125475,0 days 00:04:07.043916,512,uniform,6,nz,0.004311894460840844,0.044606921806839235,3912,240,544,800,560,Glorot,,tanh,0.012327472368876139,0.012348135312398275,0.0107956329981486,0.00910047690073649,0.01049943765004476,0.009387016296386719,1.54574712117513e-05,0.009210518428257531,0.42939943075180054,0.0035182808397455877,COMPLETE
4,0.3818519214789073,2025-09-02 03:41:18.125980,2025-09-02 03:47:27.547439,0 days 00:06:09.421459,256,uniform,6,nz,0.0009348010035975294,0.08459908187981949,3315,720,848,768,256,Glorot,,logistic,0.012787302335103353,0.01291219393412272,0.012903332710266113,0.012917677561442057,0.012634356816609701,0.012140115102132162,0.0004191398620605469,0.010959159760248093,0.3818519214789073,0.0032717211683145767,COMPLETE
5,1.0348938703536987,2025-09-02 03:47:27.547912,2025-09-02 03:59:12.881547,0 days 00:11:45.333635,100,normal,5,nz,1.0224729613848469e-07,4.421316033446251e-05,217,272,240,320,640,Glorot,,logistic,0.013045668601989746,0.013148347536722818,0.013059059778849283,0.01307519276936849,0.013172268867492676,0.012966036796569824,0.013328830401102701,0.013113629250299363,1.0348938703536987,0.0005743875273118632,COMPLETE
6,0.9096400539080302,2025-09-02 03:59:12.882359,2025-09-02 04:01:37.759880,0 days 00:02:24.877521,512,normal,6,zero,,0.015141727048604519,713,160,160,384,864,Glorot,,logistic,0.01306744416554769,0.013052105903625488,0.013158241907755533,0.01315295696258545,0.013140161832173666,0.013028224309285482,0.011871417363484701,0.01292436463492257,0.9096400539080302,0.005641013093308586,COMPLETE
7,1.0343220631281536,2025-09-02 04:01:37.760322,2025-09-02 04:08:18.239394,0 days 00:06:40.479072,512,uniform,7,nz,9.145647612182531e-08,2.6794035197775516e-06,525,912,816,912,672,old,1.4106098531398028,logistic,0.013037800788879395,0.013088107109069824,0.013152718544006348,0.013037919998168945,0.01326453685760498,0.013001561164855957,0.013100504875183105,0.013097592762538366,1.0343220631281536,0.004103088925408348,COMPLETE
8,0.6597385009129842,2025-09-02 04:08:18.240275,2025-09-02 04:14:54.133128,0 days 00:06:35.892853,256,normal,7,nz,0.0001871943431883414,0.003747370883995538,3187,464,960,880,224,old,1.3702309915315387,logistic,0.013087590535481771,0.013047734896341959,0.013297637303670248,0.0131148894627889,0.012933969497680664,0.013005614280700684,0.01226194699605306,0.012964197567531041,0.6597385009129842,0.0020351232528475205,COMPLETE
9,1.042073408762614,2025-09-02 04:14:54.133572,2025-09-02 04:18:16.897975,0 days 00:03:22.764403,512,uniform,7,zero,,3.559828805613139e-06,6180,1024,512,656,160,old,1.2728884162252707,tanh,0.013222138086954752,0.013083855311075846,0.013204852739969889,0.013077179590861002,0.012941718101501465,0.013152440388997396,0.013020793596903482,0.013100425402323404,1.042073408762614,0.0038135537595940638,COMPLETE
10,1.0197418928146362,2025-09-02 04:18:16.898415,2025-09-02 04:23:09.852006,0 days 00:04:52.953591,256,normal,8,zero,,7.294027543887749e-05,3218,688,656,384,592,old,1.363257397007826,logistic,0.013022065162658691,0.013074517250061035,0.013202865918477377,0.013052821159362793,0.013012051582336426,0.01298677921295166,0.013008952140808105,0.01305143606095087,1.0197418928146362,0.001975818790110093,COMPLETE
11,0.8865217963854471,2025-09-02 04:23:09.852900,2025-09-02 04:28:49.630927,0 days 00:05:39.778027,256,uniform,8,nz,0.0024972077447578873,0.007310176710660118,454,224,672,432,1024,old,1.8001794743913964,logistic,0.012955149014790853,0.012904922167460123,0.013130267461140951,0.013038555781046549,0.01299269994099935,0.013060609499613443,0.012918194135030111,0.013000056857154482,0.8865217963854471,0.012298050752927524,COMPLETE
12,1.0414315462112427,2025-09-02 04:28:49.631353,2025-09-02 05:26:23.687861,0 days 00:57:34.056508,20,normal,8,nz,0.004254112064439847,2.0726919407873168e-06,124,448,608,160,976,Glorot,,tanh,0.013122240702311197,0.013052105903625488,0.013094822565714518,0.013113737106323242,0.013100465138753256,0.012797792752583822,0.01306291421254476,0.013049154054550895,1.0414315462112427,0.003169598038869104,COMPLETE
13,1.0173853238423665,2025-09-02 05:26:23.695405,2025-09-02 05:37:53.807063,0 days 00:11:30.111658,100,normal,7,nz,1.4950164658652627e-07,6.18694946626799e-05,935,864,480,608,928,old,0.3760172191602512,tanh,0.013076305389404297,0.013049006462097168,0.013030330340067545,0.013083656628926596,0.013070782025655111,0.013074199358622232,0.013081789016723633,0.013066581317356654,1.0173853238423665,0.002785081102096161,COMPLETE
14,0.38604288299878436,2025-09-02 05:37:53.807501,2025-09-02 05:41:55.529897,0 days 00:04:01.722396,512,uniform,8,zero,,0.5206050406650379,936,160,416,928,592,old,0.8171754286269441,tanh,0.01191401481628418,0.012526392936706543,0.012498736381530762,0.011910756429036459,0.012472867965698242,0.01254729429880778,0.007387995719909668,0.011608294078281947,0.38604288299878436,0.011966571175272068,COMPLETE
15,0.24701367815335593,2025-09-02 05:41:55.530317,2025-09-02 06:38:25.223381,0 days 00:56:29.693064,20,uniform,7,zero,,0.07038461069693253,2496,224,592,848,784,Glorot,,tanh,0.01206505298614502,0.01257169246673584,0.012808601061503092,0.012674848238627115,0.01249992847442627,0.012406071027119955,0.006439685821533203,0.011637982868012927,0.24701367815335593,0.0012879159223412172,COMPLETE
16,1.0165412425994873,2025-09-02 06:38:25.225683,2025-09-02 06:43:21.291951,0 days 00:04:56.066268,256,uniform,6,nz,3.4912391835984953e-06,0.00011343857240939616,2655,960,544,368,528,Glorot,,logistic,0.013071735699971518,0.0132142702738444,0.012978076934814453,0.013103206952412924,0.013106544812520346,0.013017773628234863,0.013191938400268555,0.013097649528866722,1.0165412425994873,0.004094546896213811,COMPLETE
17,0.4235725204149882,2025-09-02 06:43:21.292865,2025-09-02 06:47:40.805988,0 days 00:04:19.513123,512,normal,7,zero,,0.13984702777160735,280,864,336,512,944,Glorot,,tanh,0.012966752052307129,0.01297008991241455,0.013065616289774576,0.012922326723734537,0.01302039623260498,0.0129928191502889,0.00883626937866211,0.012396324248540968,0.4235725204149882,0.013923057314055432,COMPLETE
18,0.9375313719113668,2025-09-02 06:47:40.806415,2025-09-02 06:52:18.879776,0 days 00:04:38.073361,512,uniform,8,zero,,0.0005645279458462784,8137,960,224,704,960,old,0.77719832383908,tanh,0.012926737467447916,0.013164838155110678,0.013044277826944986,0.013084093729654947,0.013078927993774414,0.01300354798634847,0.012923955917358398,0.0130323398680914,0.9375313719113668,0.0028757831897755254,COMPLETE
19,1.0297084252039592,2025-09-02 06:52:18.880606,2025-09-02 06:57:40.906565,0 days 00:05:22.025959,256,normal,8,zero,,1.6752573004292335e-05,5290,896,320,640,976,old,0.8203862668317286,logistic,0.013395945231119791,0.013126293818155924,0.013063311576843262,0.013101975123087565,0.013066490491231283,0.01311039924621582,0.012970805168151855,0.013119317236400784,1.0297084252039592,0.002991979085963091,COMPLETE
20,1.0470267534255981,2025-09-02 06:57:40.907278,2025-09-02 07:00:01.073663,0 days 00:02:20.166385,512,normal,6,zero,,2.993279432713497e-06,212,208,240,576,448,Glorot,,tanh,0.013062238693237305,0.013077298800150553,0.01300970713297526,0.013170520464579264,0.013070424397786459,0.013130545616149902,0.012756705284118652,0.013039634341285342,1.0470267534255981,0.003984294355496093,COMPLETE
21,0.8768335978190104,2025-09-02 07:00:01.074095,2025-09-02 07:57:23.845030,0 days 00:57:22.770935,20,normal,6,nz,5.9489511775294635e-08,0.006037702454628343,472,784,544,368,656,old,1.091064919512398,logistic,0.013082464536031088,0.01303720474243164,0.013067245483398438,0.013036727905273438,0.013057708740234375,0.0130997101465861,0.012842416763305664,0.013031925473894394,0.8768335978190104,0.005040604786128798,COMPLETE
22,1.0329082409540813,2025-09-02 07:57:23.845479,2025-09-02 08:55:23.812970,0 days 00:57:59.967491,20,uniform,6,nz,6.383400130841037e-06,8.670749413248175e-05,104,960,416,448,992,Glorot,,logistic,0.013064861297607422,0.01305238405863444,0.013092557589213053,0.013096491495768229,0.013140002886454264,0.013104597727457682,0.012938499450683594,0.01306991350083124,1.0329082409540813,0.00446253784302134,COMPLETE
