number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.8983945449193319,2025-09-02 03:15:48.942212,2025-09-02 03:19:17.708995,0 days 00:03:28.766783,512,normal,8,nz,2.8332666515127185e-08,0.00016653461936159484,1323,848,832,368,368,Glorot,,tanh,0.013107697168986002,0.013011018435160318,0.013088583946228027,0.013097802797953287,0.013254364331563314,0.013027667999267578,0.013056357701619467,0.013091927482968283,0.8983945449193319,0.0033833149148152918,COMPLETE
1,0.8420405586560568,2025-09-02 03:19:17.709506,2025-09-02 03:23:34.407474,0 days 00:04:16.697968,512,normal,6,zero,,0.00044961887272172035,6583,912,832,416,640,old,1.8647617315080172,logistic,0.013123830159505209,0.013239661852518717,0.01316372553507487,0.013060212135314941,0.013120532035827637,0.013013283411661783,0.01307666301727295,0.013113986878168015,0.8420405586560568,0.007500534327478477,COMPLETE
2,0.7929328083992004,2025-09-02 03:23:34.407994,2025-09-02 03:26:16.304742,0 days 00:02:41.896748,512,normal,6,zero,,0.005616945781998589,902,128,224,672,640,old,0.7134517280441177,logistic,0.01280514399210612,0.013050595919291178,0.013021310170491537,0.01290567715962728,0.013141314188639322,0.013124028841654459,0.012258291244506836,0.012900908788045248,0.7929328083992004,0.0034862984541974085,COMPLETE
3,0.4586818317572276,2025-09-02 03:26:16.305238,2025-09-02 03:31:35.642303,0 days 00:05:19.337065,256,normal,6,zero,,0.005680937610553498,2579,496,224,336,944,Glorot,,tanh,0.01285703976949056,0.013230443000793457,0.013094663619995117,0.01305532455444336,0.013034184773763021,0.0130464235941569,0.010261853535970053,0.012654276121230353,0.4586818317572276,0.003675498017424559,COMPLETE
4,1.0320918957392375,2025-09-02 03:31:35.642799,2025-09-02 03:36:59.554068,0 days 00:05:23.911269,256,normal,7,nz,0.00332977912693167,7.637327239040629e-06,114,176,576,608,864,Glorot,,logistic,0.013084769248962402,0.013036290804545084,0.013102412223815918,0.013456384340922037,0.013103961944580078,0.013143618901570639,0.01304924488067627,0.01313952604929606,1.0320918957392375,0.002978094829101246,COMPLETE
5,1.0424423615137737,2025-09-02 03:36:59.555054,2025-09-02 03:44:15.093283,0 days 00:07:15.538229,256,uniform,5,zero,,2.754579187431952e-06,128,944,944,768,784,Glorot,,tanh,0.013029535611470541,0.013104875882466635,0.013013164202372232,0.013087789217631022,0.0130233367284139,0.013078808784484863,0.013098200162251791,0.013062244369870139,1.0424423615137737,0.010421433912657868,COMPLETE
6,0.8961014747619629,2025-09-02 03:44:15.094070,2025-09-02 03:49:57.725542,0 days 00:05:42.631472,256,uniform,5,zero,,0.010155970644048225,323,624,128,944,1008,old,1.9540912485570676,logistic,0.013311465581258139,0.013033707936604818,0.013143777847290039,0.013146638870239258,0.013108293215433756,0.012982726097106934,0.012278358141581217,0.013000709669930596,0.8961014747619629,0.004688142257236839,COMPLETE
7,1.02105979124705,2025-09-02 03:49:57.726014,2025-09-02 04:03:07.403688,0 days 00:13:09.677674,100,uniform,8,zero,,1.9670000815753223e-05,2947,624,928,1024,864,old,1.7685618590876564,logistic,0.01310269037882487,0.01310733954111735,0.01314846674601237,0.013018210728963217,0.013191938400268555,0.013104478518168131,0.013092994689941406,0.013109445571899416,1.02105979124705,0.006340442539210666,COMPLETE
8,0.7234199444452921,2025-09-02 04:03:07.404143,2025-09-02 04:08:25.433263,0 days 00:05:18.029120,256,normal,5,nz,0.00022322339992933733,0.004226725354450022,160,432,448,784,560,Glorot,,tanh,0.013070305188496908,0.012985905011494955,0.013071457544962565,0.013056317965189615,0.013063391049702963,0.013090093930562338,0.012967785199483236,0.013043607984270367,0.7234199444452921,0.018749171023775456,COMPLETE
9,0.2465322514375051,2025-09-02 04:08:25.434035,2025-09-02 04:21:32.202683,0 days 00:13:06.768648,100,normal,5,zero,,0.7942211358209026,557,592,432,192,816,Glorot,,tanh,0.010966340700785318,0.011708458264668783,0.012358983357747396,0.012357115745544434,0.012044946352640787,0.007925669352213541,0.003742694854736328,0.010157744089762371,0.2465322514375051,0.015302156645912014,COMPLETE
10,1.031559427579244,2025-09-02 04:21:32.203129,2025-09-02 04:27:15.069526,0 days 00:05:42.866397,512,normal,7,nz,6.886891123861803e-07,7.091274531602468e-06,1569,464,720,816,976,old,0.2755374402164064,logistic,0.013041218121846518,0.013131141662597656,0.013013760248819986,0.013088425000508627,0.013036608695983887,0.013044595718383789,0.013103206952412924,0.013065565200079055,1.031559427579244,0.003019326130687985,COMPLETE
11,0.3452295958995819,2025-09-02 04:27:15.069990,2025-09-02 04:40:21.266061,0 days 00:13:06.196071,100,uniform,5,zero,,0.02326891288009884,2421,672,720,288,848,Glorot,,logistic,0.01295610268910726,0.012886563936869303,0.012988090515136719,0.013027509053548178,0.013078649838765463,0.0130538543065389,0.008671243985493978,0.01238028776077997,0.3452295958995819,0.008635222221401364,COMPLETE
12,0.3530169030030568,2025-09-02 04:40:21.266510,2025-09-02 04:42:56.263906,0 days 00:02:34.997396,512,normal,8,zero,,0.02099343416883146,6412,160,736,192,496,Glorot,,logistic,0.012990156809488932,0.012734134991963705,0.013031601905822754,0.013260841369628906,0.013001720110575357,0.012499054272969564,0.008580168088277182,0.012299668221246628,0.3530169030030568,0.0031337592025959616,COMPLETE
