number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.2792094548543294,2025-09-02 03:15:48.261171,2025-09-02 03:29:08.785462,0 days 00:13:20.524291,100,normal,6,zero,,0.28678812614035476,266,192,1008,608,576,old,0.7186620787543885,logistic,0.012907862663269043,0.012993534406026205,0.012980500857035318,0.013302127520243326,0.01274414857228597,0.012642224629720053,0.008590181668599447,0.012308654331025622,0.2792094548543294,0.0016794475317439652,COMPLETE
1,0.6035958925882975,2025-09-02 03:29:08.786257,2025-09-02 03:34:39.576028,0 days 00:05:30.789771,256,uniform,6,nz,3.005736980965281e-06,0.002727419843207111,355,304,800,736,544,old,0.7651904189827918,tanh,0.013005693753560385,0.013183355331420898,0.013190666834513346,0.013334194819132486,0.013084650039672852,0.0130385955174764,0.012963255246480307,0.013114344506036666,0.6035958925882975,0.008631130843025966,COMPLETE
2,0.8505947987238566,2025-09-02 03:34:39.576455,2025-09-02 03:38:07.963683,0 days 00:03:28.387228,512,uniform,5,zero,,0.012516506414049113,127,496,512,704,592,Glorot,,logistic,0.013062636057535807,0.012995123863220215,0.013017694155375162,0.012943506240844727,0.013051271438598633,0.01312847932179769,0.012994607289632162,0.013027616909572054,0.8505947987238566,0.017450218852615947,COMPLETE
3,0.3828577399253845,2025-09-02 03:38:07.964097,2025-09-02 03:41:52.941041,0 days 00:03:44.976944,512,uniform,6,nz,0.004311894460840844,0.044606921806839235,3912,240,544,800,560,Glorot,,tanh,0.01135424772898356,0.011510491371154785,0.008701801300048828,0.006348967552185059,0.008162101109822592,0.007236957550048828,1.8278757731119793e-05,0.007618977909996396,0.3828577399253845,0.003918575025495939,COMPLETE
4,0.3288754920164744,2025-09-02 03:41:52.941461,2025-09-02 03:47:17.137373,0 days 00:05:24.195912,256,uniform,6,nz,0.0009348010035975294,0.08459908187981949,3315,720,848,768,256,Glorot,,logistic,0.012559254964192709,0.01291485627492269,0.012500643730163574,0.012796123822530111,0.01225439707438151,0.011540850003560385,0.0005499521891276041,0.010730868294125511,0.3288754920164744,0.0027987114065960135,COMPLETE
5,1.033316731452942,2025-09-02 03:47:17.137786,2025-09-02 04:00:30.278960,0 days 00:13:13.141174,100,normal,5,nz,1.0224729613848469e-07,4.421316033446251e-05,217,272,240,320,640,Glorot,,logistic,0.012824932734171549,0.013006369272867838,0.013088623682657877,0.013088862101236979,0.01308127244313558,0.013166030248006185,0.013379613558451334,0.013090814862932478,1.033316731452942,0.008476682441496278,COMPLETE
6,0.6757826805114746,2025-09-02 04:00:30.279407,2025-09-02 04:03:01.094613,0 days 00:02:30.815206,512,normal,6,zero,,0.015141727048604519,713,160,160,384,864,Glorot,,logistic,0.013113776842753092,0.013112107912699381,0.013006965319315592,0.01243885358174642,0.013069868087768555,0.013161738713582357,0.00902696450551351,0.01241861070905413,0.6757826805114746,0.005528072139698684,COMPLETE
7,1.0321756601333618,2025-09-02 04:03:01.095026,2025-09-02 04:09:10.112206,0 days 00:06:09.017180,512,uniform,7,nz,9.145647612182531e-08,2.6794035197775516e-06,525,912,816,912,672,old,1.4106098531398028,logistic,0.013114094734191895,0.013135910034179688,0.012947360674540201,0.013092438379923502,0.01301264762878418,0.013124903043111166,0.013073007265726725,0.013071480251493907,1.0321756601333618,0.0036063257691309404,COMPLETE
8,0.5211243232091268,2025-09-02 04:09:10.112639,2025-09-02 04:14:47.181559,0 days 00:05:37.068920,256,normal,7,nz,0.0001871943431883414,0.003747370883995538,3187,464,960,880,224,old,1.3702309915315387,logistic,0.013030529022216797,0.01307682196299235,0.012837568918863932,0.01303414503733317,0.01318685213724772,0.013029694557189941,0.012117584546407064,0.012901885168892995,0.5211243232091268,0.004333633516396974,COMPLETE
9,1.0367153882980347,2025-09-02 04:14:47.181980,2025-09-02 04:17:48.818249,0 days 00:03:01.636269,512,uniform,7,zero,,3.559828805613139e-06,6180,1024,512,656,160,old,1.2728884162252707,tanh,0.013100862503051758,0.013130784034729004,0.013406316439310709,0.013121525446573893,0.013653794924418131,0.013106226921081543,0.012930035591125488,0.013207077980041504,1.0367153882980347,0.0007416337924048002,COMPLETE
10,0.9994895458221436,2025-09-02 04:17:48.821245,2025-09-02 04:22:49.215431,0 days 00:05:00.394186,256,normal,8,zero,,7.294027543887749e-05,3218,688,656,384,592,old,1.363257397007826,logistic,0.013099352518717447,0.013042410214742025,0.01315001646677653,0.013041377067565918,0.013155261675516764,0.013176759084065756,0.013142267862955729,0.013115349270048595,0.9994895458221436,0.005234272618165121,COMPLETE
11,0.6764305035273234,2025-09-02 04:22:49.216161,2025-09-02 04:28:06.764849,0 days 00:05:17.548688,256,uniform,8,nz,0.0024972077447578873,0.007310176710660118,454,224,672,432,1024,old,1.8001794743913964,logistic,0.013039867083231607,0.013066649436950684,0.013030529022216797,0.0131454865137736,0.013038873672485352,0.013039429982503256,0.012616594632466635,0.012996775763375417,0.6764305035273234,0.010083467957023178,COMPLETE
12,1.0400511821111043,2025-09-02 04:28:06.765777,2025-09-02 05:35:07.706740,0 days 01:07:00.940963,20,normal,8,nz,0.004254112064439847,2.0726919407873168e-06,124,448,608,160,976,Glorot,,tanh,0.013027111689249674,0.012950619061787924,0.013095219930013021,0.01302945613861084,0.013132174809773764,0.013466397921244303,0.013185540835062662,0.013126645769391742,1.0400511821111043,0.0060201637409609534,COMPLETE
13,0.975486159324646,2025-09-02 05:35:07.707157,2025-09-02 05:48:59.333181,0 days 00:13:51.626024,100,normal,7,nz,1.4950164658652627e-07,6.18694946626799e-05,935,864,480,608,928,old,0.3760172191602512,tanh,0.013195991516113281,0.013000925381978353,0.013145009676615397,0.013014833132425943,0.013029932975769043,0.012923757235209147,0.01298987865447998,0.013042904081798734,0.975486159324646,0.005098540112111021,COMPLETE
14,0.2187058279911677,2025-09-02 05:48:59.333626,2025-09-02 05:52:48.707377,0 days 00:03:49.373751,512,uniform,8,zero,,0.5206050406650379,936,160,416,928,592,old,0.8171754286269441,tanh,0.012219866116841635,0.012625972429911295,0.012519637743631998,0.012564698855082193,0.011832475662231445,0.01148533821105957,0.005168914794921875,0.011202414830525715,0.2187058279911677,0.002130239491081982,COMPLETE
15,0.20358121395111084,2025-09-02 05:52:48.708116,2025-09-02 06:57:57.158643,0 days 01:05:08.450527,20,uniform,7,zero,,0.07038461069693253,2496,224,592,848,784,Glorot,,tanh,0.011689345041910807,0.012384692827860514,0.012668212254842123,0.012625416119893393,0.01216264565785726,0.011922319730122885,0.0066678524017333984,0.011445783433460055,0.20358121395111084,0.002458944480075775,COMPLETE
16,0.9937400817871094,2025-09-02 06:57:57.159507,2025-09-02 07:03:07.907486,0 days 00:05:10.747979,256,uniform,6,nz,3.4912391835984953e-06,0.00011343857240939616,2655,960,544,368,528,Glorot,,logistic,0.013013442357381185,0.012932221094767252,0.013047019640604654,0.013051152229309082,0.013074517250061035,0.013056675593058268,0.013074954350789389,0.013035711787995837,0.9937400817871094,0.004417288643031204,COMPLETE
17,0.3170222043991089,2025-09-02 07:03:07.907911,2025-09-02 07:07:23.873914,0 days 00:04:15.966003,512,normal,7,zero,,0.13984702777160735,280,864,336,512,944,Glorot,,tanh,0.012809991836547852,0.012868007024129232,0.01300827662150065,0.013068596522013346,0.012968659400939941,0.01268609364827474,0.00931855042775472,0.012389739354451495,0.3170222043991089,0.009599209068746731,COMPLETE
18,0.6860387921333313,2025-09-02 07:07:23.874697,2025-09-02 07:12:13.260667,0 days 00:04:49.385970,512,uniform,8,zero,,0.0005645279458462784,8137,960,224,704,960,old,0.77719832383908,tanh,0.012950698534647623,0.01305540402730306,0.01305687427520752,0.013131459554036459,0.013100783030192057,0.01311167081197103,0.012526710828145346,0.012990514437357584,0.6860387921333313,0.0023897159678424847,COMPLETE
19,1.0206622680028279,2025-09-02 07:12:13.261431,2025-09-02 07:17:37.965395,0 days 00:05:24.703964,256,normal,8,zero,,1.6752573004292335e-05,5290,896,320,640,976,old,0.8203862668317286,logistic,0.01326127847035726,0.01319122314453125,0.013062715530395508,0.013149778048197428,0.013083060582478842,0.013136625289916992,0.013038158416748047,0.013131834211803617,1.0206622680028279,0.006731350567574452,COMPLETE
20,1.0420081615447998,2025-09-02 07:17:37.965816,2025-09-02 07:20:06.349387,0 days 00:02:28.383571,512,normal,6,zero,,2.993279432713497e-06,212,208,240,576,448,Glorot,,tanh,0.01311635971069336,0.01313161849975586,0.013107975323994955,0.01294247309366862,0.013094107309977213,0.013013164202372232,0.012879053751627604,0.013040678841727122,1.0420081615447998,0.005613479269647142,COMPLETE
21,0.6665831208229065,2025-09-02 07:20:06.349805,2025-09-02 08:27:22.046280,0 days 01:07:15.696475,20,normal,6,nz,5.9489511775294635e-08,0.006037702454628343,472,784,544,368,656,old,1.091064919512398,logistic,0.013101776440938314,0.01305091381072998,0.013074914614359537,0.013059496879577637,0.013110876083374023,0.013141353925069174,0.012302160263061523,0.012977356002444313,0.6665831208229065,0.0038797224953359436,COMPLETE
22,1.0316153367360432,2025-09-02 08:27:22.046726,2025-09-02 09:34:34.509226,0 days 01:07:12.462500,20,uniform,6,nz,6.383400130841037e-06,8.670749413248175e-05,104,960,416,448,992,Glorot,,logistic,0.013097922007242838,0.013075947761535645,0.013112982114156088,0.013070185979207357,0.01307213306427002,0.013114253679911295,0.013137221336364746,0.013097235134669715,1.0316153367360432,0.007651487195463767,COMPLETE
23,0.23467510441939035,2025-09-02 09:34:34.509666,2025-09-02 09:47:52.170937,0 days 00:13:17.661271,100,uniform,5,nz,2.1360456204059218e-06,0.28551000705087126,6515,800,336,144,448,old,0.5217777191089703,logistic,0.011632680892944336,0.01060330867767334,0.011839826901753744,0.01241751511891683,0.011658032735188803,0.008311788241068522,0.001001119613647461,0.009637753168741863,0.23467510441939035,0.00545316326208604,COMPLETE
24,1.0338960886001587,2025-09-02 09:47:52.171694,2025-09-02 09:50:25.107555,0 days 00:02:32.935861,512,normal,5,zero,,1.779299425457281e-05,383,592,128,144,512,old,1.0953085363151955,logistic,0.013124306996663412,0.013233304023742676,0.01303096612294515,0.013111114501953125,0.01288910706837972,0.013255119323730469,0.013446609179178873,0.01315578960237049,1.0338960886001587,0.007784890207885207,COMPLETE
25,1.0375471115112305,2025-09-02 09:50:25.108385,2025-09-02 10:04:20.204577,0 days 00:13:55.096192,100,uniform,7,nz,0.0005702005920390691,1.4639514365757013e-05,423,528,848,912,400,old,1.1341970532789616,tanh,0.01304781436920166,0.013111313184102377,0.013168255488077799,0.012991229693094889,0.013245781262715658,0.01306450366973877,0.013031204541524252,0.01309430031549363,1.0375471115112305,0.004072174210012222,COMPLETE
26,0.4483468333880107,2025-09-02 10:04:20.205010,2025-09-02 11:09:08.947517,0 days 01:04:48.742507,20,uniform,8,zero,,0.2871481514809849,100,448,272,128,576,Glorot,,logistic,0.012660066286722818,0.01301431655883789,0.012959798177083334,0.013019959131876627,0.013036767641703287,0.01297152042388916,0.005522012710571289,0.011883491561526344,0.4483468333880107,0.008438716866795669,COMPLETE
27,1.0319371620814006,2025-09-02 11:09:08.947954,2025-09-02 11:11:44.638412,0 days 00:02:35.690458,512,normal,8,zero,,0.0002178273503004652,128,256,144,416,736,old,0.6685596747040621,logistic,0.01340345541636149,0.013126254081726074,0.013053496678670248,0.013164718945821127,0.013176202774047852,0.013248244921366373,0.012981891632080078,0.013164894921439036,1.0319371620814006,0.0034610593318555763,COMPLETE
28,0.913316011428833,2025-09-02 11:11:44.639142,2025-09-02 12:17:14.679185,0 days 01:05:30.040043,20,uniform,6,zero,,3.0420481909171226e-05,5892,1024,528,896,128,Glorot,,tanh,0.013103723526000977,0.013021071751912435,0.012820879618326822,0.013083696365356445,0.012742122014363607,0.01312084992726644,0.013187170028686523,0.013011359033130462,0.913316011428833,0.006761172291309491,COMPLETE
29,0.8774726986885071,2025-09-02 12:17:14.680049,2025-09-02 13:21:11.854546,0 days 01:03:57.174497,20,normal,7,zero,,0.0002520438692546329,6794,496,416,496,464,old,1.334672179660087,logistic,0.01330717404683431,0.013050278027852377,0.0129776398340861,0.013074914614359537,0.01304467519124349,0.013069828351338705,0.01292590300242106,0.013064344724019367,0.8774726986885071,0.005474358420154962,COMPLETE
30,0.9842193325360616,2025-09-02 13:21:11.854978,2025-09-02 13:27:23.266872,0 days 00:06:11.411894,512,uniform,7,nz,1.6486730302220903e-05,0.00021278293670092617,192,384,960,752,960,old,1.6650831421016485,tanh,0.013074755668640137,0.013068636258443197,0.01301280657450358,0.013135592142740885,0.013056715329488119,0.013145526250203451,0.013045072555541992,0.013077014968508766,0.9842193325360616,0.008652976144284386,COMPLETE
31,1.0294411579767864,2025-09-02 13:27:23.267626,2025-09-02 14:35:14.588042,0 days 01:07:51.320416,20,normal,6,nz,3.767989982847917e-05,8.41986904154775e-06,661,192,976,336,784,Glorot,,logistic,0.01306009292602539,0.013135711352030436,0.013125220934549967,0.013150215148925781,0.01308735211690267,0.013120015462239584,0.013073444366455078,0.013107436043875556,1.0294411579767864,0.0068021823243654255,COMPLETE
32,1.0419001976648967,2025-09-02 14:35:14.588668,2025-09-02 14:48:40.367648,0 days 00:13:25.778980,100,uniform,8,nz,0.0006021016068328207,1.8504600665283064e-06,604,592,928,416,880,Glorot,,tanh,0.013081868489583334,0.0131529172261556,0.013096173604329428,0.01310276985168457,0.013135631879170736,0.01302353541056315,0.013164242108662924,0.013108162652878534,1.0419001976648967,0.006446029803782413,COMPLETE
33,0.9797885020573934,2025-09-02 14:48:40.368076,2025-09-02 14:53:45.731096,0 days 00:05:05.363020,256,uniform,8,zero,,0.0004064871860768272,728,320,576,912,416,old,1.1133727133657239,logistic,0.013083457946777344,0.013100703557332357,0.013227264086405436,0.012996435165405273,0.013090173403422037,0.013025879859924316,0.012996753056844076,0.013074381010872977,0.9797885020573934,0.003690436620570906,COMPLETE
34,0.22366183002789816,2025-09-02 14:53:45.731550,2025-09-02 14:56:47.860959,0 days 00:03:02.129409,512,normal,7,zero,,0.4080388969790123,813,976,752,304,192,Glorot,,tanh,0.012002825736999512,0.01242204507191976,0.011873364448547363,0.01277772585550944,0.011101921399434408,0.010216395060221354,0.007775147755940755,0.011167060761224656,0.22366183002789816,0.002831197587302574,COMPLETE
35,0.3808055818080902,2025-09-02 14:56:47.861693,2025-09-02 15:00:11.314329,0 days 00:03:23.452636,512,uniform,5,nz,3.95691079982726e-05,0.11775755469457652,248,464,176,784,704,old,1.0259352429407134,tanh,0.013174732526143393,0.013070027033487955,0.013024687767028809,0.01290440559387207,0.013031840324401855,0.013083616892496744,0.007559617360432942,0.012264132499694824,0.3808055818080902,0.008363813893714407,COMPLETE
36,0.5165335933367411,2025-09-02 15:00:11.315108,2025-09-02 15:04:15.835522,0 days 00:04:04.520414,512,uniform,8,zero,,0.036274503392407495,288,1024,880,320,560,old,1.129578690844106,logistic,0.013056476910909018,0.013055086135864258,0.013016184171040853,0.013032913208007812,0.013176600138346354,0.01314250628153483,0.011975248654683432,0.012922145071483796,0.5165335933367411,0.013168583275430457,COMPLETE
37,0.25016655027866364,2025-09-02 15:04:15.836321,2025-09-02 15:07:33.334101,0 days 00:03:17.497780,512,normal,8,zero,,0.7026571679037953,351,704,800,288,512,Glorot,,tanh,0.012241562207539877,0.012644330660502115,0.012658278147379557,0.012703180313110352,0.012231667836507162,0.01058053970336914,0.008593122164408365,0.011664668718973797,0.25016655027866364,0.020429874345292212,COMPLETE
38,0.5655799508094788,2025-09-02 15:07:33.334553,2025-09-02 15:12:47.163918,0 days 00:05:13.829365,256,uniform,7,nz,8.244328847861404e-07,0.010843892878441716,158,992,560,864,224,Glorot,,tanh,0.013015985488891602,0.013058304786682129,0.013272841771443685,0.013091643651326498,0.01314997673034668,0.013107021649678549,0.012825846672058105,0.013074517250061035,0.5655799508094788,0.016568987477355645,COMPLETE
39,0.399716317653656,2025-09-02 15:12:47.164367,2025-09-02 15:25:54.160095,0 days 00:13:06.995728,100,normal,7,zero,,0.019469773326576473,266,528,736,864,848,old,1.6439028897719594,tanh,0.013055880864461264,0.01307988166809082,0.012991507848103842,0.013143817583719889,0.012977957725524902,0.012983361879984537,0.012504140535990397,0.012962364015125096,0.399716317653656,0.009768353713359598,COMPLETE
40,0.2776401937007904,2025-09-02 15:25:54.160543,2025-09-02 15:29:59.402949,0 days 00:04:05.242406,512,uniform,6,nz,3.857174781334696e-07,0.015873832288492918,3051,272,720,848,496,old,0.2695637448948679,tanh,0.013018488883972168,0.013062318166097006,0.013028264045715332,0.012884298960367838,0.013054569562276205,0.012855728467305502,0.011283596356709799,0.012741037777491976,0.2776401937007904,0.002716868281494206,COMPLETE
41,0.9661436676979065,2025-09-02 15:29:59.404208,2025-09-02 16:38:01.080869,0 days 01:08:01.676661,20,uniform,5,nz,3.386321498655938e-06,1.3449992816910692e-05,9201,992,608,304,496,Glorot,,tanh,0.013197938601175943,0.013048052787780762,0.012938539187113443,0.013066848119099935,0.013050675392150879,0.013102253278096518,0.013075987497965494,0.013068613551911853,0.9661436676979065,0.012100291551030677,COMPLETE
42,0.1813243975241979,2025-09-02 16:38:01.081331,2025-09-02 16:51:09.553975,0 days 00:13:08.472644,100,normal,8,zero,,0.23346488990458916,9881,176,784,304,320,Glorot,,logistic,0.01043093204498291,0.010934988657633463,0.01087486743927002,0.010898272196451822,0.009739995002746582,0.008377432823181152,0.002259055773417155,0.009073649133954729,0.1813243975241979,0.0016827530674457854,COMPLETE
43,1.0119082132975261,2025-09-02 16:51:09.554410,2025-09-02 16:56:17.005212,0 days 00:05:07.450802,256,normal,6,zero,,5.05629522128911e-05,628,672,736,128,928,Glorot,,tanh,0.012993534406026205,0.013009389241536459,0.013055960337320963,0.013106743494669596,0.01309661070505778,0.012514789899190268,0.013091603914896647,0.012981233142671132,1.0119082132975261,0.005284397311962088,COMPLETE
44,0.8720237414042155,2025-09-02 16:56:17.005684,2025-09-02 17:09:25.015062,0 days 00:13:08.009378,100,uniform,5,zero,,0.002809133912713851,303,352,928,256,224,Glorot,,logistic,0.013100465138753256,0.01298666000366211,0.012711842854817709,0.013141671816507975,0.01308906078338623,0.013068437576293945,0.012999534606933594,0.013013953254336404,0.8720237414042155,0.015013488779564679,COMPLETE
45,1.0315508842468262,2025-09-02 17:09:25.015502,2025-09-02 18:16:58.042181,0 days 01:07:33.026679,20,normal,7,nz,2.3929342013616522e-05,1.4440212061893252e-05,196,816,208,688,816,Glorot,,logistic,0.01353625456492106,0.012984077135721842,0.013085881868998209,0.013077298800150553,0.013117273648579916,0.013097087542215982,0.012951811154683432,0.013121383530753,1.0315508842468262,0.004589922076160971,COMPLETE
46,0.3536595106124878,2025-09-02 18:16:58.042629,2025-09-02 18:22:15.356234,0 days 00:05:17.313605,256,uniform,7,zero,,0.043674173207084874,1003,816,192,384,752,old,1.8827356407489932,tanh,0.012647271156311035,0.01302929719289144,0.013010064760843912,0.013041218121846518,0.01305703322092692,0.012795488039652506,0.007188638051350911,0.012109858649117606,0.3536595106124878,0.0048957136628707595,COMPLETE
47,0.9712411761283875,2025-09-02 18:22:15.357297,2025-09-02 18:26:35.285070,0 days 00:04:19.927773,512,uniform,8,nz,8.31077302228011e-06,0.00010267644470118219,9195,512,608,400,928,old,0.8595999722635594,logistic,0.01310416062672933,0.012903849283854166,0.01311961809794108,0.013064225514729818,0.01306156317392985,0.01315744717915853,0.01307241121927897,0.013069039299374535,0.9712411761283875,0.0028988435488758774,COMPLETE
48,0.3725733558336894,2025-09-02 18:26:35.285529,2025-09-02 18:29:05.209148,0 days 00:02:29.923619,512,uniform,5,zero,,0.05359253345877439,522,240,352,288,240,Glorot,,tanh,0.012719670931498209,0.012965083122253418,0.01305373509724935,0.01284329096476237,0.012895147005716959,0.012739896774291992,0.010071913401285807,0.012469819613865443,0.3725733558336894,0.0077094568948194095,COMPLETE
49,0.5474313894907633,2025-09-02 18:29:05.209589,2025-09-02 19:33:36.300823,0 days 01:04:31.091234,20,normal,8,zero,,0.0021677280943486516,880,384,624,384,240,Glorot,,tanh,0.01302635669708252,0.012981931368509928,0.012810071309407553,0.013156374295552572,0.013319253921508789,0.01290905475616455,0.012726823488871256,0.012989980833871026,0.5474313894907633,0.0023898884068215883,COMPLETE
50,1.0322177410125732,2025-09-02 19:33:36.301251,2025-09-02 20:39:44.150612,0 days 01:06:07.849361,20,uniform,8,zero,,1.1558246302447942e-05,173,736,624,320,688,old,0.9514981945949907,logistic,0.013093670209248861,0.012896974881490072,0.013138333956400553,0.013053297996520996,0.013102293014526367,0.01304320494333903,0.013187726338704428,0.01307364304860433,1.0322177410125732,0.007930436964810135,COMPLETE
51,1.0294152895609539,2025-09-02 20:40:09.085935,2025-09-02 20:44:53.966743,0 days 00:04:44.880808,512,normal,5,nz,1.4282591707864956e-05,3.945201197197069e-05,338,864,224,752,976,old,1.3779528531038956,tanh,0.013086756070454916,0.012998263041178385,0.013115882873535156,0.013083179791768393,0.013142625490824381,0.012935558954874674,0.013273914655049643,0.013090882982526506,1.0294152895609539,0.01032583359460662,COMPLETE
52,0.2752293646335602,2025-09-02 20:44:53.967515,2025-09-02 20:49:39.945761,0 days 00:04:45.978246,512,normal,7,zero,,0.015361309441221117,3943,464,752,736,816,Glorot,,tanh,0.012839237848917643,0.012957453727722168,0.013042926788330078,0.012977798779805502,0.01297299067179362,0.012762228647867838,0.011324405670166016,0.012696720304943268,0.2752293646335602,0.0022760783975992144,COMPLETE
53,0.5197229782740275,2025-09-02 20:49:39.946191,2025-09-02 20:55:31.417728,0 days 00:05:51.471537,256,uniform,7,nz,1.4017302164881898e-08,0.04440465036006332,203,320,736,624,896,Glorot,,logistic,0.01302182674407959,0.013073285420735678,0.013072729110717773,0.01304622491200765,0.01309502124786377,0.012997746467590332,0.011656800905863443,0.012851947829836893,0.5197229782740275,0.01977330713432841,COMPLETE
54,0.7025129000345866,2025-09-02 20:55:31.418169,2025-09-02 21:09:00.364617,0 days 00:13:28.946448,100,normal,8,nz,0.008074138133032035,0.004337531741537508,138,304,528,928,256,old,0.8716010369924612,tanh,0.012952129046122232,0.013102253278096518,0.01294088363647461,0.013064901034037272,0.012833396593729654,0.013082305590311686,0.013023575146993002,0.012999920617966424,0.7025129000345866,0.019488707585037023,COMPLETE
55,1.0331566731135051,2025-09-02 21:09:00.365048,2025-09-02 21:11:42.787374,0 days 00:02:42.422326,512,normal,5,nz,1.8603253758028127e-08,4.506081073309925e-06,2687,320,320,880,304,old,1.7232730475252778,logistic,0.012860774993896484,0.01313487688700358,0.013175527254740397,0.013188560803731283,0.013287504514058432,0.013103564580281576,0.013320565223693848,0.013153053465343656,1.0331566731135051,0.005685823535218941,COMPLETE
