number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.3087727427482605,2025-09-02 03:15:51.869516,2025-09-02 03:27:24.549313,0 days 00:11:32.679797,100,normal,6,zero,,0.28678812614035476,266,192,1008,608,576,old,0.7186620787543885,logistic,0.012851198514302572,0.012979388236999512,0.012955347696940104,0.013314088185628256,0.012730876604715982,0.012621045112609863,0.008223573366800943,0.012239359673999606,0.3087727427482605,0.004549866020827615,COMPLETE
1,0.6605279445648193,2025-09-02 03:27:24.550151,2025-09-02 03:32:16.413953,0 days 00:04:51.863802,256,uniform,6,nz,3.005736980965281e-06,0.002727419843207111,355,304,800,736,544,old,0.7651904189827918,tanh,0.013006170590718588,0.013178706169128418,0.013184348742167154,0.013328472773234049,0.01309796174367269,0.013035098711649576,0.012961864471435547,0.01311323188600086,0.6605279445648193,0.010922604919594441,COMPLETE
2,0.8567942579587301,2025-09-02 03:32:16.414845,2025-09-02 03:35:20.760300,0 days 00:03:04.345455,512,uniform,5,zero,,0.012516506414049113,127,496,512,704,592,Glorot,,logistic,0.013075510660807291,0.012992620468139648,0.013008316357930502,0.012941122055053711,0.013040264447530111,0.013108332951863607,0.012993613878885904,0.013022825831458681,0.8567942579587301,0.03310612756315211,COMPLETE
3,0.4369027217229207,2025-09-02 03:35:20.760777,2025-09-02 03:38:39.949454,0 days 00:03:19.188677,512,uniform,6,nz,0.004311894460840844,0.044606921806839235,3912,240,544,800,560,Glorot,,tanh,0.01156461238861084,0.0117263396581014,0.009299874305725098,0.007262110710144043,0.00865610440572103,0.007896860440572103,4.291534423828125e-05,0.008064116750444685,0.4369027217229207,0.0008639969681420467,COMPLETE
4,0.36338627338409424,2025-09-02 03:38:39.949954,2025-09-02 03:43:37.084679,0 days 00:04:57.134725,256,uniform,6,nz,0.0009348010035975294,0.08459908187981949,3315,720,848,768,256,Glorot,,logistic,0.012554287910461426,0.012936155001322428,0.012563586235046387,0.012881040573120117,0.012334148089090982,0.011508027712504068,0.000595251719156901,0.010767499605814617,0.36338627338409424,0.0005573159013931694,COMPLETE
5,1.0331320762634277,2025-09-02 03:43:37.085380,2025-09-02 03:55:13.708705,0 days 00:11:36.623325,100,normal,5,nz,1.0224729613848469e-07,4.421316033446251e-05,217,272,240,320,640,Glorot,,logistic,0.012830535570780436,0.013007640838623047,0.01308890183766683,0.013091365496317545,0.013081510861714682,0.013166864713033041,0.013379732767740885,0.013092364583696638,1.0331320762634277,0.0019937853071652118,COMPLETE
6,0.717178463935852,2025-09-02 03:55:13.709151,2025-09-02 03:57:24.860859,0 days 00:02:11.151708,512,normal,6,zero,,0.015141727048604519,713,160,160,384,864,Glorot,,logistic,0.013073563575744629,0.013146638870239258,0.013002157211303711,0.012373963991800943,0.013080120086669922,0.013173540433247885,0.009634931882222494,0.012497845150175546,0.717178463935852,0.006178617906559686,COMPLETE
7,1.031500260035197,2025-09-02 03:57:24.861287,2025-09-02 04:02:51.212524,0 days 00:05:26.351237,512,uniform,7,nz,9.145647612182531e-08,2.6794035197775516e-06,525,912,816,912,672,old,1.4106098531398028,logistic,0.013113935788472494,0.013135989507039389,0.012947440147399902,0.01309216022491455,0.013012568155924479,0.013124982515970865,0.013073444366455078,0.013071502958025253,1.031500260035197,0.0042717106317827335,COMPLETE
8,0.5818138122558594,2025-09-02 04:02:51.212952,2025-09-02 04:07:49.464160,0 days 00:04:58.251208,256,normal,7,nz,0.0001871943431883414,0.003747370883995538,3187,464,960,880,224,old,1.3702309915315387,logistic,0.013038357098897299,0.013070185979207357,0.012871662775675455,0.013019402821858725,0.013248880704243978,0.01303243637084961,0.012304902076721191,0.012940832546779088,0.5818138122558594,0.0020489657218084704,COMPLETE
9,1.0398542483647664,2025-09-02 04:07:49.464593,2025-09-02 04:10:30.078577,0 days 00:02:40.613984,512,uniform,7,zero,,3.559828805613139e-06,6180,1024,512,656,160,old,1.2728884162252707,tanh,0.01310118039449056,0.013131856918334961,0.01339423656463623,0.01312267780303955,0.013658483823140463,0.013105114301045736,0.012931029001871744,0.013206368400937035,1.0398542483647664,0.004986871478786658,COMPLETE
10,1.0033512910207112,2025-09-02 04:10:30.085095,2025-09-02 04:14:51.216841,0 days 00:04:21.131746,256,normal,8,zero,,7.294027543887749e-05,3218,688,656,384,592,old,1.363257397007826,logistic,0.013098955154418945,0.013048648834228516,0.01315605640411377,0.013049721717834473,0.013150493303934732,0.013183951377868652,0.01314389705657959,0.01311881769271124,1.0033512910207112,0.0023137210929881514,COMPLETE
11,0.7120280464490255,2025-09-02 04:14:51.217550,2025-09-02 04:19:29.909999,0 days 00:04:38.692449,256,uniform,8,nz,0.0024972077447578873,0.007310176710660118,454,224,672,432,1024,old,1.8001794743913964,logistic,0.01304189364115397,0.013080596923828125,0.013026992479960123,0.013092517852783203,0.013031601905822754,0.013072768847147623,0.012740492820739746,0.013012409210205078,0.7120280464490255,0.008146610360879467,COMPLETE
12,1.0411664644877117,2025-09-02 04:19:29.910434,2025-09-02 05:18:26.724820,0 days 00:58:56.814386,20,normal,8,nz,0.004254112064439847,2.0726919407873168e-06,124,448,608,160,976,Glorot,,tanh,0.013027270634969076,0.012950261433919271,0.013095219930013021,0.013029098510742188,0.013132095336914062,0.013465483983357748,0.013185262680053711,0.013126384644281296,1.0411664644877117,0.0016082786680219074,COMPLETE
