number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,1.035621960957845,2025-09-02 03:15:52.094964,2025-09-02 03:18:56.613455,0 days 00:03:04.518491,512,normal,8,nz,2.8332666515127185e-08,0.00016653461936159484,1323,848,832,368,368,Glorot,,tanh,0.01310873031616211,0.013018091519673666,0.013092120488484701,0.013097604115804037,0.013265728950500488,0.013031403223673502,0.013070424397786459,0.013097729001726423,1.035621960957845,0.0008831929582715619,COMPLETE
1,0.9993762373924255,2025-09-02 03:18:56.613967,2025-09-02 03:22:43.705560,0 days 00:03:47.091593,512,normal,6,zero,,0.00044961887272172035,6583,912,832,416,640,old,1.8647617315080172,logistic,0.013126532236735025,0.013229767481486002,0.0131606658299764,0.013069073359171549,0.01313157876332601,0.01303096612294515,0.01314373811086019,0.013127474557785759,0.9993762373924255,0.000331883746877583,COMPLETE
2,0.9930757085482279,2025-09-02 03:22:43.706080,2025-09-02 03:25:05.438341,0 days 00:02:21.732261,512,normal,6,zero,,0.005616945781998589,902,128,224,672,640,old,0.7134517280441177,logistic,0.0128022829691569,0.013056039810180664,0.01302186648050944,0.012847979863484701,0.013170440991719564,0.013138135274251303,0.01321113109588623,0.013035410926455543,0.9930757085482279,0.00018839037410821758,COMPLETE
3,0.9685951471328735,2025-09-02 03:25:05.438851,2025-09-02 03:29:48.081596,0 days 00:04:42.642745,256,normal,6,zero,,0.005680937610553498,2579,496,224,336,944,Glorot,,tanh,0.01290567715962728,0.013208786646525065,0.013098716735839844,0.01304487387339274,0.01303406556447347,0.013086557388305664,0.012654542922973633,0.013004745755876814,0.9685951471328735,0.000700327052596876,COMPLETE
4,1.0328453381856282,2025-09-02 03:29:48.082084,2025-09-02 03:34:35.108294,0 days 00:04:47.026210,256,normal,7,nz,0.00332977912693167,7.637327239040629e-06,114,176,576,608,864,Glorot,,logistic,0.013085047403971354,0.013036529223124186,0.01310261090596517,0.01345670223236084,0.013103922208150228,0.013143658638000488,0.013048569361368815,0.013139577138991583,1.0328453381856282,0.0012099415845684474,COMPLETE
5,1.043917139371236,2025-09-02 03:34:35.108816,2025-09-02 03:41:00.867259,0 days 00:06:25.758443,256,uniform,5,zero,,2.754579187431952e-06,128,944,944,768,784,Glorot,,tanh,0.01302941640218099,0.013105193773905436,0.01301276683807373,0.013087908426920572,0.01302321751912435,0.013078570365905762,0.013097882270812988,0.013062136513846261,1.043917139371236,0.0003449520322120439,COMPLETE
6,0.9953226645787557,2025-09-02 03:41:00.867739,2025-09-02 03:46:04.112028,0 days 00:05:03.244289,256,uniform,5,zero,,0.010155970644048225,323,624,128,944,1008,old,1.9540912485570676,logistic,0.01322034994761149,0.013028621673583984,0.013145089149475098,0.013151129086812338,0.0131072998046875,0.012984752655029297,0.012814601262410482,0.013064549082801455,0.9953226645787557,0.0006558987343682103,COMPLETE
7,1.0271835327148438,2025-09-02 03:46:04.112830,2025-09-02 03:57:49.168509,0 days 00:11:45.055679,100,uniform,8,zero,,1.9670000815753223e-05,2947,624,928,1024,864,old,1.7685618590876564,logistic,0.013101776440938314,0.013106385866800943,0.013148744901021322,0.013018329938252768,0.013191938400268555,0.013103763262430826,0.013093312581380209,0.013109178770156134,1.0271835327148438,0.0009398052279535416,COMPLETE
8,1.0132330656051636,2025-09-02 03:57:49.168955,2025-09-02 04:02:29.006326,0 days 00:04:39.837371,256,normal,5,nz,0.00022322339992933733,0.004226725354450022,160,432,448,784,560,Glorot,,tanh,0.013077418009440104,0.012977162996927897,0.013096888860066732,0.013060847918192545,0.013067126274108887,0.013095577557881674,0.013077139854431152,0.01306459449586414,1.0132330656051636,0.003521252331126539,COMPLETE
9,0.7904662489891052,2025-09-02 04:02:29.006788,2025-09-02 04:14:21.258519,0 days 00:11:52.251731,100,normal,5,zero,,0.7942211358209026,557,592,432,192,816,Glorot,,tanh,0.009195923805236816,0.010701576868693033,0.01210923989613851,0.01235636075337728,0.01224811871846517,0.009067853291829428,0.006386796633402507,0.010295124281020392,0.7904662489891052,0.0003886959447606884,COMPLETE
10,1.0320016940434773,2025-09-02 04:14:21.259380,2025-09-02 04:19:24.549952,0 days 00:05:03.290572,512,normal,7,nz,6.886891123861803e-07,7.091274531602468e-06,1569,464,720,816,976,old,0.2755374402164064,logistic,0.013040939966837565,0.013131101926167807,0.013013760248819986,0.01308878262837728,0.013037363688151041,0.013044595718383789,0.01310261090596517,0.013065593583243234,1.0320016940434773,0.0008890408569068273,COMPLETE
11,0.892265240351359,2025-09-02 04:19:24.550400,2025-09-02 04:31:17.506094,0 days 00:11:52.955694,100,uniform,5,zero,,0.02326891288009884,2421,672,720,288,848,Glorot,,logistic,0.012805660565694174,0.01288910706837972,0.012979070345560709,0.012988050778706869,0.0130691925684611,0.013164520263671875,0.011701186498006185,0.012799541155497234,0.892265240351359,0.0009239201204179765,COMPLETE
12,0.9027342995007833,2025-09-02 04:31:17.508252,2025-09-02 04:33:37.288809,0 days 00:02:19.780557,512,normal,8,zero,,0.02099343416883146,6412,160,736,192,496,Glorot,,logistic,0.012879411379496256,0.012676278750101725,0.013046026229858398,0.01322627067565918,0.012977083524068197,0.012653986612955729,0.011685570081075033,0.012734946750459216,0.9027342995007833,0.0007673969882422124,COMPLETE
13,1.012999176979065,2025-09-02 04:33:37.289251,2025-09-02 05:33:34.464868,0 days 00:59:57.175617,20,uniform,7,nz,0.00043594559063739585,0.00023118032388802064,2676,512,224,384,1024,Glorot,,tanh,0.01321566104888916,0.013190269470214844,0.013068079948425293,0.013029257456461588,0.01299897829691569,0.013139724731445312,0.013199726740519205,0.013120242527553014,1.012999176979065,0.00027329931879239977,COMPLETE
14,0.9936551849047343,2025-09-02 05:33:34.465649,2025-09-02 05:38:26.794551,0 days 00:04:52.328902,256,normal,5,zero,,0.00026913942522638486,9984,160,752,608,928,Glorot,,tanh,0.013044317563374838,0.013104399045308432,0.013149221738179525,0.01266042391459147,0.013086358706156412,0.013152718544006348,0.013150930404663086,0.013049767130897158,0.9936551849047343,0.0005410140877499286,COMPLETE
15,0.8162000179290771,2025-09-02 05:38:26.795304,2025-09-02 06:37:16.988135,0 days 00:58:50.192831,20,normal,5,zero,,0.004324441653743999,8502,912,992,592,304,old,0.23980012043331808,tanh,0.012918988863627115,0.013016223907470703,0.012896458307902018,0.012983163197835287,0.01264035701751709,0.01277005672454834,0.012384573618570963,0.01280140309106736,0.8162000179290771,0.00043013372430595345,COMPLETE
