number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.831661323706309,2025-09-02 03:15:48.862579,2025-09-02 03:27:34.218002,0 days 00:11:45.355423,100,normal,6,zero,,0.28678812614035476,266,192,1008,608,576,old,0.7186620787543885,logistic,0.012693405151367188,0.012940287590026855,0.012928922971089682,0.013358394304911295,0.012738704681396484,0.012584447860717773,0.010748585065205893,0.012570392517816453,0.831661323706309,0.007126429629026342,COMPLETE
1,0.99911896387736,2025-09-02 03:27:34.218431,2025-09-02 03:32:25.860465,0 days 00:04:51.642034,256,uniform,6,nz,3.005736980965281e-06,0.002727419843207111,355,304,800,736,544,old,0.7651904189827918,tanh,0.01302043596903483,0.013182719548543295,0.013187289237976074,0.013326207796732584,0.013099869092305502,0.013059139251708984,0.013042648633321127,0.013131187075660342,0.99911896387736,0.0030302296352746508,COMPLETE
2,0.9988924066225687,2025-09-02 03:32:25.861182,2025-09-02 03:35:30.313042,0 days 00:03:04.451860,512,uniform,5,zero,,0.012516506414049113,127,496,512,704,592,Glorot,,logistic,0.013066927591959635,0.013003110885620117,0.013029853502909342,0.012952923774719238,0.013048768043518066,0.013125737508138021,0.013116200764973959,0.013049074581691194,0.9988924066225687,0.0017646549899638163,COMPLETE
3,0.9404845635096232,2025-09-02 03:35:30.314226,2025-09-02 03:38:49.634724,0 days 00:03:19.320498,512,uniform,6,nz,0.004311894460840844,0.044606921806839235,3912,240,544,800,560,Glorot,,tanh,0.011342048645019531,0.011986255645751953,0.010701378186543783,0.009262561798095703,0.010322968165079752,0.010050217310587565,0.000636140505472819,0.00918593860807873,0.9404845635096232,0.0005219779141818716,COMPLETE
4,0.8996424873669943,2025-09-02 03:38:49.635152,2025-09-02 03:43:35.919808,0 days 00:04:46.284656,256,uniform,6,nz,0.0009348010035975294,0.08459908187981949,3315,720,848,768,256,Glorot,,logistic,0.012320121129353842,0.012869437535603842,0.01256720225016276,0.01285552978515625,0.012493252754211426,0.011851310729980469,0.0032486915588378906,0.011172220820472355,0.8996424873669943,0.0004785408967896882,COMPLETE
5,1.0343773365020752,2025-09-02 03:43:35.925850,2025-09-02 03:55:01.323061,0 days 00:11:25.397211,100,normal,5,nz,1.0224729613848469e-07,4.421316033446251e-05,217,272,240,320,640,Glorot,,logistic,0.012830376625061035,0.013007720311482748,0.013088862101236979,0.013088623682657877,0.013080517450968424,0.013167262077331543,0.013376275698343912,0.013091376849583216,1.0343773365020752,0.001405573639536954,COMPLETE
6,0.9898396929105123,2025-09-02 03:55:01.324015,2025-09-02 03:57:12.271487,0 days 00:02:10.947472,512,normal,6,zero,,0.015141727048604519,713,160,160,384,864,Glorot,,logistic,0.013143698374430338,0.013134360313415527,0.013003826141357422,0.012424508730570475,0.013077735900878906,0.013154069582621256,0.012671907742818197,0.01294430096944173,0.9898396929105123,0.000321253536037648,COMPLETE
7,1.0325167576471965,2025-09-02 03:57:12.271933,2025-09-02 04:02:38.766133,0 days 00:05:26.494200,512,uniform,7,nz,9.145647612182531e-08,2.6794035197775516e-06,525,912,816,912,672,old,1.4106098531398028,logistic,0.013114174207051596,0.013135870297749838,0.012947956720987955,0.01309216022491455,0.013012528419494629,0.013125101725260416,0.013073086738586426,0.013071554047720774,1.0325167576471965,0.00032471076315559593,COMPLETE
8,0.9619564811388651,2025-09-02 04:02:38.766562,2025-09-02 04:07:40.561284,0 days 00:05:01.794722,256,normal,7,nz,0.0001871943431883414,0.003747370883995538,3187,464,960,880,224,old,1.3702309915315387,logistic,0.013027469317118326,0.01306466261545817,0.012893994649251303,0.01304189364115397,0.013222932815551758,0.013039986292521158,0.012929916381835938,0.013031550816127233,0.9619564811388651,0.0006761323604832565,COMPLETE
9,1.044426401456197,2025-09-02 04:07:40.561722,2025-09-02 04:10:21.187036,0 days 00:02:40.625314,512,uniform,7,zero,,3.559828805613139e-06,6180,1024,512,656,160,old,1.2728884162252707,tanh,0.013100504875183105,0.01313344637552897,0.013403892517089844,0.013122955958048502,0.013652920722961426,0.013106067975362143,0.012931148211161295,0.013207276662190754,1.044426401456197,0.00032654100716323796,COMPLETE
