number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.47536446650822956,2025-09-02 03:15:48.260610,2025-09-02 03:27:44.334708,0 days 00:11:56.074098,100,normal,6,zero,,0.28678812614035476,266,192,1008,608,576,old,0.7186620787543885,logistic,0.012811899185180664,0.012955943743387857,0.012971917788187662,0.01334846019744873,0.012772242228190104,0.012580792109171549,0.008357882499694824,0.012257019678751629,0.47536446650822956,0.01579923924804412,COMPLETE
1,0.8112712303797404,2025-09-02 03:27:44.335184,2025-09-02 03:32:37.029656,0 days 00:04:52.694472,256,uniform,6,nz,3.005736980965281e-06,0.002727419843207111,355,304,800,736,544,old,0.7651904189827918,tanh,0.013012170791625977,0.013190110524495443,0.013187448183695475,0.013313492139180502,0.013094902038574219,0.013037562370300293,0.013023853302001953,0.013122791335696268,0.8112712303797404,0.014065262067788914,COMPLETE
2,0.886606494585673,2025-09-02 03:32:37.030121,2025-09-02 03:35:41.412450,0 days 00:03:04.382329,512,uniform,5,zero,,0.012516506414049113,127,496,512,704,592,Glorot,,logistic,0.013051470120747885,0.012995362281799316,0.01303088665008545,0.012966314951578775,0.013046940167744955,0.013115207354227701,0.01308906078338623,0.01304217747279576,0.886606494585673,0.03204782491162552,COMPLETE
3,0.6337874531745911,2025-09-02 03:35:41.413337,2025-09-02 03:39:00.576651,0 days 00:03:19.163314,512,uniform,6,nz,0.004311894460840844,0.044606921806839235,3912,240,544,800,560,Glorot,,tanh,0.011284708976745605,0.011627554893493652,0.009267528851826986,0.007332046826680501,0.008519252141316732,0.007803002993265788,7.482369740804036e-05,0.00798698834010533,0.6337874531745911,0.009978342872186081,COMPLETE
4,0.5477365255355835,2025-09-02 03:39:00.577311,2025-09-02 03:44:13.133683,0 days 00:05:12.556372,256,uniform,6,nz,0.0009348010035975294,0.08459908187981949,3315,720,848,768,256,Glorot,,logistic,0.012433926264444986,0.012924273808797201,0.012609720230102539,0.01282938321431478,0.012309869130452475,0.011492411295572916,0.0006728569666544596,0.010753205844334196,0.5477365255355835,0.009715098501983134,COMPLETE
5,0.9485480189323425,2025-09-02 03:44:13.134320,2025-09-02 03:56:08.599399,0 days 00:11:55.465079,100,normal,5,nz,1.0224729613848469e-07,4.421316033446251e-05,217,272,240,320,640,Glorot,,logistic,0.012830456097920736,0.013007521629333496,0.01308890183766683,0.013087987899780273,0.013080517450968424,0.013166864713033041,0.013375957806905111,0.01309117249080113,0.9485480189323425,0.03286931067573511,COMPLETE
6,0.864195982615153,2025-09-02 03:56:08.599825,2025-09-02 03:58:21.677902,0 days 00:02:13.078077,512,normal,6,zero,,0.015141727048604519,713,160,160,384,864,Glorot,,logistic,0.013085126876831055,0.01315013567606608,0.012988130251566568,0.012409090995788574,0.013077537218729654,0.013140400250752768,0.012279828389485678,0.012875749951317196,0.864195982615153,0.011525042651510439,COMPLETE
7,0.9467004934946696,2025-09-02 03:58:21.678327,2025-09-02 04:03:47.903928,0 days 00:05:26.225601,512,uniform,7,nz,9.145647612182531e-08,2.6794035197775516e-06,525,912,816,912,672,old,1.4106098531398028,logistic,0.013114134470621744,0.013135830561319986,0.012948075930277506,0.013092239697774252,0.013012528419494629,0.013124982515970865,0.013073325157165527,0.01307158810751779,0.9467004934946696,0.010798049610074379,COMPLETE
8,0.7548214197158813,2025-09-02 04:03:47.904698,2025-09-02 04:08:46.322857,0 days 00:04:58.418159,256,normal,7,nz,0.0001871943431883414,0.003747370883995538,3187,464,960,880,224,old,1.3702309915315387,logistic,0.013025323549906412,0.013074358304341635,0.012872139612833658,0.013007243474324545,0.01323699951171875,0.013022144635518393,0.01263892650604248,0.01298244794209798,0.7548214197158813,0.012314060475473905,COMPLETE
9,0.9582181374231974,2025-09-02 04:08:46.323731,2025-09-02 04:11:27.005606,0 days 00:02:40.681875,512,uniform,7,zero,,3.559828805613139e-06,6180,1024,512,656,160,old,1.2728884162252707,tanh,0.013100226720174154,0.01313177744547526,0.013402422269185385,0.013122876485188803,0.01366130510965983,0.013106147448221842,0.012928048769632975,0.013207543463934037,0.9582181374231974,0.009905039088245702,COMPLETE
10,0.9297529657681783,2025-09-02 04:11:27.006037,2025-09-02 04:16:02.784260,0 days 00:04:35.778223,256,normal,8,zero,,7.294027543887749e-05,3218,688,656,384,592,old,1.363257397007826,logistic,0.013096372286478678,0.013039906819661459,0.01314850648244222,0.013046065966288248,0.013147473335266113,0.013187726338704428,0.013142983118693033,0.013115576335362025,0.9297529657681783,0.0069162097640933255,COMPLETE
11,0.8544394969940186,2025-09-02 04:16:02.784718,2025-09-02 04:20:57.185779,0 days 00:04:54.401061,256,uniform,8,nz,0.0024972077447578873,0.007310176710660118,454,224,672,432,1024,old,1.8001794743913964,logistic,0.013049483299255371,0.013089338938395182,0.013027111689249674,0.013128399848937988,0.013032674789428711,0.013029774030049643,0.01309374968210856,0.013064361753917874,0.8544394969940186,0.009816996159254174,COMPLETE
12,0.9569289882977804,2025-09-02 04:20:57.186515,2025-09-02 05:20:57.684554,0 days 01:00:00.498039,20,normal,8,nz,0.004254112064439847,2.0726919407873168e-06,124,448,608,160,976,Glorot,,tanh,0.013027350107828775,0.012949585914611816,0.01309518019358317,0.013029217720031738,0.013132135073343912,0.0134657621383667,0.013185461362202963,0.013126384644281296,0.9569289882977804,0.007364115131877461,COMPLETE
13,0.940598726272583,2025-09-02 05:20:57.685289,2025-09-02 05:32:52.060634,0 days 00:11:54.375345,100,normal,7,nz,1.4950164658652627e-07,6.18694946626799e-05,935,864,480,608,928,old,0.3760172191602512,tanh,0.013200044631958008,0.013002753257751465,0.013143181800842285,0.013019124666849772,0.013030131657918295,0.01291191577911377,0.012991388638814291,0.013042648633321125,0.940598726272583,0.010486631720565059,COMPLETE
14,0.33938761552174884,2025-09-02 05:32:52.061060,2025-09-02 05:36:15.132640,0 days 00:03:23.071580,512,uniform,8,zero,,0.5206050406650379,936,160,416,928,592,old,0.8171754286269441,tanh,0.011605620384216309,0.01219479242960612,0.012228449185689291,0.012360811233520508,0.01129754384358724,0.011429031689961752,0.004187226295471191,0.010757639294578916,0.33938761552174884,0.00864276777171273,COMPLETE
15,0.36580954988797504,2025-09-02 05:36:15.133058,2025-09-02 06:34:30.136073,0 days 00:58:15.003015,20,uniform,7,zero,,0.07038461069693253,2496,224,592,848,784,Glorot,,tanh,0.01127159595489502,0.01221017042795817,0.012534777323404947,0.012333234151204428,0.011996706326802572,0.011819720268249512,0.0065839290618896484,0.011250019073486328,0.36580954988797504,0.00952581574971167,COMPLETE
16,0.927200178305308,2025-09-02 06:34:30.136521,2025-09-02 06:39:09.041745,0 days 00:04:38.905224,256,uniform,6,nz,3.4912391835984953e-06,0.00011343857240939616,2655,960,544,368,528,Glorot,,logistic,0.013027270634969076,0.01292880376180013,0.013053258260091146,0.013052860895792643,0.013068755467732748,0.013043085734049479,0.013077775637308756,0.013035972913106283,0.927200178305308,0.011653423202251025,COMPLETE
