number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,1.0113797386487324,2025-09-02 03:15:47.394223,2025-09-02 03:19:04.122757,0 days 00:03:16.728534,512,normal,8,nz,2.8332666515127185e-08,0.00016653461936159484,1323,848,832,368,368,Glorot,,tanh,0.013108611106872559,0.01299436887105306,0.013097922007242838,0.013099193572998047,0.013261755307515463,0.01303096612294515,0.013063987096150717,0.01309382915496826,1.0113797386487324,0.0299234082463533,COMPLETE
1,0.9755092263221741,2025-09-02 03:19:04.123621,2025-09-02 03:22:51.302358,0 days 00:03:47.178737,512,normal,6,zero,,0.00044961887272172035,6583,912,832,416,640,old,1.8647617315080172,logistic,0.013120929400126139,0.013225992520650228,0.013155500094095865,0.013057192166646322,0.013136347134908041,0.013016502062479654,0.013128916422526041,0.013120197114490329,0.9755092263221741,0.022383537869779247,COMPLETE
2,0.9654465516408285,2025-09-02 03:22:51.303428,2025-09-02 03:25:15.461825,0 days 00:02:24.158397,512,normal,6,zero,,0.005616945781998589,902,128,224,672,640,old,0.7134517280441177,logistic,0.012795368830362955,0.013045907020568848,0.013006766637166342,0.012881000836690268,0.013162891070048014,0.013135313987731934,0.013172070185343424,0.013028474081130255,0.9654465516408285,0.02166770872822498,COMPLETE
3,0.818661610285441,2025-09-02 03:25:15.462571,2025-09-02 03:30:03.030355,0 days 00:04:47.567784,256,normal,6,zero,,0.005680937610553498,2579,496,224,336,944,Glorot,,tanh,0.012777288754781088,0.013209223747253418,0.01307376225789388,0.013025403022766113,0.013024091720581055,0.013026118278503418,0.011757731437683105,0.012841945602780297,0.818661610285441,0.020227902943589046,COMPLETE
4,1.032541314760844,2025-09-02 03:30:03.031419,2025-09-02 03:34:54.308166,0 days 00:04:51.276747,256,normal,7,nz,0.00332977912693167,7.637327239040629e-06,114,176,576,608,864,Glorot,,logistic,0.013084848721822103,0.013036489486694336,0.013102531433105469,0.013456781705220541,0.01310424009958903,0.013143340746561686,0.013048609097798666,0.013139548755827405,1.032541314760844,0.012437622614744076,COMPLETE
5,1.0433965524037678,2025-09-02 03:34:54.309144,2025-09-02 03:41:19.965372,0 days 00:06:25.656228,256,uniform,5,zero,,2.754579187431952e-06,128,944,944,768,784,Glorot,,tanh,0.013029376665751139,0.013104716936747232,0.01301268736521403,0.013087789217631022,0.0130232572555542,0.013078451156616211,0.01309808095296224,0.013062051364353722,1.0433965524037678,0.011002062200518747,COMPLETE
6,0.976908544699351,2025-09-02 03:41:19.965812,2025-09-02 03:46:22.901605,0 days 00:05:02.935793,256,uniform,5,zero,,0.010155970644048225,323,624,128,944,1008,old,1.9540912485570676,logistic,0.013333678245544434,0.013032158215840658,0.013147989908854166,0.01314687728881836,0.013105352719624838,0.012977004051208496,0.012887239456176758,0.013090042840866815,0.976908544699351,0.009605661563014851,COMPLETE
7,1.026110291481018,2025-09-02 03:46:22.902067,2025-09-02 03:58:24.039165,0 days 00:12:01.137098,100,uniform,8,zero,,1.9670000815753223e-05,2947,624,928,1024,864,old,1.7685618590876564,logistic,0.01310273011525472,0.013106226921081543,0.013149301211039225,0.013018647829691568,0.013192057609558105,0.013105352719624838,0.013093233108520508,0.0131096499306815,1.026110291481018,0.027902939736152124,COMPLETE
8,0.9518496990203857,2025-09-02 03:58:24.039638,2025-09-02 04:03:13.110745,0 days 00:04:49.071107,256,normal,5,nz,0.00022322339992933733,0.004226725354450022,160,432,448,784,560,Glorot,,tanh,0.013082544008890787,0.012979427973429361,0.013087232907613119,0.013068318367004395,0.013061126073201498,0.013095657030741373,0.013059576352437338,0.013061983244759696,0.9518496990203857,0.006801910487504882,COMPLETE
9,0.37953054904937744,2025-09-02 04:03:13.111205,2025-09-02 04:15:13.703441,0 days 00:12:00.592236,100,normal,5,zero,,0.7942211358209026,557,592,432,192,816,Glorot,,tanh,0.009146889050801596,0.010111530621846518,0.011685808499654135,0.011808355649312338,0.011362195014953613,0.006953875223795573,0.0022401014963785806,0.00904410793667748,0.37953054904937744,0.006987605420054482,COMPLETE
10,1.0318771203358967,2025-09-02 04:15:13.704422,2025-09-02 04:20:17.099123,0 days 00:05:03.394701,512,normal,7,nz,6.886891123861803e-07,7.091274531602468e-06,1569,464,720,816,976,old,0.2755374402164064,logistic,0.013040979703267416,0.013131141662597656,0.013013720512390137,0.013089537620544434,0.01303704579671224,0.013044635454813639,0.013103365898132324,0.013065775235493978,1.0318771203358967,0.012624272338964135,COMPLETE
11,0.6520816087722778,2025-09-02 04:20:17.099582,2025-09-02 04:32:12.378859,0 days 00:11:55.279277,100,uniform,5,zero,,0.02326891288009884,2421,672,720,288,848,Glorot,,logistic,0.012877424558003744,0.01284042994181315,0.012972156206766764,0.012986580530802408,0.013066530227661133,0.012938817342122396,0.0090408722559611,0.01238897300901867,0.6520816087722778,0.00661571045782978,COMPLETE
12,0.6681697964668274,2025-09-02 04:32:12.380342,2025-09-02 04:34:36.803941,0 days 00:02:24.423599,512,normal,8,zero,,0.02099343416883146,6412,160,736,192,496,Glorot,,logistic,0.012932101885477701,0.0127410888671875,0.01300350824991862,0.01322782039642334,0.01295332113901774,0.012524167696634928,0.008934577306111654,0.012330940791538783,0.6681697964668274,0.028958149167077136,COMPLETE
13,0.9761153062184652,2025-09-02 04:34:36.804378,2025-09-02 05:35:29.936782,0 days 01:00:53.132404,20,uniform,7,nz,0.00043594559063739585,0.00023118032388802064,2676,512,224,384,1024,Glorot,,tanh,0.013201634089152018,0.013196865717569986,0.013063867886861166,0.013024091720581055,0.012990276018778482,0.013138453165690104,0.013187925020853678,0.0131147305170695,0.9761153062184652,0.014395471144803764,COMPLETE
14,0.8954620957374573,2025-09-02 05:35:29.937815,2025-09-02 05:40:21.955722,0 days 00:04:52.017907,256,normal,5,zero,,0.00026913942522638486,9984,160,752,608,928,Glorot,,tanh,0.013040582338968912,0.013099312782287598,0.013136347134908041,0.012589136759440104,0.01307837168375651,0.01316368579864502,0.013112624486287435,0.013031437283470516,0.8954620957374573,0.009811573670127569,COMPLETE
15,0.5002685884634653,2025-09-02 05:40:21.956371,2025-09-02 06:39:57.996191,0 days 00:59:36.039820,20,normal,5,zero,,0.004324441653743999,8502,912,992,592,304,old,0.23980012043331808,tanh,0.012940287590026855,0.013044635454813639,0.012917637825012207,0.012973308563232422,0.012589017550150553,0.012554367383321127,0.011165261268615723,0.012597787947881788,0.5002685884634653,0.008094628274106902,COMPLETE
16,0.5107053220272064,2025-09-02 06:39:57.996653,2025-09-02 06:44:25.419817,0 days 00:04:27.423164,512,normal,6,zero,,0.02941609772629461,1486,864,928,832,416,Glorot,,tanh,0.012795567512512207,0.01288310686747233,0.012990832328796387,0.012975136439005533,0.01273965835571289,0.012687087059020996,0.011355717976888021,0.012632443791344051,0.5107053220272064,0.018430016114068904,COMPLETE
17,0.7237040003140768,2025-09-02 06:44:25.420245,2025-09-02 06:47:48.685535,0 days 00:03:23.265290,512,uniform,8,zero,,0.019496797863316546,2803,128,640,1024,288,old,0.7474767295818554,logistic,0.013045191764831543,0.013089378674825033,0.012986342112223307,0.012996395428975424,0.01306466261545817,0.012882749239603678,0.010697007179260254,0.012680246716453916,0.7237040003140768,0.02897941038734519,COMPLETE
18,0.26135753095149994,2025-09-02 06:47:48.686249,2025-09-02 07:49:37.079915,0 days 01:01:48.393666,20,uniform,8,nz,7.912564278229206e-06,0.5338198303764419,1880,976,944,816,352,Glorot,,tanh,0.0084457000096639,0.010060429573059082,0.009279290835062662,0.01101680596669515,0.006234486897786458,0.0050512949625651045,0.001316070556640625,0.007343439828781855,0.26135753095149994,0.011922797850841868,COMPLETE
19,0.3551429808139801,2025-09-02 07:49:37.086046,2025-09-02 08:51:23.334166,0 days 01:01:46.248120,20,uniform,8,nz,4.913054928253148e-06,0.10473797977329813,1494,656,784,736,560,Glorot,,tanh,0.011180361111958822,0.012085835138956705,0.012341698010762533,0.012558499972025553,0.011783083279927572,0.011387149492899576,0.006503621737162272,0.011120035534813291,0.3551429808139801,0.020383367116861156,COMPLETE
20,0.3672099709510803,2025-09-02 08:51:23.334692,2025-09-02 09:52:21.796288,0 days 01:00:58.461596,20,uniform,8,nz,5.135502300560386e-06,0.5529241977447701,598,896,960,880,432,Glorot,,logistic,0.011188785235087076,0.01216729482014974,0.012273271878560385,0.012530883153279623,0.011460145314534506,0.011537710825602213,0.0033203760782877603,0.010639781043643045,0.3672099709510803,0.01935202762343282,COMPLETE
21,0.255644957224528,2025-09-02 09:52:21.797031,2025-09-02 10:54:17.173200,0 days 01:01:55.376169,20,uniform,8,nz,5.239312248505844e-06,0.7943482729305718,2029,976,1024,864,368,Glorot,,tanh,0.0070038239161173505,0.008641997973124186,0.007117350896199544,0.009555220603942871,0.004788756370544434,0.003183603286743164,0.00036152203877766925,0.005807467869349888,0.255644957224528,0.008367438401221727,COMPLETE
22,,2025-09-02 10:54:17.174729,2025-09-02 10:59:35.978590,0 days 00:05:18.803861,256,uniform,8,nz,8.93097518516935e-06,0.6120280548305844,5719,832,912,848,288,Glorot,,tanh,0.007245004177093506,0.008948862552642822,0.007236957550048828,0.010452032089233398,0.002812325954437256,0.0036394596099853516,0.0014305710792541504,0.0059664590018136164,,,FAIL
23,0.270555059115092,2025-09-02 10:59:35.979321,2025-09-02 12:01:12.735187,0 days 01:01:36.755866,20,uniform,5,nz,1.2441773243650653e-05,0.3588234992827867,2914,784,736,768,432,Glorot,,tanh,0.007728735605875651,0.009849071502685547,0.00962372620900472,0.010877847671508789,0.006713589032491048,0.006025632222493489,0.0013300180435180664,0.007449802898225331,0.270555059115092,0.00434096019381375,COMPLETE
24,0.2910612225532532,2025-09-02 12:01:12.735669,2025-09-02 12:07:11.524956,0 days 00:05:58.789287,256,uniform,8,nz,1.4359865376732544e-05,0.3295009820570691,1354,896,1008,960,288,old,1.1913132704642,tanh,0.011347214380900065,0.01199189821879069,0.011697928110758463,0.012457609176635742,0.00902406374613444,0.010419289271036783,0.005175590515136719,0.01030194191705613,0.2910612225532532,0.01700426994281182,COMPLETE
25,0.7223348220189413,2025-09-02 12:07:11.525418,2025-09-02 13:08:44.276964,0 days 01:01:32.751546,20,uniform,6,nz,1.7595900800465345e-05,0.0021881104968208397,2654,960,880,816,192,Glorot,,tanh,0.01305234432220459,0.013079166412353516,0.013109604517618815,0.013049880663553873,0.012737711270650228,0.01290897528330485,0.012778202692667643,0.012959412166050501,0.7223348220189413,0.021504575918289647,COMPLETE
26,0.33395437399546307,2025-09-02 13:08:44.277675,2025-09-02 14:10:24.789427,0 days 01:01:40.511752,20,uniform,5,nz,5.833314095980473e-07,0.052804633477997104,8388,928,544,624,400,old,1.300364928335804,tanh,0.010197599728902182,0.011240283648173014,0.011800805727640787,0.012336532274881998,0.009926199913024902,0.009963512420654297,0.0032238165537516275,0.009812678609575545,0.33395437399546307,0.005753026150772923,COMPLETE
27,0.30489133795102435,2025-09-02 14:10:24.789898,2025-09-02 14:14:18.455536,0 days 00:03:53.665638,512,uniform,5,nz,4.133714738353768e-05,0.1580611559322024,5246,672,560,992,368,Glorot,,tanh,0.010173956553141275,0.011716405550638834,0.011472185452779135,0.012267430623372396,0.01006929079691569,0.010776519775390625,0.003278970718383789,0.009964965638660247,0.30489133795102435,0.005436915855261556,COMPLETE
28,0.28247250119845074,2025-09-02 14:14:18.455994,2025-09-02 15:16:42.852854,0 days 01:02:24.396860,20,uniform,5,nz,1.2564417846656803e-06,0.17752926321363882,2796,976,928,1008,416,Glorot,,tanh,0.010028441747029623,0.011480371157328287,0.01134188969930013,0.012089093526204428,0.00888065497080485,0.009782711664835611,0.004284501075744629,0.009698237691606795,0.28247250119845074,0.00438113454121631,COMPLETE
29,0.21711226304372153,2025-09-02 15:16:42.853300,2025-09-02 15:21:59.477149,0 days 00:05:16.623849,256,normal,8,nz,1.5586560542647553e-05,0.4602037193564597,4391,816,992,688,336,Glorot,,tanh,0.008859952290852865,0.009845773379007975,0.009669224421183268,0.011420170466105143,0.004950920740763347,0.00555570920308431,0.0022048155466715493,0.007500938006809779,0.21711226304372153,0.010350764807157693,COMPLETE
30,0.2677140533924103,2025-09-02 15:21:59.477595,2025-09-02 15:26:22.670217,0 days 00:04:23.192622,512,normal,8,nz,4.768738612251615e-05,0.22303391586816093,4668,752,912,768,400,Glorot,,tanh,0.010291457176208496,0.011341373125712076,0.01151104768117269,0.0121305783589681,0.009092569351196289,0.00947574774424235,0.003572861353556315,0.009630804970150902,0.2677140533924103,0.014960618032166842,COMPLETE
31,0.382415235042572,2025-09-02 15:26:22.670666,2025-09-02 16:25:52.045640,0 days 00:59:29.374974,20,uniform,8,zero,,0.29267644646081764,875,944,736,720,144,Glorot,,tanh,0.010906418164571127,0.012011488278706869,0.011232614517211914,0.01258230209350586,0.0082244873046875,0.009584267934163412,0.004890918731689453,0.009918928146362305,0.382415235042572,0.019092497707836237,COMPLETE
32,0.22971165676911673,2025-09-02 16:25:52.046790,2025-09-02 16:30:47.741538,0 days 00:04:55.694748,256,normal,8,nz,4.3876082639416765e-05,0.545673494726681,3262,784,960,384,256,Glorot,,tanh,0.008926033973693848,0.008761962254842123,0.008582790692647299,0.011244654655456543,0.0046083927154541016,0.003195087114969889,0.00121307373046875,0.006647427876790365,0.22971165676911673,0.013718227140517833,COMPLETE
33,0.29939823349316913,2025-09-02 16:30:47.741980,2025-09-02 16:35:41.903562,0 days 00:04:54.161582,256,normal,8,nz,1.7579668847877608e-05,0.4384488110955991,2493,528,848,176,208,Glorot,,tanh,0.010169347127278646,0.007920980453491211,0.009450872739156088,0.011627395947774252,0.006390889485677083,0.00274507204691569,0.0018089612325032551,0.007159074147542319,0.29939823349316913,0.015437970948335955,COMPLETE
34,0.42314131061236065,2025-09-02 16:35:41.904246,2025-09-02 16:40:57.934714,0 days 00:05:16.030468,256,normal,7,nz,6.497475585059073e-05,0.04629177534541747,1944,752,1008,560,496,Glorot,,tanh,0.012434562047322592,0.01271355152130127,0.0128175417582194,0.01271835962931315,0.012491146723429361,0.012165188789367676,0.009667714436848959,0.012144009272257486,0.42314131061236065,0.011962605625669897,COMPLETE
35,0.26107218364874524,2025-09-02 16:40:57.935426,2025-09-02 16:46:02.509516,0 days 00:05:04.574090,256,normal,8,nz,4.237429112938275e-06,0.5769377610028864,2174,832,960,464,432,old,1.1244045097887163,tanh,0.009184439977010092,0.00951079527537028,0.010271509488423666,0.011589288711547852,0.007543404897054036,0.006226579348246257,0.002858400344848633,0.008169202577500116,0.26107218364874524,0.012532125143583981,COMPLETE
36,0.7205488880475363,2025-09-02 16:46:02.510596,2025-09-02 16:50:53.401691,0 days 00:04:50.891095,256,normal,8,nz,1.204329227574718e-06,0.004484306489229845,2453,1024,816,304,464,old,1.0671998799627744,tanh,0.012986699740091959,0.013163208961486816,0.013207475344340006,0.01301586627960205,0.012946645418802897,0.012933293978373209,0.012557029724121094,0.012972888492402577,0.7205488880475363,0.029225278669913222,COMPLETE
37,0.3575352231661479,2025-09-02 16:50:53.402785,2025-09-02 16:55:40.880881,0 days 00:04:47.478096,256,normal,8,nz,3.1045442248085717e-06,0.05950332572007546,5757,560,912,624,320,old,1.4289725572868637,tanh,0.011358300844828287,0.01194453239440918,0.012221058209737143,0.01239617665608724,0.011006911595662435,0.010918418566385904,0.007003903388977051,0.010978471665155322,0.3575352231661479,0.02052500110651206,COMPLETE
38,0.340238094329834,2025-09-02 16:55:40.881798,2025-09-02 17:57:10.439665,0 days 01:01:29.557867,20,normal,5,nz,0.00016750358358127074,0.8468809631775582,1448,960,880,368,304,old,0.8812231765505367,tanh,0.005046407381693522,0.0043088992436726885,0.00589446226755778,0.009416699409484863,0.0024558703104654946,3.174940745035807e-05,4.76837158203125e-07,0.0038792235510689875,0.340238094329834,0.011978064130439935,COMPLETE
39,0.2899134159088135,2025-09-02 17:57:10.440133,2025-09-02 18:02:06.957608,0 days 00:04:56.517475,256,normal,5,nz,5.558198918364867e-06,0.380708543941148,2206,960,1008,560,288,Glorot,,logistic,0.01090697447458903,0.011792461077372232,0.01191723346710205,0.012473424275716146,0.01023427645365397,0.009999871253967285,0.002359469731648763,0.009954815819149924,0.2899134159088135,0.0061980463875209,COMPLETE
40,0.21115117768446603,2025-09-02 18:02:06.958336,2025-09-02 18:06:38.943841,0 days 00:04:31.985505,256,normal,8,zero,,0.6004373535066896,7229,944,784,256,544,Glorot,,tanh,0.007131059964497884,0.005456089973449707,0.0077097415924072266,0.010102073351542154,0.005117734273274739,0.002170125643412272,0.0007469256718953451,0.005490535781497047,0.21115117768446603,0.013062894755584156,COMPLETE
41,0.21032140652338663,2025-09-02 18:06:38.944326,2025-09-02 18:18:25.193785,0 days 00:11:46.249459,100,normal,8,zero,,0.9205289684008866,2894,1008,832,560,464,Glorot,,tanh,0.005320390065511067,0.006071607271830241,0.005968054135640462,0.008662819862365723,0.0038402477900187173,0.0018547773361206055,0.0005552371342976888,0.004610447656540644,0.21032140652338663,0.008399292489299888,COMPLETE
