number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_ncode,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,user_attrs_ed_cl4_mean,user_attrs_ed_cl5_mean,user_attrs_ed_cl6_mean,user_attrs_ed_cl7_mean,user_attrs_ed_overall_mean,user_attrs_val_recon_loss_mean,user_attrs_val_recon_loss_std,state
0,0.5128933588663737,2025-09-02 03:15:48.836256,2025-09-02 03:28:01.134905,0 days 00:12:12.298649,100,normal,6,zero,,0.28678812614035476,266,192,1008,608,576,old,0.7186620787543885,logistic,0.012767354647318522,0.012948314348856607,0.012920657793680826,0.013198256492614746,0.01264647642771403,0.012447158495585123,0.00773775577545166,0.012095139140174503,0.5128933588663737,0.017424248284998015,COMPLETE
1,0.9032419721285502,2025-09-02 03:28:01.135406,2025-09-02 03:32:55.328079,0 days 00:04:54.192673,256,uniform,6,nz,3.005736980965281e-06,0.002727419843207111,355,304,800,736,544,old,0.7651904189827918,tanh,0.01302337646484375,0.013185620307922363,0.013184428215026855,0.0133131742477417,0.013099431991577148,0.013042926788330078,0.013009866078694662,0.013122689156305222,0.9032419721285502,0.019357342628978487,COMPLETE
2,0.9734429319699606,2025-09-02 03:32:55.329119,2025-09-02 03:35:59.863476,0 days 00:03:04.534357,512,uniform,5,zero,,0.012516506414049113,127,496,512,704,592,Glorot,,logistic,0.013054887453715006,0.013001441955566406,0.013037602106730143,0.012953360875447592,0.013053615887959799,0.013125022252400717,0.013108134269714355,0.013047723543076288,0.9734429319699606,0.006573467138083884,COMPLETE
3,0.7020045518875122,2025-09-02 03:35:59.864554,2025-09-02 03:39:19.271852,0 days 00:03:19.407298,512,uniform,6,nz,0.004311894460840844,0.044606921806839235,3912,240,544,800,560,Glorot,,tanh,0.011013507843017578,0.011425455411275228,0.00879514217376709,0.006637096405029297,0.007930874824523926,0.007213950157165527,7.808208465576172e-05,0.007584872699919201,0.7020045518875122,0.021774112065241737,COMPLETE
4,0.5950709184010824,2025-09-02 03:39:19.272296,2025-09-02 03:44:07.106742,0 days 00:04:47.834446,256,uniform,6,nz,0.0009348010035975294,0.08459908187981949,3315,720,848,768,256,Glorot,,logistic,0.01231710116068522,0.012880841890970865,0.012524127960205078,0.012806971867879232,0.012229482332865397,0.011161327362060547,0.000548084576924642,0.010638276735941568,0.5950709184010824,0.020638458564136316,COMPLETE
5,1.0338805516560872,2025-09-02 03:44:07.107665,2025-09-02 03:56:08.096751,0 days 00:12:00.989086,100,normal,5,nz,1.0224729613848469e-07,4.421316033446251e-05,217,272,240,320,640,Glorot,,logistic,0.012830416361490885,0.013007005055745443,0.01308898131052653,0.013087113698323568,0.013080636660257975,0.013167341550191244,0.013377229372660318,0.013091246287027996,1.0338805516560872,0.010147990202177718,COMPLETE
6,0.9536611835161845,2025-09-02 03:56:08.097216,2025-09-02 03:58:28.463495,0 days 00:02:20.366279,512,normal,6,zero,,0.015141727048604519,713,160,160,384,864,Glorot,,logistic,0.013109326362609863,0.013125856717427572,0.012988130251566568,0.012460152308146158,0.013066331545511881,0.013147751490275065,0.012110511461893717,0.012858294305347262,0.9536611835161845,0.021514108016215422,COMPLETE
7,1.0320345958073933,2025-09-02 03:58:28.464421,2025-09-02 04:03:54.911091,0 days 00:05:26.446670,512,uniform,7,nz,9.145647612182531e-08,2.6794035197775516e-06,525,912,816,912,672,old,1.4106098531398028,logistic,0.013114094734191895,0.013135870297749838,0.012947956720987955,0.013092239697774252,0.013012568155924479,0.013125260670979818,0.013073126475016275,0.013071588107517787,1.0320345958073933,0.013332372842829876,COMPLETE
8,0.8525576988855997,2025-09-02 04:03:54.911552,2025-09-02 04:08:54.253540,0 days 00:04:59.341988,256,normal,7,nz,0.0001871943431883414,0.003747370883995538,3187,464,960,880,224,old,1.3702309915315387,logistic,0.01302945613861084,0.013074835141499838,0.012857715288798014,0.013025164604187012,0.013199528058369955,0.013029694557189941,0.012682596842447916,0.012985570090157645,0.8525576988855997,0.011953768735805599,COMPLETE
9,1.0437980890274048,2025-09-02 04:08:54.256179,2025-09-02 04:11:34.947319,0 days 00:02:40.691140,512,uniform,7,zero,,3.559828805613139e-06,6180,1024,512,656,160,old,1.2728884162252707,tanh,0.013101299603780111,0.013132294019063314,0.013405601183573404,0.013122081756591797,0.013659397761027018,0.013105670611063639,0.012929240862528482,0.01320794082823254,1.0437980890274048,0.013434677601556857,COMPLETE
