number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.20571666359901428,2025-09-02 03:15:53.279940,2025-09-02 03:22:50.066725,0 days 00:06:56.786785,100,normal,6,zero,,0.06644070263467312,576,1008,Glorot,,tanh,0.00789954662322998,COMPLETE,0.00789954662322998
1,0.13834999799728392,2025-09-02 03:22:50.067218,2025-09-02 03:30:15.828128,0 days 00:07:25.760910,100,uniform,6,nz,1.5679864837306301e-06,0.010329503456436413,860,992,Glorot,,logistic,0.011975669860839843,COMPLETE,0.011975669860839843
2,0.07650000005960464,2025-09-02 03:30:15.828615,2025-09-02 03:37:31.607874,0 days 00:07:15.779259,100,uniform,5,nz,6.40146258964444e-05,0.00030057369809652877,6496,368,Glorot,,tanh,0.012791633605957031,COMPLETE,0.012791633605957031
3,0.06801666468381881,2025-09-02 03:37:31.608363,2025-09-02 04:11:38.521115,0 days 00:34:06.912752,20,uniform,5,zero,,0.003593917669469153,294,768,Glorot,,logistic,0.013092684745788574,COMPLETE,0.013092684745788574
4,0.1331833302974701,2025-09-02 04:11:38.521525,2025-09-02 04:46:28.111118,0 days 00:34:49.589593,20,uniform,5,nz,0.0021073356349450246,0.0004883418510092812,3543,800,old,0.9468231906318536,tanh,0.012943172454833984,COMPLETE,0.012943172454833984
5,0.0601333312690258,2025-09-02 04:46:28.111546,2025-09-02 05:23:07.134836,0 days 00:36:39.023290,20,uniform,7,nz,0.0008459908187981945,2.6032292780924524e-06,516,912,Glorot,,logistic,0.013103938102722168,COMPLETE,0.013103938102722168
6,0.05614999979734421,2025-09-02 05:23:07.135253,2025-09-02 05:30:09.271978,0 days 00:07:02.136725,100,normal,5,nz,0.0013862889345041907,0.00901468140166235,183,176,Glorot,,logistic,0.012966609001159668,COMPLETE,0.012966609001159668
7,0.1615166634321213,2025-09-02 05:30:09.272385,2025-09-02 05:37:03.442888,0 days 00:06:54.170503,100,uniform,8,zero,,0.11805134855353049,216,368,Glorot,,logistic,0.0072154045104980465,COMPLETE,0.0072154045104980465
8,0.06646666526794434,2025-09-02 05:37:03.443629,2025-09-02 05:44:22.066420,0 days 00:07:18.622791,100,uniform,7,nz,2.815901764360598e-07,0.00036502361187062146,185,128,Glorot,,tanh,0.012897038459777832,COMPLETE,0.012897038459777832
9,0.07063333243131638,2025-09-02 05:44:22.066867,2025-09-02 05:51:24.259473,0 days 00:07:02.192606,100,uniform,7,nz,3.2255015584448746e-06,5.2941296150740716e-06,6626,816,Glorot,,tanh,0.013045692443847656,COMPLETE,0.013045692443847656
10,0.16596666872501373,2025-09-02 05:51:24.260436,2025-09-02 06:24:09.397439,0 days 00:32:45.137003,20,normal,7,zero,,0.09301680484393055,163,800,Glorot,,logistic,0.01038985252380371,COMPLETE,0.01038985252380371
11,0.20691666305065154,2025-09-02 06:24:09.398195,2025-09-02 06:30:41.871986,0 days 00:06:32.473791,100,normal,6,zero,,0.018719434318834147,2052,656,old,1.4102645931727156,tanh,0.008376646041870116,COMPLETE,0.008376646041870116
12,0.0708666667342186,2025-09-02 06:30:41.872395,2025-09-02 06:37:11.770022,0 days 00:06:29.897627,100,uniform,7,zero,,0.0005938211377977959,773,704,old,1.8120979733868956,tanh,0.013115143775939942,COMPLETE,0.013115143775939942
13,0.16806666553020477,2025-09-02 06:37:11.770648,2025-09-02 07:10:03.494905,0 days 00:32:51.724257,20,uniform,8,zero,,0.10299386757999246,157,656,old,1.8062074230594176,logistic,0.0098219633102417,COMPLETE,0.0098219633102417
14,0.052133332937955856,2025-09-02 07:10:03.495313,2025-09-02 07:45:07.995846,0 days 00:35:04.500533,20,normal,6,nz,9.199450334258862e-07,4.946343851929063e-06,127,416,old,1.9733953796831838,logistic,0.013073158264160157,COMPLETE,0.013073158264160157
15,0.06948333457112313,2025-09-02 07:45:07.996261,2025-09-02 08:17:51.781445,0 days 00:32:43.785184,20,normal,5,zero,,6.444478637143619e-06,8370,336,old,1.6001481198211065,tanh,0.013142967224121093,COMPLETE,0.013142967224121093
16,0.06783333271741868,2025-09-02 08:17:51.782218,2025-09-02 08:24:26.794977,0 days 00:06:35.012759,100,normal,5,zero,,5.149664340041324e-06,268,256,Glorot,,tanh,0.01313776969909668,COMPLETE,0.01313776969909668
17,0.1538333296775818,2025-09-02 08:24:26.795749,2025-09-02 08:31:34.532700,0 days 00:07:07.736951,100,normal,5,nz,2.6731334609132677e-07,0.020221744205079373,156,928,Glorot,,tanh,0.012679743766784667,COMPLETE,0.012679743766784667
18,0.14683333039283752,2025-09-02 08:31:34.533114,2025-09-02 09:04:05.307091,0 days 00:32:30.773977,20,uniform,7,zero,,0.057265109303175826,126,560,old,0.2702596726554056,logistic,0.011011266708374023,COMPLETE,0.011011266708374023
19,0.06441666558384895,2025-09-02 09:04:05.307501,2025-09-02 09:39:05.267563,0 days 00:34:59.960062,20,uniform,6,nz,2.6732795780647336e-07,1.477822781390903e-06,1057,800,old,1.5331641155476206,logistic,0.013151884078979492,COMPLETE,0.013151884078979492
20,0.06171666607260704,2025-09-02 09:39:05.267986,2025-09-02 10:13:51.876029,0 days 00:34:46.608043,20,uniform,5,nz,4.5217557451024084e-07,0.00024928315599298995,515,864,Glorot,,logistic,0.013105535507202148,COMPLETE,0.013105535507202148
21,0.06803333461284637,2025-09-02 10:13:51.876744,2025-09-02 10:47:11.182720,0 days 00:33:19.305976,20,uniform,6,zero,,0.00014593069348259346,9546,704,Glorot,,logistic,0.01311960220336914,COMPLETE,0.01311960220336914
22,0.12444999869912862,2025-09-02 10:47:11.187686,2025-09-02 11:21:47.482091,0 days 00:34:36.294405,20,uniform,7,nz,2.61432346137729e-05,0.7712091002222098,167,336,Glorot,,logistic,0.15844428539276123,COMPLETE,0.15844428539276123
23,0.19088333249092101,2025-09-02 11:21:47.482510,2025-09-02 11:28:46.063839,0 days 00:06:58.581329,100,uniform,7,nz,4.2391310953230826e-07,0.3098891758417326,7717,288,Glorot,,logistic,2.841949462890625e-05,COMPLETE,2.841949462890625e-05
24,0.0607166662812233,2025-09-02 11:28:46.065156,2025-09-02 11:35:21.401809,0 days 00:06:35.336653,100,uniform,7,zero,,1.9973397341322524e-05,1337,448,Glorot,,logistic,0.01304926872253418,COMPLETE,0.01304926872253418
25,0.06328333169221878,2025-09-02 11:35:21.402484,2025-09-02 11:42:00.436161,0 days 00:06:39.033677,100,normal,8,zero,,0.001313336169200039,1126,480,old,1.4607765707779474,logistic,0.01307539939880371,COMPLETE,0.01307539939880371
26,0.06681666448712349,2025-09-02 11:42:00.436570,2025-09-02 11:48:58.394525,0 days 00:06:57.957955,100,normal,5,nz,0.002310508554631245,2.993279432713497e-06,212,208,Glorot,,tanh,0.01327342987060547,COMPLETE,0.01327342987060547
27,0.07249999791383743,2025-09-02 11:48:58.394953,2025-09-02 12:23:37.928914,0 days 00:34:39.533961,20,normal,7,nz,1.059684351920824e-06,4.77818774805122e-06,1609,464,Glorot,,tanh,0.013012385368347168,COMPLETE,0.013012385368347168
28,0.05999999865889549,2025-09-02 12:23:37.929645,2025-09-02 12:55:51.319749,0 days 00:32:13.390104,20,normal,5,zero,,0.00013828279283371964,8171,128,old,0.770792829309715,tanh,0.01282329559326172,COMPLETE,0.01282329559326172
29,0.057316665351390836,2025-09-02 12:55:51.320434,2025-09-02 13:02:21.551510,0 days 00:06:30.231076,100,normal,7,zero,,0.0006383400130841039,1462,128,Glorot,,tanh,0.012951970100402832,COMPLETE,0.012951970100402832
30,0.2148166626691818,2025-09-02 13:02:21.551925,2025-09-02 13:34:55.139058,0 days 00:32:33.587133,20,uniform,7,zero,,0.27683708072824537,143,912,Glorot,,tanh,0.0058777093887329105,COMPLETE,0.0058777093887329105
31,0.06871666759252548,2025-09-02 13:34:55.139721,2025-09-02 14:07:29.491279,0 days 00:32:34.351558,20,normal,7,zero,,4.170746904604951e-06,2075,240,old,0.8838063500464266,tanh,0.01304001808166504,COMPLETE,0.01304001808166504
32,0.20428332984447478,2025-09-02 14:07:29.491695,2025-09-02 14:14:22.620662,0 days 00:06:53.128967,100,normal,7,nz,0.00015673483443304014,0.14406368678586515,405,992,old,1.6217947263397825,tanh,0.004169726371765136,COMPLETE,0.004169726371765136
