number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.4335499942302704,2025-09-02 03:15:56.021813,2025-09-02 03:23:01.736777,0 days 00:07:05.714964,100,normal,8,zero,,0.012611815565767931,2659,832,old,1.1017912259422258,logistic,0.01153116226196289,COMPLETE,0.01153116226196289
1,0.47669999599456786,2025-09-02 03:23:01.737286,2025-09-02 04:00:20.932171,0 days 00:37:19.194885,20,uniform,6,nz,2.0547199328558857e-07,0.16396997761073914,743,192,old,1.2225775747269245,logistic,0.00101926326751709,COMPLETE,0.00101926326751709
2,0.24256666898727416,2025-09-02 04:00:20.932708,2025-09-02 04:07:28.885568,0 days 00:07:07.952860,100,uniform,5,zero,,9.506281571106352e-05,1011,288,Glorot,,logistic,0.01307992935180664,COMPLETE,0.01307992935180664
3,0.2587666571140289,2025-09-02 04:07:28.886078,2025-09-02 04:43:32.110526,0 days 00:36:03.224448,20,uniform,8,nz,3.340579416277081e-05,2.1049515830306782e-06,798,992,Glorot,,tanh,0.013106513023376464,COMPLETE,0.013106513023376464
4,0.4531333327293396,2025-09-02 04:43:32.110978,2025-09-02 04:50:18.180435,0 days 00:06:46.069457,100,normal,8,zero,,0.005680937610553498,2579,496,Glorot,,tanh,0.011788582801818848,COMPLETE,0.011788582801818848
5,0.4722333252429962,2025-09-02 04:50:18.180850,2025-09-02 05:24:11.229618,0 days 00:33:53.048768,20,normal,7,zero,,0.040058969243291886,2604,992,Glorot,,logistic,0.005734562873840332,COMPLETE,0.005734562873840332
6,0.2524333357810974,2025-09-02 05:24:11.230445,2025-09-02 05:30:59.897400,0 days 00:06:48.666955,100,uniform,8,zero,,1.2460411629798946e-05,6359,416,Glorot,,logistic,0.013061809539794921,COMPLETE,0.013061809539794921
7,0.26359999775886533,2025-09-02 05:30:59.897824,2025-09-02 05:37:51.643622,0 days 00:06:51.745798,100,normal,5,zero,,6.369821113063238e-06,9757,720,old,0.5115210082666259,tanh,0.013095736503601074,COMPLETE,0.013095736503601074
8,0.2625333309173584,2025-09-02 05:37:51.644064,2025-09-02 06:11:40.175300,0 days 00:33:48.531236,20,uniform,6,zero,,4.4654883954691955e-06,3564,416,old,0.6601759155814514,tanh,0.013093256950378418,COMPLETE,0.013093256950378418
9,0.39918332695961,2025-09-02 06:11:40.176357,2025-09-02 06:18:53.203600,0 days 00:07:13.027243,100,uniform,8,nz,1.5621204728163365e-06,0.0036346950323246753,538,928,Glorot,,tanh,0.01300961971282959,COMPLETE,0.01300961971282959
