number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.8588428616523742,2025-09-02 03:15:51.972669,2025-09-02 03:24:13.568509,0 days 00:08:21.595840,100,normal,8,zero,,0.012611815565767931,2659,832,old,1.1017912259422258,logistic,0.010392522811889649,COMPLETE,0.010392522811889649
1,0.8771999835968017,2025-09-02 03:24:13.569029,2025-09-02 04:07:20.233997,0 days 00:43:06.664968,20,uniform,6,nz,2.0547199328558857e-07,0.16396997761073914,743,192,old,1.2225775747269245,logistic,0.0018719911575317382,COMPLETE,0.0018719911575317382
2,0.5949714183807373,2025-09-02 04:07:20.234937,2025-09-02 04:15:16.826714,0 days 00:07:56.591777,100,uniform,5,zero,,9.506281571106352e-05,1011,288,Glorot,,logistic,0.01303565502166748,COMPLETE,0.01303565502166748
3,0.6443714380264283,2025-09-02 04:15:16.827433,2025-09-02 04:57:20.577671,0 days 00:42:03.750238,20,uniform,8,nz,3.340579416277081e-05,2.1049515830306782e-06,798,992,Glorot,,tanh,0.013118934631347657,COMPLETE,0.013118934631347657
4,0.8653714179992675,2025-09-02 04:57:20.578113,2025-09-02 05:05:19.250657,0 days 00:07:58.672544,100,normal,8,zero,,0.005680937610553498,2579,496,Glorot,,tanh,0.01160728931427002,COMPLETE,0.01160728931427002
5,0.8745857000350952,2025-09-02 05:05:19.251093,2025-09-02 05:44:44.996518,0 days 00:39:25.745425,20,normal,7,zero,,0.040058969243291886,2604,992,Glorot,,logistic,0.007650613784790039,COMPLETE,0.007650613784790039
6,0.6444857001304627,2025-09-02 05:44:44.996960,2025-09-02 05:52:38.889533,0 days 00:07:53.892573,100,uniform,8,zero,,1.2460411629798946e-05,6359,416,Glorot,,logistic,0.012998819351196289,COMPLETE,0.012998819351196289
7,0.6474571228027344,2025-09-02 05:52:38.889977,2025-09-02 06:00:34.466441,0 days 00:07:55.576464,100,normal,5,zero,,6.369821113063238e-06,9757,720,old,0.5115210082666259,tanh,0.013149499893188477,COMPLETE,0.013149499893188477
8,0.6309857130050659,2025-09-02 06:00:34.466881,2025-09-02 06:40:17.864995,0 days 00:39:43.398114,20,uniform,6,zero,,4.4654883954691955e-06,3564,416,old,0.6601759155814514,tanh,0.01297445297241211,COMPLETE,0.01297445297241211
9,0.8341857075691224,2025-09-02 06:40:17.865437,2025-09-02 06:48:47.090281,0 days 00:08:29.224844,100,uniform,8,nz,1.5621204728163365e-06,0.0036346950323246753,538,928,Glorot,,tanh,0.012862706184387207,COMPLETE,0.012862706184387207
10,0.7562285661697388,2025-09-02 06:48:47.091760,2025-09-02 07:31:07.399135,0 days 00:42:20.307375,20,uniform,5,nz,5.7833085248908403e-08,0.0007135089719871662,487,576,Glorot,,tanh,0.013004541397094727,COMPLETE,0.013004541397094727
11,0.7588856935501098,2025-09-02 07:31:07.405037,2025-09-02 08:10:39.552252,0 days 00:39:32.147215,20,normal,8,zero,,0.00043340174043252305,365,976,old,0.273941419851531,tanh,0.013085746765136718,COMPLETE,0.013085746765136718
12,0.8094857096672058,2025-09-02 08:10:39.553265,2025-09-02 08:18:41.030943,0 days 00:08:01.477678,100,uniform,5,zero,,0.006036687230540028,518,496,old,0.8331442788576597,logistic,0.011707544326782227,COMPLETE,0.011707544326782227
13,0.5797571301460266,2025-09-02 08:18:41.031865,2025-09-02 08:27:06.649862,0 days 00:08:25.617997,100,uniform,7,nz,1.367989792242663e-08,7.091274531602468e-06,1569,384,Glorot,,logistic,0.013120675086975097,COMPLETE,0.013120675086975097
14,0.7657142758369446,2025-09-02 08:27:06.651394,2025-09-02 08:35:03.672222,0 days 00:07:57.020828,100,normal,5,zero,,0.013094244682014585,301,160,old,1.3330847803202919,logistic,0.007832908630371093,COMPLETE,0.007832908630371093
15,0.6340714216232299,2025-09-02 08:35:03.672895,2025-09-02 08:43:30.169742,0 days 00:08:26.496847,100,normal,6,nz,1.2134601472469401e-05,0.0002887138756286331,121,592,old,0.33709258675285036,tanh,0.01311643123626709,COMPLETE,0.01311643123626709
16,0.8769714117050171,2025-09-02 08:43:30.173386,2025-09-02 08:51:25.350834,0 days 00:07:55.177448,100,uniform,7,zero,,0.0856956409647669,1799,352,Glorot,,logistic,0.0030315637588500975,COMPLETE,0.0030315637588500975
