number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.8863285660743714,2025-09-02 03:15:48.870693,2025-09-02 03:24:13.574192,0 days 00:08:24.703499,100,normal,6,zero,,0.06644070263467312,576,1008,Glorot,,tanh,0.010751724243164062,COMPLETE,0.010751724243164062
1,0.841685700416565,2025-09-02 03:24:13.574723,2025-09-02 03:32:37.666094,0 days 00:08:24.091371,100,uniform,6,nz,1.5679864837306301e-06,0.010329503456436413,860,992,Glorot,,logistic,0.011794257164001464,COMPLETE,0.011794257164001464
2,0.7978428483009339,2025-09-02 03:32:37.666507,2025-09-02 03:41:47.827512,0 days 00:09:10.161005,100,uniform,5,nz,6.40146258964444e-05,0.00030057369809652877,6496,368,Glorot,,tanh,0.012549114227294923,COMPLETE,0.012549114227294923
3,0.748799991607666,2025-09-02 03:41:47.827930,2025-09-02 04:20:51.680274,0 days 00:39:03.852344,20,uniform,5,zero,,0.003593917669469153,294,768,Glorot,,logistic,0.01259756088256836,COMPLETE,0.01259756088256836
4,0.8375142693519593,2025-09-02 04:20:51.680989,2025-09-02 05:01:59.794468,0 days 00:41:08.113479,20,uniform,5,nz,0.0021073356349450246,0.0004883418510092812,3543,800,old,0.9468231906318536,tanh,0.012800312042236328,COMPLETE,0.012800312042236328
5,0.6320142865180969,2025-09-02 05:01:59.795213,2025-09-02 05:43:58.346998,0 days 00:41:58.551785,20,uniform,7,nz,0.0008459908187981945,2.6032292780924524e-06,516,912,Glorot,,logistic,0.01311638355255127,COMPLETE,0.01311638355255127
6,0.7050714254379272,2025-09-02 05:43:58.347828,2025-09-02 05:52:14.704210,0 days 00:08:16.356382,100,normal,5,nz,0.0013862889345041907,0.00901468140166235,183,176,Glorot,,logistic,0.011100220680236816,COMPLETE,0.011100220680236816
7,0.8549999833106995,2025-09-02 05:52:14.704628,2025-09-02 06:00:08.273449,0 days 00:07:53.568821,100,uniform,8,zero,,0.11805134855353049,216,368,Glorot,,logistic,0.007677984237670898,COMPLETE,0.007677984237670898
8,0.6044142723083497,2025-09-02 06:00:08.274184,2025-09-02 06:08:26.129937,0 days 00:08:17.855753,100,uniform,7,nz,2.815901764360598e-07,0.00036502361187062146,185,128,Glorot,,tanh,0.013127708435058593,COMPLETE,0.013127708435058593
9,0.6509714126586914,2025-09-02 06:08:26.130352,2025-09-02 06:16:41.884678,0 days 00:08:15.754326,100,uniform,7,nz,3.2255015584448746e-06,5.2941296150740716e-06,6626,816,Glorot,,tanh,0.013042664527893067,COMPLETE,0.013042664527893067
10,0.8533428549766541,2025-09-02 06:16:41.887104,2025-09-02 06:55:42.371098,0 days 00:39:00.483994,20,normal,7,zero,,0.09301680484393055,163,800,Glorot,,logistic,0.010676693916320801,COMPLETE,0.010676693916320801
11,0.8795428514480591,2025-09-02 06:55:42.371515,2025-09-02 07:03:51.005712,0 days 00:08:08.634197,100,normal,6,zero,,0.018719434318834147,2052,656,old,1.4102645931727156,tanh,0.010238027572631836,COMPLETE,0.010238027572631836
12,0.7609285712242126,2025-09-02 07:03:51.006452,2025-09-02 07:11:44.922736,0 days 00:07:53.916284,100,uniform,7,zero,,0.0005938211377977959,773,704,old,1.8120979733868956,tanh,0.012939238548278808,COMPLETE,0.012939238548278808
13,0.8539571404457093,2025-09-02 07:11:44.923144,2025-09-02 07:51:18.707077,0 days 00:39:33.783933,20,uniform,8,zero,,0.10299386757999246,157,656,old,1.8062074230594176,logistic,0.010062098503112793,COMPLETE,0.010062098503112793
14,0.5723428547382354,2025-09-02 07:51:18.707759,2025-09-02 08:32:28.950522,0 days 00:41:10.242763,20,normal,6,nz,9.199450334258862e-07,4.946343851929063e-06,127,416,old,1.9733953796831838,logistic,0.012976694107055663,COMPLETE,0.012976694107055663
15,0.6363571405410766,2025-09-02 08:32:28.950947,2025-09-02 09:11:54.928219,0 days 00:39:25.977272,20,normal,5,zero,,6.444478637143619e-06,8370,336,old,1.6001481198211065,tanh,0.013009142875671387,COMPLETE,0.013009142875671387
16,0.6324714183807373,2025-09-02 09:11:54.929000,2025-09-02 09:19:50.036150,0 days 00:07:55.107150,100,normal,5,zero,,5.149664340041324e-06,268,256,Glorot,,tanh,0.012919425964355469,COMPLETE,0.012919425964355469
17,0.8453428626060486,2025-09-02 09:19:50.037007,2025-09-02 09:28:09.999139,0 days 00:08:19.962132,100,normal,5,nz,2.6731334609132677e-07,0.020221744205079373,156,928,Glorot,,tanh,0.012731146812438966,COMPLETE,0.012731146812438966
18,0.8577285647392273,2025-09-02 09:28:09.999550,2025-09-02 10:06:56.850945,0 days 00:38:46.851395,20,uniform,7,zero,,0.057265109303175826,126,560,old,0.2702596726554056,logistic,0.011518383026123047,COMPLETE,0.011518383026123047
19,0.6376714110374451,2025-09-02 10:06:56.851350,2025-09-02 10:48:15.880978,0 days 00:41:19.029628,20,uniform,6,nz,2.6732795780647336e-07,1.477822781390903e-06,1057,800,old,1.5331641155476206,logistic,0.01308443546295166,COMPLETE,0.01308443546295166
20,0.6567285656929016,2025-09-02 10:48:15.881389,2025-09-02 11:29:27.457937,0 days 00:41:11.576548,20,uniform,5,nz,4.5217557451024084e-07,0.00024928315599298995,515,864,Glorot,,logistic,0.013103556632995606,COMPLETE,0.013103556632995606
21,0.7427285552024842,2025-09-02 11:29:27.458595,2025-09-02 12:08:51.572478,0 days 00:39:24.113883,20,uniform,6,zero,,0.00014593069348259346,9546,704,Glorot,,logistic,0.012532973289489746,COMPLETE,0.012532973289489746
22,0.674485719203949,2025-09-02 12:08:51.573228,2025-09-02 12:50:11.476718,0 days 00:41:19.903490,20,uniform,7,nz,2.61432346137729e-05,0.7712091002222098,167,336,Glorot,,logistic,0.002489590644836426,COMPLETE,0.002489590644836426
23,0.8835714221000671,2025-09-02 12:50:11.477601,2025-09-02 12:58:27.528257,0 days 00:08:16.050656,100,uniform,7,nz,4.2391310953230826e-07,0.3098891758417326,7717,288,Glorot,,logistic,0.0003500699996948242,COMPLETE,0.0003500699996948242
24,0.5967285752296447,2025-09-02 12:58:27.528701,2025-09-02 13:06:12.316759,0 days 00:07:44.788058,100,uniform,7,zero,,1.9973397341322524e-05,1337,448,Glorot,,logistic,0.013174152374267578,COMPLETE,0.013174152374267578
25,0.7328142881393432,2025-09-02 13:06:12.317170,2025-09-02 13:13:53.159817,0 days 00:07:40.842647,100,normal,8,zero,,0.001313336169200039,1126,480,old,1.4607765707779474,logistic,0.012306833267211914,COMPLETE,0.012306833267211914
26,0.6281714320182801,2025-09-02 13:13:53.160547,2025-09-02 13:22:39.555141,0 days 00:08:46.394594,100,normal,5,nz,0.002310508554631245,2.993279432713497e-06,212,208,Glorot,,tanh,0.012949466705322266,COMPLETE,0.012949466705322266
27,0.6473142743110657,2025-09-02 13:22:39.555555,2025-09-02 14:04:37.606545,0 days 00:41:58.050990,20,normal,7,nz,1.059684351920824e-06,4.77818774805122e-06,1609,464,Glorot,,tanh,0.013212132453918456,COMPLETE,0.013212132453918456
28,0.7765714287757873,2025-09-02 14:04:37.606972,2025-09-02 14:43:49.048432,0 days 00:39:11.441460,20,normal,5,zero,,0.00013828279283371964,8171,128,old,0.770792829309715,tanh,0.011972808837890625,COMPLETE,0.011972808837890625
29,0.7419285774230957,2025-09-02 14:43:49.049319,2025-09-02 14:51:35.443441,0 days 00:07:46.394122,100,normal,7,zero,,0.0006383400130841039,1462,128,Glorot,,tanh,0.011971020698547363,COMPLETE,0.011971020698547363
30,0.7304142788052559,2025-09-02 14:51:35.444178,2025-09-02 15:30:11.533017,0 days 00:38:36.088839,20,uniform,7,zero,,0.27683708072824537,143,912,Glorot,,tanh,,COMPLETE,
31,0.6280999898910522,2025-09-02 15:30:11.533669,2025-09-02 16:08:59.059078,0 days 00:38:47.525409,20,normal,7,zero,,4.170746904604951e-06,2075,240,old,0.8838063500464266,tanh,0.013045430183410645,COMPLETE,0.013045430183410645
32,0.884928560256958,2025-09-02 16:08:59.059484,2025-09-02 16:17:09.997181,0 days 00:08:10.937697,100,normal,7,nz,0.00015673483443304014,0.14406368678586515,405,992,old,1.6217947263397825,tanh,0.009090256690979005,COMPLETE,0.009090256690979005
33,0.8485285639762878,2025-09-02 16:17:09.997895,2025-09-02 16:25:04.503686,0 days 00:07:54.505791,100,uniform,5,zero,,0.057020059203906834,281,400,Glorot,,logistic,0.008719182014465332,COMPLETE,0.008719182014465332
34,0.6452571511268616,2025-09-02 16:25:04.504537,2025-09-02 16:32:51.265278,0 days 00:07:46.760741,100,normal,6,zero,,1.8175550179742918e-06,2310,832,old,1.6535901776344464,tanh,0.013073062896728516,COMPLETE,0.013073062896728516
35,0.6375571489334106,2025-09-02 16:32:51.265953,2025-09-02 16:41:12.645548,0 days 00:08:21.379595,100,normal,7,nz,2.3881625663818028e-08,0.00030129831042670976,192,416,Glorot,,tanh,0.013177824020385743,COMPLETE,0.013177824020385743
36,0.7598714232444763,2025-09-02 16:41:12.645988,2025-09-02 17:22:23.874988,0 days 00:41:11.229000,20,normal,6,nz,3.042048190917116e-07,0.0024865729443567025,230,432,old,1.9863089596180703,tanh,0.012755227088928223,COMPLETE,0.012755227088928223
37,0.6129999995231629,2025-09-02 17:22:23.875404,2025-09-02 17:30:09.078952,0 days 00:07:45.203548,100,normal,5,zero,,0.00031934072317515473,583,176,old,0.7980273673000766,tanh,0.013274717330932616,COMPLETE,0.013274717330932616
38,0.8708999872207641,2025-09-02 17:30:09.079665,2025-09-02 18:08:52.227515,0 days 00:38:43.147850,20,normal,8,zero,,0.006015868242524775,614,480,old,0.21837927025566456,tanh,0.012713980674743653,COMPLETE,0.012713980674743653
39,0.6135999917984009,2025-09-02 18:08:52.237049,2025-09-02 18:47:36.200155,0 days 00:38:43.963106,20,normal,5,zero,,1.9422269127825716e-06,399,912,old,0.8895458827965552,logistic,0.013115334510803222,COMPLETE,0.013115334510803222
40,0.7964285612106323,2025-09-02 18:47:36.201085,2025-09-02 18:55:28.885105,0 days 00:07:52.684020,100,normal,6,zero,,0.0020093447679859944,1510,976,old,0.7897342187886371,logistic,0.012438082695007324,COMPLETE,0.012438082695007324
41,0.6720857143402099,2025-09-02 18:55:28.885511,2025-09-02 19:03:13.762638,0 days 00:07:44.877127,100,normal,5,zero,,0.0013178595061205047,329,656,old,1.6891567488156214,logistic,0.013012337684631347,COMPLETE,0.013012337684631347
42,0.8863571286201477,2025-09-02 19:03:13.763050,2025-09-02 19:11:00.087701,0 days 00:07:46.324651,100,normal,5,zero,,0.020520468795960502,5573,720,old,1.2385120108259946,tanh,0.007075667381286621,COMPLETE,0.007075667381286621
43,0.8544571399688721,2025-09-02 19:11:00.088386,2025-09-02 19:50:03.041354,0 days 00:39:02.952968,20,uniform,7,zero,,0.01077541132005978,1870,752,Glorot,,logistic,0.010429883003234863,COMPLETE,0.010429883003234863
44,0.8775714278221131,2025-09-02 19:50:03.042104,2025-09-02 20:31:13.408460,0 days 00:41:10.366356,20,normal,5,nz,0.002919765386742817,0.4080388969790123,813,192,old,1.977044803454637,tanh,0.009517550468444824,COMPLETE,0.009517550468444824
45,0.888614273071289,2025-09-02 20:31:13.408878,2025-09-02 21:10:03.013885,0 days 00:38:49.605007,20,uniform,6,zero,,0.10467739650491467,8879,240,old,1.988181682835439,logistic,1.48773193359375e-05,COMPLETE,1.48773193359375e-05
46,0.8784999966621398,2025-09-02 21:10:03.014297,2025-09-02 21:18:18.463964,0 days 00:08:15.449667,100,uniform,8,nz,0.0009110543562389147,0.10750221368169545,280,512,Glorot,,tanh,0.009290623664855956,COMPLETE,0.009290623664855956
47,0.794771420955658,2025-09-02 21:18:18.464876,2025-09-02 21:59:20.807997,0 days 00:41:02.343121,20,normal,6,nz,1.2137828511775467e-07,0.0005684434147264066,1175,816,Glorot,,tanh,0.012930154800415039,COMPLETE,0.012930154800415039
48,0.6411571502685547,2025-09-02 21:59:20.808704,2025-09-02 22:40:37.076467,0 days 00:41:16.267763,20,normal,7,nz,5.733827693309677e-05,5.079600868546174e-06,1084,480,Glorot,,tanh,0.013121747970581054,COMPLETE,0.013121747970581054
49,0.8328142642974854,2025-09-02 22:40:37.076897,2025-09-02 23:19:25.661658,0 days 00:38:48.584761,20,normal,5,zero,,0.010843892878441716,158,224,old,0.6646190292569847,tanh,0.012234830856323242,COMPLETE,0.012234830856323242
50,0.7552142858505249,2025-09-02 23:19:25.663822,2025-09-02 23:27:39.617443,0 days 00:08:13.953621,100,normal,6,nz,0.000194697733265765,0.0019162850142456203,235,672,old,1.6809867835351213,tanh,0.012902331352233887,COMPLETE,0.012902331352233887
51,0.8796571254730224,2025-09-02 23:27:39.617866,2025-09-02 23:35:55.848643,0 days 00:08:16.230777,100,normal,7,nz,2.7495142582401514e-07,0.05907447236904719,655,320,old,1.39075721911742,tanh,0.008099889755249024,COMPLETE,0.008099889755249024
52,0.6971856951713562,2025-09-02 23:35:55.849065,2025-09-03 00:15:08.497233,0 days 00:39:12.648168,20,normal,5,zero,,3.857174781334704e-05,3039,800,Glorot,,tanh,0.013043570518493652,COMPLETE,0.013043570518493652
53,0.8944571256637573,2025-09-03 00:15:08.497660,2025-09-03 00:56:51.103423,0 days 00:41:42.605763,20,normal,7,nz,3.386321498655938e-06,0.12264970522261864,2353,592,Glorot,,tanh,0.002246522903442383,COMPLETE,0.002246522903442383
54,0.6214999914169311,2025-09-03 00:56:51.103853,2025-09-03 01:05:14.257318,0 days 00:08:23.153465,100,uniform,8,nz,2.172158274853957e-05,4.971380801717752e-05,489,784,old,1.570720193391757,logistic,0.013123154640197754,COMPLETE,0.013123154640197754
55,0.6454856991767883,2025-09-03 01:05:14.258237,2025-09-03 01:44:46.880516,0 days 00:39:32.622279,20,uniform,6,zero,,1.2551410088649383e-06,146,1008,old,1.3354783582374978,tanh,0.013114833831787109,COMPLETE,0.013114833831787109
56,0.8804428458213807,2025-09-03 01:44:46.881294,2025-09-03 01:53:01.495713,0 days 00:08:14.614419,100,uniform,8,nz,0.001457454736002227,0.21160224376284129,194,368,Glorot,,tanh,0.005708718299865722,COMPLETE,0.005708718299865722
57,0.5730857133865357,2025-09-03 01:53:01.496366,2025-09-03 02:35:04.635997,0 days 00:42:03.139631,20,normal,7,nz,0.000345206216507449,1.0767903294947152e-05,3459,336,old,0.43178383268196363,logistic,0.013057804107666016,COMPLETE,0.013057804107666016
58,0.8860857129096985,2025-09-03 02:35:04.637073,2025-09-03 02:43:18.264408,0 days 00:08:13.627335,100,normal,6,zero,,0.314492368582759,402,464,Glorot,,tanh,0.004191899299621582,COMPLETE,0.004191899299621582
59,0.6631571412086487,2025-09-03 02:43:18.264830,2025-09-03 03:25:18.890064,0 days 00:42:00.625234,20,normal,5,nz,9.261598751419367e-05,8.30508083975526e-06,7406,752,Glorot,,tanh,0.01314218044281006,COMPLETE,0.01314218044281006
60,0.86198570728302,2025-09-03 03:25:18.890484,2025-09-03 03:33:18.484103,0 days 00:07:59.593619,100,uniform,6,zero,,0.007050908081710695,5149,800,old,1.1831342969408847,logistic,0.01074531078338623,COMPLETE,0.01074531078338623
61,0.6367857098579407,2025-09-03 03:33:18.485054,2025-09-03 04:14:25.485939,0 days 00:41:07.000885,20,normal,6,nz,5.921401756691521e-08,3.2902411980469176e-06,315,432,old,0.537490790118223,tanh,0.01312084197998047,COMPLETE,0.01312084197998047
62,0.6518714308738709,2025-09-03 04:14:25.486613,2025-09-03 04:22:10.150102,0 days 00:07:44.663489,100,normal,5,zero,,0.00011442100841843391,306,832,old,1.2743207063277995,tanh,0.013063931465148925,COMPLETE,0.013063931465148925
63,0.8700714230537414,2025-09-03 04:22:10.150900,2025-09-03 04:30:42.325657,0 days 00:08:32.174757,100,uniform,7,nz,0.0004064835377827357,0.11607285176566381,180,160,Glorot,,tanh,0.007208538055419922,COMPLETE,0.007208538055419922
64,0.6340714216232299,2025-09-03 04:30:42.326085,2025-09-03 05:09:51.570134,0 days 00:39:09.244049,20,uniform,6,zero,,1.382661221905772e-06,682,688,Glorot,,logistic,0.01306164264678955,COMPLETE,0.01306164264678955
65,0.8911714076995849,2025-09-03 05:09:51.570549,2025-09-03 05:17:54.235199,0 days 00:08:02.664650,100,uniform,6,zero,,0.07388299612462086,5783,864,Glorot,,tanh,0.004747271537780762,COMPLETE,0.004747271537780762
66,0.8875142812728882,2025-09-03 05:17:54.236062,2025-09-03 06:00:05.183270,0 days 00:42:10.947208,20,uniform,6,nz,1.908237513615749e-06,0.009531024033067244,2537,176,old,0.27563829445908666,tanh,0.008418798446655273,COMPLETE,0.008418798446655273
67,0.8291285634040833,2025-09-03 06:00:05.189345,2025-09-03 06:08:23.219380,0 days 00:08:18.030035,100,uniform,8,nz,0.0003436092483606785,0.003563853576994704,2874,368,Glorot,,logistic,0.00943601131439209,COMPLETE,0.00943601131439209
68,0.854714286327362,2025-09-03 06:08:23.219809,2025-09-03 06:49:58.363505,0 days 00:41:35.143696,20,normal,7,nz,1.4017302164881898e-08,0.0007937355347963972,4181,720,old,0.47843307409063596,tanh,0.01277313232421875,COMPLETE,0.01277313232421875
69,0.8505856990814209,2025-09-03 06:49:58.363935,2025-09-03 06:58:13.466971,0 days 00:08:15.103036,100,normal,8,nz,6.313429655245278e-05,0.0053832863402396,1641,528,old,1.8323299386798049,tanh,0.011674213409423827,COMPLETE,0.011674213409423827
70,0.6459571361541748,2025-09-03 06:58:13.469553,2025-09-03 07:06:35.067771,0 days 00:08:21.598218,100,normal,5,nz,2.859240358052314e-08,1.6731914187622226e-05,281,1024,Glorot,,tanh,0.01307666301727295,COMPLETE,0.01307666301727295
71,0.7876000046730042,2025-09-03 07:06:35.068540,2025-09-03 07:47:51.140497,0 days 00:41:16.071957,20,uniform,6,nz,1.792899246741057e-05,0.006913685110777846,169,672,old,0.49099531740265967,logistic,0.012570977210998535,COMPLETE,0.012570977210998535
72,0.6595142722129822,2025-09-03 07:47:51.140925,2025-09-03 08:26:35.186603,0 days 00:38:44.045678,20,normal,5,zero,,1.1247460343901707e-05,4428,720,old,1.9937895835839174,tanh,0.013149571418762208,COMPLETE,0.013149571418762208
