number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.7445967793464661,2025-09-02 03:15:49.914924,2025-09-02 03:23:09.988709,0 days 00:07:20.073785,100,normal,8,zero,,0.012611815565767931,2659,832,old,1.1017912259422258,logistic,0.01044619083404541,COMPLETE,0.01044619083404541
1,0.768871009349823,2025-09-02 03:23:09.989828,2025-09-02 04:00:32.970898,0 days 00:37:22.981070,20,uniform,6,nz,2.0547199328558857e-07,0.16396997761073914,743,192,old,1.2225775747269245,logistic,0.0015927791595458985,COMPLETE,0.0015927791595458985
2,0.112693552672863,2025-09-02 04:00:32.971297,2025-09-02 04:07:27.484708,0 days 00:06:54.513411,100,uniform,5,zero,,9.506281571106352e-05,1011,288,Glorot,,logistic,0.01303410530090332,COMPLETE,0.01303410530090332
3,0.49351614713668823,2025-09-02 04:07:27.485484,2025-09-02 04:44:01.483139,0 days 00:36:33.997655,20,uniform,8,nz,3.340579416277081e-05,2.1049515830306782e-06,798,992,Glorot,,tanh,0.013118982315063477,COMPLETE,0.013118982315063477
4,0.7479838728904724,2025-09-02 04:44:01.483576,2025-09-02 04:50:53.406682,0 days 00:06:51.923106,100,normal,8,zero,,0.005680937610553498,2579,496,Glorot,,tanh,0.01153564453125,COMPLETE,0.01153564453125
5,0.748612916469574,2025-09-02 04:50:53.407492,2025-09-02 05:25:07.210226,0 days 00:34:13.802734,20,normal,7,zero,,0.040058969243291886,2604,992,Glorot,,logistic,0.00757749080657959,COMPLETE,0.00757749080657959
6,0.112693552672863,2025-09-02 05:25:07.210610,2025-09-02 05:31:58.879404,0 days 00:06:51.668794,100,uniform,8,zero,,1.2460411629798946e-05,6359,416,Glorot,,logistic,0.012998700141906738,COMPLETE,0.012998700141906738
7,0.500951611995697,2025-09-02 05:31:58.879816,2025-09-02 05:38:47.787576,0 days 00:06:48.907760,100,normal,5,zero,,6.369821113063238e-06,9757,720,old,0.5115210082666259,tanh,0.013142800331115723,COMPLETE,0.013142800331115723
8,0.48243550658226014,2025-09-02 05:38:47.788352,2025-09-02 06:12:57.681628,0 days 00:34:09.893276,20,uniform,6,zero,,4.4654883954691955e-06,3564,416,old,0.6601759155814514,tanh,0.012976717948913575,COMPLETE,0.012976717948913575
9,0.7259193778038024,2025-09-02 06:12:57.682330,2025-09-02 06:20:22.517761,0 days 00:07:24.835431,100,uniform,8,nz,1.5621204728163365e-06,0.0036346950323246753,538,928,Glorot,,tanh,0.012758588790893555,COMPLETE,0.012758588790893555
10,0.5845484256744384,2025-09-02 06:20:22.518544,2025-09-02 06:56:48.511717,0 days 00:36:25.993173,20,uniform,5,nz,5.7833085248908403e-08,0.0007135089719871662,487,576,Glorot,,tanh,0.013028860092163086,COMPLETE,0.013028860092163086
11,0.6026129245758056,2025-09-02 06:56:48.512104,2025-09-02 07:30:48.712598,0 days 00:34:00.200494,20,normal,8,zero,,0.00043340174043252305,365,976,old,0.273941419851531,tanh,0.013091444969177246,COMPLETE,0.013091444969177246
12,0.709225845336914,2025-09-02 07:30:48.713005,2025-09-02 07:37:38.022910,0 days 00:06:49.309905,100,uniform,5,zero,,0.006036687230540028,518,496,old,0.8331442788576597,logistic,0.011891508102416992,COMPLETE,0.011891508102416992
13,0.112693552672863,2025-09-02 07:37:38.023301,2025-09-02 07:44:54.111943,0 days 00:07:16.088642,100,uniform,7,nz,1.367989792242663e-08,7.091274531602468e-06,1569,384,Glorot,,logistic,0.013120532035827637,COMPLETE,0.013120532035827637
14,0.6028548598289489,2025-09-02 07:44:54.112338,2025-09-02 07:51:45.067255,0 days 00:06:50.954917,100,normal,5,zero,,0.013094244682014585,301,160,old,1.3330847803202919,logistic,0.009542012214660644,COMPLETE,0.009542012214660644
15,0.49698389172554014,2025-09-02 07:51:45.067648,2025-09-02 07:59:05.624379,0 days 00:07:20.556731,100,normal,6,nz,1.2134601472469401e-05,0.0002887138756286331,121,592,old,0.33709258675285036,tanh,0.013112759590148926,COMPLETE,0.013112759590148926
16,0.7642097234725952,2025-09-02 07:59:05.624783,2025-09-02 08:05:56.681705,0 days 00:06:51.056922,100,uniform,7,zero,,0.0856956409647669,1799,352,Glorot,,logistic,0.0026523113250732423,COMPLETE,0.0026523113250732423
17,0.4903064727783203,2025-09-02 08:05:56.682589,2025-09-02 08:12:48.092118,0 days 00:06:51.409529,100,uniform,5,zero,,9.318544447640828e-06,368,576,Glorot,,tanh,0.013099360466003417,COMPLETE,0.013099360466003417
18,0.6502097129821778,2025-09-02 08:12:48.092517,2025-09-02 08:19:39.410042,0 days 00:06:51.317525,100,uniform,5,zero,,0.00026913942522638486,9984,928,old,1.1287749591948544,logistic,0.012778687477111816,COMPLETE,0.012778687477111816
19,0.7321613073348999,2025-09-02 08:19:39.411069,2025-09-02 08:55:55.852176,0 days 00:36:16.441107,20,uniform,7,nz,0.006148641099918832,0.022461343267204566,8862,832,old,0.4495867877664373,logistic,1.71661376953125e-06,COMPLETE,1.71661376953125e-06
20,0.24569355696439743,2025-09-02 08:55:55.852566,2025-09-02 09:32:29.125658,0 days 00:36:33.273092,20,uniform,6,nz,5.557110625815338e-07,0.8553545793157464,876,368,old,1.9062151263692741,logistic,,COMPLETE,
21,0.47269357442855836,2025-09-02 09:32:29.126050,2025-09-02 10:06:41.781512,0 days 00:34:12.655462,20,normal,7,zero,,0.4263388353958704,8676,992,Glorot,,logistic,0.0008435964584350586,COMPLETE,0.0008435964584350586
22,0.4854354977607727,2025-09-02 10:06:41.781902,2025-09-02 10:13:31.763775,0 days 00:06:49.981873,100,uniform,7,zero,,0.3071199067326472,787,560,Glorot,,logistic,0.000888824462890625,COMPLETE,0.000888824462890625
23,0.5299193739891053,2025-09-02 10:13:31.764172,2025-09-02 10:20:44.504311,0 days 00:07:12.740139,100,uniform,6,nz,0.001038088694812615,0.0015360429153979428,1670,176,old,1.519212088192107,logistic,0.012301898002624512,COMPLETE,0.012301898002624512
24,0.7985000133514404,2025-09-02 10:20:44.504708,2025-09-02 10:54:54.208720,0 days 00:34:09.704012,20,normal,5,zero,,0.06793630192755795,1150,864,Glorot,,tanh,0.005423545837402344,COMPLETE,0.005423545837402344
25,0.7731935858726502,2025-09-02 10:54:54.209540,2025-09-02 11:01:42.143305,0 days 00:06:47.933765,100,uniform,7,zero,,0.03026019456560183,6484,160,Glorot,,logistic,0.0006187915802001953,COMPLETE,0.0006187915802001953
26,0.09798387438058853,2025-09-02 11:01:42.143680,2025-09-02 11:35:38.636593,0 days 00:33:56.492913,20,normal,8,zero,,0.3300002732365341,957,880,Glorot,,tanh,,COMPLETE,
27,0.7601290822029114,2025-09-02 11:35:38.636974,2025-09-02 12:09:50.331286,0 days 00:34:11.694312,20,normal,5,zero,,0.013381490638651673,2217,752,Glorot,,tanh,0.01012406349182129,COMPLETE,0.01012406349182129
28,0.7739032626152038,2025-09-02 12:09:50.331679,2025-09-02 12:16:40.732299,0 days 00:06:50.400620,100,uniform,7,zero,,0.032083225982850926,5668,256,Glorot,,tanh,0.0010697364807128907,COMPLETE,0.0010697364807128907
29,0.8146935939788819,2025-09-02 12:16:40.732902,2025-09-02 12:23:26.669341,0 days 00:06:45.936439,100,uniform,6,zero,,0.3337198513339073,5330,240,Glorot,,tanh,0.00036742687225341795,COMPLETE,0.00036742687225341795
30,0.813387143611908,2025-09-02 12:23:26.669737,2025-09-02 12:30:15.605465,0 days 00:06:48.935728,100,uniform,6,zero,,0.22723024806185232,2958,352,Glorot,,tanh,0.0001229524612426758,COMPLETE,0.0001229524612426758
31,0.8015967845916748,2025-09-02 12:30:15.605840,2025-09-02 12:37:03.151293,0 days 00:06:47.545453,100,uniform,6,zero,,0.09845495232733979,4664,304,Glorot,,tanh,0.0003777980804443359,COMPLETE,0.0003777980804443359
32,0.09798387438058853,2025-09-02 12:37:03.151919,2025-09-02 12:43:55.767514,0 days 00:06:52.615595,100,uniform,6,zero,,0.9488233379550337,1522,448,Glorot,,tanh,,COMPLETE,
33,0.82135488986969,2025-09-02 12:43:55.767901,2025-09-02 12:50:50.109904,0 days 00:06:54.342003,100,uniform,6,zero,,0.3862198836542638,5496,272,old,1.9373571800929659,tanh,0.0009005784988403321,COMPLETE,0.0009005784988403321
34,0.7645968198776245,2025-09-02 12:50:50.110299,2025-09-02 12:57:45.277834,0 days 00:06:55.167535,100,uniform,6,zero,,0.009441503844866122,7767,336,old,1.981532930022588,tanh,0.004952549934387207,COMPLETE,0.004952549934387207
35,0.7705645561218262,2025-09-02 12:57:45.278580,2025-09-02 13:05:01.032006,0 days 00:07:15.753426,100,uniform,6,nz,0.0001806335796034755,0.02004052294230728,6553,192,Glorot,,tanh,0.0008144140243530274,COMPLETE,0.0008144140243530274
36,0.8045483946800231,2025-09-02 13:05:01.032412,2025-09-02 13:11:51.126934,0 days 00:06:50.094522,100,normal,6,zero,,0.3200483355015959,6182,176,old,1.6325262817113,tanh,0.00028469562530517576,COMPLETE,0.00028469562530517576
37,0.8002258181571961,2025-09-02 13:11:51.127348,2025-09-02 13:18:45.041495,0 days 00:06:53.914147,100,normal,6,zero,,0.38598673543280837,3979,144,old,1.6684611470196256,tanh,0.00018210411071777343,COMPLETE,0.00018210411071777343
38,0.09798387438058853,2025-09-02 13:18:45.042248,2025-09-02 13:25:36.371880,0 days 00:06:51.329632,100,uniform,5,zero,,0.8974757653868664,6879,480,old,1.6556117554197107,tanh,,COMPLETE,
39,0.09798387438058853,2025-09-02 13:25:36.372296,2025-09-02 13:32:50.585253,0 days 00:07:14.212957,100,uniform,6,nz,0.005014414911418325,0.5462833126305128,2461,608,old,1.9800320698882472,tanh,,COMPLETE,
40,0.7994677543640136,2025-09-02 13:32:50.585948,2025-09-02 13:39:38.687844,0 days 00:06:48.101896,100,normal,5,zero,,0.4152335664639212,2421,128,Glorot,,tanh,6.082057952880859e-05,COMPLETE,6.082057952880859e-05
41,0.8037096858024597,2025-09-02 13:39:38.689358,2025-09-02 13:46:33.208316,0 days 00:06:54.518958,100,uniform,8,zero,,0.4888445057493734,3328,144,Glorot,,tanh,0.00021774768829345702,COMPLETE,0.00021774768829345702
42,0.800145173072815,2025-09-02 13:46:33.208718,2025-09-02 13:53:27.042802,0 days 00:06:53.834084,100,uniform,8,zero,,0.37510379354809326,3731,128,old,1.6039911065216048,tanh,8.547306060791016e-05,COMPLETE,8.547306060791016e-05
43,0.8088871240615845,2025-09-02 13:53:27.043211,2025-09-02 14:00:20.644395,0 days 00:06:53.601184,100,uniform,8,zero,,0.48111056504850724,3559,160,Glorot,,tanh,0.00035336017608642576,COMPLETE,0.00035336017608642576
44,0.8045806527137757,2025-09-02 14:00:20.645633,2025-09-02 14:07:10.498800,0 days 00:06:49.853167,100,uniform,6,zero,,0.1745554189967321,1705,400,old,1.565974977337931,logistic,0.0005067586898803711,COMPLETE,0.0005067586898803711
45,0.814338767528534,2025-09-02 14:07:10.499605,2025-09-02 14:13:56.742748,0 days 00:06:46.243143,100,uniform,6,zero,,0.16203626753847594,4025,448,old,1.9909480563516953,logistic,7.49826431274414e-05,COMPLETE,7.49826431274414e-05
46,0.5210322916507721,2025-09-02 14:13:56.743128,2025-09-02 14:21:10.930926,0 days 00:07:14.187798,100,normal,6,nz,2.4430959553130223e-05,0.5971795348591172,3780,400,Glorot,,logistic,0.0010209798812866211,COMPLETE,0.0010209798812866211
47,0.7918064713478088,2025-09-02 14:21:10.931340,2025-09-02 14:28:07.551501,0 days 00:06:56.620161,100,normal,8,zero,,0.0785273414863772,4337,128,Glorot,,logistic,2.543926239013672e-05,COMPLETE,2.543926239013672e-05
48,0.8178710222244263,2025-09-02 14:28:07.552556,2025-09-02 15:02:09.825971,0 days 00:34:02.273415,20,uniform,6,zero,,0.18954875831559634,4937,160,old,1.9957400319500789,tanh,0.00012271404266357423,COMPLETE,0.00012271404266357423
49,0.7524032473564148,2025-09-02 15:02:09.826363,2025-09-02 15:36:09.809781,0 days 00:33:59.983418,20,uniform,6,zero,,0.011079461561994483,1663,128,old,1.9929610668555549,tanh,0.007821416854858399,COMPLETE,0.007821416854858399
50,0.09798387438058853,2025-09-02 15:36:09.810170,2025-09-02 16:10:22.506273,0 days 00:34:12.696103,20,uniform,6,zero,,0.7603055397902956,6294,176,old,1.962215754971139,tanh,,COMPLETE,
51,0.7551774621009827,2025-09-02 16:10:22.506944,2025-09-02 16:17:11.091593,0 days 00:06:48.584649,100,normal,6,zero,,0.10154316941733701,2971,704,old,1.9939581308190495,logistic,0.0025601625442504884,COMPLETE,0.0025601625442504884
52,0.8128871440887451,2025-09-02 16:17:11.091983,2025-09-02 16:51:22.879211,0 days 00:34:11.787228,20,uniform,5,zero,,0.15087717346329674,1277,288,Glorot,,tanh,0.00043036937713623045,COMPLETE,0.00043036937713623045
53,0.8195000529289246,2025-09-02 16:51:22.879606,2025-09-02 17:25:31.455164,0 days 00:34:08.575558,20,uniform,5,zero,,0.4000651825272743,1609,304,Glorot,,tanh,0.0009002447128295899,COMPLETE,0.0009002447128295899
54,0.6990645408630372,2025-09-02 17:25:31.456030,2025-09-02 17:59:45.950287,0 days 00:34:14.494257,20,uniform,6,zero,,0.2696545233891743,1634,528,Glorot,,logistic,0.0031540632247924806,COMPLETE,0.0031540632247924806
55,0.7430322647094727,2025-09-02 17:59:45.951033,2025-09-02 18:06:34.498929,0 days 00:06:48.547896,100,uniform,6,zero,,0.0038384939236912165,6044,608,old,1.9847525107299928,logistic,0.01011645793914795,COMPLETE,0.01011645793914795
56,0.09798387438058853,2025-09-02 18:06:34.499330,2025-09-02 18:13:24.481473,0 days 00:06:49.982143,100,uniform,6,zero,,0.56737213070769,3871,464,old,1.7293636868248203,tanh,,COMPLETE,
57,0.7565806984901429,2025-09-02 18:13:24.481874,2025-09-02 18:47:31.567813,0 days 00:34:07.085939,20,uniform,6,zero,,0.02302966662084598,4902,304,old,1.990681616815752,logistic,0.003297710418701172,COMPLETE,0.003297710418701172
58,0.8023548483848572,2025-09-02 18:47:31.568501,2025-09-02 19:23:34.224553,0 days 00:36:02.656052,20,normal,5,nz,1.2122520243363746e-08,0.1341588786971223,801,224,Glorot,,tanh,0.0011733055114746093,COMPLETE,0.0011733055114746093
59,0.7816613197326661,2025-09-02 19:23:34.224953,2025-09-02 19:59:56.781699,0 days 00:36:22.556746,20,normal,6,nz,0.0001926671112969566,0.014737405884492344,7559,336,old,1.6620285690842973,tanh,0.0019019842147827148,COMPLETE,0.0019019842147827148
