number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.7645645618438721,2025-09-02 03:15:46.409197,2025-09-02 03:23:08.891416,0 days 00:07:22.482219,100,normal,6,zero,,0.06644070263467312,576,1008,Glorot,,tanh,0.009328126907348633,COMPLETE,0.009328126907348633
1,0.7400806546211243,2025-09-02 03:23:08.892589,2025-09-02 03:30:29.119507,0 days 00:07:20.226918,100,uniform,6,nz,1.5679864837306301e-06,0.010329503456436413,860,992,Glorot,,logistic,0.01163020133972168,COMPLETE,0.01163020133972168
2,0.6756935596466065,2025-09-02 03:30:29.120279,2025-09-02 03:37:43.607770,0 days 00:07:14.487491,100,uniform,5,nz,6.40146258964444e-05,0.00030057369809652877,6496,368,Glorot,,tanh,0.012463712692260742,COMPLETE,0.012463712692260742
3,0.5863871216773987,2025-09-02 03:37:43.608200,2025-09-02 04:11:49.758973,0 days 00:34:06.150773,20,uniform,5,zero,,0.003593917669469153,294,768,Glorot,,logistic,0.012917757034301758,COMPLETE,0.012917757034301758
4,0.7319677591323852,2025-09-02 04:11:49.759405,2025-09-02 04:48:12.218228,0 days 00:36:22.458823,20,uniform,5,nz,0.0021073356349450246,0.0004883418510092812,3543,800,old,0.9468231906318536,tanh,0.012787151336669921,COMPLETE,0.012787151336669921
5,0.112693552672863,2025-09-02 04:48:12.218641,2025-09-02 05:24:06.048925,0 days 00:35:53.830284,20,uniform,7,nz,0.0008459908187981945,2.6032292780924524e-06,516,912,Glorot,,logistic,0.01311633586883545,COMPLETE,0.01311633586883545
6,0.41048388481140136,2025-09-02 05:24:06.049359,2025-09-02 05:31:15.881907,0 days 00:07:09.832548,100,normal,5,nz,0.0013862889345041907,0.00901468140166235,183,176,Glorot,,logistic,0.013107562065124511,COMPLETE,0.013107562065124511
7,0.7443225860595704,2025-09-02 05:31:15.882329,2025-09-02 05:38:02.509094,0 days 00:06:46.626765,100,uniform,8,zero,,0.11805134855353049,216,368,Glorot,,logistic,0.008092737197875977,COMPLETE,0.008092737197875977
8,0.37838711142539977,2025-09-02 05:38:02.509520,2025-09-02 05:45:14.775293,0 days 00:07:12.265773,100,uniform,7,nz,2.815901764360598e-07,0.00036502361187062146,185,128,Glorot,,tanh,0.013076210021972656,COMPLETE,0.013076210021972656
9,0.49501615166664126,2025-09-02 05:45:14.775714,2025-09-02 05:52:26.608048,0 days 00:07:11.832334,100,uniform,7,nz,3.2255015584448746e-06,5.2941296150740716e-06,6626,816,Glorot,,tanh,0.01304328441619873,COMPLETE,0.01304328441619873
10,0.7442742109298706,2025-09-02 05:52:26.608982,2025-09-02 06:26:12.645030,0 days 00:33:46.036048,20,normal,7,zero,,0.09301680484393055,163,800,Glorot,,logistic,0.01055452823638916,COMPLETE,0.01055452823638916
11,0.7491290450096131,2025-09-02 06:26:12.645466,2025-09-02 06:32:58.777067,0 days 00:06:46.131601,100,normal,6,zero,,0.018719434318834147,2052,656,old,1.4102645931727156,tanh,0.009614944458007812,COMPLETE,0.009614944458007812
12,0.6057258248329163,2025-09-02 06:32:58.777492,2025-09-02 06:39:38.465281,0 days 00:06:39.687789,100,uniform,7,zero,,0.0005938211377977959,773,704,old,1.8120979733868956,tanh,0.012982654571533202,COMPLETE,0.012982654571533202
13,0.744306457042694,2025-09-02 06:39:38.465710,2025-09-02 07:13:28.725089,0 days 00:33:50.259379,20,uniform,8,zero,,0.10299386757999246,157,656,old,1.8062074230594176,logistic,0.010009241104125977,COMPLETE,0.010009241104125977
14,0.112693552672863,2025-09-02 07:13:28.725519,2025-09-02 07:49:22.094718,0 days 00:35:53.369199,20,normal,6,nz,9.199450334258862e-07,4.946343851929063e-06,127,416,old,1.9733953796831838,logistic,0.012976694107055663,COMPLETE,0.012976694107055663
15,0.45720970034599306,2025-09-02 07:49:22.095393,2025-09-02 08:23:14.957790,0 days 00:33:52.862397,20,normal,5,zero,,6.444478637143619e-06,8370,336,old,1.6001481198211065,tanh,0.012999224662780761,COMPLETE,0.012999224662780761
16,0.4106935620307922,2025-09-02 08:23:14.958220,2025-09-02 08:30:12.911861,0 days 00:06:57.953641,100,normal,5,zero,,5.149664340041324e-06,268,256,Glorot,,tanh,0.012919425964355469,COMPLETE,0.012919425964355469
17,0.7378709793090821,2025-09-02 08:30:12.912553,2025-09-02 08:37:21.804264,0 days 00:07:08.891711,100,normal,5,nz,2.6731334609132677e-07,0.020221744205079373,156,928,Glorot,,tanh,0.012640833854675293,COMPLETE,0.012640833854675293
18,0.7471774339675903,2025-09-02 08:37:21.804694,2025-09-02 09:11:15.562840,0 days 00:33:53.758146,20,uniform,7,zero,,0.057265109303175826,126,560,old,0.2702596726554056,logistic,0.01177976131439209,COMPLETE,0.01177976131439209
19,0.112693552672863,2025-09-02 09:11:15.563265,2025-09-02 09:47:16.681626,0 days 00:36:01.118361,20,uniform,6,nz,2.6732795780647336e-07,1.477822781390903e-06,1057,800,old,1.5331641155476206,logistic,0.01308441162109375,COMPLETE,0.01308441162109375
20,0.2176451712846756,2025-09-02 09:47:16.682049,2025-09-02 10:23:05.009522,0 days 00:35:48.327473,20,uniform,5,nz,4.5217557451024084e-07,0.00024928315599298995,515,864,Glorot,,logistic,0.01310427188873291,COMPLETE,0.01310427188873291
21,0.5585967779159546,2025-09-02 10:23:05.009949,2025-09-02 10:56:49.269431,0 days 00:33:44.259482,20,uniform,6,zero,,0.00014593069348259346,9546,704,Glorot,,logistic,0.012896180152893066,COMPLETE,0.012896180152893066
22,0.5333710044622422,2025-09-02 10:56:49.269855,2025-09-02 11:33:00.584160,0 days 00:36:11.314305,20,uniform,7,nz,2.61432346137729e-05,0.7712091002222098,167,336,Glorot,,logistic,0.005298161506652832,COMPLETE,0.005298161506652832
23,0.8115484237670898,2025-09-02 11:33:00.584580,2025-09-02 11:40:33.336732,0 days 00:07:32.752152,100,uniform,7,nz,4.2391310953230826e-07,0.3098891758417326,7717,288,Glorot,,logistic,0.0012840986251831054,COMPLETE,0.0012840986251831054
24,0.112693552672863,2025-09-02 11:40:33.337165,2025-09-02 11:47:21.601795,0 days 00:06:48.264630,100,uniform,7,zero,,1.9973397341322524e-05,1337,448,Glorot,,logistic,0.013173460960388184,COMPLETE,0.013173460960388184
25,0.5107742190361023,2025-09-02 11:47:21.602221,2025-09-02 11:54:13.789713,0 days 00:06:52.187492,100,normal,8,zero,,0.001313336169200039,1126,480,old,1.4607765707779474,logistic,0.013017082214355468,COMPLETE,0.013017082214355468
26,0.4256774365901947,2025-09-02 11:54:13.790416,2025-09-02 12:01:37.309115,0 days 00:07:23.518699,100,normal,5,nz,0.002310508554631245,2.993279432713497e-06,212,208,Glorot,,tanh,0.012949466705322266,COMPLETE,0.012949466705322266
27,0.46808066964149475,2025-09-02 12:01:37.309542,2025-09-02 12:38:06.892461,0 days 00:36:29.582919,20,normal,7,nz,1.059684351920824e-06,4.77818774805122e-06,1609,464,Glorot,,tanh,0.013211464881896973,COMPLETE,0.013211464881896973
28,0.6041451811790466,2025-09-02 12:38:06.892873,2025-09-02 13:12:22.872874,0 days 00:34:15.980001,20,normal,5,zero,,0.00013828279283371964,8171,128,old,0.770792829309715,tanh,0.012508225440979005,COMPLETE,0.012508225440979005
29,0.5031451940536499,2025-09-02 13:12:22.873303,2025-09-02 13:19:09.214398,0 days 00:06:46.341095,100,normal,7,zero,,0.0006383400130841039,1462,128,Glorot,,tanh,0.012631797790527343,COMPLETE,0.012631797790527343
30,0.7738064885139465,2025-09-02 13:19:09.215079,2025-09-02 13:53:17.781975,0 days 00:34:08.566896,20,uniform,7,zero,,0.27683708072824537,143,912,Glorot,,tanh,0.008068156242370606,COMPLETE,0.008068156242370606
31,0.4223226010799408,2025-09-02 13:53:17.782411,2025-09-02 14:27:20.097046,0 days 00:34:02.314635,20,normal,7,zero,,4.170746904604951e-06,2075,240,old,0.8838063500464266,tanh,0.013046574592590333,COMPLETE,0.013046574592590333
32,0.75169358253479,2025-09-02 14:27:20.097713,2025-09-02 14:34:42.889781,0 days 00:07:22.792068,100,normal,7,nz,0.00015673483443304014,0.14406368678586515,405,992,old,1.6217947263397825,tanh,0.00747385025024414,COMPLETE,0.00747385025024414
33,0.7432096838951111,2025-09-02 14:34:42.898448,2025-09-02 14:41:34.938663,0 days 00:06:52.040215,100,uniform,5,zero,,0.057020059203906834,281,400,Glorot,,logistic,0.008794426918029785,COMPLETE,0.008794426918029785
34,0.48459678888320923,2025-09-02 14:41:34.939077,2025-09-02 14:48:26.815593,0 days 00:06:51.876516,100,normal,6,zero,,1.8175550179742918e-06,2310,832,old,1.6535901776344464,tanh,0.013073182106018067,COMPLETE,0.013073182106018067
35,0.46472582817077634,2025-09-02 14:48:26.816318,2025-09-02 14:55:41.455127,0 days 00:07:14.638809,100,normal,7,nz,2.3881625663818028e-08,0.00030129831042670976,192,416,Glorot,,tanh,0.013170361518859863,COMPLETE,0.013170361518859863
36,0.5994838953018189,2025-09-02 14:55:41.455573,2025-09-02 15:31:39.874549,0 days 00:35:58.418976,20,normal,6,nz,3.042048190917116e-07,0.0024865729443567025,230,432,old,1.9863089596180703,tanh,0.012823915481567383,COMPLETE,0.012823915481567383
37,0.43698388934135435,2025-09-02 15:31:39.874970,2025-09-02 15:38:30.010475,0 days 00:06:50.135505,100,normal,5,zero,,0.00031934072317515473,583,176,old,0.7980273673000766,tanh,0.013363909721374512,COMPLETE,0.013363909721374512
38,0.7588064908981323,2025-09-02 15:38:30.010899,2025-09-02 16:12:49.048725,0 days 00:34:19.037826,20,normal,8,zero,,0.006015868242524775,614,480,old,0.21837927025566456,tanh,0.012796139717102051,COMPLETE,0.012796139717102051
39,0.112693552672863,2025-09-02 16:12:49.049153,2025-09-02 16:47:18.767143,0 days 00:34:29.717990,20,normal,5,zero,,1.9422269127825716e-06,399,912,old,0.8895458827965552,logistic,0.013115310668945312,COMPLETE,0.013115310668945312
40,0.6974516630172729,2025-09-02 16:47:18.767873,2025-09-02 16:54:09.257949,0 days 00:06:50.490076,100,normal,6,zero,,0.0020093447679859944,1510,976,old,0.7897342187886371,logistic,0.01239469051361084,COMPLETE,0.01239469051361084
41,0.36508065462112427,2025-09-02 16:54:09.258397,2025-09-02 17:01:02.786467,0 days 00:06:53.528070,100,normal,5,zero,,0.0013178595061205047,329,656,old,1.6891567488156214,logistic,0.013123607635498047,COMPLETE,0.013123607635498047
42,0.7624032735824585,2025-09-02 17:01:02.786883,2025-09-02 17:07:51.917522,0 days 00:06:49.130639,100,normal,5,zero,,0.020520468795960502,5573,720,old,1.2385120108259946,tanh,0.00453791618347168,COMPLETE,0.00453791618347168
43,0.7443225860595704,2025-09-02 17:07:51.917936,2025-09-02 17:41:56.025874,0 days 00:34:04.107938,20,uniform,7,zero,,0.01077541132005978,1870,752,Glorot,,logistic,0.010519886016845703,COMPLETE,0.010519886016845703
44,0.8102742314338685,2025-09-02 17:41:56.026649,2025-09-02 18:19:05.046082,0 days 00:37:09.019433,20,normal,5,nz,0.002919765386742817,0.4080388969790123,813,192,old,1.977044803454637,tanh,0.03307375907897949,COMPLETE,0.03307375907897949
45,0.825677466392517,2025-09-02 18:19:05.046698,2025-09-02 18:53:15.891030,0 days 00:34:10.844332,20,uniform,6,zero,,0.10467739650491467,8879,240,old,1.988181682835439,logistic,0.00012202262878417969,COMPLETE,0.00012202262878417969
46,0.7562742352485656,2025-09-02 18:53:15.891456,2025-09-02 19:00:29.459872,0 days 00:07:13.568416,100,uniform,8,nz,0.0009110543562389147,0.10750221368169545,280,512,Glorot,,tanh,0.008610177040100097,COMPLETE,0.008610177040100097
47,0.6794354915618896,2025-09-02 19:00:29.460291,2025-09-02 19:36:28.066908,0 days 00:35:58.606617,20,normal,6,nz,1.2137828511775467e-07,0.0005684434147264066,1175,816,Glorot,,tanh,0.01291346549987793,COMPLETE,0.01291346549987793
48,0.47016131281852724,2025-09-02 19:36:28.067342,2025-09-02 20:12:25.487230,0 days 00:35:57.419888,20,normal,7,nz,5.733827693309677e-05,5.079600868546174e-06,1084,480,Glorot,,tanh,0.013121700286865235,COMPLETE,0.013121700286865235
49,0.7250161528587341,2025-09-02 20:12:25.487660,2025-09-02 20:47:11.308757,0 days 00:34:45.821097,20,normal,5,zero,,0.010843892878441716,158,224,old,0.6646190292569847,tanh,0.012413311004638671,COMPLETE,0.012413311004638671
50,0.5991129279136658,2025-09-02 20:47:11.309369,2025-09-02 20:54:28.950931,0 days 00:07:17.641562,100,normal,6,nz,0.000194697733265765,0.0019162850142456203,235,672,old,1.6809867835351213,tanh,0.01296539306640625,COMPLETE,0.01296539306640625
51,0.7558226227760315,2025-09-02 20:54:28.951704,2025-09-02 21:01:46.775603,0 days 00:07:17.823899,100,normal,7,nz,2.7495142582401514e-07,0.05907447236904719,655,320,old,1.39075721911742,tanh,0.007404518127441406,COMPLETE,0.007404518127441406
52,0.5455000162124634,2025-09-02 21:01:46.776026,2025-09-02 21:35:48.635535,0 days 00:34:01.859509,20,normal,5,zero,,3.857174781334704e-05,3039,800,Glorot,,tanh,0.013037586212158203,COMPLETE,0.013037586212158203
53,0.8212419867515564,2025-09-02 21:35:48.635964,2025-09-02 22:12:17.930595,0 days 00:36:29.294631,20,normal,7,nz,3.386321498655938e-06,0.12264970522261864,2353,592,Glorot,,tanh,0.0008949756622314454,COMPLETE,0.0008949756622314454
54,0.112693552672863,2025-09-02 22:12:17.931024,2025-09-02 22:19:27.228591,0 days 00:07:09.297567,100,uniform,8,nz,2.172158274853957e-05,4.971380801717752e-05,489,784,old,1.570720193391757,logistic,0.013123083114624023,COMPLETE,0.013123083114624023
