number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.8239516615867615,2025-09-02 03:15:46.148247,2025-09-02 03:23:10.197470,0 days 00:07:24.049223,100,normal,8,zero,,0.012611815565767931,2659,832,old,1.1017912259422258,logistic,0.009468626976013184,COMPLETE,0.009468626976013184
1,0.839629065990448,2025-09-02 03:23:10.198014,2025-09-02 04:02:06.188944,0 days 00:38:55.990930,20,uniform,6,nz,2.0547199328558857e-07,0.16396997761073914,743,192,old,1.2225775747269245,logistic,0.001936793327331543,COMPLETE,0.001936793327331543
2,0.1134677454829216,2025-09-02 04:02:06.189895,2025-09-02 04:09:30.617222,0 days 00:07:24.427327,100,uniform,5,zero,,9.506281571106352e-05,1011,288,Glorot,,logistic,0.013033914566040038,COMPLETE,0.013033914566040038
3,0.6250483989715576,2025-09-02 04:09:30.617720,2025-09-02 04:48:35.312043,0 days 00:39:04.694323,20,uniform,8,nz,3.340579416277081e-05,2.1049515830306782e-06,798,992,Glorot,,tanh,0.013118958473205567,COMPLETE,0.013118958473205567
4,0.8183065056800842,2025-09-02 04:48:35.313407,2025-09-02 04:55:56.221542,0 days 00:07:20.908135,100,normal,8,zero,,0.005680937610553498,2579,496,Glorot,,tanh,0.010936522483825683,COMPLETE,0.010936522483825683
5,0.8178065061569214,2025-09-02 04:55:56.222644,2025-09-02 05:31:28.467146,0 days 00:35:32.244502,20,normal,7,zero,,0.040058969243291886,2604,992,Glorot,,logistic,0.0074651241302490234,COMPLETE,0.0074651241302490234
6,0.1134677454829216,2025-09-02 05:31:28.467567,2025-09-02 05:38:32.702749,0 days 00:07:04.235182,100,uniform,8,zero,,1.2460411629798946e-05,6359,416,Glorot,,logistic,0.012998247146606445,COMPLETE,0.012998247146606445
7,0.5993387341499329,2025-09-02 05:38:32.703177,2025-09-02 05:45:36.369817,0 days 00:07:03.666640,100,normal,5,zero,,6.369821113063238e-06,9757,720,old,0.5115210082666259,tanh,0.013143968582153321,COMPLETE,0.013143968582153321
8,0.5541774272918701,2025-09-02 05:45:36.370260,2025-09-02 06:20:25.880003,0 days 00:34:49.509743,20,uniform,6,zero,,4.4654883954691955e-06,3564,416,old,0.6601759155814514,tanh,0.012976813316345214,COMPLETE,0.012976813316345214
9,0.7931451797485352,2025-09-02 06:20:25.880428,2025-09-02 06:27:52.403645,0 days 00:07:26.523217,100,uniform,8,nz,1.5621204728163365e-06,0.0036346950323246753,538,928,Glorot,,tanh,0.012632083892822266,COMPLETE,0.012632083892822266
10,0.6056451797485352,2025-09-02 06:27:52.404076,2025-09-02 07:04:59.883455,0 days 00:37:07.479379,20,uniform,5,nz,5.7833085248908403e-08,0.0007135089719871662,487,576,Glorot,,tanh,0.013048982620239258,COMPLETE,0.013048982620239258
11,0.6257903456687928,2025-09-02 07:04:59.883889,2025-09-02 07:39:47.079754,0 days 00:34:47.195865,20,normal,8,zero,,0.00043340174043252305,365,976,old,0.273941419851531,tanh,0.013093876838684081,COMPLETE,0.013093876838684081
12,0.7728387475013733,2025-09-02 07:39:47.080588,2025-09-02 07:46:40.165105,0 days 00:06:53.084517,100,uniform,5,zero,,0.006036687230540028,518,496,old,0.8331442788576597,logistic,0.011593031883239745,COMPLETE,0.011593031883239745
13,0.1134677454829216,2025-09-02 07:46:40.165944,2025-09-02 07:54:05.540395,0 days 00:07:25.374451,100,uniform,7,nz,1.367989792242663e-08,7.091274531602468e-06,1569,384,Glorot,,logistic,0.013120627403259278,COMPLETE,0.013120627403259278
14,0.6128548622131348,2025-09-02 07:54:05.541133,2025-09-02 08:01:07.826815,0 days 00:07:02.285682,100,normal,5,zero,,0.013094244682014585,301,160,old,1.3330847803202919,logistic,0.009721922874450683,COMPLETE,0.009721922874450683
15,0.5920645475387574,2025-09-02 08:01:07.827651,2025-09-02 08:08:30.974385,0 days 00:07:23.146734,100,normal,6,nz,1.2134601472469401e-05,0.0002887138756286331,121,592,old,0.33709258675285036,tanh,0.013113713264465332,COMPLETE,0.013113713264465332
16,0.8151290774345398,2025-09-02 08:08:30.975131,2025-09-02 08:15:32.977657,0 days 00:07:02.002526,100,uniform,7,zero,,0.0856956409647669,1799,352,Glorot,,logistic,0.003285121917724609,COMPLETE,0.003285121917724609
17,0.5887580990791321,2025-09-02 08:15:32.978508,2025-09-02 08:22:31.592536,0 days 00:06:58.614028,100,uniform,5,zero,,9.318544447640828e-06,368,576,Glorot,,tanh,0.013099360466003417,COMPLETE,0.013099360466003417
18,0.6950806856155396,2025-09-02 08:22:31.592998,2025-09-02 08:29:32.017947,0 days 00:07:00.424949,100,uniform,5,zero,,0.00026913942522638486,9984,928,old,1.1287749591948544,logistic,0.01278517246246338,COMPLETE,0.01278517246246338
19,0.8219032764434815,2025-09-02 08:29:32.018372,2025-09-02 09:06:35.001757,0 days 00:37:02.983385,20,uniform,7,nz,0.006148641099918832,0.022461343267204566,8862,832,old,0.4495867877664373,logistic,3.957748413085938e-06,COMPLETE,3.957748413085938e-06
20,0.8222419857978821,2025-09-02 09:06:35.002674,2025-09-02 09:43:40.424177,0 days 00:37:05.421503,20,uniform,6,nz,5.557110625815338e-07,0.062353013069039,677,160,old,1.831668473152785,logistic,0.0030028820037841797,COMPLETE,0.0030028820037841797
21,0.8565967917442322,2025-09-02 09:43:40.424613,2025-09-02 10:20:45.020659,0 days 00:37:04.596046,20,uniform,6,nz,5.153576760984552e-07,0.09589647568677481,1121,144,old,1.9183461633656709,tanh,0.000657200813293457,COMPLETE,0.000657200813293457
22,0.6454193949699402,2025-09-02 10:20:45.021259,2025-09-02 10:27:48.353825,0 days 00:07:03.332566,100,normal,8,zero,,0.0015092844103890717,1548,688,old,1.98050919623712,logistic,0.012539815902709962,COMPLETE,0.012539815902709962
23,0.8194194078445435,2025-09-02 10:27:48.354508,2025-09-02 11:04:49.059888,0 days 00:37:00.705380,20,uniform,5,nz,4.4088641373266654e-07,0.0021247778912376887,3042,240,old,1.4878120520428406,tanh,0.01035609245300293,COMPLETE,0.01035609245300293
24,0.824871015548706,2025-09-02 11:04:49.060769,2025-09-02 11:12:16.328136,0 days 00:07:27.267367,100,uniform,6,nz,4.107926771428859e-07,0.13729256691621694,235,144,old,1.1762593203074507,tanh,0.005029511451721191,COMPLETE,0.005029511451721191
