number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.8021451711654664,2025-09-02 03:15:46.177015,2025-09-02 03:22:49.559636,0 days 00:07:03.382621,100,normal,6,zero,,0.06644070263467312,576,1008,Glorot,,tanh,0.009734773635864257,COMPLETE,0.009734773635864257
1,0.8199032783508301,2025-09-02 03:22:49.560249,2025-09-02 03:30:23.800188,0 days 00:07:34.239939,100,uniform,6,nz,1.5679864837306301e-06,0.010329503456436413,860,992,Glorot,,logistic,0.011047101020812989,COMPLETE,0.011047101020812989
2,0.7065322995185852,2025-09-02 03:30:23.801687,2025-09-02 03:38:00.292588,0 days 00:07:36.490901,100,uniform,5,nz,6.40146258964444e-05,0.00030057369809652877,6496,368,Glorot,,tanh,0.012357473373413086,COMPLETE,0.012357473373413086
3,0.6133226156234741,2025-09-02 03:38:00.293429,2025-09-02 04:12:12.315139,0 days 00:34:12.021710,20,uniform,5,zero,,0.003593917669469153,294,768,Glorot,,logistic,0.01296379566192627,COMPLETE,0.01296379566192627
4,0.8068387269973755,2025-09-02 04:12:12.315565,2025-09-02 04:48:04.485258,0 days 00:35:52.169693,20,uniform,5,nz,0.0021073356349450246,0.0004883418510092812,3543,800,old,0.9468231906318536,tanh,0.012646675109863281,COMPLETE,0.012646675109863281
5,0.1134677454829216,2025-09-02 04:48:04.485687,2025-09-02 05:24:03.258605,0 days 00:35:58.772918,20,uniform,7,nz,0.0008459908187981945,2.6032292780924524e-06,516,912,Glorot,,logistic,0.01311633586883545,COMPLETE,0.01311633586883545
6,0.38212904930114744,2025-09-02 05:24:03.261180,2025-09-02 05:31:23.316796,0 days 00:07:20.055616,100,normal,5,nz,0.0013862889345041907,0.00901468140166235,183,176,Glorot,,logistic,0.013252043724060058,COMPLETE,0.013252043724060058
7,0.824064564704895,2025-09-02 05:31:23.317262,2025-09-02 05:38:14.362970,0 days 00:06:51.045708,100,uniform,8,zero,,0.11805134855353049,216,368,Glorot,,logistic,0.006809401512145996,COMPLETE,0.006809401512145996
8,0.3942096889019012,2025-09-02 05:38:14.363393,2025-09-02 05:45:44.263941,0 days 00:07:29.900548,100,uniform,7,nz,2.815901764360598e-07,0.00036502361187062146,185,128,Glorot,,tanh,0.013068771362304688,COMPLETE,0.013068771362304688
9,0.6132742047309876,2025-09-02 05:45:44.264360,2025-09-02 05:53:00.316538,0 days 00:07:16.052178,100,uniform,7,nz,3.2255015584448746e-06,5.2941296150740716e-06,6626,816,Glorot,,tanh,0.013043618202209473,COMPLETE,0.013043618202209473
10,0.8265806913375855,2025-09-02 05:53:00.317007,2025-09-02 06:26:35.805917,0 days 00:33:35.488910,20,normal,7,zero,,0.09301680484393055,163,800,Glorot,,logistic,0.009625816345214843,COMPLETE,0.009625816345214843
11,0.808048403263092,2025-09-02 06:26:35.806646,2025-09-02 06:33:17.831040,0 days 00:06:42.024394,100,normal,6,zero,,0.018719434318834147,2052,656,old,1.4102645931727156,tanh,0.00968635082244873,COMPLETE,0.00968635082244873
12,0.625516152381897,2025-09-02 06:33:17.831954,2025-09-02 06:40:01.565315,0 days 00:06:43.733361,100,uniform,7,zero,,0.0005938211377977959,773,704,old,1.8120979733868956,tanh,0.012999010086059571,COMPLETE,0.012999010086059571
13,0.8270645618438721,2025-09-02 06:40:01.565742,2025-09-02 07:13:33.685316,0 days 00:33:32.119574,20,uniform,8,zero,,0.10299386757999246,157,656,old,1.8062074230594176,logistic,0.008964037895202637,COMPLETE,0.008964037895202637
14,0.1134677454829216,2025-09-02 07:13:33.685970,2025-09-02 07:49:48.022404,0 days 00:36:14.336434,20,normal,6,nz,9.199450334258862e-07,4.946343851929063e-06,127,416,old,1.9733953796831838,logistic,0.012976694107055663,COMPLETE,0.012976694107055663
15,0.5235322833061218,2025-09-02 07:49:48.022828,2025-09-02 08:23:25.753469,0 days 00:33:37.730641,20,normal,5,zero,,6.444478637143619e-06,8370,336,old,1.6001481198211065,tanh,0.01299896240234375,COMPLETE,0.01299896240234375
16,0.48172582387924195,2025-09-02 08:23:25.753910,2025-09-02 08:30:10.880381,0 days 00:06:45.126471,100,normal,5,zero,,5.149664340041324e-06,268,256,Glorot,,tanh,0.012919425964355469,COMPLETE,0.012919425964355469
17,0.8126774549484252,2025-09-02 08:30:10.881089,2025-09-02 08:37:17.342761,0 days 00:07:06.461672,100,normal,5,nz,2.6731334609132677e-07,0.020221744205079373,156,928,Glorot,,tanh,0.012393021583557129,COMPLETE,0.012393021583557129
18,0.8256452083587646,2025-09-02 08:37:17.343186,2025-09-02 09:10:48.123936,0 days 00:33:30.780750,20,uniform,7,zero,,0.057265109303175826,126,560,old,0.2702596726554056,logistic,0.011505746841430664,COMPLETE,0.011505746841430664
