number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.9228871107101441,2025-09-02 03:16:17.615042,2025-09-02 03:23:44.983158,0 days 00:07:27.368116,100,normal,8,zero,,0.012611815565767931,2659,832,old,1.1017912259422258,logistic,0.010013842582702636,COMPLETE,0.010013842582702636
1,0.9499194025993347,2025-09-02 03:23:44.983731,2025-09-02 04:02:16.781205,0 days 00:38:31.797474,20,uniform,6,nz,2.0547199328558857e-07,0.16396997761073914,743,192,old,1.2225775747269245,logistic,0.0012844085693359375,COMPLETE,0.0012844085693359375
2,0.14193548858165742,2025-09-02 04:02:16.781985,2025-09-02 04:09:12.805391,0 days 00:06:56.023406,100,uniform,5,zero,,9.506281571106352e-05,1011,288,Glorot,,logistic,0.01303846836090088,COMPLETE,0.01303846836090088
3,0.7143709897994995,2025-09-02 04:09:12.806236,2025-09-02 04:47:01.888077,0 days 00:37:49.081841,20,uniform,8,nz,3.340579416277081e-05,2.1049515830306782e-06,798,992,Glorot,,tanh,0.013118886947631836,COMPLETE,0.013118886947631836
4,0.9269838809967041,2025-09-02 04:47:01.888878,2025-09-02 04:54:13.075689,0 days 00:07:11.186811,100,normal,8,zero,,0.005680937610553498,2579,496,Glorot,,tanh,0.011334657669067383,COMPLETE,0.011334657669067383
5,0.9385161876678467,2025-09-02 04:54:13.076133,2025-09-02 05:29:16.264755,0 days 00:35:03.188622,20,normal,7,zero,,0.040058969243291886,2604,992,Glorot,,logistic,0.007365083694458008,COMPLETE,0.007365083694458008
6,0.14472581148147584,2025-09-02 05:29:16.265429,2025-09-02 05:36:19.359170,0 days 00:07:03.093741,100,uniform,8,zero,,1.2460411629798946e-05,6359,416,Glorot,,logistic,0.012998342514038086,COMPLETE,0.012998342514038086
7,0.7066290736198425,2025-09-02 05:36:19.359953,2025-09-02 05:43:18.538742,0 days 00:06:59.178789,100,normal,5,zero,,6.369821113063238e-06,9757,720,old,0.5115210082666259,tanh,0.013144969940185547,COMPLETE,0.013144969940185547
8,0.694887125492096,2025-09-02 05:43:18.539430,2025-09-02 06:18:15.148173,0 days 00:34:56.608743,20,uniform,6,zero,,4.4654883954691955e-06,3564,416,old,0.6601759155814514,tanh,0.012976741790771485,COMPLETE,0.012976741790771485
9,0.9013710021972656,2025-09-02 06:18:15.148996,2025-09-02 06:25:41.598572,0 days 00:07:26.449576,100,uniform,8,nz,1.5621204728163365e-06,0.0036346950323246753,538,928,Glorot,,tanh,0.012747716903686524,COMPLETE,0.012747716903686524
