number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.9520161747932434,2025-09-02 03:16:14.708060,2025-09-02 03:23:52.646811,0 days 00:07:37.938751,100,normal,6,zero,,0.06644070263467312,576,1008,Glorot,,tanh,0.0108170747756958,COMPLETE,0.0108170747756958
1,0.9130000233650207,2025-09-02 03:23:52.647403,2025-09-02 03:31:34.583219,0 days 00:07:41.935816,100,uniform,6,nz,1.5679864837306301e-06,0.010329503456436413,860,992,Glorot,,logistic,0.011382246017456054,COMPLETE,0.011382246017456054
2,0.875161349773407,2025-09-02 03:31:34.583706,2025-09-02 03:38:55.091863,0 days 00:07:20.508157,100,uniform,5,nz,6.40146258964444e-05,0.00030057369809652877,6496,368,Glorot,,tanh,0.012289285659790039,COMPLETE,0.012289285659790039
3,0.8284355282783509,2025-09-02 03:38:55.092841,2025-09-02 04:13:17.473507,0 days 00:34:22.380666,20,uniform,5,zero,,0.003593917669469153,294,768,Glorot,,logistic,0.01255035400390625,COMPLETE,0.01255035400390625
4,0.9055484175682068,2025-09-02 04:13:17.473965,2025-09-02 04:49:57.403152,0 days 00:36:39.929187,20,uniform,5,nz,0.0021073356349450246,0.0004883418510092812,3543,800,old,0.9468231906318536,tanh,0.012734627723693848,COMPLETE,0.012734627723693848
5,0.11264516562223434,2025-09-02 04:49:57.403614,2025-09-02 05:26:37.129730,0 days 00:36:39.726116,20,uniform,7,nz,0.0008459908187981945,2.6032292780924524e-06,516,912,Glorot,,logistic,0.01311633586883545,COMPLETE,0.01311633586883545
6,0.6825968027114868,2025-09-02 05:26:37.130405,2025-09-02 05:33:56.942165,0 days 00:07:19.811760,100,normal,5,nz,0.0013862889345041907,0.00901468140166235,183,176,Glorot,,logistic,0.011857032775878906,COMPLETE,0.011857032775878906
7,0.921419370174408,2025-09-02 05:33:56.943107,2025-09-02 05:40:54.132898,0 days 00:06:57.189791,100,uniform,8,zero,,0.11805134855353049,216,368,Glorot,,logistic,0.007188320159912109,COMPLETE,0.007188320159912109
8,0.6215968012809754,2025-09-02 05:40:54.133359,2025-09-02 05:48:11.733557,0 days 00:07:17.600198,100,uniform,7,nz,2.815901764360598e-07,0.00036502361187062146,185,128,Glorot,,tanh,0.013088703155517578,COMPLETE,0.013088703155517578
9,0.7142742156982422,2025-09-02 05:48:11.734359,2025-09-02 05:55:28.435515,0 days 00:07:16.701156,100,uniform,7,nz,3.2255015584448746e-06,5.2941296150740716e-06,6626,816,Glorot,,tanh,0.01304330825805664,COMPLETE,0.01304330825805664
10,0.9194193720817566,2025-09-02 05:55:28.435985,2025-09-02 06:30:05.145619,0 days 00:34:36.709634,20,normal,7,zero,,0.09301680484393055,163,800,Glorot,,logistic,0.01019132137298584,COMPLETE,0.01019132137298584
11,0.9410000562667846,2025-09-02 06:30:05.146431,2025-09-02 06:37:12.141394,0 days 00:07:06.994963,100,normal,6,zero,,0.018719434318834147,2052,656,old,1.4102645931727156,tanh,0.010220837593078614,COMPLETE,0.010220837593078614
12,0.832387137413025,2025-09-02 06:37:12.141845,2025-09-02 06:44:21.255289,0 days 00:07:09.113444,100,uniform,7,zero,,0.0005938211377977959,773,704,old,1.8120979733868956,tanh,0.012922430038452148,COMPLETE,0.012922430038452148
13,0.9195484042167663,2025-09-02 06:44:21.255754,2025-09-02 07:18:49.359346,0 days 00:34:28.103592,20,uniform,8,zero,,0.10299386757999246,157,656,old,1.8062074230594176,logistic,0.009555935859680176,COMPLETE,0.009555935859680176
14,0.11482258439064026,2025-09-02 07:18:49.359796,2025-09-02 07:56:29.356077,0 days 00:37:39.996281,20,normal,6,nz,9.199450334258862e-07,4.946343851929063e-06,127,416,old,1.9733953796831838,logistic,0.012976694107055663,COMPLETE,0.012976694107055663
15,0.6947580933570862,2025-09-02 07:56:29.356801,2025-09-02 08:30:50.476565,0 days 00:34:21.119764,20,normal,5,zero,,6.444478637143619e-06,8370,336,old,1.6001481198211065,tanh,0.013004088401794433,COMPLETE,0.013004088401794433
16,0.6544677734375,2025-09-02 08:30:50.477019,2025-09-02 08:37:41.317844,0 days 00:06:50.840825,100,normal,5,zero,,5.149664340041324e-06,268,256,Glorot,,tanh,0.012919473648071288,COMPLETE,0.012919473648071288
17,0.9117419600486756,2025-09-02 08:37:41.318310,2025-09-02 08:45:06.672640,0 days 00:07:25.354330,100,normal,5,nz,2.6731334609132677e-07,0.020221744205079373,156,928,Glorot,,tanh,0.012594938278198242,COMPLETE,0.012594938278198242
18,0.9251129150390625,2025-09-02 08:45:06.673092,2025-09-02 09:19:50.455289,0 days 00:34:43.782197,20,uniform,7,zero,,0.057265109303175826,126,560,old,0.2702596726554056,logistic,0.011252832412719727,COMPLETE,0.011252832412719727
19,0.11587097346782685,2025-09-02 09:19:50.456845,2025-09-02 09:56:21.327933,0 days 00:36:30.871088,20,uniform,6,nz,2.6732795780647336e-07,1.477822781390903e-06,1057,800,old,1.5331641155476206,logistic,0.01308438777923584,COMPLETE,0.01308438777923584
20,0.535161304473877,2025-09-02 09:56:21.328408,2025-09-02 10:33:11.018212,0 days 00:36:49.689804,20,uniform,5,nz,4.5217557451024084e-07,0.00024928315599298995,515,864,Glorot,,logistic,0.0131026029586792,COMPLETE,0.0131026029586792
21,0.8065484046936036,2025-09-02 10:33:11.019014,2025-09-02 11:07:53.219875,0 days 00:34:42.200861,20,uniform,6,zero,,0.00014593069348259346,9546,704,Glorot,,logistic,0.012537193298339844,COMPLETE,0.012537193298339844
22,0.791129070520401,2025-09-02 11:07:53.220349,2025-09-02 11:44:44.407650,0 days 00:36:51.187301,20,uniform,7,nz,2.61432346137729e-05,0.7712091002222098,167,336,Glorot,,logistic,0.008928036689758301,COMPLETE,0.008928036689758301
23,0.9692903518676758,2025-09-02 11:44:44.408401,2025-09-02 11:52:08.666773,0 days 00:07:24.258372,100,uniform,7,nz,4.2391310953230826e-07,0.3098891758417326,7717,288,Glorot,,logistic,0.00017664432525634765,COMPLETE,0.00017664432525634765
24,0.12203226238489151,2025-09-02 11:52:08.667239,2025-09-02 11:59:02.107781,0 days 00:06:53.440542,100,uniform,7,zero,,1.9973397341322524e-05,1337,448,Glorot,,logistic,0.013173913955688477,COMPLETE,0.013173913955688477
25,0.7750484228134156,2025-09-02 11:59:02.108224,2025-09-02 12:06:06.904526,0 days 00:07:04.796302,100,normal,8,zero,,0.001313336169200039,1126,480,old,1.4607765707779474,logistic,0.012460446357727051,COMPLETE,0.012460446357727051
26,0.658338725566864,2025-09-02 12:06:06.904989,2025-09-02 12:14:12.650240,0 days 00:08:05.745251,100,normal,5,nz,0.002310508554631245,2.993279432713497e-06,212,208,Glorot,,tanh,0.012949466705322266,COMPLETE,0.012949466705322266
27,0.6914032578468323,2025-09-02 12:14:12.650699,2025-09-02 12:50:55.451753,0 days 00:36:42.801054,20,normal,7,nz,1.059684351920824e-06,4.77818774805122e-06,1609,464,Glorot,,tanh,0.013211917877197266,COMPLETE,0.013211917877197266
