number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.5716290473937988,2025-09-02 08:49:10.215975,2025-09-02 08:56:17.206078,0 days 00:07:06.990103,100,normal,8,zero,,0.012611815565767931,2659,832,old,1.1017912259422258,logistic,0.011249303817749023,COMPLETE,0.011249303817749023
1,0.8602258205413819,2025-09-02 08:56:17.206936,2025-09-02 09:32:38.781011,0 days 00:36:21.574075,20,uniform,6,nz,2.0547199328558857e-07,0.16396997761073914,743,192,old,1.2225775747269245,logistic,9.844303131103515e-05,COMPLETE,9.844303131103515e-05
2,0.11462903469800949,2025-09-02 09:32:38.781768,2025-09-02 09:39:26.779359,0 days 00:06:47.997591,100,uniform,5,zero,,9.506281571106352e-05,1011,288,Glorot,,logistic,0.013035225868225097,COMPLETE,0.013035225868225097
3,0.35866129994392393,2025-09-02 09:39:26.780070,2025-09-02 10:15:06.622724,0 days 00:35:39.842654,20,uniform,8,nz,3.340579416277081e-05,2.1049515830306782e-06,798,992,Glorot,,tanh,0.013118934631347657,COMPLETE,0.013118934631347657
4,0.6409355282783509,2025-09-02 10:15:06.623343,2025-09-02 10:21:54.566488,0 days 00:06:47.943145,100,normal,8,zero,,0.005680937610553498,2579,496,Glorot,,tanh,0.011495661735534669,COMPLETE,0.011495661735534669
5,0.8576613068580627,2025-09-02 10:21:54.567208,2025-09-02 10:56:04.453975,0 days 00:34:09.886767,20,normal,7,zero,,0.040058969243291886,2604,992,Glorot,,logistic,0.0035547733306884764,COMPLETE,0.0035547733306884764
6,0.11467742174863815,2025-09-02 10:56:04.455026,2025-09-02 11:02:45.752424,0 days 00:06:41.297398,100,uniform,8,zero,,1.2460411629798946e-05,6359,416,Glorot,,logistic,0.012998151779174804,COMPLETE,0.012998151779174804
7,0.34682260155677797,2025-09-02 11:02:45.752823,2025-09-02 11:09:30.322589,0 days 00:06:44.569766,100,normal,5,zero,,6.369821113063238e-06,9757,720,old,0.5115210082666259,tanh,0.013143348693847656,COMPLETE,0.013143348693847656
8,0.35269356369972227,2025-09-02 11:09:30.323012,2025-09-02 11:44:39.875090,0 days 00:35:09.552078,20,uniform,6,zero,,4.4654883954691955e-06,3564,416,old,0.6601759155814514,tanh,0.012977170944213866,COMPLETE,0.012977170944213866
9,0.5279839038848877,2025-09-02 11:44:39.875492,2025-09-02 11:51:47.498864,0 days 00:07:07.623372,100,uniform,8,nz,1.5621204728163365e-06,0.0036346950323246753,538,928,Glorot,,tanh,0.012945103645324706,COMPLETE,0.012945103645324706
10,0.4090645372867584,2025-09-02 11:51:47.499289,2025-09-02 12:27:50.672275,0 days 00:36:03.172986,20,uniform,5,nz,5.7833085248908403e-08,0.0007135089719871662,487,576,Glorot,,tanh,0.013062024116516113,COMPLETE,0.013062024116516113
11,0.4141613066196442,2025-09-02 12:27:50.672688,2025-09-02 13:01:58.703855,0 days 00:34:08.031167,20,normal,8,zero,,0.00043340174043252305,365,976,old,0.273941419851531,tanh,0.013091444969177246,COMPLETE,0.013091444969177246
12,0.513016152381897,2025-09-02 13:01:58.704265,2025-09-02 13:08:45.938226,0 days 00:06:47.233961,100,uniform,5,zero,,0.006036687230540028,518,496,old,0.8331442788576597,logistic,0.012172079086303711,COMPLETE,0.012172079086303711
13,0.11366129368543625,2025-09-02 13:08:45.938986,2025-09-02 13:15:55.637746,0 days 00:07:09.698760,100,uniform,7,nz,1.367989792242663e-08,7.091274531602468e-06,1569,384,Glorot,,logistic,0.013120579719543456,COMPLETE,0.013120579719543456
14,0.4679032385349274,2025-09-02 13:15:55.638564,2025-09-02 13:22:41.644826,0 days 00:06:46.006262,100,normal,5,zero,,0.013094244682014585,301,160,old,1.3330847803202919,logistic,0.009917521476745605,COMPLETE,0.009917521476745605
15,0.348870986700058,2025-09-02 13:22:41.645495,2025-09-02 13:29:49.652726,0 days 00:07:08.007231,100,normal,6,nz,1.2134601472469401e-05,0.0002887138756286331,121,592,old,0.33709258675285036,tanh,0.013112521171569825,COMPLETE,0.013112521171569825
16,0.8561290502548218,2025-09-02 13:29:49.655803,2025-09-02 13:36:40.764948,0 days 00:06:51.109145,100,uniform,7,zero,,0.0856956409647669,1799,352,Glorot,,logistic,0.00037841796875,COMPLETE,0.00037841796875
17,0.35250001549720766,2025-09-02 13:36:40.765348,2025-09-02 13:43:29.031643,0 days 00:06:48.266295,100,uniform,5,zero,,9.318544447640828e-06,368,576,Glorot,,tanh,0.013099336624145507,COMPLETE,0.013099336624145507
18,0.4882419466972351,2025-09-02 13:43:29.032061,2025-09-02 13:50:20.170138,0 days 00:06:51.138077,100,uniform,5,zero,,0.00026913942522638486,9984,928,old,1.1287749591948544,logistic,0.012822508811950684,COMPLETE,0.012822508811950684
19,0.5500322699546814,2025-09-02 13:50:20.170534,2025-09-02 14:26:53.100773,0 days 00:36:32.930239,20,uniform,7,nz,0.006148641099918832,0.022461343267204566,8862,832,old,0.4495867877664373,logistic,1.6450881958007812e-05,COMPLETE,1.6450881958007812e-05
20,0.887516176700592,2025-09-02 14:26:53.101441,2025-09-02 15:00:42.961348,0 days 00:33:49.859907,20,normal,7,zero,,0.03583206056834735,4580,928,Glorot,,logistic,0.001845073699951172,COMPLETE,0.001845073699951172
21,0.6156129121780396,2025-09-02 15:00:42.962061,2025-09-02 15:37:51.995229,0 days 00:37:09.033168,20,uniform,6,nz,5.252946755452934e-07,0.08356597610241695,526,160,old,1.9670174025241536,logistic,0.003152346611022949,COMPLETE,0.003152346611022949
22,0.6037903487682342,2025-09-02 15:37:51.995919,2025-09-02 16:11:49.048696,0 days 00:33:57.052777,20,normal,7,zero,,0.20956801691395088,1778,976,Glorot,,logistic,0.0006449222564697266,COMPLETE,0.0006449222564697266
23,0.5405161499977111,2025-09-02 16:11:49.049098,2025-09-02 16:45:35.555299,0 days 00:33:46.506201,20,normal,5,zero,,0.0009247464203711671,7338,848,Glorot,,logistic,0.012203168869018555,COMPLETE,0.012203168869018555
24,0.9028064846992493,2025-09-02 16:45:35.555704,2025-09-02 17:20:20.823296,0 days 00:34:45.267592,20,normal,5,zero,,0.06793630192755795,1150,864,Glorot,,tanh,0.004023861885070801,COMPLETE,0.004023861885070801
25,0.4331129193305969,2025-09-02 17:20:20.823698,2025-09-02 17:54:24.122759,0 days 00:34:03.299061,20,normal,5,zero,,0.0008370923697461518,438,752,Glorot,,tanh,0.013093948364257812,COMPLETE,0.013093948364257812
26,0.9076613187789917,2025-09-02 17:54:24.123490,2025-09-02 18:30:47.612021,0 days 00:36:23.488531,20,normal,5,nz,9.625839068869515e-05,0.39393606635173734,1120,768,Glorot,,tanh,0.001182222366333008,COMPLETE,0.001182222366333008
27,0.9038548707962036,2025-09-02 18:30:47.612819,2025-09-02 19:06:51.351917,0 days 00:36:03.739098,20,normal,5,nz,0.0003442164622650645,0.16641413255872406,1016,736,old,1.6809488144070026,tanh,0.0001502513885498047,COMPLETE,0.0001502513885498047
28,0.9018871307373046,2025-09-02 19:06:51.352326,2025-09-02 19:42:34.229197,0 days 00:35:42.876871,20,normal,5,nz,0.0004811959979466496,0.09549955652768553,1439,720,old,1.6614209894546956,tanh,0.00029864311218261717,COMPLETE,0.00029864311218261717
29,0.5649516224861145,2025-09-02 19:42:34.229936,2025-09-02 20:18:28.253896,0 days 00:35:54.023960,20,normal,5,nz,0.0003097160154690618,0.05280417253933138,324,768,Glorot,,logistic,0.011175417900085449,COMPLETE,0.011175417900085449
30,0.9075968027114868,2025-09-02 20:18:28.254812,2025-09-02 20:25:40.848742,0 days 00:07:12.593930,100,normal,5,nz,0.00011574139992128508,0.21235273386500333,1316,768,Glorot,,tanh,0.0012767314910888672,COMPLETE,0.0012767314910888672
31,0.8501935720443725,2025-09-02 20:25:40.849346,2025-09-02 20:32:50.622029,0 days 00:07:09.772683,100,normal,5,nz,0.00011455768044238861,0.036747923261099665,859,512,Glorot,,tanh,0.005923557281494141,COMPLETE,0.005923557281494141
32,0.8943064928054809,2025-09-02 20:32:50.622434,2025-09-02 21:08:53.612691,0 days 00:36:02.990257,20,normal,7,nz,0.00031181185080016453,0.1425591044136933,431,672,Glorot,,tanh,0.002538919448852539,COMPLETE,0.002538919448852539
33,0.8795323133468628,2025-09-02 21:08:53.613433,2025-09-02 21:16:06.352946,0 days 00:07:12.739513,100,normal,5,nz,3.959173234933045e-05,0.01631470465230166,3980,992,Glorot,,tanh,0.00646822452545166,COMPLETE,0.00646822452545166
34,0.9231613039970398,2025-09-02 21:16:06.353350,2025-09-02 21:50:22.172958,0 days 00:34:15.819608,20,normal,5,zero,,0.19406357842853708,2461,848,Glorot,,tanh,0.0001049041748046875,COMPLETE,0.0001049041748046875
35,0.09972580820322037,2025-09-02 21:50:22.173977,2025-09-02 22:26:23.816452,0 days 00:36:01.642475,20,normal,5,nz,0.0011636075244564818,0.6657022949511276,770,768,Glorot,,tanh,,COMPLETE,
36,0.857241952419281,2025-09-02 22:26:23.816860,2025-09-02 23:00:03.502163,0 days 00:33:39.685303,20,normal,8,zero,,0.008275303440904193,6461,848,old,1.6742204748490717,tanh,0.005857777595520019,COMPLETE,0.005857777595520019
37,0.8763710141181946,2025-09-02 23:00:03.502569,2025-09-02 23:36:04.573812,0 days 00:36:01.071243,20,normal,8,nz,3.113704854755337e-05,0.012046112897407773,3070,832,Glorot,,tanh,0.006603622436523437,COMPLETE,0.006603622436523437
38,0.5878709822893142,2025-09-02 23:36:04.574245,2025-09-02 23:42:48.831656,0 days 00:06:44.257411,100,normal,5,zero,,0.8721326163225402,2551,928,Glorot,,tanh,,COMPLETE,
39,0.5477096915245057,2025-09-02 23:42:48.832286,2025-09-02 23:50:03.073536,0 days 00:07:14.241250,100,normal,5,nz,0.005845868557262084,0.17631281355528405,1770,800,Glorot,,logistic,3.509521484375e-05,COMPLETE,3.509521484375e-05
