number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,state,avg_fit_criteria
0,0.876838767528534,2025-09-02 09:04:45.679039,2025-09-02 09:12:02.432564,0 days 00:07:16.753525,100,normal,6,zero,,0.06644070263467312,576,1008,Glorot,,tanh,0.007364869117736816,COMPLETE,0.007364869117736816
1,0.5531290411949158,2025-09-02 09:12:02.433125,2025-09-02 09:19:53.349506,0 days 00:07:50.916381,100,uniform,6,nz,1.5679864837306301e-06,0.010329503456436413,860,992,Glorot,,logistic,0.01213212013244629,COMPLETE,0.01213212013244629
2,0.48541936874389646,2025-09-02 09:19:53.350009,2025-09-02 09:27:36.554871,0 days 00:07:43.204862,100,uniform,5,nz,6.40146258964444e-05,0.00030057369809652877,6496,368,Glorot,,tanh,0.012729954719543458,COMPLETE,0.012729954719543458
3,0.4480806589126587,2025-09-02 09:27:36.555338,2025-09-02 10:02:08.322871,0 days 00:34:31.767533,20,uniform,5,zero,,0.003593917669469153,294,768,Glorot,,logistic,0.012888860702514649,COMPLETE,0.012888860702514649
4,0.528225839138031,2025-09-02 10:02:08.323797,2025-09-02 10:38:58.045591,0 days 00:36:49.721794,20,uniform,5,nz,0.0021073356349450246,0.0004883418510092812,3543,800,old,0.9468231906318536,tanh,0.012900257110595703,COMPLETE,0.012900257110595703
5,0.11366129368543625,2025-09-02 10:38:58.046023,2025-09-02 11:15:56.503706,0 days 00:36:58.457683,20,uniform,7,nz,0.0008459908187981945,2.6032292780924524e-06,516,912,Glorot,,logistic,0.01311633586883545,COMPLETE,0.01311633586883545
6,0.308193564414978,2025-09-02 11:15:56.504554,2025-09-02 11:23:11.696469,0 days 00:07:15.191915,100,normal,5,nz,0.0013862889345041907,0.00901468140166235,183,176,Glorot,,logistic,0.012914443016052246,COMPLETE,0.012914443016052246
7,0.5678548455238343,2025-09-02 11:23:11.697528,2025-09-02 11:30:06.036329,0 days 00:06:54.338801,100,uniform,8,zero,,0.11805134855353049,216,368,Glorot,,logistic,0.009388875961303712,COMPLETE,0.009388875961303712
8,0.3063548505306244,2025-09-02 11:30:06.037041,2025-09-02 11:37:28.020291,0 days 00:07:21.983250,100,uniform,7,nz,2.815901764360598e-07,0.00036502361187062146,185,128,Glorot,,tanh,0.013066482543945313,COMPLETE,0.013066482543945313
9,0.35911291241645815,2025-09-02 11:37:28.020732,2025-09-02 11:44:49.241965,0 days 00:07:21.221233,100,uniform,7,nz,3.2255015584448746e-06,5.2941296150740716e-06,6626,816,Glorot,,tanh,0.01304333209991455,COMPLETE,0.01304333209991455
