number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.12731666614611944,2025-09-02 09:19:08.867386,2025-09-02 09:48:56.643069,0 days 00:29:47.775683,20,uniform,8,nz,0.001976273939677935,0.01888913897506274,548,832,368,368,Glorot,,logistic,0.011050767368740505,0.012739062309265137,0.012519637743631998,0.007893602053324381,COMPLETE,0.011050767368740505,0.012739062309265137,0.012519637743631998,0.007893602053324381
1,0.07381666451692581,2025-09-02 09:48:56.643572,2025-09-02 10:16:20.110135,0 days 00:27:23.466563,20,normal,6,zero,,7.287875536659331e-06,2558,976,720,480,Glorot,,tanh,0.01308131217956543,0.01307539145151774,0.013118823369344076,0.013049721717834473,COMPLETE,0.01308131217956543,0.01307539145151774,0.013118823369344076,0.013049721717834473
2,0.07075000057617824,2025-09-02 10:16:20.110567,2025-09-02 10:21:54.955820,0 days 00:05:34.845253,100,normal,5,nz,0.005659923651826091,0.0024869546064083107,103,736,656,608,Glorot,,logistic,0.013127009073893229,0.013124426205952963,0.013085047403971354,0.013171553611755371,COMPLETE,0.013127009073893229,0.013124426205952963,0.013085047403971354,0.013171553611755371
3,0.045449999471505485,2025-09-02 10:21:54.956466,2025-09-02 10:48:44.209302,0 days 00:26:49.252836,20,uniform,5,zero,,4.392996964391159e-06,286,304,464,176,old,1.048938561776662,logistic,0.013063894377814399,0.013175328572591146,0.012939969698588053,0.013076384862263998,COMPLETE,0.013063894377814399,0.013175328572591146,0.012939969698588053,0.013076384862263998
4,0.09281666328509648,2025-09-02 10:48:44.209725,2025-09-02 10:54:24.636425,0 days 00:05:40.426700,100,uniform,8,nz,2.2013739783605834e-08,0.0014768815514442635,7994,688,768,256,Glorot,,logistic,0.01210100120968289,0.012928525606791178,0.013101418813069662,0.010273059209187826,COMPLETE,0.01210100120968289,0.012928525606791178,0.013101418813069662,0.010273059209187826
5,0.15671666463216147,2025-09-02 10:54:24.637102,2025-09-02 11:00:01.053491,0 days 00:05:36.416389,100,normal,8,nz,0.00017344787323769035,0.3329779126931672,5727,624,1008,256,old,1.0240609680153696,logistic,0.004913171132405599,0.01415411631266276,8.118152618408203e-05,0.0005042155583699545,COMPLETE,0.004913171132405599,0.01415411631266276,8.118152618408203e-05,0.0005042155583699545
6,0.07068333278099696,2025-09-02 11:00:01.054168,2025-09-02 11:06:00.599415,0 days 00:05:59.545247,100,normal,6,nz,2.5689072709426117e-05,5.276847581147895e-05,221,384,256,432,Glorot,,tanh,0.012990037600199381,0.013108928998311361,0.012891809145609537,0.012969374656677246,COMPLETE,0.012990037600199381,0.013108928998311361,0.012891809145609537,0.012969374656677246
7,0.17505000034968057,2025-09-02 11:06:00.599836,2025-09-02 11:11:26.362998,0 days 00:05:25.763162,100,normal,7,zero,,0.045402977968456694,3669,192,416,784,old,0.39496068952891183,logistic,0.0026843282911512586,0.0018033981323242188,0.0026613871256510415,0.0035881996154785156,COMPLETE,0.0026843282911512586,0.0018033981323242188,0.0026613871256510415,0.0035881996154785156
8,0.0779666652282079,2025-09-02 11:11:26.363424,2025-09-02 11:16:49.588668,0 days 00:05:23.225244,100,uniform,7,zero,,1.9670000815753223e-05,2947,1024,864,624,old,1.7685618590876564,logistic,0.013019389576382106,0.013049642244974772,0.01297609011332194,0.01303243637084961,COMPLETE,0.013019389576382106,0.013049642244974772,0.01297609011332194,0.01303243637084961
9,0.16378332674503326,2025-09-02 11:16:49.589095,2025-09-02 11:22:24.180823,0 days 00:05:34.591728,100,normal,7,nz,0.004713238483750317,0.026455682027908503,179,528,144,448,Glorot,,tanh,0.012083000606960721,0.012705047925313314,0.012210845947265625,0.011333107948303223,COMPLETE,0.012083000606960721,0.012705047925313314,0.012210845947265625,0.011333107948303223
