number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.257533331712087,2025-09-02 10:21:49.399167,2025-09-02 10:27:20.165852,0 days 00:05:30.766685,100,normal,6,zero,,5.356407332044644e-05,6592,1008,608,576,old,0.3186854244306292,logistic,0.013113392723931208,0.013084610303243002,0.013150294621785482,0.013105273246765137,COMPLETE,0.013113392723931208,0.013084610303243002,0.013150294621785482,0.013105273246765137
1,0.4064333240191142,2025-09-02 10:27:20.166343,2025-09-02 10:55:00.965145,0 days 00:27:40.798802,20,uniform,6,zero,,0.0001567986483730631,4737,944,240,592,old,1.0593220787328592,tanh,0.013062821494208442,0.013125141461690268,0.013017098108927408,0.01304622491200765,COMPLETE,0.013062821494208442,0.013125141461690268,0.013017098108927408,0.01304622491200765
2,0.38819998502731323,2025-09-02 10:55:00.965663,2025-09-02 11:00:33.347481,0 days 00:05:32.381818,100,uniform,7,zero,,0.0013722625337799393,674,544,784,496,Glorot,,tanh,0.013029522365993924,0.013051231702168783,0.013092438379923502,0.012944897015889486,COMPLETE,0.013029522365993924,0.013051231702168783,0.013092438379923502,0.012944897015889486
3,0.44698331753412884,2025-09-02 11:00:33.347848,2025-09-02 11:27:21.247543,0 days 00:26:47.899695,20,uniform,6,zero,,0.0005997611974489836,3042,400,656,336,old,0.7557205831361038,tanh,0.01293802261352539,0.013041536013285318,0.01301419734954834,0.012758334477742514,COMPLETE,0.01293802261352539,0.013041536013285318,0.01301419734954834,0.012758334477742514
4,0.2589666545391083,2025-09-02 11:27:21.247907,2025-09-02 11:32:41.212813,0 days 00:05:19.964906,100,uniform,8,zero,,1.7536174426962524e-06,5638,832,848,592,Glorot,,logistic,0.013063205613030327,0.013005375862121582,0.01309049129486084,0.01309374968210856,COMPLETE,0.013063205613030327,0.013005375862121582,0.01309049129486084,0.01309374968210856
5,0.2589999934037526,2025-09-02 11:32:41.213177,2025-09-02 11:38:03.181075,0 days 00:05:21.967898,100,uniform,6,zero,,2.152766956463615e-06,1208,864,512,672,Glorot,,logistic,0.013082967864142524,0.01319261391957601,0.01298987865447998,0.013066411018371582,COMPLETE,0.013082967864142524,0.01319261391957601,0.01298987865447998,0.013066411018371582
6,0.5198999842007955,2025-09-02 11:38:03.181473,2025-09-02 11:43:41.638054,0 days 00:05:38.456581,100,normal,6,nz,1.0224729613848469e-07,0.18205624505890625,6579,640,272,832,old,0.50438191405769,tanh,0.0011910729938083226,0.00045470396677652997,0.0005549192428588867,0.0025635957717895508,COMPLETE,0.0011910729938083226,0.00045470396677652997,0.0005549192428588867,0.0025635957717895508
7,0.4480166534582774,2025-09-02 11:43:41.638760,2025-09-02 11:49:22.726076,0 days 00:05:41.087316,100,uniform,6,nz,0.009022903550383762,0.015141727048604519,713,160,384,864,old,1.1444957061835375,tanh,0.009868184725443522,0.009232401847839355,0.009385148684183756,0.010987003644307455,COMPLETE,0.009868184725443522,0.009232401847839355,0.009385148684183756,0.010987003644307455
8,0.2775999903678894,2025-09-02 11:49:22.726473,2025-09-02 11:54:46.424593,0 days 00:05:23.698120,100,normal,8,zero,,1.5227745153472545e-06,2210,544,816,912,old,1.8392842177188289,logistic,0.013105207019382054,0.013172467549641928,0.013109564781188965,0.013033588727315268,COMPLETE,0.013105207019382054,0.013172467549641928,0.013109564781188965,0.013033588727315268
9,0.2544999917348226,2025-09-02 11:54:46.424969,2025-09-02 12:00:10.699727,0 days 00:05:24.274758,100,uniform,8,zero,,2.4890096121810022e-05,796,272,288,448,Glorot,,tanh,0.013218906190660266,0.013127764066060385,0.013464689254760742,0.013064265251159668,COMPLETE,0.013218906190660266,0.013127764066060385,0.013464689254760742,0.013064265251159668
10,0.10583332926034927,2025-09-02 12:00:10.701237,2025-09-02 12:26:55.104094,0 days 00:26:44.402857,20,uniform,7,zero,,0.5398843157707236,705,800,976,672,Glorot,,logistic,0.0034625795152452257,0.007015307744344075,0.0028591553370157876,0.0005132754643758138,COMPLETE,0.0034625795152452257,0.007015307744344075,0.0028591553370157876,0.0005132754643758138
11,0.4255333145459493,2025-09-02 12:26:55.104773,2025-09-02 12:53:32.034215,0 days 00:26:36.929442,20,uniform,6,zero,,0.005988265244732958,304,352,656,208,Glorot,,tanh,0.012877649731106229,0.012839635213216146,0.012913147608439127,0.012880166371663412,COMPLETE,0.012877649731106229,0.012839635213216146,0.012913147608439127,0.012880166371663412
