number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.8711856802304586,2025-09-02 19:43:22.622863,2025-09-02 20:17:51.209135,0 days 00:34:28.586272,20,uniform,8,nz,0.001976273939677935,0.01888913897506274,548,832,368,368,Glorot,,logistic,0.011217382219102645,0.012430826822916666,0.012493530909220377,0.008727788925170898,COMPLETE,0.011217382219102645,0.012430826822916666,0.012493530909220377,0.008727788925170898
1,0.6399425665537516,2025-09-02 20:17:51.210163,2025-09-02 20:49:29.981316,0 days 00:31:38.771153,20,normal,6,zero,,7.287875536659331e-06,2558,976,720,480,Glorot,,tanh,0.013122611575656466,0.013112823168436686,0.01309355099995931,0.013161460558573404,COMPLETE,0.013122611575656466,0.013112823168436686,0.01309355099995931,0.013161460558573404
2,0.6252854466438293,2025-09-02 20:49:29.981724,2025-09-02 20:56:13.910121,0 days 00:06:43.928397,100,normal,5,nz,0.005659923651826091,0.0024869546064083107,103,736,656,608,Glorot,,logistic,0.013114465607537163,0.013140559196472168,0.013120214144388834,0.013082623481750488,COMPLETE,0.013114465607537163,0.013140559196472168,0.013120214144388834,0.013082623481750488
3,0.46521369616190594,2025-09-02 20:56:13.916920,2025-09-02 21:28:03.730954,0 days 00:31:49.814034,20,uniform,5,zero,,4.392996964391159e-06,286,304,464,176,old,1.048938561776662,logistic,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795,COMPLETE,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795
4,0.8640856742858887,2025-09-02 21:28:03.731380,2025-09-02 21:34:46.766521,0 days 00:06:43.035141,100,uniform,8,nz,2.2013739783605834e-08,0.0014768815514442635,7994,688,768,256,Glorot,,logistic,0.011773188908894857,0.012840509414672852,0.012916366259256998,0.00956269105275472,COMPLETE,0.011773188908894857,0.012840509414672852,0.012916366259256998,0.00956269105275472
5,0.8596576253573099,2025-09-02 21:34:46.767201,2025-09-02 21:41:31.261785,0 days 00:06:44.494584,100,normal,8,nz,0.00017344787323769035,0.3329779126931672,5727,624,1008,256,old,1.0240609680153696,logistic,0.001849624845716688,0.002676725387573242,0.0025631586710611978,0.000308990478515625,COMPLETE,0.001849624845716688,0.002676725387573242,0.0025631586710611978,0.000308990478515625
6,0.6084145903587341,2025-09-02 21:41:31.262726,2025-09-02 21:48:11.709051,0 days 00:06:40.446325,100,normal,6,nz,2.5689072709426117e-05,5.276847581147895e-05,221,384,256,432,Glorot,,tanh,0.013092332416110568,0.01295010248819987,0.013191819190979004,0.013135075569152832,COMPLETE,0.013092332416110568,0.01295010248819987,0.013191819190979004,0.013135075569152832
7,0.8832428256670634,2025-09-02 21:48:11.709747,2025-09-02 21:54:36.956698,0 days 00:06:25.246951,100,normal,7,zero,,0.045402977968456694,3669,192,416,784,old,0.39496068952891183,logistic,0.008717364735073514,0.007617751757303874,0.009335517883300781,0.009198824564615885,COMPLETE,0.008717364735073514,0.007617751757303874,0.009335517883300781,0.009198824564615885
8,0.6558427015940348,2025-09-02 21:54:36.957114,2025-09-02 22:01:02.851621,0 days 00:06:25.894507,100,uniform,7,zero,,1.9670000815753223e-05,2947,1024,864,624,old,1.7685618590876564,logistic,0.013087749481201172,0.013079603513081869,0.013135949770609537,0.01304769515991211,COMPLETE,0.013087749481201172,0.013079603513081869,0.013135949770609537,0.01304769515991211
9,0.8791142304738363,2025-09-02 22:01:02.852367,2025-09-02 22:07:43.369190,0 days 00:06:40.516823,100,normal,7,nz,0.004713238483750317,0.026455682027908503,179,528,144,448,Glorot,,tanh,0.012333684497409396,0.012488007545471191,0.012442747751871744,0.012070298194885254,COMPLETE,0.012333684497409396,0.012488007545471191,0.012442747751871744,0.012070298194885254
10,0.8816714485486349,2025-09-02 22:07:43.369600,2025-09-02 22:41:00.092714,0 days 00:33:16.723114,20,uniform,5,nz,1.7399719380673092e-06,0.0060518290943611325,550,784,768,160,old,1.3898853516952139,tanh,0.012597481409708658,0.012838800748189291,0.012949268023173014,0.012004375457763672,COMPLETE,0.012597481409708658,0.012838800748189291,0.012949268023173014,0.012004375457763672
11,0.6354000369707743,2025-09-02 22:41:00.093150,2025-09-02 22:47:23.957061,0 days 00:06:23.863911,100,normal,6,zero,,0.00018131133577534945,391,688,448,320,Glorot,,logistic,0.013005561298794217,0.01307376225789388,0.012899359067281088,0.013043562571207682,COMPLETE,0.013005561298794217,0.01307376225789388,0.012899359067281088,0.013043562571207682
12,0.8862142960230509,2025-09-02 22:47:23.958024,2025-09-02 22:53:44.369146,0 days 00:06:20.411122,100,uniform,8,zero,,0.002472295306383974,2075,224,384,176,old,0.2686955279215667,tanh,0.012478073438008627,0.013175090154012045,0.012864907582600912,0.011394222577412924,COMPLETE,0.012478073438008627,0.013175090154012045,0.012864907582600912,0.011394222577412924
13,0.8889143069585165,2025-09-02 22:53:44.369545,2025-09-02 23:27:11.487653,0 days 00:33:27.118108,20,uniform,8,nz,1.784055631279747e-08,0.0028909398708427706,5014,896,784,752,old,0.2558892770414504,logistic,0.012473464012145996,0.012898921966552734,0.012823144594828287,0.011698325475056967,COMPLETE,0.012473464012145996,0.012898921966552734,0.012823144594828287,0.011698325475056967
14,0.8760428229967753,2025-09-02 23:27:11.488075,2025-09-02 23:33:32.124522,0 days 00:06:20.636447,100,normal,8,zero,,0.00700610875534594,456,592,912,784,Glorot,,tanh,0.012923849953545464,0.012916326522827148,0.012981891632080078,0.012873331705729166,COMPLETE,0.012923849953545464,0.012916326522827148,0.012981891632080078,0.012873331705729166
15,0.5491420725981394,2025-09-02 23:33:32.124928,2025-09-02 23:39:52.942722,0 days 00:06:20.817794,100,normal,6,zero,,9.318544447640828e-06,368,608,304,272,old,0.4837215553624952,logistic,0.013090968132019043,0.013071695963541666,0.013156692186991373,0.013044516245524088,COMPLETE,0.013090968132019043,0.013071695963541666,0.013156692186991373,0.013044516245524088
16,0.6285282174746195,2025-09-02 23:39:52.943155,2025-09-03 00:11:52.177446,0 days 00:31:59.234291,20,uniform,5,zero,,4.481465560938961e-06,450,928,160,832,old,1.9993692687863487,tanh,0.013094835811191134,0.013103604316711426,0.01303271452585856,0.013148188591003418,COMPLETE,0.013094835811191134,0.013103604316711426,0.01303271452585856,0.013148188591003418
17,0.6182287136713663,2025-09-03 00:11:52.178620,2025-09-03 00:18:15.644644,0 days 00:06:23.466024,100,normal,5,zero,,1.357272557085702e-06,1626,992,592,304,old,1.000636396400883,tanh,0.0130891932381524,0.013098955154418945,0.01313622792561849,0.01303239663441976,COMPLETE,0.0130891932381524,0.013098955154418945,0.01313622792561849,0.01303239663441976
