number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.6097147067387899,2025-09-02 19:46:23.195422,2025-09-02 19:52:41.151605,0 days 00:06:17.956183,100,normal,6,zero,,5.356407332044644e-05,6592,1008,608,576,old,0.3186854244306292,logistic,0.013104147381252712,0.013109127680460611,0.013104836146036783,0.013098478317260742,COMPLETE,0.013104147381252712,0.013109127680460611,0.013104836146036783,0.013098478317260742
1,0.8459285696347555,2025-09-02 19:52:41.153569,2025-09-02 20:24:51.697151,0 days 00:32:10.543582,20,uniform,6,zero,,0.0001567986483730631,4737,944,240,592,old,1.0593220787328592,tanh,0.012949109077453613,0.012962738672892252,0.012849728266398111,0.013034860293070475,COMPLETE,0.012949109077453613,0.012962738672892252,0.012849728266398111,0.013034860293070475
2,0.8390713532765707,2025-09-02 20:24:51.697604,2025-09-02 20:31:01.288654,0 days 00:06:09.591050,100,uniform,7,zero,,0.0013722625337799393,674,544,784,496,Glorot,,tanh,0.013013521830240885,0.01291513442993164,0.013113061587015787,0.013012369473775228,COMPLETE,0.013013521830240885,0.01291513442993164,0.013113061587015787,0.013012369473775228
3,0.8701571822166443,2025-09-02 20:31:01.289359,2025-09-02 21:01:59.021244,0 days 00:30:57.731885,20,uniform,6,zero,,0.0005997611974489836,3042,400,656,336,old,0.7557205831361038,tanh,0.012881755828857422,0.013007640838623047,0.012940764427185059,0.01269686222076416,COMPLETE,0.012881755828857422,0.013007640838623047,0.012940764427185059,0.01269686222076416
4,0.5984143018722534,2025-09-02 21:01:59.021668,2025-09-02 21:08:05.205768,0 days 00:06:06.184100,100,uniform,8,zero,,1.7536174426962524e-06,5638,832,848,592,Glorot,,logistic,0.01310106118520101,0.013115127881368002,0.013058304786682129,0.013129750887552897,COMPLETE,0.01310106118520101,0.013115127881368002,0.013058304786682129,0.013129750887552897
5,0.6275429924329122,2025-09-02 21:08:05.206174,2025-09-02 21:14:12.958366,0 days 00:06:07.752192,100,uniform,6,zero,,2.152766956463615e-06,1208,864,512,672,Glorot,,logistic,0.0130943324830797,0.013071934382120768,0.013120015462239584,0.013091047604878744,COMPLETE,0.0130943324830797,0.013071934382120768,0.013120015462239584,0.013091047604878744
6,0.8931142886479696,2025-09-02 21:14:12.963032,2025-09-02 21:20:51.151011,0 days 00:06:38.187979,100,normal,6,nz,1.0224729613848469e-07,0.18205624505890625,6579,640,272,832,old,0.50438191405769,tanh,0.005211578475104439,0.003418445587158203,0.0036755800247192383,0.008540709813435873,COMPLETE,0.005211578475104439,0.003418445587158203,0.0036755800247192383,0.008540709813435873
7,0.8835571805636088,2025-09-02 21:20:51.151425,2025-09-02 21:28:02.421541,0 days 00:07:11.270116,100,uniform,6,nz,0.009022903550383762,0.015141727048604519,713,160,384,864,old,1.1444957061835375,tanh,0.01136677794986301,0.010960261027018229,0.011673609415690104,0.011466463406880697,COMPLETE,0.01136677794986301,0.010960261027018229,0.011673609415690104,0.011466463406880697
8,0.6448285380999247,2025-09-02 21:28:02.421965,2025-09-02 21:34:11.918505,0 days 00:06:09.496540,100,normal,8,zero,,1.5227745153472545e-06,2210,544,816,912,old,1.8392842177188289,logistic,0.013126505745781792,0.01315311590830485,0.013120690981547037,0.01310571034749349,COMPLETE,0.013126505745781792,0.01315311590830485,0.013120690981547037,0.01310571034749349
9,0.6132426857948303,2025-09-02 21:34:11.918941,2025-09-02 21:40:21.473278,0 days 00:06:09.554337,100,uniform,8,zero,,2.4890096121810022e-05,796,272,288,448,Glorot,,tanh,0.012987573941548666,0.012991507848103842,0.012897809346516928,0.013073404630025228,COMPLETE,0.012987573941548666,0.012991507848103842,0.012897809346516928,0.013073404630025228
10,0.1718864863117536,2025-09-02 21:40:21.474004,2025-09-02 22:11:13.274637,0 days 00:30:51.800633,20,uniform,7,zero,,0.5398843157707236,705,800,976,672,Glorot,,logistic,,,,,COMPLETE,,,,
11,0.8591856757799784,2025-09-02 22:11:13.275345,2025-09-02 22:41:48.017376,0 days 00:30:34.742031,20,uniform,6,zero,,0.005988265244732958,304,352,656,208,Glorot,,tanh,0.012632012367248535,0.01265108585357666,0.0128251314163208,0.012419819831848145,COMPLETE,0.012632012367248535,0.01265108585357666,0.0128251314163208,0.012419819831848145
12,0.6274503866831461,2025-09-02 22:41:48.017815,2025-09-02 23:14:28.798776,0 days 00:32:40.780961,20,uniform,7,nz,2.3466263143751017e-05,0.23561379107592156,130,896,512,928,old,1.0236779743730906,tanh,,,,,COMPLETE,,,,
13,0.6055707534154257,2025-09-02 23:14:28.799742,2025-09-02 23:46:48.641006,0 days 00:32:19.841264,20,uniform,8,nz,0.0024972077447578873,2.2761240438210415e-06,308,224,160,784,old,0.7922891789961719,tanh,0.01300640900929769,0.013006885846455893,0.012893239657084147,0.013119101524353027,COMPLETE,0.01300640900929769,0.013006885846455893,0.012893239657084147,0.013119101524353027
14,0.6117576956748962,2025-09-02 23:46:48.641430,2025-09-02 23:53:16.338829,0 days 00:06:27.697399,100,uniform,8,nz,5.149664340041313e-08,9.272568606532535e-06,127,608,160,976,Glorot,,logistic,0.013289901945326062,0.013038396835327148,0.013731718063354492,0.013099590937296549,COMPLETE,0.013289901945326062,0.013038396835327148,0.013731718063354492,0.013099590937296549
15,0.884999950726827,2025-09-02 23:53:16.339563,2025-09-03 00:26:39.346060,0 days 00:33:23.006497,20,uniform,7,nz,1.0723096225196348e-05,0.1638137370229068,5541,128,1024,160,old,1.7020616944920801,logistic,0.003228121333652072,0.00018171469370524088,0.008167505264282227,0.00133514404296875,COMPLETE,0.003228121333652072,0.00018171469370524088,0.008167505264282227,0.00133514404296875
16,0.8859571814537048,2025-09-03 00:26:39.351508,2025-09-03 00:58:01.390965,0 days 00:31:22.039457,20,uniform,5,zero,,0.057265109303175826,126,832,304,560,old,0.2702596726554056,logistic,0.012249641948276095,0.012877504030863443,0.012598713239034018,0.011272708574930826,COMPLETE,0.012249641948276095,0.012877504030863443,0.012598713239034018,0.011272708574930826
17,0.891785720984141,2025-09-03 00:58:01.391372,2025-09-03 01:04:45.716968,0 days 00:06:44.325596,100,uniform,6,nz,9.611097681268518e-06,0.05713327666925594,2944,800,224,880,old,1.1225846061944966,tanh,0.010084576076931424,0.00989969571431478,0.008709549903869629,0.011644482612609863,COMPLETE,0.010084576076931424,0.00989969571431478,0.008709549903869629,0.011644482612609863
18,0.5788856148719788,2025-09-03 01:04:45.717386,2025-09-03 01:11:13.637379,0 days 00:06:27.919993,100,uniform,7,nz,7.353420094970839e-05,0.0006768682345316936,355,992,352,336,old,0.20766867979710768,logistic,0.013086623615688747,0.013143539428710938,0.013066331545511881,0.013049999872843424,COMPLETE,0.013086623615688747,0.013143539428710938,0.013066331545511881,0.013049999872843424
19,0.7676999171574911,2025-09-03 01:11:13.637812,2025-09-03 01:43:45.392671,0 days 00:32:31.754859,20,normal,7,nz,0.000695555700756957,4.454657309615775e-05,7150,768,880,448,Glorot,,tanh,0.013100677066379122,0.013084212938944498,0.013141274452209473,0.013076543807983398,COMPLETE,0.013100677066379122,0.013084212938944498,0.013141274452209473,0.013076543807983398
20,0.6239866415659586,2025-09-03 01:43:45.393103,2025-09-03 01:50:17.317781,0 days 00:06:31.924678,100,normal,8,zero,,4.8684447001665524e-05,242,224,928,896,Glorot,,logistic,0.013082424799601236,0.013123194376627604,0.013078649838765463,0.013045430183410645,COMPLETE,0.013082424799601236,0.013123194376627604,0.013078649838765463,0.013045430183410645
21,0.841857115427653,2025-09-03 01:50:17.318950,2025-09-03 02:23:10.806384,0 days 00:32:53.487434,20,normal,8,nz,1.997339734132248e-07,0.00017577045838828472,6452,960,992,160,old,0.8348477899736664,tanh,0.012759023242526583,0.013061324755350748,0.013082782427469889,0.012132962544759115,COMPLETE,0.012759023242526583,0.013061324755350748,0.013082782427469889,0.012132962544759115
22,0.8743285139401754,2025-09-03 02:23:10.806826,2025-09-03 02:53:54.433425,0 days 00:30:43.626599,20,uniform,8,zero,,0.015258444911270038,662,896,208,304,old,1.7513600951408292,logistic,0.011270191934373645,0.012584884961446127,0.012079358100891113,0.009146332740783691,COMPLETE,0.011270191934373645,0.012584884961446127,0.012079358100891113,0.009146332740783691
23,0.5724721153577169,2025-09-03 02:53:54.433843,2025-09-03 03:00:22.694085,0 days 00:06:28.260242,100,normal,6,nz,0.002310508554631245,2.993279432713497e-06,212,240,576,448,old,1.457383949023868,logistic,0.012910842895507812,0.012623111406962076,0.013087312380472818,0.013022104899088541,COMPLETE,0.012910842895507812,0.012623111406962076,0.013087312380472818,0.013022104899088541
24,0.5383406678835551,2025-09-03 03:00:22.694508,2025-09-03 03:07:02.934223,0 days 00:06:40.239715,100,normal,7,nz,8.174523490234683e-06,0.8661912331013609,198,464,544,368,Glorot,,logistic,0.00437054369184706,0.009104609489440918,0.002017935117085775,0.001989086469014486,COMPLETE,0.00437054369184706,0.009104609489440918,0.002017935117085775,0.001989086469014486
25,0.09999999900658925,2025-09-03 03:07:02.934658,2025-09-03 03:38:01.625446,0 days 00:30:58.690788,20,normal,6,zero,,0.3982962611175414,5335,240,464,560,old,1.2518275415538762,tanh,,,,,COMPLETE,,,,
26,0.748371442159017,2025-09-03 03:38:01.625865,2025-09-03 03:44:21.764409,0 days 00:06:20.138544,100,normal,6,zero,,0.00016234830431242263,3158,688,736,960,old,0.2544550137741095,logistic,0.013081047270033093,0.013103763262430826,0.013116240501403809,0.013023138046264648,COMPLETE,0.013081047270033093,0.013103763262430826,0.013116240501403809,0.013023138046264648
27,0.6190570990244547,2025-09-03 03:44:21.764831,2025-09-03 04:17:02.274797,0 days 00:32:40.509966,20,normal,8,nz,1.1833946707195962e-05,0.0004153238551851028,176,944,192,832,Glorot,,logistic,0.013095074229770238,0.01313324769337972,0.01311039924621582,0.01304157574971517,COMPLETE,0.013095074229770238,0.01313324769337972,0.01311039924621582,0.01304157574971517
28,0.5831147233645121,2025-09-03 04:17:02.275244,2025-09-03 04:23:14.507517,0 days 00:06:12.232273,100,normal,8,zero,,0.00027076433920494625,203,480,272,576,Glorot,,logistic,0.013015998734368218,0.013123035430908203,0.012861887613932291,0.01306307315826416,COMPLETE,0.013015998734368218,0.013123035430908203,0.012861887613932291,0.01306307315826416
29,0.8836286067962646,2025-09-03 04:23:14.507954,2025-09-03 04:55:56.086773,0 days 00:32:41.578819,20,normal,6,nz,0.0005702005920390691,0.023827197087659714,8278,688,336,912,Glorot,,logistic,0.004764437675476074,0.005021452903747559,0.004338542620340983,0.004933317502339681,COMPLETE,0.004764437675476074,0.005021452903747559,0.004338542620340983,0.004933317502339681
30,0.885028600692749,2025-09-03 04:55:56.087197,2025-09-03 05:02:29.913787,0 days 00:06:33.826590,100,uniform,8,nz,3.8729565246854525e-05,0.061244587609138076,6595,272,128,576,Glorot,,tanh,0.00563767221238878,0.0037924846013387046,0.0038569768269856772,0.009263555208841959,COMPLETE,0.00563767221238878,0.0037924846013387046,0.0038569768269856772,0.009263555208841959
