number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.7504032452901205,2025-09-02 23:56:51.314900,2025-09-03 00:27:39.915325,0 days 00:30:48.600425,20,uniform,8,nz,0.001976273939677935,0.01888913897506274,548,832,368,368,Glorot,,logistic,0.011353439754909938,0.01231849193572998,0.012519041697184244,0.009222785631815592,COMPLETE,0.011353439754909938,0.01231849193572998,0.012519041697184244,0.009222785631815592
1,0.44606415430704754,2025-09-03 00:27:39.915732,2025-09-03 00:55:21.917072,0 days 00:27:42.001340,20,normal,6,zero,,7.287875536659331e-06,2558,976,720,480,Glorot,,tanh,0.013123273849487305,0.013113141059875488,0.01309374968210856,0.013162930806477865,COMPLETE,0.013123273849487305,0.013113141059875488,0.01309374968210856,0.013162930806477865
2,0.3381766776243846,2025-09-03 00:55:21.918811,2025-09-03 01:01:18.508743,0 days 00:05:56.589932,100,normal,5,nz,0.005659923651826091,0.0024869546064083107,103,736,656,608,Glorot,,logistic,0.013129221068488225,0.013155976931254068,0.013116955757141113,0.013114730517069498,COMPLETE,0.013129221068488225,0.013155976931254068,0.013116955757141113,0.013114730517069498
3,0.1127258042494456,2025-09-03 01:01:18.509121,2025-09-03 01:29:08.730292,0 days 00:27:50.221171,20,uniform,5,zero,,4.392996964391159e-06,286,304,464,176,old,1.048938561776662,logistic,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795,COMPLETE,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795
4,0.7372419635454813,2025-09-03 01:29:08.730680,2025-09-03 01:35:02.832858,0 days 00:05:54.102178,100,uniform,8,nz,2.2013739783605834e-08,0.0014768815514442635,7994,688,768,256,Glorot,,logistic,0.011842277314927844,0.012732505798339844,0.012895305951436361,0.009899020195007324,COMPLETE,0.011842277314927844,0.012732505798339844,0.012895305951436361,0.009899020195007324
5,0.799370805422465,2025-09-03 01:35:02.833733,2025-09-03 01:40:59.687066,0 days 00:05:56.853333,100,normal,8,nz,0.00017344787323769035,0.3329779126931672,5727,624,1008,256,old,1.0240609680153696,logistic,0.0026289357079399955,0.00713046391805013,0.0007625818252563477,-6.238619486490886e-06,COMPLETE,0.0026289357079399955,0.00713046391805013,0.0007625818252563477,-6.238619486490886e-06
6,0.39588700731595355,2025-09-03 01:40:59.687833,2025-09-03 01:46:55.386945,0 days 00:05:55.699112,100,normal,6,nz,2.5689072709426117e-05,5.276847581147895e-05,221,384,256,432,Glorot,,tanh,0.01309086216820611,0.012949069341023764,0.013190269470214844,0.01313324769337972,COMPLETE,0.01309086216820611,0.012949069341023764,0.013190269470214844,0.01313324769337972
7,0.8140967686971029,2025-09-03 01:46:55.387339,2025-09-03 01:52:33.128146,0 days 00:05:37.740807,100,normal,7,zero,,0.045402977968456694,3669,192,416,784,old,0.39496068952891183,logistic,0.00651701291402181,0.005628148714701335,0.005687634150187175,0.00823525587717692,COMPLETE,0.00651701291402181,0.005628148714701335,0.005687634150187175,0.00823525587717692
8,0.11279031882683437,2025-09-03 01:52:33.128853,2025-09-03 01:58:10.828089,0 days 00:05:37.699236,100,uniform,7,zero,,1.9670000815753223e-05,2947,1024,864,624,old,1.7685618590876564,logistic,0.01308747132619222,0.013079245885213217,0.013135155042012533,0.013048013051350912,COMPLETE,0.01308747132619222,0.013079245885213217,0.013135155042012533,0.013048013051350912
9,0.756483773390452,2025-09-03 01:58:10.828497,2025-09-03 02:04:05.543494,0 days 00:05:54.714997,100,normal,7,nz,0.004713238483750317,0.026455682027908503,179,528,144,448,Glorot,,tanh,0.01207858986324734,0.0121840238571167,0.012051622072855631,0.012000123659769693,COMPLETE,0.01207858986324734,0.0121840238571167,0.012051622072855631,0.012000123659769693
10,0.7544516523679098,2025-09-03 02:04:05.543874,2025-09-03 02:33:25.090312,0 days 00:29:19.546438,20,uniform,5,nz,1.7399719380673092e-06,0.0060518290943611325,550,784,768,160,old,1.3898853516952139,tanh,0.012440350320604114,0.01276091734568278,0.012924631436665853,0.011635502179463705,COMPLETE,0.012440350320604114,0.01276091734568278,0.012924631436665853,0.011635502179463705
11,0.11274193227291107,2025-09-03 02:33:25.090717,2025-09-03 02:39:01.133805,0 days 00:05:36.043088,100,normal,6,zero,,0.00018131133577534945,391,688,448,320,Glorot,,logistic,0.013001932038201228,0.013073166211446127,0.012897610664367676,0.013035019238789877,COMPLETE,0.013001932038201228,0.013073166211446127,0.012897610664367676,0.013035019238789877
