number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.30988673369089764,2025-09-02 23:56:48.407308,2025-09-03 00:02:37.766463,0 days 00:05:49.359155,100,normal,6,zero,,5.356407332044644e-05,6592,1008,608,576,old,0.3186854244306292,logistic,0.013114333152770996,0.01311635971069336,0.013107379277547201,0.013119260470072428,COMPLETE,0.013114333152770996,0.01311635971069336,0.013107379277547201,0.013119260470072428
1,0.7171128789583842,2025-09-03 00:02:37.767083,2025-09-03 00:30:31.686088,0 days 00:27:53.919005,20,uniform,6,zero,,0.0001567986483730631,4737,944,240,592,old,1.0593220787328592,tanh,0.012984964582655164,0.012932260831197103,0.012975136439005533,0.013047496477762857,COMPLETE,0.012984964582655164,0.012932260831197103,0.012975136439005533,0.013047496477762857
2,0.708903173605601,2025-09-03 00:30:31.686806,2025-09-03 00:36:05.176092,0 days 00:05:33.489286,100,uniform,7,zero,,0.0013722625337799393,674,544,784,496,Glorot,,tanh,0.012996474901835123,0.012880166371663412,0.013096968332926432,0.013012290000915527,COMPLETE,0.012996474901835123,0.012880166371663412,0.013096968332926432,0.013012290000915527
3,0.7440645098686218,2025-09-03 00:36:05.176538,2025-09-03 01:03:38.070990,0 days 00:27:32.894452,20,uniform,6,zero,,0.0005997611974489836,3042,400,656,336,old,0.7557205831361038,tanh,0.012890126970079208,0.0130006472269694,0.012901584307352701,0.012768149375915527,COMPLETE,0.012890126970079208,0.0130006472269694,0.012901584307352701,0.012768149375915527
4,0.11269354820251465,2025-09-03 01:03:38.071418,2025-09-03 01:09:29.971565,0 days 00:05:51.900147,100,uniform,8,zero,,1.7536174426962524e-06,5638,832,848,592,Glorot,,logistic,0.013100915484958226,0.01311477025349935,0.013058145840962728,0.013129830360412598,COMPLETE,0.013100915484958226,0.01311477025349935,0.013058145840962728,0.013129830360412598
5,0.11269354820251465,2025-09-03 01:09:29.971991,2025-09-03 01:15:01.399494,0 days 00:05:31.427503,100,uniform,6,zero,,2.152766956463615e-06,1208,864,512,672,Glorot,,logistic,0.013094305992126465,0.013071974118550619,0.013119896252950033,0.013091047604878744,COMPLETE,0.013094305992126465,0.013071974118550619,0.013119896252950033,0.013091047604878744
6,0.837048351764679,2025-09-03 01:15:01.399929,2025-09-03 01:20:49.780041,0 days 00:05:48.380112,100,normal,6,nz,1.0224729613848469e-07,0.18205624505890625,6579,640,272,832,old,0.50438191405769,tanh,0.0022477308909098306,0.001988371213277181,0.0010389089584350586,0.0037159125010172525,COMPLETE,0.0022477308909098306,0.001988371213277181,0.0010389089584350586,0.0037159125010172525
7,0.7792418996493021,2025-09-03 01:20:49.780780,2025-09-03 01:26:41.376852,0 days 00:05:51.596072,100,uniform,6,nz,0.009022903550383762,0.015141727048604519,713,160,384,864,old,1.1444957061835375,tanh,0.01024847560458713,0.009551763534545898,0.010299603144327799,0.010894060134887695,COMPLETE,0.01024847560458713,0.009551763534545898,0.010299603144327799,0.010894060134887695
8,0.11269354820251465,2025-09-03 01:26:41.377673,2025-09-03 01:32:17.558772,0 days 00:05:36.181099,100,normal,8,zero,,1.5227745153472545e-06,2210,544,816,912,old,1.8392842177188289,logistic,0.013126518991258407,0.013153076171875,0.013120690981547037,0.01310578982035319,COMPLETE,0.013126518991258407,0.013153076171875,0.013120690981547037,0.01310578982035319
9,0.39214517672856647,2025-09-03 01:32:17.559215,2025-09-03 01:38:06.650418,0 days 00:05:49.091203,100,uniform,8,zero,,2.4890096121810022e-05,796,272,288,448,Glorot,,tanh,0.012990673383076986,0.012998024622599283,0.012902259826660156,0.013071735699971518,COMPLETE,0.012990673383076986,0.012998024622599283,0.012902259826660156,0.013071735699971518
10,0.1579994112253189,2025-09-03 01:38:06.651114,2025-09-03 02:05:54.741969,0 days 00:27:48.090855,20,uniform,7,zero,,0.5398843157707236,705,800,976,672,Glorot,,logistic,0.01990452077653673,0.011716564496358236,0.03875116507212321,0.009245832761128744,COMPLETE,0.01990452077653673,0.011716564496358236,0.03875116507212321,0.009245832761128744
11,0.7294192910194397,2025-09-03 02:05:54.742745,2025-09-03 02:34:26.610740,0 days 00:28:31.867995,20,uniform,6,zero,,0.005988265244732958,304,352,656,208,Glorot,,tanh,0.012649509641859269,0.012503584225972494,0.012835820515950521,0.012609124183654785,COMPLETE,0.012649509641859269,0.012503584225972494,0.012835820515950521,0.012609124183654785
12,0.5636489788691202,2025-09-03 02:34:26.611512,2025-09-03 03:03:39.348237,0 days 00:29:12.736725,20,uniform,7,nz,2.3466263143751017e-05,0.23561379107592156,130,896,512,928,old,1.0236779743730906,tanh,,,,,COMPLETE,,,,
13,0.36966174840927124,2025-09-03 03:03:39.350503,2025-09-03 03:33:11.626045,0 days 00:29:32.275542,20,uniform,8,nz,0.0024972077447578873,2.2761240438210415e-06,308,224,160,784,old,0.7922891789961719,tanh,0.013006475236680774,0.013007044792175293,0.012893319129943848,0.013119061787923178,COMPLETE,0.013006475236680774,0.013007044792175293,0.012893319129943848,0.013119061787923178
14,0.11269354820251465,2025-09-03 03:33:11.626479,2025-09-03 03:39:14.675017,0 days 00:06:03.048538,100,uniform,8,nz,5.149664340041313e-08,9.272568606532535e-06,127,608,160,976,Glorot,,logistic,0.013289888699849447,0.013038436571756998,0.013731718063354492,0.01309951146443685,COMPLETE,0.013289888699849447,0.013038436571756998,0.013731718063354492,0.01309951146443685
15,0.8197742104530334,2025-09-03 03:39:14.675843,2025-09-03 04:08:50.019660,0 days 00:29:35.343817,20,uniform,7,nz,1.0723096225196348e-05,0.1638137370229068,5541,128,1024,160,old,1.7020616944920801,logistic,0.0020723740259806314,6.937980651855469e-05,0.005741119384765625,0.00040662288665771484,COMPLETE,0.0020723740259806314,6.937980651855469e-05,0.005741119384765625,0.00040662288665771484
16,0.7879194815953573,2025-09-03 04:08:50.020426,2025-09-03 04:36:11.439328,0 days 00:27:21.418902,20,uniform,5,zero,,0.057265109303175826,126,832,304,560,old,0.2702596726554056,logistic,0.012190937995910645,0.0128554900487264,0.012356797854105631,0.011360526084899902,COMPLETE,0.012190937995910645,0.0128554900487264,0.012356797854105631,0.011360526084899902
17,0.8227419058481852,2025-09-03 04:36:11.440182,2025-09-03 04:42:06.507870,0 days 00:05:55.067688,100,uniform,6,nz,9.611097681268518e-06,0.05713327666925594,2944,800,224,880,old,1.1225846061944966,tanh,0.00817622078789605,0.008406360944112143,0.00588377316792806,0.01023852825164795,COMPLETE,0.00817622078789605,0.008406360944112143,0.00588377316792806,0.01023852825164795
18,0.35399975379308063,2025-09-03 04:42:06.508314,2025-09-03 04:48:01.181395,0 days 00:05:54.673081,100,uniform,7,nz,7.353420094970839e-05,0.0006768682345316936,355,992,352,336,old,0.20766867979710768,logistic,0.013112650977240667,0.013141671816507975,0.013082623481750488,0.013113657633463541,COMPLETE,0.013112650977240667,0.013141671816507975,0.013082623481750488,0.013113657633463541
19,0.5645162463188171,2025-09-03 04:48:01.181835,2025-09-03 05:18:34.571383,0 days 00:30:33.389548,20,normal,7,nz,0.000695555700756957,4.454657309615775e-05,7150,768,880,448,Glorot,,tanh,0.013129923078748917,0.013107498486836752,0.013147473335266113,0.01313479741414388,COMPLETE,0.013129923078748917,0.013107498486836752,0.013147473335266113,0.01313479741414388
20,0.11269354820251465,2025-09-03 05:18:34.571823,2025-09-03 05:24:13.492486,0 days 00:05:38.920663,100,normal,8,zero,,4.8684447001665524e-05,242,224,928,896,Glorot,,logistic,0.013082358572218152,0.013123154640197754,0.013078570365905762,0.013045350710550943,COMPLETE,0.013082358572218152,0.013123154640197754,0.013078570365905762,0.013045350710550943
21,0.7030483682950338,2025-09-03 05:24:13.493274,2025-09-03 05:55:07.820986,0 days 00:30:54.327712,20,normal,8,nz,1.997339734132248e-07,0.00017577045838828472,6452,960,992,160,old,0.8348477899736664,tanh,0.012878007358974881,0.013012091318766275,0.013054092725118002,0.012567838033040365,COMPLETE,0.012878007358974881,0.013012091318766275,0.013054092725118002,0.012567838033040365
22,0.7540000478426615,2025-09-03 05:55:07.821430,2025-09-03 06:22:32.303960,0 days 00:27:24.482530,20,uniform,8,zero,,0.015258444911270038,662,896,208,304,old,1.7513600951408292,logistic,0.011351373460557727,0.012445926666259766,0.0120469331741333,0.009561260541280111,COMPLETE,0.011351373460557727,0.012445926666259766,0.0120469331741333,0.009561260541280111
23,0.11269354820251465,2025-09-03 06:22:32.304703,2025-09-03 06:28:41.443634,0 days 00:06:09.138931,100,normal,6,nz,0.002310508554631245,2.993279432713497e-06,212,240,576,448,old,1.457383949023868,logistic,0.012910842895507812,0.012623111406962076,0.013087232907613119,0.013022184371948242,COMPLETE,0.012910842895507812,0.012623111406962076,0.013087232907613119,0.013022184371948242
24,0.38550681124130887,2025-09-03 06:28:41.444073,2025-09-03 06:34:46.759133,0 days 00:06:05.315060,100,normal,7,nz,8.174523490234683e-06,0.8661912331013609,198,464,544,368,Glorot,,logistic,0.004447142283121745,0.0030798117319742837,0.008301099141438803,0.0019605159759521484,COMPLETE,0.004447142283121745,0.0030798117319742837,0.008301099141438803,0.0019605159759521484
25,0.0979838694135348,2025-09-03 06:34:46.759586,2025-09-03 07:02:02.747224,0 days 00:27:15.987638,20,normal,6,zero,,0.3982962611175414,5335,240,464,560,old,1.2518275415538762,tanh,,,,,COMPLETE,,,,
26,0.5275159279505411,2025-09-03 07:02:02.747648,2025-09-03 07:07:33.363157,0 days 00:05:30.615509,100,normal,6,zero,,0.00016234830431242263,3158,688,736,960,old,0.2544550137741095,logistic,0.01310053136613634,0.013098955154418945,0.01312708854675293,0.013075550397237143,COMPLETE,0.01310053136613634,0.013098955154418945,0.01312708854675293,0.013075550397237143
27,0.15587096412976584,2025-09-03 07:07:33.363898,2025-09-03 07:38:07.866608,0 days 00:30:34.502710,20,normal,8,nz,1.1833946707195962e-05,0.0004153238551851028,176,944,192,832,Glorot,,logistic,0.013101961877610946,0.013138294219970703,0.0131227175394694,0.01304487387339274,COMPLETE,0.013101961877610946,0.013138294219970703,0.0131227175394694,0.01304487387339274
