number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.18883832295735678,2025-09-03 00:43:43.413542,2025-09-03 00:50:13.755078,0 days 00:06:30.341536,100,normal,6,zero,,5.356407332044644e-05,6592,1008,608,576,old,0.3186854244306292,logistic,0.013117723994784884,0.013118227322896322,0.013110200564066568,0.013124744097391764,COMPLETE,0.013117723994784884,0.013118227322896322,0.013110200564066568,0.013124744097391764
1,0.7747742136319479,2025-09-03 00:50:13.755762,2025-09-03 01:22:42.544030,0 days 00:32:28.788268,20,uniform,6,zero,,0.0001567986483730631,4737,944,240,592,old,1.0593220787328592,tanh,0.012959599494934082,0.012929042180379232,0.012934724489847818,0.013015031814575195,COMPLETE,0.012959599494934082,0.012929042180379232,0.012934724489847818,0.013015031814575195
2,0.7534193595250448,2025-09-03 01:22:42.545671,2025-09-03 01:29:01.168517,0 days 00:06:18.622846,100,uniform,7,zero,,0.0013722625337799393,674,544,784,496,Glorot,,tanh,0.0129547119140625,0.012806455294291178,0.013062834739685059,0.012994845708211264,COMPLETE,0.0129547119140625,0.012806455294291178,0.013062834739685059,0.012994845708211264
3,0.8077258666356405,2025-09-03 01:29:01.169301,2025-09-03 02:00:08.656752,0 days 00:31:07.487451,20,uniform,6,zero,,0.0005997611974489836,3042,400,656,336,old,0.7557205831361038,tanh,0.012830773989359537,0.012939810752868652,0.01285394032796224,0.01269857088724772,COMPLETE,0.012830773989359537,0.012939810752868652,0.01285394032796224,0.01269857088724772
4,0.113467738032341,2025-09-03 02:00:08.657375,2025-09-03 02:06:24.938680,0 days 00:06:16.281305,100,uniform,8,zero,,1.7536174426962524e-06,5638,832,848,592,Glorot,,logistic,0.013100902239481607,0.01311477025349935,0.013058225313822428,0.013129711151123047,COMPLETE,0.013100902239481607,0.01311477025349935,0.013058225313822428,0.013129711151123047
5,0.113467738032341,2025-09-03 02:06:24.939311,2025-09-03 02:12:48.401968,0 days 00:06:23.462657,100,uniform,6,zero,,2.152766956463615e-06,1208,864,512,672,Glorot,,logistic,0.0130943324830797,0.013071974118550619,0.013119896252950033,0.013091127077738443,COMPLETE,0.0130943324830797,0.013071974118550619,0.013119896252950033,0.013091127077738443
6,0.8958064715067545,2025-09-03 02:12:48.402603,2025-09-03 02:19:17.035793,0 days 00:06:28.633190,100,normal,6,nz,1.0224729613848469e-07,0.18205624505890625,6579,640,272,832,old,0.50438191405769,tanh,0.004750715361701118,0.004443446795145671,0.0026836395263671875,0.007125059763590495,COMPLETE,0.004750715361701118,0.004443446795145671,0.0026836395263671875,0.007125059763590495
7,0.8181451161702474,2025-09-03 02:19:17.036303,2025-09-03 02:25:47.442465,0 days 00:06:30.406162,100,uniform,6,nz,0.009022903550383762,0.015141727048604519,713,160,384,864,old,1.1444957061835375,tanh,0.010660092035929361,0.010075608889261881,0.011067549387613932,0.010837117830912272,COMPLETE,0.010660092035929361,0.010075608889261881,0.011067549387613932,0.010837117830912272
8,0.113467738032341,2025-09-03 02:25:47.443244,2025-09-03 02:32:11.091420,0 days 00:06:23.648176,100,normal,8,zero,,1.5227745153472545e-06,2210,544,816,912,old,1.8392842177188289,logistic,0.013126505745781794,0.013153076171875,0.013120611508687338,0.013105829556783041,COMPLETE,0.013126505745781794,0.013153076171875,0.013120611508687338,0.013105829556783041
9,0.3731127083301544,2025-09-03 02:32:11.092069,2025-09-03 02:38:43.972535,0 days 00:06:32.880466,100,uniform,8,zero,,2.4890096121810022e-05,796,272,288,448,Glorot,,tanh,0.012991375393337674,0.013000090916951498,0.012902299563090006,0.013071735699971518,COMPLETE,0.012991375393337674,0.013000090916951498,0.012902299563090006,0.013071735699971518
