number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.8199838399887085,2025-09-03 01:07:01.371911,2025-09-03 01:37:01.145295,0 days 00:29:59.773384,20,uniform,8,nz,0.001976273939677935,0.01888913897506274,548,832,368,368,Glorot,,logistic,0.011297119988335503,0.01237193743387858,0.012643098831176758,0.008876323699951172,COMPLETE,0.011297119988335503,0.01237193743387858,0.012643098831176758,0.008876323699951172
1,0.4491611321767171,2025-09-03 01:37:01.146268,2025-09-03 02:05:00.018767,0 days 00:27:58.872499,20,normal,6,zero,,7.287875536659331e-06,2558,976,720,480,Glorot,,tanh,0.013123220867580837,0.013113061587015787,0.013094107309977213,0.013162493705749512,COMPLETE,0.013123220867580837,0.013113061587015787,0.013094107309977213,0.013162493705749512
2,0.23496687908967337,2025-09-03 02:05:00.019558,2025-09-03 02:10:57.120294,0 days 00:05:57.100736,100,normal,5,nz,0.005659923651826091,0.0024869546064083107,103,736,656,608,Glorot,,logistic,0.013127605120340982,0.013150970141092936,0.013121803601582846,0.013110041618347168,COMPLETE,0.013127605120340982,0.013150970141092936,0.013121803601582846,0.013110041618347168
3,0.113467738032341,2025-09-03 02:10:57.120745,2025-09-03 02:38:40.283444,0 days 00:27:43.162699,20,uniform,5,zero,,4.392996964391159e-06,286,304,464,176,old,1.048938561776662,logistic,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795,COMPLETE,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795
4,0.8007257978121439,2025-09-03 02:38:40.283886,2025-09-03 02:44:37.582130,0 days 00:05:57.298244,100,uniform,8,nz,2.2013739783605834e-08,0.0014768815514442635,7994,688,768,256,Glorot,,logistic,0.011676285001966687,0.012693683306376139,0.012871106465657553,0.009464065233866373,COMPLETE,0.011676285001966687,0.012693683306376139,0.012871106465657553,0.009464065233866373
5,0.86982262134552,2025-09-03 02:44:37.582968,2025-09-03 02:50:32.184973,0 days 00:05:54.602005,100,normal,8,nz,0.00017344787323769035,0.3329779126931672,5727,624,1008,256,old,1.0240609680153696,logistic,0.0019041034910413956,0.0024149020512898764,0.0032686789830525718,2.872943878173828e-05,COMPLETE,0.0019041034910413956,0.0024149020512898764,0.0032686789830525718,2.872943878173828e-05
6,0.3691289822260539,2025-09-03 02:50:32.185409,2025-09-03 02:56:28.060063,0 days 00:05:55.874654,100,normal,6,nz,2.5689072709426117e-05,5.276847581147895e-05,221,384,256,432,Glorot,,tanh,0.013091286023457846,0.012948910395304361,0.013191541035970053,0.013133406639099121,COMPLETE,0.013091286023457846,0.012948910395304361,0.013191541035970053,0.013133406639099121
7,0.8863548239072164,2025-09-03 02:56:28.060512,2025-09-03 03:02:02.373474,0 days 00:05:34.312962,100,normal,7,zero,,0.045402977968456694,3669,192,416,784,old,0.39496068952891183,logistic,0.008350133895874023,0.008510152498881022,0.0077226559321085615,0.008817593256632486,COMPLETE,0.008350133895874023,0.008510152498881022,0.0077226559321085615,0.008817593256632486
8,0.113467738032341,2025-09-03 03:02:02.373917,2025-09-03 03:07:38.599318,0 days 00:05:36.225401,100,uniform,7,zero,,1.9670000815753223e-05,2947,1024,864,624,old,1.7685618590876564,logistic,0.013087272644042969,0.013078967730204264,0.013135075569152832,0.01304777463277181,COMPLETE,0.013087272644042969,0.013078967730204264,0.013135075569152832,0.01304777463277181
9,0.8141289552052816,2025-09-03 03:07:38.599757,2025-09-03 03:13:35.512446,0 days 00:05:56.912689,100,normal,7,nz,0.004713238483750317,0.026455682027908503,179,528,144,448,Glorot,,tanh,0.012088696161905924,0.012077728907267252,0.012268940607706705,0.011919418970743815,COMPLETE,0.012088696161905924,0.012077728907267252,0.012268940607706705,0.011919418970743815
10,0.8110161622365316,2025-09-03 03:13:35.512869,2025-09-03 03:43:01.129956,0 days 00:29:25.617087,20,uniform,5,nz,1.7399719380673092e-06,0.0060518290943611325,550,784,768,160,old,1.3898853516952139,tanh,0.01244252257876926,0.01275805632273356,0.01291640599568685,0.01165310541788737,COMPLETE,0.01244252257876926,0.01275805632273356,0.01291640599568685,0.01165310541788737
11,0.113467738032341,2025-09-03 03:43:01.130401,2025-09-03 03:48:35.412015,0 days 00:05:34.281614,100,normal,6,zero,,0.00018131133577534945,391,688,448,320,Glorot,,logistic,0.013002713521321615,0.013073086738586426,0.012898405392964682,0.013036648432413736,COMPLETE,0.013002713521321615,0.013073086738586426,0.012898405392964682,0.013036648432413736
12,0.8192579944928488,2025-09-03 03:48:35.412452,2025-09-03 03:54:11.882027,0 days 00:05:36.469575,100,uniform,8,zero,,0.002472295306383974,2075,224,384,176,old,0.2686955279215667,tanh,0.012204130490620932,0.013048052787780762,0.012803196907043457,0.010761141777038574,COMPLETE,0.012204130490620932,0.013048052787780762,0.012803196907043457,0.010761141777038574
13,0.8601289987564087,2025-09-03 03:54:11.883416,2025-09-03 04:23:40.699292,0 days 00:29:28.815876,20,uniform,8,nz,1.784055631279747e-08,0.0028909398708427706,5014,896,784,752,old,0.2558892770414504,logistic,0.0122605562210083,0.012897968292236328,0.012617071469624838,0.011266628901163736,COMPLETE,0.0122605562210083,0.012897968292236328,0.012617071469624838,0.011266628901163736
14,0.8058709502220154,2025-09-03 04:23:40.700165,2025-09-03 04:29:16.050085,0 days 00:05:35.349920,100,normal,8,zero,,0.00700610875534594,456,592,912,784,Glorot,,tanh,0.012841754489474826,0.012705326080322266,0.012943069140116373,0.01287686824798584,COMPLETE,0.012841754489474826,0.012705326080322266,0.012943069140116373,0.01287686824798584
15,0.113467738032341,2025-09-03 04:29:16.050549,2025-09-03 04:34:51.688337,0 days 00:05:35.637788,100,normal,6,zero,,9.318544447640828e-06,368,608,304,272,old,0.4837215553624952,logistic,0.013091047604878744,0.013071894645690918,0.013156652450561523,0.013044595718383789,COMPLETE,0.013091047604878744,0.013071894645690918,0.013156652450561523,0.013044595718383789
16,0.3734192152818044,2025-09-03 04:34:51.689302,2025-09-03 05:02:45.103045,0 days 00:27:53.413743,20,uniform,5,zero,,4.481465560938961e-06,450,928,160,832,old,1.9993692687863487,tanh,0.013094703356424967,0.013103922208150228,0.013032118479410807,0.013148069381713867,COMPLETE,0.013094703356424967,0.013103922208150228,0.013032118479410807,0.013148069381713867
17,0.41493529081344604,2025-09-03 05:02:45.103490,2025-09-03 05:08:18.675904,0 days 00:05:33.572414,100,normal,5,zero,,1.357272557085702e-06,1626,992,592,304,old,1.000636396400883,tanh,0.013089299201965332,0.013098915417989096,0.013136744499206543,0.013032237688700357,COMPLETE,0.013089299201965332,0.013098915417989096,0.013136744499206543,0.013032237688700357
