number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.9430806438128153,2025-09-03 01:23:42.272259,2025-09-03 01:53:26.128436,0 days 00:29:43.856177,20,uniform,8,nz,0.001976273939677935,0.01888913897506274,548,832,368,368,Glorot,,logistic,0.011017600695292154,0.01239931583404541,0.012356440226236979,0.008297046025594076,COMPLETE,0.011017600695292154,0.01239931583404541,0.012356440226236979,0.008297046025594076
1,0.6618548432985941,2025-09-03 01:53:26.128845,2025-09-03 02:20:57.088190,0 days 00:27:30.959345,20,normal,6,zero,,7.287875536659331e-06,2558,976,720,480,Glorot,,tanh,0.013123114903767904,0.01311333974202474,0.013093392054239908,0.013162612915039062,COMPLETE,0.013123114903767904,0.01311333974202474,0.013093392054239908,0.013162612915039062
2,0.5945964058240255,2025-09-03 02:20:57.088587,2025-09-03 02:26:51.591714,0 days 00:05:54.503127,100,normal,5,nz,0.005659923651826091,0.0024869546064083107,103,736,656,608,Glorot,,logistic,0.013130201233757867,0.013142863909403482,0.013136903444925943,0.013110836346944174,COMPLETE,0.013130201233757867,0.013142863909403482,0.013136903444925943,0.013110836346944174
3,0.14182210465272269,2025-09-03 02:26:51.592077,2025-09-03 02:54:13.488569,0 days 00:27:21.896492,20,uniform,5,zero,,4.392996964391159e-06,286,304,464,176,old,1.048938561776662,logistic,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795,COMPLETE,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795
4,0.9260322054227194,2025-09-03 02:54:13.489599,2025-09-03 03:00:01.541153,0 days 00:05:48.051554,100,uniform,8,nz,2.2013739783605834e-08,0.0014768815514442635,7994,688,768,256,Glorot,,logistic,0.011532637808057996,0.01279123624165853,0.012894431749979654,0.008912245432535807,COMPLETE,0.011532637808057996,0.01279123624165853,0.012894431749979654,0.008912245432535807
5,0.9681612849235535,2025-09-03 03:00:01.541545,2025-09-03 03:05:46.439907,0 days 00:05:44.898362,100,normal,8,nz,0.00017344787323769035,0.3329779126931672,5727,624,1008,256,old,1.0240609680153696,logistic,0.0021984842088487414,0.0014150142669677734,0.005122979482014974,5.745887756347656e-05,COMPLETE,0.0021984842088487414,0.0014150142669677734,0.005122979482014974,5.745887756347656e-05
6,0.6169516841570536,2025-09-03 03:05:46.440290,2025-09-03 03:11:35.360286,0 days 00:05:48.919996,100,normal,6,nz,2.5689072709426117e-05,5.276847581147895e-05,221,384,256,432,Glorot,,tanh,0.013092107243008085,0.012950738271077475,0.013191819190979004,0.013133764266967773,COMPLETE,0.013092107243008085,0.012950738271077475,0.013191819190979004,0.013133764266967773
7,0.9689838687578837,2025-09-03 03:11:35.360652,2025-09-03 03:17:06.409619,0 days 00:05:31.048967,100,normal,7,zero,,0.045402977968456694,3669,192,416,784,old,0.39496068952891183,logistic,0.00954518053266737,0.008961081504821777,0.010149280230204264,0.009525179862976074,COMPLETE,0.00954518053266737,0.008961081504821777,0.010149280230204264,0.009525179862976074
8,0.1723541816075643,2025-09-03 03:17:06.410667,2025-09-03 03:22:37.723559,0 days 00:05:31.312892,100,uniform,7,zero,,1.9670000815753223e-05,2947,1024,864,624,old,1.7685618590876564,logistic,0.013087802463107638,0.01307980219523112,0.013135512669881185,0.013048092524210611,COMPLETE,0.013087802463107638,0.01307980219523112,0.013135512669881185,0.013048092524210611
9,0.9489031632741293,2025-09-03 03:22:37.723942,2025-09-03 03:28:28.384035,0 days 00:05:50.660093,100,normal,7,nz,0.004713238483750317,0.026455682027908503,179,528,144,448,Glorot,,tanh,0.012100855509440104,0.012384374936421713,0.012031833330790201,0.011886358261108398,COMPLETE,0.012100855509440104,0.012384374936421713,0.012031833330790201,0.011886358261108398
