number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.575209399064382,2025-09-03 01:30:49.812487,2025-09-03 01:37:10.473249,0 days 00:06:20.660762,100,normal,6,zero,,5.356407332044644e-05,6592,1008,608,576,old,0.3186854244306292,logistic,0.013103206952412924,0.013111631075541178,0.013106981913248697,0.013091007868448893,COMPLETE,0.013103206952412924,0.013111631075541178,0.013106981913248697,0.013091007868448893
1,0.9091289838155111,2025-09-03 01:37:10.473870,2025-09-03 02:08:23.998474,0 days 00:31:13.524604,20,uniform,6,zero,,0.0001567986483730631,4737,944,240,592,old,1.0593220787328592,tanh,0.012974275483025445,0.01295785109202067,0.012983202934265137,0.012981772422790527,COMPLETE,0.012974275483025445,0.01295785109202067,0.012983202934265137,0.012981772422790527
2,0.9060644507408142,2025-09-03 02:08:23.998983,2025-09-03 02:14:30.800108,0 days 00:06:06.801125,100,uniform,7,zero,,0.0013722625337799393,674,544,784,496,Glorot,,tanh,0.01297567950354682,0.012894312540690104,0.013085126876831055,0.012947599093119303,COMPLETE,0.01297567950354682,0.012894312540690104,0.013085126876831055,0.012947599093119303
3,0.933693528175354,2025-09-03 02:14:30.800606,2025-09-03 02:44:53.155795,0 days 00:30:22.355189,20,uniform,6,zero,,0.0005997611974489836,3042,400,656,336,old,0.7557205831361038,tanh,0.012860337893168131,0.013043403625488281,0.012875874837239584,0.01266173521677653,COMPLETE,0.012860337893168131,0.013043403625488281,0.012875874837239584,0.01266173521677653
4,0.11379035313924153,2025-09-03 02:44:53.156311,2025-09-03 02:51:00.681606,0 days 00:06:07.525295,100,uniform,8,zero,,1.7536174426962524e-06,5638,832,848,592,Glorot,,logistic,0.013100915484958224,0.013114849726359049,0.013058066368103027,0.013129830360412598,COMPLETE,0.013100915484958224,0.013114849726359049,0.013058066368103027,0.013129830360412598
5,0.11532262464364369,2025-09-03 02:51:00.682296,2025-09-03 02:57:07.407092,0 days 00:06:06.724796,100,uniform,6,zero,,2.152766956463615e-06,1208,864,512,672,Glorot,,logistic,0.01309437221950955,0.013071974118550619,0.013120015462239584,0.013091127077738443,COMPLETE,0.01309437221950955,0.013071974118550619,0.013120015462239584,0.013091127077738443
6,0.9754354953765869,2025-09-03 02:57:07.407589,2025-09-03 03:03:32.440135,0 days 00:06:25.032546,100,normal,6,nz,1.0224729613848469e-07,0.18205624505890625,6579,640,272,832,old,0.50438191405769,tanh,0.007007612122429741,0.0062696536382039385,0.004863142967224121,0.009890039761861166,COMPLETE,0.007007612122429741,0.0062696536382039385,0.004863142967224121,0.009890039761861166
7,0.9595806002616882,2025-09-03 03:03:32.440627,2025-09-03 03:09:52.444956,0 days 00:06:20.004329,100,uniform,6,nz,0.009022903550383762,0.015141727048604519,713,160,384,864,old,1.1444957061835375,tanh,0.011351068814595541,0.011079629262288412,0.011569857597351074,0.011403719584147135,COMPLETE,0.011351068814595541,0.011079629262288412,0.011569857597351074,0.011403719584147135
8,0.11254838357369105,2025-09-03 03:09:52.445441,2025-09-03 03:15:58.800804,0 days 00:06:06.355363,100,normal,8,zero,,1.5227745153472545e-06,2210,544,816,912,old,1.8392842177188289,logistic,0.013126532236735025,0.013153076171875,0.013120810190836588,0.01310571034749349,COMPLETE,0.013126532236735025,0.013153076171875,0.013120810190836588,0.01310571034749349
9,0.6345964670181274,2025-09-03 03:15:58.801308,2025-09-03 03:22:04.561434,0 days 00:06:05.760126,100,uniform,8,zero,,2.4890096121810022e-05,796,272,288,448,Glorot,,tanh,0.012994395362006292,0.01300207773844401,0.012907783190409342,0.013073325157165527,COMPLETE,0.012994395362006292,0.01300207773844401,0.012907783190409342,0.013073325157165527
10,0.141112652917703,2025-09-03 03:22:04.561953,2025-09-03 03:52:39.111738,0 days 00:30:34.549785,20,uniform,7,zero,,0.5398843157707236,705,800,976,672,Glorot,,logistic,0.004228419727749295,0.00714413324991862,0.0039871931076049805,0.001553932825724284,COMPLETE,0.004228419727749295,0.00714413324991862,0.0039871931076049805,0.001553932825724284
11,0.9237257838249207,2025-09-03 03:52:39.112241,2025-09-03 04:23:03.704360,0 days 00:30:24.592119,20,uniform,6,zero,,0.005988265244732958,304,352,656,208,Glorot,,tanh,0.012568778461880153,0.01263884703318278,0.01281444231669108,0.012253046035766602,COMPLETE,0.012568778461880153,0.01263884703318278,0.01281444231669108,0.012253046035766602
12,0.6803917735815048,2025-09-03 04:23:03.704869,2025-09-03 04:54:50.225307,0 days 00:31:46.520438,20,uniform,7,nz,2.3466263143751017e-05,0.23561379107592156,130,896,512,928,old,1.0236779743730906,tanh,,,,,COMPLETE,,,,
13,0.5966939528783163,2025-09-03 04:54:50.225985,2025-09-03 05:26:42.305877,0 days 00:31:52.079892,20,uniform,8,nz,0.0024972077447578873,2.2761240438210415e-06,308,224,160,784,old,0.7922891789961719,tanh,0.01300652821858724,0.013007164001464844,0.012893358866373697,0.013119061787923178,COMPLETE,0.01300652821858724,0.013007164001464844,0.012893358866373697,0.013119061787923178
14,0.11262903362512589,2025-09-03 05:26:42.306380,2025-09-03 05:33:05.433879,0 days 00:06:23.127499,100,uniform,8,nz,5.149664340041313e-08,9.272568606532535e-06,127,608,160,976,Glorot,,logistic,0.01328987545437283,0.013038357098897299,0.013731718063354492,0.0130995512008667,COMPLETE,0.01328987545437283,0.013038357098897299,0.013731718063354492,0.0130995512008667
15,0.9723225633303324,2025-09-03 05:33:05.434396,2025-09-03 06:04:50.128315,0 days 00:31:44.693919,20,uniform,7,nz,1.0723096225196348e-05,0.1638137370229068,5541,128,1024,160,old,1.7020616944920801,logistic,0.00280304749806722,3.8464864095052086e-05,0.007421056429545085,0.0009496212005615234,COMPLETE,0.00280304749806722,3.8464864095052086e-05,0.007421056429545085,0.0009496212005615234
16,0.9635806481043497,2025-09-03 06:04:50.128816,2025-09-03 06:35:18.438219,0 days 00:30:28.309403,20,uniform,5,zero,,0.057265109303175826,126,832,304,560,old,0.2702596726554056,logistic,0.01213685671488444,0.012869159380594889,0.012511412302652994,0.011029998461405436,COMPLETE,0.01213685671488444,0.012869159380594889,0.012511412302652994,0.011029998461405436
17,0.9716774026552836,2025-09-03 06:35:18.438712,2025-09-03 06:41:40.274694,0 days 00:06:21.835982,100,uniform,6,nz,9.611097681268518e-06,0.05713327666925594,2944,800,224,880,old,1.1225846061944966,tanh,0.011157671610514322,0.011162281036376953,0.010253310203552246,0.01205742359161377,COMPLETE,0.011157671610514322,0.011162281036376953,0.010253310203552246,0.01205742359161377
18,0.544725259145101,2025-09-03 06:41:40.275200,2025-09-03 06:48:04.516730,0 days 00:06:24.241530,100,uniform,7,nz,7.353420094970839e-05,0.0006768682345316936,355,992,352,336,old,0.20766867979710768,logistic,0.013115710682339137,0.01314389705657959,0.0130844513575236,0.013118783632914225,COMPLETE,0.013115710682339137,0.01314389705657959,0.0130844513575236,0.013118783632914225
19,0.8516289989153544,2025-09-03 06:48:04.517238,2025-09-03 07:19:53.509922,0 days 00:31:48.992684,20,normal,7,nz,0.000695555700756957,4.454657309615775e-05,7150,768,880,448,Glorot,,tanh,0.013107445504930286,0.013086915016174316,0.013130863507588705,0.013104557991027832,COMPLETE,0.013107445504930286,0.013086915016174316,0.013130863507588705,0.013104557991027832
20,0.1322901596625646,2025-09-03 07:19:53.510438,2025-09-03 07:26:02.502409,0 days 00:06:08.991971,100,normal,8,zero,,4.8684447001665524e-05,242,224,928,896,Glorot,,logistic,0.013082914882236056,0.013124465942382812,0.013078927993774414,0.013045350710550943,COMPLETE,0.013082914882236056,0.013124465942382812,0.013078927993774414,0.013045350710550943
21,0.9073386987050375,2025-09-03 07:26:02.502926,2025-09-03 07:57:56.952617,0 days 00:31:54.449691,20,normal,8,nz,1.997339734132248e-07,0.00017577045838828472,6452,960,992,160,old,0.8348477899736664,tanh,0.012798600726657443,0.013030687967936197,0.013049840927124023,0.01231527328491211,COMPLETE,0.012798600726657443,0.013030687967936197,0.013049840927124023,0.01231527328491211
22,0.9480645259221395,2025-09-03 07:57:56.953136,2025-09-03 08:28:22.114782,0 days 00:30:25.161646,20,uniform,8,zero,,0.015258444911270038,662,896,208,304,old,1.7513600951408292,logistic,0.010972393883599175,0.01254415512084961,0.011896888415018717,0.0084761381149292,COMPLETE,0.010972393883599175,0.01254415512084961,0.011896888415018717,0.0084761381149292
23,0.12070993334054947,2025-09-03 08:28:22.115290,2025-09-03 08:34:43.562546,0 days 00:06:21.447256,100,normal,6,nz,0.002310508554631245,2.993279432713497e-06,212,240,576,448,old,1.457383949023868,logistic,0.012910842895507812,0.012623111406962076,0.013087232907613119,0.013022184371948242,COMPLETE,0.012910842895507812,0.012623111406962076,0.013087232907613119,0.013022184371948242
24,0.25640484939018887,2025-09-03 08:34:43.563068,2025-09-03 08:41:07.064574,0 days 00:06:23.501506,100,normal,7,nz,8.174523490234683e-06,0.8661912331013609,198,464,544,368,Glorot,,logistic,0.009454475508795844,0.01833311716715495,0.006635109583536784,0.0033951997756958008,COMPLETE,0.009454475508795844,0.01833311716715495,0.006635109583536784,0.0033951997756958008
25,0.0983548363049825,2025-09-03 08:41:07.065087,2025-09-03 09:11:23.499576,0 days 00:30:16.434489,20,normal,6,zero,,0.3982962611175414,5335,240,464,560,old,1.2518275415538762,tanh,,,,,COMPLETE,,,,
26,0.8110321164131165,2025-09-03 09:11:23.500079,2025-09-03 09:17:28.938014,0 days 00:06:05.437935,100,normal,6,zero,,0.00016234830431242263,3158,688,736,960,old,0.2544550137741095,logistic,0.013082570499844022,0.013102134068806967,0.013112107912699381,0.013033469518025717,COMPLETE,0.013082570499844022,0.013102134068806967,0.013112107912699381,0.013033469518025717
27,0.4523221254348755,2025-09-03 09:17:28.938510,2025-09-03 09:49:13.956660,0 days 00:31:45.018150,20,normal,8,nz,1.1833946707195962e-05,0.0004153238551851028,176,944,192,832,Glorot,,logistic,0.01309588220384386,0.0131379763285319,0.013103564580281576,0.0130461057027181,COMPLETE,0.01309588220384386,0.0131379763285319,0.013103564580281576,0.0130461057027181
28,0.21124107638994852,2025-09-03 09:49:13.957183,2025-09-03 09:55:19.423861,0 days 00:06:05.466678,100,normal,8,zero,,0.00027076433920494625,203,480,272,576,Glorot,,logistic,0.013017243809170194,0.013125181198120117,0.012861251831054688,0.013065298398335775,COMPLETE,0.013017243809170194,0.013125181198120117,0.012861251831054688,0.013065298398335775
29,0.9636934995651245,2025-09-03 09:55:19.424369,2025-09-03 10:27:06.420168,0 days 00:31:46.995799,20,normal,6,nz,0.0005702005920390691,0.023827197087659714,8278,688,336,912,Glorot,,logistic,0.005149033334520128,0.006362636884053548,0.004162351290384929,0.004922111829121907,COMPLETE,0.005149033334520128,0.006362636884053548,0.004162351290384929,0.004922111829121907
30,0.9696290294329325,2025-09-03 10:27:06.420922,2025-09-03 10:33:27.148453,0 days 00:06:20.727531,100,uniform,8,nz,3.8729565246854525e-05,0.061244587609138076,6595,272,128,576,Glorot,,tanh,0.007483416133456759,0.0062901973724365234,0.005555947621663411,0.010604103406270346,COMPLETE,0.007483416133456759,0.0062901973724365234,0.005555947621663411,0.010604103406270346
31,0.9679516156514486,2025-09-03 10:33:27.148984,2025-09-03 10:39:33.733067,0 days 00:06:06.584083,100,normal,5,zero,,0.17865334533642033,668,352,880,144,Glorot,,logistic,0.007551736301845974,0.008603374163309732,0.011247754096984863,0.0028040806452433267,COMPLETE,0.007551736301845974,0.008603374163309732,0.011247754096984863,0.0028040806452433267
32,0.9014999469121298,2025-09-03 10:39:33.733711,2025-09-03 11:11:17.180780,0 days 00:31:43.447069,20,normal,8,nz,3.042048190917116e-07,0.0024865729443567025,230,848,352,432,old,1.9863089596180703,tanh,0.012949082586500382,0.012974937756856283,0.013003110885620117,0.01286919911702474,COMPLETE,0.012949082586500382,0.012974937756856283,0.013003110885620117,0.01286919911702474
33,0.26824148495992023,2025-09-03 11:11:17.181308,2025-09-03 11:17:37.445502,0 days 00:06:20.264194,100,uniform,5,nz,2.195171270562009e-06,0.00019975831193664464,686,176,640,288,Glorot,,logistic,0.013166189193725586,0.013476729393005371,0.01309359073638916,0.012928247451782227,COMPLETE,0.013166189193725586,0.013476729393005371,0.01309359073638916,0.012928247451782227
34,0.9707741538683573,2025-09-03 11:17:37.446014,2025-09-03 11:23:58.232010,0 days 00:06:20.785996,100,normal,8,nz,2.2657139148687036e-08,0.03027486441882579,6990,864,336,336,Glorot,,tanh,0.011132094595167374,0.011397480964660645,0.011304219563802084,0.010694583257039389,COMPLETE,0.011132094595167374,0.011397480964660645,0.011304219563802084,0.010694583257039389
35,0.902548352877299,2025-09-03 11:23:58.232520,2025-09-03 11:55:36.997090,0 days 00:31:38.764570,20,normal,5,nz,2.7516835917045693e-07,0.001648673030222091,397,864,480,256,Glorot,,tanh,0.012865940729777018,0.012970964113871256,0.013072927792867025,0.012553930282592773,COMPLETE,0.012865940729777018,0.012970964113871256,0.013072927792867025,0.012553930282592773
36,0.6567584673563639,2025-09-03 11:55:36.997598,2025-09-03 12:01:57.765662,0 days 00:06:20.768064,100,normal,5,nz,0.00015885258702399706,1.6206287536814295e-05,834,304,416,624,Glorot,,tanh,0.01312667793697781,0.013192176818847656,0.013102332750956217,0.013085524241129557,COMPLETE,0.01312667793697781,0.013192176818847656,0.013102332750956217,0.013085524241129557
37,0.9526450832684835,2025-09-03 12:01:57.766178,2025-09-03 12:33:39.400790,0 days 00:31:41.634612,20,normal,6,nz,0.0006021016068328207,0.002672805938968097,1994,592,352,272,Glorot,,tanh,0.012223508622911243,0.012440085411071777,0.012543757756551107,0.01168668270111084,COMPLETE,0.012223508622911243,0.012440085411071777,0.012543757756551107,0.01168668270111084
38,0.12501592437426248,2025-09-03 12:33:39.401299,2025-09-03 13:05:24.892361,0 days 00:31:45.491062,20,normal,8,nz,0.00010775411320059774,6.805852402341672e-06,1032,576,912,416,Glorot,,logistic,0.0131150484085083,0.013056476910909018,0.013152440388997396,0.01313622792561849,COMPLETE,0.0131150484085083,0.013056476910909018,0.013152440388997396,0.01313622792561849
39,0.0983548363049825,2025-09-03 13:05:24.897288,2025-09-03 13:35:52.129746,0 days 00:30:27.232458,20,normal,8,zero,,0.39771077034005853,3448,640,928,496,old,1.3132163224601643,tanh,,,,,COMPLETE,,,,
40,0.6116765340169271,2025-09-03 13:35:52.130250,2025-09-03 13:42:00.871105,0 days 00:06:08.740855,100,normal,8,zero,,1.5698573371230564e-06,9702,128,864,816,old,0.8219145201736515,tanh,0.013299769825405545,0.013704299926757812,0.013091047604878744,0.013103961944580078,COMPLETE,0.013299769825405545,0.013704299926757812,0.013091047604878744,0.013103961944580078
41,0.9673870801925659,2025-09-03 13:42:00.871977,2025-09-03 13:48:21.188690,0 days 00:06:20.316713,100,uniform,5,nz,0.0009110543562389147,0.10750221368169545,280,480,912,512,Glorot,,tanh,0.011612574259440104,0.011164466540018717,0.012224872907002768,0.011448383331298828,COMPLETE,0.011612574259440104,0.011164466540018717,0.012224872907002768,0.011448383331298828
42,0.1125161275267601,2025-09-03 13:48:21.189374,2025-09-03 13:54:42.800269,0 days 00:06:21.610895,100,normal,6,nz,7.320179215276121e-05,7.5614720036398e-05,395,816,336,160,Glorot,,logistic,0.013139512803819446,0.013087828954060873,0.012927571932474772,0.01340313752492269,COMPLETE,0.013139512803819446,0.013087828954060873,0.012927571932474772,0.01340313752492269
43,0.5442416270573934,2025-09-03 13:54:42.800780,2025-09-03 14:26:26.378403,0 days 00:31:43.577623,20,normal,5,nz,4.2831403318406515e-08,7.320545430414094e-05,1787,256,672,1008,old,0.5843026141208169,logistic,0.013073947694566516,0.01293941338857015,0.01314234733581543,0.013140082359313965,COMPLETE,0.013073947694566516,0.01293941338857015,0.01314234733581543,0.013140082359313965
44,0.9690322478612264,2025-09-03 14:26:26.378918,2025-09-03 14:32:31.248658,0 days 00:06:04.869740,100,uniform,5,zero,,0.3495227066565261,434,352,256,352,old,1.5931392804841342,tanh,0.008305549621582031,0.007443388303120931,0.008441527684529623,0.009031732877095541,COMPLETE,0.008305549621582031,0.007443388303120931,0.008441527684529623,0.009031732877095541
45,0.9664999643961588,2025-09-03 14:32:31.249174,2025-09-03 14:38:37.378676,0 days 00:06:06.129502,100,normal,6,zero,,0.04660634921932745,822,864,624,288,old,0.9152953952572318,logistic,0.010252621438768175,0.011808276176452637,0.012085676193237305,0.006863911946614583,COMPLETE,0.010252621438768175,0.011808276176452637,0.012085676193237305,0.006863911946614583
