number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dist1,params_iseed,params_l2_penalty_choice,params_l2_penalty_nz,params_lr,params_lr_anneal_start,params_nhid1,params_nhid2,params_nhid3,params_scale_heur1,params_scale_mult1,params_squash,user_attrs_avg_fit_criteria,user_attrs_ed_cl1_mean,user_attrs_ed_cl2_mean,user_attrs_ed_cl3_mean,state,avg_fit_criteria,ed_cl1_mean,ed_cl2_mean,ed_cl3_mean
0,0.7803544203440348,2025-09-03 01:30:44.162677,2025-09-03 02:03:29.127921,0 days 00:32:44.965244,20,uniform,8,nz,0.001976273939677935,0.01888913897506274,548,832,368,368,Glorot,,logistic,0.01072072982788086,0.011920690536499023,0.011389851570129395,0.00885164737701416,COMPLETE,0.01072072982788086,0.011920690536499023,0.011389851570129395,0.00885164737701416
1,0.3302578131357829,2025-09-03 02:03:29.128375,2025-09-03 02:34:44.752040,0 days 00:31:15.623665,20,normal,6,zero,,7.287875536659331e-06,2558,976,720,480,Glorot,,tanh,0.013122969203525119,0.013113300005594889,0.013093908627827963,0.013161698977152506,COMPLETE,0.013122969203525119,0.013113300005594889,0.013093908627827963,0.013161698977152506
2,0.2589350491762161,2025-09-03 02:34:44.752480,2025-09-03 02:41:10.138495,0 days 00:06:25.386015,100,normal,5,nz,0.005659923651826091,0.0024869546064083107,103,736,656,608,Glorot,,logistic,0.013124889797634548,0.013141989707946777,0.013126293818155924,0.013106385866800943,COMPLETE,0.013124889797634548,0.013141989707946777,0.013126293818155924,0.013106385866800943
3,0.11374193181594212,2025-09-03 02:41:10.139121,2025-09-03 03:12:21.631836,0 days 00:31:11.492715,20,uniform,5,zero,,4.392996964391159e-06,286,304,464,176,old,1.048938561776662,logistic,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795,COMPLETE,0.013069325023227267,0.012968937555948893,0.013079007466634115,0.013160030047098795
4,0.6631935238838196,2025-09-03 03:12:21.632267,2025-09-03 03:18:47.220312,0 days 00:06:25.588045,100,uniform,8,nz,2.2013739783605834e-08,0.0014768815514442635,7994,688,768,256,Glorot,,logistic,0.011819428867763942,0.012664119402567545,0.012764732042948404,0.010029435157775879,COMPLETE,0.011819428867763942,0.012664119402567545,0.012764732042948404,0.010029435157775879
5,0.8687421083450317,2025-09-03 03:18:47.220738,2025-09-03 03:25:15.871746,0 days 00:06:28.651008,100,normal,8,nz,0.00017344787323769035,0.3329779126931672,5727,624,1008,256,old,1.0240609680153696,logistic,0.00544791751437717,0.012960990269978842,0.003361225128173828,2.1537144978841145e-05,COMPLETE,0.00544791751437717,0.012960990269978842,0.003361225128173828,2.1537144978841145e-05
6,0.2928389112154643,2025-09-03 03:25:15.872179,2025-09-03 03:31:36.753820,0 days 00:06:20.881641,100,normal,6,nz,2.5689072709426117e-05,5.276847581147895e-05,221,384,256,432,Glorot,,tanh,0.013091842333475748,0.012948950131734213,0.013192335764567057,0.013134241104125977,COMPLETE,0.013091842333475748,0.012948950131734213,0.013192335764567057,0.013134241104125977
7,0.9066451589266459,2025-09-03 03:31:36.754244,2025-09-03 03:37:44.618414,0 days 00:06:07.864170,100,normal,7,zero,,0.045402977968456694,3669,192,416,784,old,0.39496068952891183,logistic,0.0059011247422960066,0.003854513168334961,0.0052750905354817705,0.008573770523071289,COMPLETE,0.0059011247422960066,0.003854513168334961,0.0052750905354817705,0.008573770523071289
8,0.1190483495593071,2025-09-03 03:37:44.618824,2025-09-03 03:44:05.467774,0 days 00:06:20.848950,100,uniform,7,zero,,1.9670000815753223e-05,2947,1024,864,624,old,1.7685618590876564,logistic,0.013087775972154407,0.013079166412353516,0.013135870297749838,0.013048291206359863,COMPLETE,0.013087775972154407,0.013079166412353516,0.013135870297749838,0.013048291206359863
9,0.8092901110649109,2025-09-03 03:44:05.468231,2025-09-03 03:50:31.272554,0 days 00:06:25.804323,100,normal,7,nz,0.004713238483750317,0.026455682027908503,179,528,144,448,Glorot,,tanh,0.011101775699191624,0.011841297149658203,0.009884913762410482,0.011579116185506185,COMPLETE,0.011101775699191624,0.011841297149658203,0.009884913762410482,0.011579116185506185
